video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
4GwpH0ZK6QQ,2025-12-07 13:00:14+00:00,RELJA X MAYA BEROVIC - HABIBI (OFFICIAL VIDEO),MADE IN BLKN,Music,"relja, relja popovic, idjvideos, made in balkan, made in blkn, nova pesma, takvi kao ja, nikolija, tuga iz porsea, meduza, mi amor, princeza na belom, devito, rasta, genge, offline, o bivsima, high life",176,hd,false,True,289321,8974,338
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",121,hd,true,True,6653139,294769,15776
OjigQUmGHm0,2025-12-08 11:15:08+00:00,🔥💀ICH KILLE den GESAMTEN FITNACRAFT SERVER beim GROßEN START! - Folge 1 Trymacs,Trymacs,Gaming,"trymacs, twitch, live, livestream, meme, lustig, memes, highlight, highlights, lost, stream, fortnite, minecraft, call of duty, warzone, battle royale, deutsch, Eli, Eligella, Fitnacraft, Minecraft, Monte, Montanablack, Knossi, Fails, Kills, Craften, Funny, Clips, Lachen, Danny, Mcky, Server, Rohat",2638,hd,false,True,138330,7886,194
GRo7SuaGFkQ,2025-12-07 18:00:30+00:00,MUCCO  - YARAKYDISS.WAV (Official Video),muccosyoutube,Music,"1999, 1OER, Abseits, BEI MIR, Cano, Capidiss.wav, Deutschrap, Disstrack, Enttäuscht, Herz, KETAMIN, Keine Reue, Ketamin, LIFE IS PAIN, Lange Geschichten: Trauriges Ende, MA FRIEND, Mannheim City, Mucco, PA SPORTS, PUSH PUSH, Rashford Flanke, Right Now, Yakary, me & you, sonnenba",188,hd,false,False,177657,15690,1220
VMmusg1G6Tg,2025-12-07 00:16:31+00:00,THE BOYS Staffel 5 Trailer German Deutsch (2026),KinoCheck,Entertainment,"2026, Antony Starr, Boys, Homelander, Jack Quaid, Karl Urban, KinoCheck, Superhelden, The Boys, The Boys (Film), The Boys Trailer, The Boys Trailer Deutsch, The Boys Trailer German, deutsch, german, trailer, trailer deutsch, trailer german",124,hd,false,True,163849,5915,353
HehLHEfBUGk,2025-12-08 13:23:16+00:00,ich GEHE als ARMER SPIELER auf den MILLIONÄRS SERVER!,Standart Skill,Gaming,"GTA 5, GTA 5 neu, GTA 5 HAi, GTA 6 Angeln, GTA 5 geld verdienen, GTA 5 Angeln, angeln, Fische, Tiere, Lustig, Boot fahren, GTA 5 mods standart skill, GTA 5 mods, GTA 5 fishing mod, GTA 5 angel mod, GTA angeln, GTA unterwasser, GTA 5 geheimnis",1454,hd,false,True,207757,4119,351
NKLooXo1gNo,2025-12-06 20:06:08+00:00,Tóth Andi feat. Belano -  Nu mă lasă,ᴛóᴛʜᴀɴᴅɪ,Music,,171,hd,false,True,718544,29635,1054
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,6914720,552938,30978
S-LMSpzlnc0,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,false,True,3706587,85444,6990
Q2D3dcmoTNs,2025-12-08 19:45:28+00:00,VESCAN x Andrei Banuta - Old Friend | Official Video,Vescan,Music,"vescan, andrei banuta, old friend, vescan old friend, andrei banuta old friend, vescan andrei banuta, vescan andrei banuta old friend, VESCAN x Andrei Banuta - Old Friend | Official Video, official video, official audio, global records, 2025",270,hd,true,True,54632,10746,659
