video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
nwBz-v0uPus,AU,2025-12-20 02:20:34.213742+00:00,2025-12-17 12:01:39+00:00,Top 50 Christmas Songs of All Time 🎄 Best Christmas Music Playlist,Top 50 Christmas Songs of All Time 🎄 Best Christmas Music Playlist,Christmas Songs and Carols - Love to Sing,UCn0JHLJWiO3_Y5xfNPcF_Ug,10,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",14,https://i.ytimg.com/vi/nwBz-v0uPus/hqdefault.jpg,en,en,False,8187,PT2H16M27S,hd,false,True,,,1092504,3280,211
UFe6NRgoXCM,AU,2025-12-20 02:20:34.213790+00:00,2025-12-16 15:59:57+00:00,Disclosure Day | Official Teaser,Disclosure Day | Official Teaser,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/UFe6NRgoXCM/hqdefault.jpg,en-US,en-US,False,127,PT2M7S,hd,false,True,,,15227410,97173,11192
zAd6mDrJz-8,AU,2025-12-20 02:20:34.213803+00:00,2025-12-18 18:01:11+00:00,SIDEMEN AMONG US BUT THE IMPOSTOR IS A PEANUT,SIDEMEN AMONG US BUT THE IMPOSTOR IS A PEANUT,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,22,People & Blogs,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",9,https://i.ytimg.com/vi/zAd6mDrJz-8/hqdefault.jpg,en,en-GB,False,3939,PT1H5M39S,hd,false,True,,,2527780,102636,6046
SbdOIdg2McI,AU,2025-12-20 02:20:34.213813+00:00,2025-12-18 15:00:06+00:00,BABYMONSTER - ‘SUPA DUPA LUV’ M/V,BABYMONSTER - ‘SUPA DUPA LUV’ M/V,BABYMONSTER,UCqwUnggBBct-AY2lAdI88jQ,10,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",19,https://i.ytimg.com/vi/SbdOIdg2McI/hqdefault.jpg,en,ko,False,182,PT3M2S,hd,true,True,,,8247574,444542,34869
e0Eo0D038rQ,AU,2025-12-20 02:20:34.213821+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,true,True,,,13921965,562296,23029
ml40OQZEo4c,AU,2025-12-20 02:20:34.213830+00:00,2025-12-17 20:00:43+00:00,Hermitcraft 11: Episode 6 - Smartest Farms,Hermitcraft 11: Episode 6 - Smartest Farms,Mumbo Jumbo,UChFur_NwVSbUozOcF_F2kMg,20,Gaming,"ideas, creative, build, survival, tutorial, How to, MumboJumbo, ThatMumboJumbo, Minecraft, Building, Mumbo, Redstone, Technical, Piston, 1.9, 1.8, 1.10, 1.11, Gaming, Game, spotlight, showcase, challenge, command, mini-game, gameplay, playthrough, Let's Play, No Swearing, Family Friendly, mc, mcpe, vanilla, Xbox, 360, PS4, PE, pocket edition, mobile",39,https://i.ytimg.com/vi/ml40OQZEo4c/hqdefault.jpg,en,en,False,1871,PT31M11S,hd,false,True,,,1211926,70736,4445
NP6r1YKmo7g,AU,2025-12-20 02:20:34.213838+00:00,2025-12-15 03:43:19+00:00,"Candy Shop - Tony Kakkar, Neha Kakkar | Official Video","Candy Shop - Tony Kakkar, Neha Kakkar | Official Video",Tony Kakkar,UC-ot0zOmCSxXj2Y59oI1k5g,10,Music,"tony kakkar, neha kakkar, new song 2025, 1 lollipop 2 lollipop, lollipop lollipop, candy shop, i want, mala pasand ahes tu, party song, neha kakkar new song, tony kakkar new song, coca cola 2",12,https://i.ytimg.com/vi/NP6r1YKmo7g/hqdefault.jpg,en,hi,False,151,PT2M31S,hd,false,True,,,6156392,49083,19540
wA8BgsUkr14,AU,2025-12-20 02:20:34.213847+00:00,2025-12-18 06:30:36+00:00,Aunty Donna’s Pud Legacy Trailer | OFFICIAL,Aunty Donna’s Pud Legacy Trailer | OFFICIAL,Aunty Donna,UC_mneEC0wc29EGGmIsN_xLA,23,Comedy,"aunty donna, aunty donna live, aunty donna board games, aunty donna everythings a drum, aunty donna morning brown, aunty donna coffee cafe, aunty donna pud, aunty donna kiln, aunty donna cake, aunty donna live now, aunty donna roll call, sketch comedy, sketch comedy skits, sketch comedy show, sketch comedy snl, sketch comedy shorts, sketch comedy tutorial, sketch comedy tiktok, broden kelly, zach ruane, mark bonanno, sketch comedy channels, auntie donna",23,https://i.ytimg.com/vi/wA8BgsUkr14/hqdefault.jpg,en-AU,en-AU,False,97,PT1M37S,hd,false,False,,,145192,12749,1121
X9Zos9Fx_VI,AU,2025-12-20 02:20:34.213855+00:00,2025-12-17 08:00:44+00:00,Australia v England 2025-26 | Third #Ashes Test | Day One,Australia v England 2025-26 | Third #Ashes Test | Day One,cricket.com.au,UCkBY0aHJP9BwjZLDYxAQrKg,17,Sports,"cricket, cricket australia, cricket highlights, cricketcomau",4,https://i.ytimg.com/vi/X9Zos9Fx_VI/hqdefault.jpg,en,en-AU,False,492,PT8M12S,hd,false,True,,,3112184,48064,1011
PsqMJ4sn7oA,AU,2025-12-20 02:20:34.213863+00:00,2025-12-19 07:00:06+00:00,"Liz Vamarasi, Sean Rii - Vukaci (Official Music Video)","Liz Vamarasi, Sean Rii - Vukaci (Official Music Video)",VT1S,UCc4Es_CrsqCK9mHbV_FyS9w,10,Music,,0,https://i.ytimg.com/vi/PsqMJ4sn7oA/hqdefault.jpg,en,en,False,263,PT4M23S,hd,false,True,,,44336,3688,441
