video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
Y9AXKgqGwN4,2025-11-27T21:00:07Z,BLOK3 - KUSURA BAKMA (Official Music Video),Blok3,10,Music,"blok3, blok, hakan, aydın, blok3 kusura, blok3 bakma, blok3 kusura bakma, hako, blok kusura, blok bakma, blok kusura bakma, kusura bakma, kusura, bakma, Senden geçemiyorum ben hâlâ, özledim ama söyleyemiyorum, Her detayın aklımda, unutmam asla, Çok içtim önümü göremiyorum, Ama allah var seni çok özledim, Daha dur anlatma, doluyor gözlerim, Yalanım yok, yalanım yok, Sensiz beni bende sevmedim, ben hala, özledim, ama söyleyemiyorum, senden geçemiyorum, mundo, müzik",174,hd,false,False,19032608,379089,29136
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,5285578,485236,27791
fQAzw2njB2c,2025-12-04T08:00:53Z,"KEREM KOMİSER GÖRÜNMEZ OLDU, MAFYAYI ÖLDÜRDÜ! 😱 - Minecraft",Minecraft Parodileri,20,Gaming,"minecraft parodileri, minecraft, minecraft videoları, zengin vs fakir, zengin fakir, fakir zengin, kerem komiser, minecraft kerem komiser, kerem komiser görünmez oldu, kerem komiser görünmez, minecraft parodileri kerem, maykıraft, minecraft parody, minecraft roleplay, kerem ve kemal, minecraft parodileri video, minecraft parodileri izle, kemal vs kerem, minecraft mod, minecraft parodileri mod, minecraft parodileri şehri, minecraft parodi, minecraft mafya mod, minecraft kerem",1068,hd,true,True,810240,16043,935
enL1XxBfjVI,2025-11-25T11:00:06Z,Lord Vertigo & Nilay Sems - Men Basi Belali ( Yeni 2025 ),Lord Vertigo,22,People & Blogs,"men basi belali, nilay sems men basi belali, nilay sems basi belali, basi belali, mən başı bəlalı, başı bəlalı, esir elim ayagim, lord vertigo nilay sems basi belali, lord vertigo nilay sems men basi belali, en yeni mahnilar 2025, mən başı bəlalı mən gözü qaralı, nilay sems, nilay Şəms",214,hd,false,True,822399,10738,877
XRRnP91SSrQ,2025-12-05T16:00:21Z,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,20,Gaming,,58,hd,true,True,2230963,179690,13129
eG5tqIJPXcI,2025-12-04T15:42:53Z,ZENGİN KÖPRÜ vs FAKİR KÖPRÜ (Ferited),Ferited,20,Gaming,"minecraft, minecraft videoları, minecraft animasyon, minecraft mod, türkçe minecraft, ferited, ferited son bölüm, ferited yeni video, ferited ailesi, maykıraft, ferited vs tarık, minecraft parodileri, feritet, zengin köprü, fakir köprü, zengin vs fakir köprü, fakir tarık, zengin ferited, milyoner ferited, köprü ferited",1646,hd,false,True,631791,8350,6124
JzH6uWBtC3I,2025-12-04T21:00:07Z,manifest - Amatör | Official Music Video,manifest,10,Music,"manifest, big5 türkiye, big5 manifest, official music video, manifest video, manifest videolarıusic video, manifest music video, manifest girlband, manifest amatör, amatör, amatör music video, amatör manifest music video, official music video türkçe, manifest esin, manifest hilal, manifest mina, manifest zoktay, zeynep oktay, manifest lidya, manifest sueda, manifest yeni şarkı, manifest şarkıları, manifest klip, yeni klip",192,hd,true,True,3218093,121421,25040
CTdK0fwoxEI,2025-12-05T14:00:19Z,YÜCE USTA'nın YENİ EKİBİ *oğlumu çaldı* (Minecraft),BoraLo,20,Gaming,"minecraft, minecraft videoları, minecraft türkçe, boralo yeni video, boralo yeni bölüm, boralo, boralo yeni, boralo son bölüm, boralo videoları, minecraft yeni bölüm, minecraft son bölüm, minecraft video, minecraft roleplay türkçe, minecraft oyunları, minecraft oyun, minecraft filmi, boralo oğlum oldu, boralo oğlu, bars boralo, boralo'nun oğlu büyüdü, boralo bars, minecraft efsaneleri, boralo gizemli, yüce usta, yüce usta boralo, minecraft maceraları",1369,hd,false,True,274187,7061,807
5ryoHIM8xHo,2025-11-26T12:36:31Z,Şeir Dedim Qezel Dedim Gelmedin Sene Hamıdan Gözel Dedim Gelmedin & Balabey Gülağa 2025,Deniz Music,10,Music,"seir dedim qezel dedim gelmedin, balabey gulaga, seir dedim qezel dedim",889,hd,false,True,526033,11334,285
ZJEXW3NP3T4,2025-12-05T14:00:49Z,Dünyanın En Tatlı Evcil Hayvanı! 🐱 | Minecraft Büyücü Adası #23,EmirhanCTN,20,Gaming,"minecraft, minecraft videoları, minecraft kaçış, minecraft türkçe, minecraft film, minecraft arkadaşlarım beni hapsetti, minecraft arkadaşlarım beni öldürmeye çalışıyor, minecraft intikam, minecraft efsaneleri, minecraft korku, minecraft gizem, EmirhanCTN, minecraft intikam hikayesi, minecraft roleplay türkçe, minecraft roleplay, minecraft kaçış videoları, emirhanctn yeni seri, emirhanctn büyücü adası, büyücü adası, emirhanctn yeni, minecraft büyücü adası, büyücü adası 23",1334,hd,false,True,287860,7066,10596
