video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
PXNErcYIw_Q,2025-12-04 10:00:27+00:00,Mon Golbe Na | মন গলবে না | Tasnia Farin | Imran Mahmudul | Official Music Video 2025,IMRAN MAHMUDUL,Music,"mon golbe na, imran mahmudul, imran mahmudul songs, mon golbe na bangla songs, bangla songs 2025, bangla songs this week, Tasnia Farin, tasnia farin songs, tasnia farin imran mahmudul, mon golbe na imran mahmudul, tasnia farin new song, imran new song, ইমরানেরগান, ফারিনেরগান, তাসনিয়াফারিনেরগান, মনগলবেনাগান, Tomarjonnorkokhonoamaramongolbena, Mongolbenafarin",260,hd,False,True,1373651,14976.0,4819
WrETI3LlstU,2025-12-04 13:00:06+00:00,Eity’s Mehndi Night Trailer Video | Mehndi Night | Oishrat Jahan Eity ,Oishrat Jahan Eity,Entertainment,,49,hd,False,False,214853,9720.0,187
Jx2ttuYsYaw,2025-12-07 15:38:42+00:00,BR Play-Ins - Week 1 Day 3 | FFMAI 2025  |  Group A & C,Garena Free Fire Bangladesh,Gaming,,13704,hd,False,False,702703,14846.0,189
S9qaZ1AWdPw,2025-12-03 19:34:40+00:00,Shaky ( Official #Video ) Sanju Rathod Ft. Isha Malviya | G-Spark | New #Marathi Songs 2025,ManishSamratVEVO,Music,"Manish Samrat, Dance",216,hd,False,True,1975374,3943.0,56
wPTZ06FnO6M,2025-12-02 10:31:17+00:00,Pichutaan | পিছুটান | Trailer | Nirjon Nahuel | Mahima | Nazmul Evan | G Series | Bangla Natok 2025,G Series Bangla Natok,Entertainment,"Pichutan, Nirjon nahuel, Nirjon Nahuel pichutaan, pichutaan Nirjon Nahuel new, bangla Natok pichutan 2025, Nirjon pichutan natok, mahima natok pichutaan, nirjon mahima natok, Bangla Natok pichutan, pichutaan 2025, pichutaan nirjon Natok, Nirjon Nahuel pichutaan new, Nirjon Nahuel New Natok pichutan, Natok pichutaan, nirjon nahuel New natok 2025, nirjon new, মাহিমা নাটক, nirjon nahuel natok, নির্জন নাহুয়েল, পিছুটান, পিছুটান নাটক, Bangla new natok 2025, bangla new natok",105,hd,False,True,254919,7170.0,346
RAqNb0pw_jg,2025-12-02 04:21:00+00:00,The Evil Grandpa Obby - Roblox,Sokher Gamer Pro,Gaming,"sokher gamer pro, game, roblox, prison run, obby, family, Roblox, Escape from prison, bangla roblox, game horor, gameplay, Monster, roblox horror games, new roblox horror games, roblox new horror games, roblox bangla gameplay, Bengali gameplay, roblox gameplay, escape, funny, evil doll, evil grandpa, evil grandpa roblox, mr triple r, mr no face",638,hd,False,True,497016,4125.0,378
o8kYzDbwZ20,2025-11-29 09:21:14+00:00,O Pagli Re | ও পাগলি  রে | Bong Media & Angel Priya | Mithun Saha | Romantic Song | Music Video,Ujjal Film,Music,"o pagli re, bong media angel priya marriage, bong media marriage, bong media angel priya wedding video, romantic song o pagli re, bong media, angel priya, bangla romantic gaan, music video, bangla gaan, music, song, bangla, bangla music video, ujjal barman, ujjal film, Tomake Chara thaka jantrona, Tomake chara thaka jantrona song",246,hd,False,True,4453365,237261.0,13686
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254045.0,13797
HDIki8mIoWI,2025-12-07 04:31:00+00:00,99 Nights in The Forest | Complete | Roblox,Sokher Gamer,Gaming,"sokher gamer, gameplay bangla, bengali game, granny bangla, android free games, escape, 99 nights in the forest, roblox, speedrun 99 nights, roblox bangla, sokher gamer roblox, 99 nights in the forest full game, 99 nights in the forest roblox, roblox 99 nights in the forest, 99 nights in the forest gameplay, gameplay 99 nights in the forest, family friendly, sokher gamer 99 nights in the forest, part 1",1932,hd,False,True,204544,4967.0,838
7NsURBp3lMA,2025-12-06 05:29:14+00:00,Hasli Keno Bol | Jeet Gannguli | Idhika | Bengal Talkies | Projapati 2 | New Bengali Movie Song 2025,Times Music Bangla,Music,"Hasli Keno Bol, Projapati 2 Songs, bengali love song, bengali romantic song, bengali romantic songs new, bengali movie song, bangla gaan, bangla gana, bangla song, bangla love song, love song bangla, bangla romantic song, bangla movie song, new bengali song, new bangla song, bengali romantic gaan, new songs, romantic songs, love songs, Anirban Chakrabarti, mithun chakraborty songs, mithun chakraborty, bengali new movie, projapoti 2 song, projapoti 2 new song",232,hd,False,True,1420993,27173.0,3110
