video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
pVPSDE95dto,BH,2025-12-20 02:20:20.732613+00:00,2025-12-18 20:41:56+00:00,تَكبير المَسَاجِد | الحاج باسم الكربلائي,تَكبير المَسَاجِد | الحاج باسم الكربلائي,Basim Karbalaei / باسم الكربلائي,UCLlMiPx_v5jFahvImDu_EFQ,10,Music,"تَكبير المَسَاجِد, باسم الكربلائي, Basim Karbalaei, عاشوراء 2025, محرم 1447, محرم 2025, عاشوراء الحسين, ashoura, muharram, لطميات محرم, محرم الحرام, عاشوراء 1447, ندب, shia, شور, لطميات, رادود, hussein, iraq, المشايه, موكب, ندبيات, حسين, عاشوراء, ashura, عزاء, كربلاء, ندبية, مجلس, ملا, الإمام الحسين, imam, شيعه, محرم, مشايه, لطم, الاربعين, العراق, لطمية, بين الحرمين, الزيارة, هوسات, الامام, علي, فاطمة, زهراء, قصائد, قرايات, زينب, بيات ديجيتال, bayat digital",51,https://i.ytimg.com/vi/pVPSDE95dto/hqdefault.jpg,ar,ar,False,628,PT10M28S,hd,false,True,,,174850,21799,1746
u4it6ymhrLA,BH,2025-12-20 02:20:20.732652+00:00,2025-12-17 05:30:00+00:00,"Taskaree: The Smuggler’s Web | Official Teaser | Emraan Hashmi, Neeraj Pandey | Netflix India","Taskaree: The Smuggler’s Web | Official Teaser | Emraan Hashmi, Neeraj Pandey | Netflix India",Netflix India,UCZSNzBgFub_WWil6TOTYwAg,24,Entertainment,"Emraan Hashmi, Neeraj Pandey, Official Teaser, Taskaree, Taskaree: The Smuggler's Web, airport, baby, bts, coming soon, emraan hashmi movie, emraan hashmi new movie, emraan hashmi new song, emraan hashmi songs, hindi series, khakee, khakee series, movie, mumbai, neeraj pandey movie, neeraj pandey series, neeray pandey new series, new series, official trailer, smuggling, special 26, teaser, trailer, web series",28,https://i.ytimg.com/vi/u4it6ymhrLA/hqdefault.jpg,en,en-US,False,63,PT1M3S,hd,true,False,,,4823192,12221,509
QB3AgeswP5Y,BH,2025-12-20 02:20:20.732665+00:00,2025-12-19 18:15:04+00:00,ربلوكس فتحت بيت الستروبي ! Steal A Brainrot,ربلوكس فتحت بيت الستروبي ! Steal A Brainrot,اصحاب مازن,UCayyBWtI1PxJCtieqKUQZnA,20,Gaming,"roblox, روبلوكس, العاب, مشاهير روبلوكس, مازن روبلوكس, عائلة روبلوكس, سعدون روبلوكس, اصحاب مازن, مازن وسعدون, روبلوكس ماب السرقة, مازن ستيل برين روت, ستيل برين روت, Steal A Brainrot",13,https://i.ytimg.com/vi/QB3AgeswP5Y/hqdefault.jpg,ar,ar,False,1456,PT24M16S,hd,false,True,,,196906,15717,1380
ip8o5hDFLhI,BH,2025-12-20 02:20:20.732674+00:00,2025-12-18 13:00:03+00:00,Jana Nayagan – Oru Pere Varalaaru Lyrical | Thalapathy Vijay | H Vinoth |Anirudh |KVN |Vishal Mishra,Jana Nayagan – Oru Pere Varalaaru Lyrical | Thalapathy Vijay | H Vinoth |Anirudh |KVN |Vishal Mishra,T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"tseries, tseries songs, oru pere varalaaru song, thalapathy song, oru pere varalaaru thalapathy song, thalpathy new song, jana nayagan second single, oru pere full song, jana nayagan song, oru pere varalaaru lyric video, thalapathy vijay oru pere song, jana nayagan oru pere varalaaru, thalapathy vijay songs, oru pere varalaaru full song, thalapathy kacheri song, oru pere varalaru song, thalapathy vijay oru pere varalaru song, oru pere varalaru full song, thalapathy vijay song",19,https://i.ytimg.com/vi/ip8o5hDFLhI/hqdefault.jpg,en,hi,False,234,PT3M54S,hd,false,True,,,16474208,637151,32543
stlBfeheSr8,BH,2025-12-20 02:20:20.732683+00:00,2025-12-16 12:58:35+00:00,Vrusshabha Official Trailer (Malayalam) | Mohanlal | Naandda Kishore | 25th December 2025 Release,Vrusshabha Official Trailer (Malayalam) | Mohanlal | Naandda Kishore | 25th December 2025 Release,Aashirvad Cinemas,UC_J44kyEsEB8LPlhfm2Xb4g,1,Film & Animation,"Vrusshabha, Vrusshabha movie, vrusshabha movie trailer, vrushhabha mohanlal, vrusshabha mohanlal trailer, vrusshabha movie malayalam, vrusshabha movie mohanlal, vrusshabha movie trailer malayalam, vrusshabha movie mohanlal songs, vrusshabha trailer, mohanlal vrusshabha, mohanlal vrusshabha trailer, vrusshabha movie trailer Telugu, mohanlal. movies, mohanlal movie vrusshabha, vrusshabha movie songs, sam cs, Naandda Kishore, malayalam movies trailer, trailer vrusshabha",20,https://i.ytimg.com/vi/stlBfeheSr8/hqdefault.jpg,en,ml,False,108,PT1M48S,hd,true,True,,,877701,25990,2529
X9Zos9Fx_VI,BH,2025-12-20 02:20:20.732691+00:00,2025-12-17 08:00:44+00:00,Australia v England 2025-26 | Third #Ashes Test | Day One,Australia v England 2025-26 | Third #Ashes Test | Day One,cricket.com.au,UCkBY0aHJP9BwjZLDYxAQrKg,17,Sports,"cricket, cricket australia, cricket highlights, cricketcomau",4,https://i.ytimg.com/vi/X9Zos9Fx_VI/hqdefault.jpg,en,en-AU,False,492,PT8M12S,hd,false,True,,,3112184,48064,1011
apQ8yPGyUDg,BH,2025-12-20 02:20:20.732699+00:00,2025-12-15 15:30:06+00:00,SPARK x N8A x BADER AL HASAN - بحريني ( احتفالاً باليوم الوطني لمملكة البحرين 🇧🇭),SPARK x N8A x BADER AL HASAN - بحريني ( احتفالاً باليوم الوطني لمملكة البحرين 🇧🇭),Spark | سبارك,UCyb6qEPZIj8qLR0DFNWIcNg,10,Music,"اغاني وطنية, البحرين, مملكة البحرين, اليوم الوطني البحريني, بحريني, ياكم البحريني, احتفالات العيد الوطني, 16 ديسمبر, ابيض و حمر, بلد عزي ومجدي, اغنية وطنية, مملكه البحرين, Bahrain",13,https://i.ytimg.com/vi/apQ8yPGyUDg/hqdefault.jpg,ar,ar,False,127,PT2M7S,hd,false,True,,,9488,186,34
5V9gNyaKpxg,BH,2025-12-20 02:20:20.732707+00:00,2025-12-18 16:10:23+00:00,Champion Official TRAILER | Roshan | Anaswara Rajan | Pradeep | Mickey J Meyer | Dec 25th Release,Champion Official TRAILER | Roshan | Anaswara Rajan | Pradeep | Mickey J Meyer | Dec 25th Release,Vyjayanthi Network,UC70pKToywlxOGdgIvz8gYqA,1,Film & Animation,"Vyjayanthi Movies, Champion Movie, Roshan, Anaswara Rajan, Pradeep Advaitham, Champion Teaser, Champion Songs, Mickey J Meyer, Swapna Cinema, Roshan New Movie, Champion Trailer, Champion Videos, Champion official trailer, Champion movie trailer, Champion trailer Telugu, Champion Telugu movie, Champion latest trailer, Champion teaser, Champion movie update, Champion Telugu trailer 2025, Champion movie release date, Champion movie promo, ram charan champion",23,https://i.ytimg.com/vi/5V9gNyaKpxg/hqdefault.jpg,en,en-US,False,164,PT2M44S,hd,true,True,,,5969402,162889,2025
DTZt6N1AWXU,BH,2025-12-20 02:20:20.732715+00:00,2025-12-16 11:00:33+00:00,كافح المكافح ناويها نية ☠️🔥!!,كافح المكافح ناويها نية ☠️🔥!!,#بني_ دربحه,UC5V7CAGEEoUd_0JAmeYcmoA,22,People & Blogs,"#بني_دربحه, دربحه, كافح المكافح, جراند, جراند الحياة الواقعية, دربحه كافح, كافح, سيرفر جراند, ريسبكت, الحاكم, الحاكم دربحه, سلسله كافح المكافح, كافح بث مباشر, دربحه بث مباشر, سيرفر جراند الحياه الواقعية, جراند الحياة الواقعيه, بداية كافح, لعبة جراند, العاب, دربحه الحياة الواقعيه, سيرفر جراند دربحه, بث مباشر جراند, بث مباشر, بث جراند",24,https://i.ytimg.com/vi/DTZt6N1AWXU/hqdefault.jpg,ar,ar,False,5630,PT1H33M50S,hd,false,True,,,508061,39956,1342
2cF8x6Mhgj4,BH,2025-12-20 02:20:20.732743+00:00,2025-12-17 13:59:05+00:00,Sahana Sahana Song (Telugu) | The RajaSaab | Prabhas | Nidhhi Agerwal | Maruthi | Thaman S| Vishal M,Sahana Sahana Song (Telugu) | The RajaSaab | Prabhas | Nidhhi Agerwal | Maruthi | Thaman S| Vishal M,T-Series Telugu,UCnJjcn5FrgrOEp5_N45ZLEQ,10,Music,"Telugu Song, T-Series Telugu, Telugu Video Song, Telugu Hit song, Latest telugu Song 2025, telugu hit songs, telugu super hit songs, telugu songs, Latest Telugu Songs 2025, telugu melody songs, Telugu Hits, Sahana Sahana Video song, Sahana Sahana The Rajasaab, the Rajasaab New Song, Sahana Sahana Telugu New song, Sahana Sahana Latest Song, Sahana Sahana, Vishal Mishra Sahana Sahana, Thaman S Sahana Sahana, Sruthi Ranjani Sahana Sahana, Sahana Sahana Krishna Kanth",21,https://i.ytimg.com/vi/2cF8x6Mhgj4/hqdefault.jpg,en,te,False,154,PT2M34S,hd,false,True,,,9353924,184311,5763
