video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
tfiHm1cbxe4,2025-12-06 20:00:08+00:00,Priscila Senna e Pablo - Não Me Faça Chorar (PRISCILA SENNA 15 ANOS),Priscila Senna,Music,,222,hd,False,True,36014,2353,229
XzbWryxxn0c,2025-12-07 00:00:07+00:00,The Boys - Temporada Final Teaser Trailer | Prime Video,Prime Video Brasil,Film & Animation,"Antony Starr, Cameron Crovetti, Chace Crawford, Colby Minifie, Erin Moriarty, Jack Quaid, Jessie T. Usher, Karen Fukuhara, Laz Alonso, Susan Heyward, The Boys stars Karl Urban, Tomer Capone, Valorie Curry, and Jensen Ackles",110,hd,False,False,248058,29563,1622
kxSVHmI-ozs,2025-12-06 15:01:33+00:00,PARA ONDE VÃO OS CÃES DEPOIS QUE ELES MORREM? - My Little Puppy (JOGO COMPLETO),Jazzghost,Gaming,"jazzghost, jazz, My Little Puppy",13022,hd,False,True,843180,47395,4226
O95ZjVSTSvE,2025-12-06 12:00:50+00:00,NATANZINHO LIMA 2025 ( MÚSICA NOVAS ) CD NOVO - REPERTÓRIO ATUALIZADO,Música TopTop,Music,"natanzinho lima, natanzinho lima 2025, ao vivo natanzinho lima, arrocha natazinho lima, natanzinho lima ao vivo, natanzinho lima arrocha, natanzinho lima novo, natanzinho, natanzinho lima ao vivo 2025, natanzinho lima cd novo 2025, natanzinho lima cortando chão, natanzinho lima cortando o chão, natanzinho lima repertório novo, NATANZINHO LIMA - DE BAR EM BAR 8, DE BAR EM BAR 8, musica brasileira, natanzinho lima cd 2025, NATANZINHO LIMA DE BAR EM BAR 8",2521,hd,False,True,50939,335,5
-oB47qx8OzY,2025-12-07 00:13:00+00:00,THE BOYS Temporada 5 Trailer Dublado (2026),ONE Media Brasil,Film & Animation,"filmes, cinema, trailer, trailer brasileiro, brasil, dublado, 2026, The Boys, The Boys Temporada 5, The Boys temporada 5 Trailer, Homelander, Butcher, Final",130,hd,False,True,17547,1683,153
4vCLRgi4TYg,2025-12-06 22:04:34+00:00,Times Square de LED no Minecraft - Em busca da casa automática #393,viniccius13,Gaming,"minecraft, tutorial, repeater, repeaters, repetidor, repetidores, piston, pistons, pistao, pistoes, redstone, red, stone, pedra, vermelha, po, vermelho, stick, slime, viniccius13, vinicios13, vinicius13, viniccius, 13, vinicius, vinicios, pt-br, pt, br, brasil, brazil, em, busca, da, casa, automatica, 393, #393, ep393, times square, led",2358,hd,False,True,325692,73359,3114
0EIhpAV0KWA,2025-12-06 09:00:02+00:00,TOQUE DEZ ATUALIZADO (JANEIRO -2026) 🙈 SÓ AS TOPS SERESTA PESADA IN VAQUEJADA 🙈 MILSINHO TOQUE DEZ😍,Rhythm Realm,People & Blogs,"TOQUE DEZ 2025, TOQUE",2398,hd,False,True,87073,607,7
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,5285578,485249,27793
_1RLz1UxYHQ,2025-12-06 22:15:02+00:00,NOVO ELEFANTE NATALINO RARÍSSIMO NO BRAINROT! 🎄🐘,Canal Clash War,Gaming,,1019,hd,False,True,301266,7626,4917
WEDFxCRcSiA,2025-12-06 20:00:34+00:00,Dance se souber Tik Tok (2025) 💜,Dj Danny Albuquerque,Music,"brazil tiktok, músicas, música tiktok, dança se souber, dancinhas do tik tok, dance se souber tiktok, dance se souber, música de tik tok, dance souber, 2025, 2025 tiktok, 2025 musicas, tiktok 2025, dance se souber tiktok 2025, música, tik tok, tiktok, musicas, dance se souber 2025, música do tik tok, dance se souber sem palavrão, dance se souber tiktok 2024, dance se souber 2024, tiktok 2024, dj danny albuquerque dance se souber, dj danny albuquerque",512,hd,False,True,57389,459,22
c1N_pmO1VhA,2025-12-06 15:15:04+00:00,NOVO TRAILER The Amazing Digital Circus Episódio 7,Core,Entertainment,"noov, noav, nova, novos, novas, trail, traile, trilet, triler, amazi, amazin, amaze, amazig, digita, digite, digito, circo, circu, episodio, episode",860,hd,False,True,35604,5143,311
Swh_UWf9ilE,2025-12-06 13:01:04+00:00,Quão Grande Meu Brainrot Pode Ficar?,ProbIems,Gaming,"maniqueft, lego, problems, probrems, probres, pobrems, problemas, problema, pobrema, mainequeft, minecraft, video do problema, video do problems, video do pobrems, minecraft survival, minecraft mitos, minecraft fatos, problems roblox, roblox, pobrems roblox, pobris roblox, pobrema roblox, problema roblox",1622,hd,False,True,437914,8424,468
4lPMzCYgL4w,2025-12-06 08:51:18+00:00,"Top 50 Músicas Gospel Mais Tocadas,Top Gospel,Louvores de Adoração 2025, As Melhores Músicas Gospel",Nova Hinos Evangélicos,Music,"louvores de adoração, músicas gospel 2025, top gospel, músicas gospel mais tocadas, hinos evangélicos, louvores gospel, músicas cristãs, gospel 2025, Gospel Louvores De Adoração, As Melhores Músicas Gospel 2025, musicas gospel mais tocadas, melhores músicas gospel, As Melhores Músicas Gospel Mais Tocadas, Top 50 Louvores de Adoração 2025, Louvores de Adoração, Louvores Mais Tocadas, Louvores de Gratidão, Hinos 2025, Melhores Louvores 2025, musica gospel 2025, louvor",7461,hd,False,True,69228,663,21
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,2230963,179697,13130
iCGXJ19cCe8,2025-12-06 19:37:28+00:00,DESAFIEI O *LEOMAR PARA UM X1* NO CLASH ROYALE! ,KENNEDY CLASH,Gaming,"clash, clash royale, deck meta, kennedy clash, push top global, dicas clash royale, kccr17-vlrq, deck para subir troféus, melhor deck para rota das lendas, deck clash royale",4178,hd,False,True,220105,17235,1037
toj1a2at0Lo,2025-12-06 14:40:47+00:00,"NÓS TÁ VIVENDO TUDO QUE ERA DESEJO - MC Meno K, MC Ryan SP e MC Jacaré (DJ Japa NK e Davi Dog Dog)",START FUNK,Music,"start funk, start, funk, gr6, gr6 explode, love funk, melhores funk, funk 2025, funk 2026, funk lançamento, NÓS TÁ VIVENDO TUDO QUE ERA DESEJO - MC Meno K, MC Ryan SP e MC Jacaré (DJ Japa NK e Davi Dog Dog), nós ta vivendo tudo que eu desejo, mc meno k, mc ryan sp, mc jacaré, meno k, ryan sp, jacaré",159,hd,False,True,25293,261,3
