video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
GSOVhJikmzU,CA,2025-12-21 02:34:48.847662+00:00,2025-12-19 12:00:28+00:00,Christmas Songs Playlist 🎄 Top Christmas Songs of All Time 🎅 Best Christmas Music 2026,Christmas Songs Playlist 🎄 Top Christmas Songs of All Time 🎅 Best Christmas Music 2026,Christmas Songs and Carols - Love to Sing,UCn0JHLJWiO3_Y5xfNPcF_Ug,10,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",14,https://i.ytimg.com/vi/GSOVhJikmzU/hqdefault.jpg,en,en,False,7723,PT2H8M43S,hd,false,True,,,620148,2322,224
MPfZhgLiK6w,CA,2025-12-21 02:34:48.847709+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,false,True,,,2744061,186695,7367
YCgSikS3qoo,CA,2025-12-21 02:34:48.847723+00:00,2025-12-20 21:02:04+00:00,Steal a Brainrot UPDATE + New BRAINROTS!,Steal a Brainrot UPDATE + New BRAINROTS!,CaylusBlox,UCsPMNatXCwqyUuJilBT73jg,20,Gaming,"caylusblox, caylus roblox, caylus, roblox, Steal a brainrot update, ADMIN ABUSE In Steal a Brainrot!, Steal a Brainrot UPDATE + Admin Abuse, admin abuse, steal a brainrot, caylus admin abuse, steal a brainrot update, tung tung tung sahur, tung tung sahur steal a brainrot, santa fuse machine, caylus fuse machine, caylus steak, caylus steal a brainrot christmas, taco tuesday, caylus stream, radioactive base, north pole, steal a brainrot north pole, caylus steal a brainrot",23,https://i.ytimg.com/vi/YCgSikS3qoo/hqdefault.jpg,en-US,en-US,False,4679,PT1H17M59S,hd,false,True,,,2500759,37015,752
rvl_kIDHYsY,CA,2025-12-21 02:34:48.847734+00:00,2025-12-20 01:00:21+00:00,Rach - Dans mon Town (Clip Officiel),Rach - Dans mon Town (Clip Officiel),Rach,UCy9q1fZbGa9DxtsuThO4g5Q,10,Music,"rach, dans mon town, clip officiel, rap montreal, montreal rap",5,https://i.ytimg.com/vi/rvl_kIDHYsY/hqdefault.jpg,fr,fr-CA,False,134,PT2M14S,hd,false,True,,,13373,596,77
b51C8AbRDGU,CA,2025-12-21 02:34:48.847744+00:00,2025-12-19 23:05:00+00:00,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,Netflix Anime,UCBSs9x2KzSLhyyA9IKyt4YA,1,Film & Animation,jojo_anime,1,https://i.ytimg.com/vi/b51C8AbRDGU/hqdefault.jpg,en,en-US,False,130,PT2M10S,hd,false,False,,,1982017,203376,10471
7JOTUUStHeQ,CA,2025-12-21 02:34:48.847752+00:00,2025-12-20 14:26:51+00:00,Do NOT Draw This In Mario Odyssey... (SCARY),Do NOT Draw This In Mario Odyssey... (SCARY),Manx Ninja Pig,UCM5kG3cnvmN_dhDyGzBZueA,20,Gaming,,0,https://i.ytimg.com/vi/7JOTUUStHeQ/hqdefault.jpg,en,en,False,1166,PT19M26S,hd,false,True,,,948112,17348,645
Lyavw-UOjyw,CA,2025-12-21 02:34:48.847762+00:00,2025-12-20 05:59:56+00:00,KIRAT (OFFICIAL VIDEO) Gulab Sidhu | Gaiphy | Latest Punjabi Song 2025,KIRAT (OFFICIAL VIDEO) Gulab Sidhu | Gaiphy | Latest Punjabi Song 2025,Agaz Music,UCdGD5lN36Co-YuarkjfmOGg,10,Music,"Kirat, gulab sidhu, punjabi song, new punjabi song, latest punjabi song, chaar sahibzade, new song 2025, baaj media, gaiphy, waheguru ji, baba nanak, Punjabi gurbani song, gulab sidhu devotional",13,https://i.ytimg.com/vi/Lyavw-UOjyw/hqdefault.jpg,en,pa,False,201,PT3M21S,hd,false,True,,,307772,12173,200
4DWmifnIBBI,CA,2025-12-21 02:34:48.847771+00:00,2025-12-19 14:00:08+00:00,Stranger Things 5 | Volume 2 Final Trailer Concept | Netflix,Stranger Things 5 | Volume 2 Final Trailer Concept | Netflix,MovieTrailers Entertainment,UCO2EFMFF07y9BikFGKGIlkw,24,Entertainment,"Stranger things, Stranger things 5, Stranger things 5 trailer, Stranger things 5 final trailer, Stranger things vol 2 trailer, Sadie sink, Stranger things 5 scene, Stranger things 5 soundtrack, Stranger things 5 ending, Stranger things 5 Vecna scene, Stranger things 5 max scene, Stranger things 5 will powers, Stranger things season 5, Stranger things theories, Sadie sink spider man brand new day, Stranger things 5 trailer music, Stranger Things Vol 2 final trailer",17,https://i.ytimg.com/vi/4DWmifnIBBI/hqdefault.jpg,en-US,en,False,149,PT2M29S,hd,false,False,,,1616054,38928,1615
XXZCrUzMcP0,CA,2025-12-21 02:34:48.847779+00:00,2025-12-20 16:00:55+00:00,How I Accidentally Won a Pokemon Tournament,How I Accidentally Won a Pokemon Tournament,WolfeyVGC,UC9OZkS1Mhl5UvKSiPrYqsxg,20,Gaming,"Wolfey, Pokemon, VGC, Wolfe Glick, Competitive Pokemon, Pokemon VGC, pokemon nuzlocke, nuzlocke, ludwig, pokemon challenge, alpharad, wolfeyvgc, purplecliffe, pm7, pokemen7, mandjtv, shiny pokemon, pokemon scarlet, pokemon violet, scarlet, violet, scarlet and violet, Legends ZA, Pokemon Champions, Champions, Pokemon Legends, Pokemon Tournament, WolfeyVGC Pokemon Tournament, WOlfey tournament, wolfe glick tournament, wolfe glick pokemon tournament, grand challenge, wolfeyvgc grand challenge",33,https://i.ytimg.com/vi/XXZCrUzMcP0/hqdefault.jpg,en,en,False,9906,PT2H45M6S,hd,true,True,,,317028,18121,789
hbhAfcua6O4,CA,2025-12-21 02:34:48.847789+00:00,2025-12-20 17:01:13+00:00,Vybz Kartel - Victorious (Official Music Video),Vybz Kartel - Victorious (Official Music Video),VybzKartelVEVO,UCeRe0C1x1w8We6ghjVn4M5w,10,Music,"Vybz Kartel, popcaan, onerpm, dancehall, dancehall 2025, reggae, reggae 2025, dancehall trending, reggae trending, youtube trending, trending music 2025, 2025",12,https://i.ytimg.com/vi/hbhAfcua6O4/hqdefault.jpg,en,,False,179,PT2M59S,hd,false,True,,,101753,12362,1559
