video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
YFSN-NWFJrg,2025-12-01T16:00:06Z,Dafina Zeqiri - Dashnin E Vjeter,Dafina Zeqiri,10,Music,"Dafina Zeqiri, dafina zeqiri, Dashnin E Vjeter, Dafina Zeqiri Dashnin E Vjeter, Dafina Zeqiri - Dashnin E Vjeter, dafina zeqiri dashnin e vjeter, dashnin e vjeter, DAFINA ZEQIRI, dafina, zeqiri, prishtina, kosova, albania, duffye, hitet 2025",174,hd,false,True,1084812,9362,211
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,5285578,485236,27791
HLAn7r9tI1I,2025-12-06T09:51:28Z,CS 2 ВЫБИЛ 10 НОЖЕЙ🔴 FORCEDROP ПОДКРУТКА в CS2 - ОБНОВЛЕНИЕ КС 2 / CS 2,PREDATOR 2.0,20,Gaming,"forcedrop, cs 2, cs2, cs 2 кейсы, кейсы cs 2, cs 2 открытие кейсов, открываю кейсы cs 2, cs2 открыл кейсы, кейсы cs2, обновление кс 2, открытие кейсов cs 2, cs2 нож, открытие кейсов cs2, новый кейс cs 2, видео по cs2, cs2 видео, cs2 кейсы, открытие кейсов в cs 2, обновление cs2, лучшие кейсы cs 2, видео cs2, видео про cs2, cs 2 скины, новые скины cs2, паттерны cs2, скины cs2, cs 2 кейс, cs, cs go кейсы, редкие скины кс2, окуп кейсы кс го, бесплатные скины кс2",340,hd,false,False,10700,31,31
Y9AXKgqGwN4,2025-11-27T21:00:07Z,BLOK3 - KUSURA BAKMA (Official Music Video),Blok3,10,Music,"blok3, blok, hakan, aydın, blok3 kusura, blok3 bakma, blok3 kusura bakma, hako, blok kusura, blok bakma, blok kusura bakma, kusura bakma, kusura, bakma, Senden geçemiyorum ben hâlâ, özledim ama söyleyemiyorum, Her detayın aklımda, unutmam asla, Çok içtim önümü göremiyorum, Ama allah var seni çok özledim, Daha dur anlatma, doluyor gözlerim, Yalanım yok, yalanım yok, Sensiz beni bende sevmedim, ben hala, özledim, ama söyleyemiyorum, senden geçemiyorum, mundo, müzik",174,hd,false,False,19032608,379094,29136
sItUCKJQLTU,2025-12-04T20:53:14Z,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,24,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,true,True,7958294,64542,4192
L7ZYH5CSGFQ,2025-12-05T16:09:09Z,DIE STREAM AWARDS 2025! 🏆 (Hosted by Rewinside & Rezo),Reved,24,Entertainment,"Reved, Reaktion, Reagieren, lustig, reved reagiert, reved reaktion, reved twitch, toni, antonia, twitch, funny, witzig, streamawards, stream, rewind, compilation, best of, award, influenzer, show, rezo, noway, bastighg, duo, streamer duo, papaplatte, noty, zarbex, monte, montanablack, eli, eligella, sidney, nooreax, filow, rage moment, moments, lost, jump scare, musik, act, rekord, zuschauer, sub, live, 2025, rewinside, handofblood, charity, arda, fuxel, saatci, gronkh, nils, henry, comeback, clip des jahres, surreal, moment, sport",16333,hd,false,True,366741,25200,788
eXsNjK0Hops,2025-12-04T23:00:07Z,SadiQ x KC Rebell x Dú Maroc x Kolja Goldstein - Ombre Nomade [Sillage] #2,SEITENAUFNULL,10,Music,"sadiq, kc rebell, du maroc, kolja goldstein, ombre nomade",184,hd,false,True,179055,9037,529
Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,2086452,145947,8724
Ch_Z9avXLjA,2025-12-04T15:00:21Z,MEIN 1. SIEG ALS IMPOSTOR,LUCREW,24,Entertainment,"luca, laserluca, lucrew, concrafter, reaction, reaktion, reagiert, live",1232,hd,false,True,484808,23672,880
RriGSEs6w7A,2025-11-24T19:15:06Z,Fjolla Berisha ft. Shaqir Cërvadiku - A ndjeve për mue (Prod. UNiK Beatz),Shaqir Cërvadiku Official,10,Music,"baresh, baresha, bareshamusic, baresha music, baresha live, baresha party, baresha party live, shaqir, shaqir cervadiku, Shaqir Cervadiku, shaqircervadiku, hite, hitet 2025, hite popullore, hitet popullore, hite popullore 2025, hite folk, folklorike, hitet e reja, hite te reja, hitet shqip, hitet folklorike",146,hd,false,True,1268124,5413,112
