video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
YcBUfrOguRQ,2025-12-07 23:00:43+00:00,KAROL G - Ivonny Bonita (Official Video),KarolGVEVO,Music,"karol, karolg, bichota, si antes te hubiera conocido, sathc, latina foreva, latina forever, ivonny, bonita, la reina presenta, papasito, dile luna, cuando me muera te olvido, cmmto, coleccionando heridas, marco antonio solis, el buki, un gatito me llamo, amiga mia, bandida entrenada, ese hombre es malo, su boca la amo, verano rosa, feid, no puedo vivir sin el, tu perfume, fkn movie, mariah angeliq, se puso linda, viajando por el mundo, manu chao, tropicoqueta",231,hd,False,True,186761,31685,3323
ybWrgLrwBsw,2025-12-07 00:00:17+00:00,The Boys - Temporada Final Teaser Trailer | Prime Video,Prime Video Latinoamérica,Film & Animation,"Antony Starr, Cameron Crovetti, Chace Crawford, Colby Minifie, Erin Moriarty, Jack Quaid, Jessie T. Usher, Karen Fukuhara, Laz Alonso, Susan Heyward, The Boys stars Karl Urban, Tomer Capone, Valorie Curry, and Jensen Ackles",110,hd,True,False,179723,11743,797
t1oHJVjVcxc,2025-12-07 16:32:10+00:00,Sobreviví 25 Dias en ONEBLOCK... de Terror,Rubius Z,Gaming,"elrubius, rubius, serie, oneblock, terror, minecraft terror, mod, oneblock terror, oneblock minecraft, rubius oneblock, rubius serie, isla, skyblock, nuevo, minecraft, mods, one block, minecraft one block rubius, one-block, one block 3, herobrine, casa, isla minecraft, ep 3, rubius oneblock 3, isla terror, barcos, diamante, trampa, truco",1936,hd,False,True,804875,68212,1617
lbcrjIVonlA,2025-12-05 22:33:43+00:00,El Hijo de Tuta,Lisandro Meza - Topic,Music,"Lisandro Meza, El Embajador, El Hijo de Tuta",241,hd,False,True,23505,145,0
8cnxm6_G8D0,2025-12-07 00:10:49+00:00,THE BOYS Temporada 5 Tráiler Español Latino (2026),ONE Media Español,Film & Animation,"Tráiler, Película, Español, Latino, 2026, The Boys, The Boys temporada 5, The Boys temporada 5 Tráiler, Homelander, Butcher, Final",130,hd,False,True,264145,15511,1211
tz1R1uBEdEo,2025-12-07 14:01:34+00:00,Cada Día Este Un Chunk Se Expande ALEATORIO (100 Días),Carvs Español,Gaming,,4216,hd,False,True,329604,10287,295
GXuAAj1ZhVc,2025-12-07 17:00:25+00:00,"Ryan Castro ""Richy"" & SOG - MI FORTUNA (Letra)",LowDrow,Music,"ryan castro - mi fortuna letra, ryan castro mi fortuna (letra), mi fortuna letra, mi fortuna lyrics, mi fortuna ryan castro letra oficial, ryan castro letra oficial, ryan castro canciones 2025, reggaeton 2025, reggaeton romantico 2025, musica urbana 2025, pop latino 2025, mi fortuna subtitulos, mi fortuna sub español, mi fortuna video oficial, mi fortuna tik tok trend, tendencia 2025, ryan castro colombia, canción para dedicar, ryan castro hit 2025",158,hd,False,True,12087,156,3
e1aPolJj3jI,2025-12-06 21:35:10+00:00,"Increíble nueva escena de Capitán América y post créditos Endgame antes de Doomsday, Netflix Warner",Pelicomic,Entertainment,,974,hd,False,True,212925,11882,1040
jKHPuQffvCU,2025-12-07 16:27:33+00:00,Me Disfracé de CHICA para ROBAR los MEJORES BRAINROTS en Plantas vs Brainrots en Roblox!,Dagar Roblox,Gaming,"roblox, roblox dagar, roblox nacho, nacho y dagar, dagar y nacho",1089,hd,False,True,197923,4512,237
JXm4DbRyKhI,2025-12-04 18:48:39+00:00,Daniela,Rodolfo Aicardi - Topic,Music,"Rodolfo Aicardi, Los Hispanos, Manuel Arce Zurita, 14 Cañonazos Bailables, Vol. 19, Daniela",199,hd,False,True,48309,320,0
