video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
aYiVV0AevRw,2025-12-06 16:00:07+00:00,Youba Adjrad x Djalil Palermo – Welili وليلي (official music video 2025),Youba Adjrad,Music,"youba adjrad, youba, adjrad, algerie, alger, jdid, Cheb momo, momo, constantine, haro fina fi koul placa, raï, Housseyn benguerna, sentimental, Faycel sghir, ميمتي دعيلي وكثري, Cheb Lotfi, Yousri, Mandirch Niya, والله ماني مهني, Wellah Mani Mheni, Hichem Tgv, كابر ڤليل من بكري طافية, Rami Latinos, Malek Ya Zahri, Cheb Mirou, Cheb Mouiz, مغلبونيش بالذراع, Yacine Cristiano, محمد بن شنات نرهن عمري, Nerhan Omri, Mohamed Benchenet, Cheba Manel, Tchikou 22, welili, وليلي, Djalil Palermo",236,hd,False,True,30468,1645,93
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,2230963,179691,13129
yu5rmnAWaro,2025-12-06 17:26:41+00:00,الجزائر ضد البحرين | محاكاة كاملة لكأس العرب 2025 | eFootball PES 2021,Football Knights,Gaming,,8425,hd,False,True,138747,792,2
386n7ptd8sk,2025-12-06 15:00:06+00:00,Djamel Sghir 2025 | Slahi w Ana Charih - لي يتبع الجرة نقيسولو عضم يلها فيه | Avec Wissem El Benz,Djamel Sghir,Music,,257,hd,False,True,21090,822,72
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,2086452,145924,8722
FBOcQF6CVS4,2025-12-06 11:00:26+00:00,جارينا اعطتني هدايا جديدة !!,SA7RAWI,Gaming,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",745,hd,False,True,192602,16477,1540
4MehTsaY0sE,2025-12-04 23:02:12+00:00,Bik wala bla bik - Cheb Rami,Cheb Rami - Topic,Music,"Cheb Rami, Bik wala bla bik",262,hd,False,True,74002,645,0
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,5285578,485233,27790
iSgyKRq_aPw,2025-12-06 14:01:27+00:00,جربت فري فاير الجديدة !!,SA7RAWI Gaming,Gaming,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",613,hd,False,True,102011,8544,542
k_IN-MQDLGs,2025-12-05 17:00:08+00:00,Prince Polo - Dreri ( Official Music Video),Prince Polo,Music,,184,hd,False,True,39083,3656,290
