video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
bB2tiWfuQts,EC,2025-12-18 02:24:41.333880+00:00,2025-12-16 05:00:45+00:00,Xtreme - Te Extraño (Visualizer/Bachata Version),Xtreme - Te Extraño (Visualizer/Bachata Version),XtremeVEVO,UCoejRfjEZBCp6otmjoFZdCw,10,Music,"Xtreme, Machete Music, Latin",3,https://i.ytimg.com/vi/bB2tiWfuQts/hqdefault.jpg,es,es,False,213,PT3M33S,hd,false,True,,,60928,239,5
AcT0s1jOmwE,EC,2025-12-18 02:24:41.333920+00:00,2025-12-17 03:38:27+00:00,Oficial SE FILTRÓ trailer Spider Man Brand New Day y segundo trailer Thor Avengers Doomsday,Oficial SE FILTRÓ trailer Spider Man Brand New Day y segundo trailer Thor Avengers Doomsday,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/AcT0s1jOmwE/hqdefault.jpg,es,es-419,False,863,PT14M23S,hd,false,True,,,222451,13269,784
rdHagORPzCQ,EC,2025-12-18 02:24:41.333932+00:00,2025-12-16 20:45:42+00:00,Sobreviví +300 DÍAS usando una BASE ESTUPIDA en 99 NOCHES en el BOSQUE ROBLOX,Sobreviví +300 DÍAS usando una BASE ESTUPIDA en 99 NOCHES en el BOSQUE ROBLOX,SoyPato,UCFP33-zlNfJVzWUUbdhSjTQ,20,Gaming,"roblox, roblox español, roblox divertido, roblox fyp, roblox humor, roblox momentos divertidos, roblox roblox, roblox funny, roblox 99 noches en el bosque, 99 noches en el bosque, sobrevive 99 dias en el bosque, 99 noches en el bosque roblox, soypato, soypato 99 noches, creador de 99 noches, rompi 99 noches, 99 noches baston de caramelo, 99 noches dulce, 99 noches base de baston de caramelo, 99 noches base de dulce, 99 noches en el bosque baston de caramelo",21,https://i.ytimg.com/vi/rdHagORPzCQ/hqdefault.jpg,es,es,False,1178,PT19M38S,hd,false,True,,,620710,6865,2192
6DSIhiTLJFk,EC,2025-12-18 02:24:41.333953+00:00,2025-12-15 17:00:15+00:00,Jesse & Joy - Dueles (Letra/Lyrics),Jesse & Joy - Dueles (Letra/Lyrics),Love Trip,UCedwIM6dmZy-f90HTzE1P-g,22,People & Blogs,"LoveTrip, Video Lyric, Video Music, Video Letra, Sub Español, Video Sub Español, Video, Musica, Love, Trip, Amor, Desamor, Lyric, Music, Letra",15,https://i.ytimg.com/vi/6DSIhiTLJFk/hqdefault.jpg,es,es,False,247,PT4M7S,hd,false,True,,,266180,357,5
tGLz5M0uhFs,EC,2025-12-18 02:24:41.333963+00:00,2025-12-16 16:30:17+00:00,Avengers: Doomsday - First Trailer (2026) Marvel Studios,Avengers: Doomsday - First Trailer (2026) Marvel Studios,Teaser Universe,UCa2MXjBtWn91WPHWRBCLI6Q,1,Film & Animation,"avengers doomsday, doomsday trailer, avengers doomsday trailer chris evans, avengers doomsday robert downey jr, avengers doomsday leaks, avengers doomsday trailer, avengers doomsday 2026 trailer, tobey maguire doomsday trailer, doomsday trailer leak, avengers doomsday official trailer, avengers doomsday trailer official, robert downey jr dr doom trailer, avengers doomsday tobey maguire, trailers, avengers doomsday new trailer, avengers doomsday cast, avengers doomsday cast reveal",17,https://i.ytimg.com/vi/tGLz5M0uhFs/hqdefault.jpg,en,en,False,70,PT1M10S,hd,false,True,,,1544039,15610,907
fMD9CMIhz9M,EC,2025-12-18 02:24:41.333973+00:00,2025-12-16 20:17:57+00:00,Me Escondí 100 Horas en la Casa de Mi Enamorada en Minecraft!,Me Escondí 100 Horas en la Casa de Mi Enamorada en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,20,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",7,https://i.ytimg.com/vi/fMD9CMIhz9M/hqdefault.jpg,es,es-ES,False,1530,PT25M30S,hd,false,True,,,679082,9193,589
ZAHKGW7MmoY,EC,2025-12-18 02:24:41.334232+00:00,2025-12-16 13:30:06+00:00,Romeo Santos - Solo Conmigo (Letra),Romeo Santos - Solo Conmigo (Letra),Tropicalízate,UCgVlte3RIwLsBlXukDv9p1Q,22,People & Blogs,,0,https://i.ytimg.com/vi/ZAHKGW7MmoY/hqdefault.jpg,es,es,False,256,PT4M16S,hd,false,True,,,67880,126,1
xgCxY0qWRC4,EC,2025-12-18 02:24:41.334241+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Tráiler del volumen 2 | Netflix,Stranger Things 5 | Tráiler del volumen 2 | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Hop, Jamie Campbell Bower, Jim Hopper, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Once, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things, Stranger Things 5, Will Byers, Winona Ryder, volumen 2",31,https://i.ytimg.com/vi/xgCxY0qWRC4/hqdefault.jpg,es,en-US,False,136,PT2M16S,hd,false,False,,,1598658,49747,1885
MbTBglPhBY4,EC,2025-12-18 02:24:41.334250+00:00,2025-12-16 20:07:35+00:00,ESCAPAMOS de la TORRE TROLL del TSUNAMI con MANDARINA en ROBLOX!,ESCAPAMOS de la TORRE TROLL del TSUNAMI con MANDARINA en ROBLOX!,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/MbTBglPhBY4/hqdefault.jpg,es-419,es-419,False,1030,PT17M10S,hd,false,True,,,513002,6274,425
zH41Pif9P1s,EC,2025-12-18 02:24:41.334258+00:00,2025-12-16 05:01:15+00:00,Wisin & Yandel - Porqué Me Tratas Así? (Visualizer),Wisin & Yandel - Porqué Me Tratas Así? (Visualizer),WisinYYandelVEVO,UCPypl5EbwJfZzDOT_Ln-_QA,10,Music,"Wisin Yandel, Machete Music, Reggaeton",3,https://i.ytimg.com/vi/zH41Pif9P1s/hqdefault.jpg,es,es,False,244,PT4M4S,hd,false,True,,,292387,1874,55
