video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
pL3nCrhqE4I,2025-12-07 16:00:07+00:00,كوكب اللي بلا مبداء ( 100 مساء يابا عليكو ) عصام صاصا الكروان - توزيع خالد لولو Official Video,عصام صاصا - Essam Saasa,Music,,189,hd,False,True,110966,8376,832
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254045,13797
cgwu4nI2BiU,2025-12-07 16:00:55+00:00,بولتكساية في نهائي السوبر الأوروبي | الطريق الى الكرة الذهبية,3li Boltx,Gaming,"boltx, بولتكس, 3li boltx, فيفا بولتكس, boltx فيفا, بولتكس تحدي فيفا, تحديات فيفا بولتكس, مهنة لاعب fc 26, الطريق الى الكره الذهبيه, fc26 review, fc26, بولتكس الكره الذهبيه, ballon d'or, boltx ballon d'or, road to ballon d'or, بولتكس كارير مود, بولتكس مهنة لاعب, كارير مود بولتكس, Fc26 boltx, boltx Fc26, فيفا 26 بولتكس, 3liboltx fc26, الطريق الي الكره الذهبيه بولتكس, بولتكس يلعب كرة قدم, بولتكس هداف الدوري, بولتكسايه, بولتكس الي الكره الذهبيه, البولتكساوي, بولتكس ضد ريال مدريد",1411,hd,False,True,128675,17064,762
7wIorD1jbS8,2025-12-06 17:00:07+00:00,Ali Loka Ft El Haga Nabila -  Dar Ya Dar / على لوكا و الحاجه نبيله - دار يا دار ( VISUALIZER ),Ali Loka,Music,"Ali Loka, Matkhafesh Yamma, El Ein Fel Ein, Ahkelak, علي لوكا, متخافيش ياما, احكيلك, العين في العين, New Hits, New Trend, New Music, Trend Music, ولا فارقه معايا الناس, كله جاي علي ظبط الظبط, كله جلي اسف, قولوا للي ساب, حبه فوق, يا دنيا دواره, الحاجه نبيله, بلبل الشرقيه, الباميه شوكتني, احطك في عيني يا حبيب, يا ولا, هات ايديك يا ولا, ويجز, بابلو, ليجيسي, عمرو دياب, بابا, ديستينك, ياما, دار يا دار, بهدلنا الزين بجماله, الايام, محمد منير, كلام فرسان",207,hd,False,True,46144,2209,193
DAv0_KNDsFU,2025-12-07 20:41:10+00:00,تحليل اعلان الموسم الخامس من مسلسل The Boys 😮🔥,Farouk Tv,Entertainment,"تحليل اعلان الموسم الخامس من مسلسل The Boys, تحليل اعلان الموسم الاخير من The Boys, رد فعل اعلان الموسم الخامس من The Boys, The Boys Season 5 Teaser Trailer Breakdown, نظريات الموسم الاخير من مسلسل The Boys, نظريات الموسم الخامس من مسلسل ذا بويز, هوم لاندر ضد ذا بويز, Homelander vs The Boys, The Boys, The Boys Season 5, The Boys Season 5 Teaser Trailer, اعلان مسلسل The Boys, Homelander, هوم لاندر, ذا بويز, هوملاندر, Farouk Tv",656,hd,False,True,13754,1684,114
CKleKAsQ0i0,2025-12-07 15:45:03+00:00,الجار النفسية اتحول لفريدي التيربوو!! 😭 Hello Neighbor: FREDBEAR,LeOniDeS - مروان ريحان,Gaming,"الجار النفسية فريدي, مود فريدي الجار النفسية, مود فريدي في الجار النفسيه, رعب, العاب رعب, الجار النفسية, Hello Neighbor: FREDBEAR, لعبة رعب, العاب رعب مش رعب, تختيم فريدي, تختيم الجار النفسية, مروان ريحان, ليونايدس, العاب ديب ويب مروان ريحان, مروان ريحان العاب رعب, العاب رعب pc, العاب رعب ديب ويب, الجار النفسيه مود فريدي, Marwan Rehan, LeOniDeS, العاب رعب اون لاين, العاب رعب جديدة",1426,hd,False,True,72127,7133,473
1ByFOqk4b3g,2025-12-07 16:00:07+00:00,Mesh Hashoufik - Moustafa Amar |مش هاشوفك - مصطفي قمر,Mostafa Amar - مصطفى قمر,Music,"عصام, صاصا, مصطفي, قمر, جديد, اللي, كبرنا, كبرناه, 25, البوم, moustafa, mostafa, amar, kamar, qamar, مصطفى قمر, مصطفي قمر اللي كبرناه, اللي كبرناه, اغاني مصطفى قمر, اغاني رومانسية, Elly Kabbarnah, Moustafa Amar new song, Arabic songs 2025, Arabic hits, مصطفى قمر الجديد, ترند, أغنية, الهويس, الدفاتر, فاتح, طيبتي, شروطه, تهيص, اختلفنا فرقنا افترقنا, كريم محسن وفريد, إترحمت من أذاك, أحمد سعد, طبلولي, محمود, الليثي, كيمو, الديب, ظاظا, رامي, جمال, بهاء, سلطان, حمزة, نمرة, مها, فتوني, أحمد, احمد, كامل, عمر, كمال, مسلم",294,hd,False,True,26806,2118,376
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,2698345,197367,14421
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,False,True,1031098,25571,2753
47oVgrgjfn8,2025-12-04 16:08:13+00:00,الشماتين مستنين على نار,دنيا الالفي - Topic,Music,"دنيا الالفي, محمد حريقة, حوده ابو حلوه, الشماتين مستنين على نار",190,hd,False,True,10654,172,0
