video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
imfr5Px5D54,ES,2025-12-28 02:41:54.794400+00:00,2025-12-27 00:00:54+00:00,J BALVIN || BZRP Music Sessions #62/66,J BALVIN || BZRP Music Sessions #62/66,Bizarrap,UCmS75G-98QihSusY7NfCZtw,24,Entertainment,"bizarrap, biza, bisa, bizzarrap, bzrp, bzrp music sessions, trap, musica latina, argentina, méxico, españa, hip hop, rap, biza session, reggaeton, music session, USA, latin music, el biza, gonzalo, bizarraaap, 66, 62, j balcin, jbalvin, balvin, la que me olvido, lego, for fun, pa divertirme, residente, colombia, bad bunny balvin, el biza la soltó, España, puerto rico, J BALVIN || BZRP Music Sessions #62/66, la 62 de biza, vallenato, jose balvin",40,https://i.ytimg.com/vi/imfr5Px5D54/hqdefault.jpg,es,es,False,197,PT3M17S,hd,true,True,,,3440249,354646,27934
15KK0jSfDgE,ES,2025-12-28 02:41:54.794433+00:00,2025-12-25 17:30:03+00:00,Bridgerton: Temporada 4 | Tráiler oficial | Netflix,Bridgerton: Temporada 4 | Tráiler oficial | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Adjoa Andoh, Anthony, Benedict, Benophie, Bridgerton, Bridgerton Temporada 4, Bridgerton tráiler, Claudia Jessie, Colin, Drama de Netflix, Eloise, Fantasía, Francesca, Golda Rosheuvel, Hannah Dodd, Jonathan Bailey, Julia Quinn, Julie Andrews, Luke Newton, Luke Thompson, Michaela, Netflix, Nicola Coughlan, Penelope, Polin, Regencia, Romance, Ruth Gemmell, Serie de Netflix, Shondaland, Simone Ashley, Sophie, Yerin Ha, tráiler oficial",34,https://i.ytimg.com/vi/15KK0jSfDgE/hqdefault.jpg,es,en-US,False,153,PT2M33S,hd,false,False,,,402575,7765,265
yQFfrT38kNI,ES,2025-12-28 02:41:54.794445+00:00,2025-12-27 17:21:02+00:00,"Le RESTAURÉ un Coche a TORETTO (Car Dealer Simulator, Ep. 2)","Le RESTAURÉ un Coche a TORETTO (Car Dealer Simulator, Ep. 2)",Rubius Z,UCcjIvuxmWlS5IEQ0JdPV4Ng,20,Gaming,"elrubius, rubius, Car Dealer Simulator, teclados, KAT2BOARD, simulador, dealer, car dealer, concesionaria, autos, reparacion, compra venta, clientes, repara, coches, limpieza, gameplay, 2025, cardealersimulator, gestión de negocios, negocio, rubius car dealer, toretto, fast and furious, rapido, furioso, calvo, familia",28,https://i.ytimg.com/vi/yQFfrT38kNI/hqdefault.jpg,es,es,False,1987,PT33M7S,hd,false,True,,,551054,41189,697
sXG7EaCyBRY,ES,2025-12-28 02:41:54.794454+00:00,2025-12-25 21:20:05+00:00,KRIS R - EL TESTIGO 🎄 (RIP PIRLO),KRIS R - EL TESTIGO 🎄 (RIP PIRLO),Kris R.,UCRfKDfw9XjSLHTBd8hokHig,10,Music,"kris r, el testigo, tiradera pirlo, pirlo, tiradera, la k, tiradera kris r, rip reboll, kris r., trap, colombia, latin trap, latin trap 2020, trap latino 2020, anuel, akapellah, acapela, reboll333, esteban rojas, cali cartel, los rogelios, dfzm, mi burrito sabanero, el exorcista, rip pirlo, trap de medallo, Que rico CB, Citriem",28,https://i.ytimg.com/vi/sXG7EaCyBRY/hqdefault.jpg,es,es-419,False,539,PT8M59S,hd,false,True,,,2222755,163756,25426
EMWOpTjDzIU,ES,2025-12-28 02:41:54.794462+00:00,2025-12-26 20:56:58+00:00,Tráiler La Reina del Flow 3: ¿Qué pasará con la familia Cruz Montoya?,Tráiler La Reina del Flow 3: ¿Qué pasará con la familia Cruz Montoya?,Caracol Televisión,UCcpE1fmG2qBZatj28bak2ng,24,Entertainment,"Caracol Tv, Caracol Televisión, Caracol en vivo, Programas Caracol, caracol televisión, caracol tv, La Reina del Flow 3, Tráiler de La Reina del Flow 3",8,https://i.ytimg.com/vi/EMWOpTjDzIU/hqdefault.jpg,es-419,es-US,False,61,PT1M1S,hd,false,True,,,28125,754,65
8pxF9QxcXhQ,ES,2025-12-28 02:41:54.794470+00:00,2025-12-27 14:55:00+00:00,TV ROYALE | New Heroes: Wizard & Ice Golem!,TV ROYALE | New Heroes: Wizard & Ice Golem!,Clash Royale,UC_F8DoJf9MZogEOU51TpTbQ,20,Gaming,"Clash Royale, Clash Royale Game, Supercell, Supercell Game, Clash Royale Supercell, Mobile Game",6,https://i.ytimg.com/vi/8pxF9QxcXhQ/hqdefault.jpg,en,en,False,148,PT2M28S,hd,true,True,,,2350343,73297,6314
18KMMy0f9uU,ES,2025-12-28 02:41:54.794478+00:00,2025-12-27 00:00:03+00:00,TATE QUIETA (RMX),TATE QUIETA (RMX),ROA - Topic,UCtMq8y-Ur81JEAaL3Q2_OEw,10,Music,"ROA, CDobleta, Midnvght, TuTu, Luar La L, Almighty, Private Suite, TATE QUIETA",8,https://i.ytimg.com/vi/18KMMy0f9uU/hqdefault.jpg,fi,es,False,480,PT8M,hd,false,True,,,331855,27069,1935
HPXws9donAM,ES,2025-12-28 02:41:54.794486+00:00,2025-12-27 17:00:34+00:00,TERCER trailer Avengers Doomsday con X MEN! Doctor Doom cambiado por 4 Fantásticos y más,TERCER trailer Avengers Doomsday con X MEN! Doctor Doom cambiado por 4 Fantásticos y más,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/HPXws9donAM/hqdefault.jpg,es,es-419,False,902,PT15M2S,hd,false,True,,,190898,11803,518
6a83opwBzEI,ES,2025-12-28 02:41:54.794493+00:00,2025-12-27 15:57:26+00:00,Pokémon Super P Ep.6 - EL POKÉMON QUE LO CAMBIA TODO,Pokémon Super P Ep.6 - EL POKÉMON QUE LO CAMBIA TODO,Folagor03,UCYcdw2wL6W6iGBKZgGK_Hjw,20,Gaming,"fola, folagor, folagor03",3,https://i.ytimg.com/vi/6a83opwBzEI/hqdefault.jpg,es,es,False,3342,PT55M42S,hd,false,True,,,102610,16951,1535
GI4_G3V458Q,ES,2025-12-28 02:41:54.794501+00:00,2025-12-24 01:27:58+00:00,Las 50 Mejores Villancicos Navideños 🎄 Música Navideña Clásica 🎅🏻 Feliz Navidad 2025,Las 50 Mejores Villancicos Navideños 🎄 Música Navideña Clásica 🎅🏻 Feliz Navidad 2025,Christmas Music Fireplace,UC29QZcKH_z9oYyNlAeXhSxQ,10,Music,"villancicos navideños, villancicos de navidad, musica de navidad, musica navideña, canciones de navidad, canciones navideñas, villancicos clasicos, musica navideña clasica, feliz navidad, navidad en español, villancicos tradicionales, exitos navideños, playlist navidad, musica para navidad, canciones de navidad en español, villancicos populares, musica de navidad clasica, navidad canciones, nochebuena musica, musica para nochebuena, musica navideña 2025, villancicos 2025",22,https://i.ytimg.com/vi/GI4_G3V458Q/hqdefault.jpg,es,en,False,7656,PT2H7M36S,hd,false,True,,,2406128,5555,189
