video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
LrabOJbMLy8,2025-12-05 14:18:29+00:00,[ 恆星不忘 ✦ Forever Forever ]  周杰倫Jay ╳ 言承旭Jerry ╳ 吳建豪VanNess ╳ 周渝民Vic  ╳ 五月天阿信 Ashin｜Music Video,相信音樂BinMusic,Music,,300,hd,False,True,9343855,44279.0,8781
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254060.0,13797
SIGYmKD4YvQ,2025-12-04 18:33:37+00:00,[JFFLIVE]多人線上桌遊 雞癮發作(一吃雞即收台),JFFLive,Entertainment,,15029,hd,False,False,112599,1336.0,27
tRc_oW2CW1Q,2025-12-02 13:00:06+00:00,《我碧嬌傲》晴天林｜黃碧嬌報案查「現屆法團」瀆職（原曲：我的驕傲 - 容祖兒）,晴天林 SunnyLam,Music,晴天林,195,hd,False,True,251931,14678.0,748
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,6101816,523787.0,29609
FduAQQyaa0A,2025-12-07 15:22:12+00:00,AIC 2025 準決暨冠軍賽－2025/12/07《Garena傳說對決》,Garena 傳說對決,Gaming,,40255,hd,False,False,866094,4261.0,549
jteOH600zpI,2025-11-25 13:00:07+00:00,Anson Lo 盧瀚霆 《Gimme Gimme》Official Music Video,MIRROR,Music,"MIRROR, MIRRORweare",243,hd,True,True,867916,11125.0,2120
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,2698345,197377.0,14421
Jg38q9VsOIk,2025-12-05 10:00:36+00:00,我變成蜘蛛了！還跟朋友黏在一起😭挑戰全破超難的雙人跑酷?! (鴕鳥課金最多的一集💀 挑戰500公尺)【Roblox Webbed - 有感筆電】,有感筆電 Daptoper,Gaming,"roblox, 迷因, 梗圖, 迷因梗圖, 有感筆電, daptoper, game, 遊戲, 機械方塊, 罗布乐思, meme, funny, 機器磚塊, 以下單純試圖找到YouTube流量密碼, 生存遊戲, 恐怖遊戲, 搞笑遊戲, 進化, Minecraft, 冒險, 生存, 死亡, 熱門, 好看, 有趣, 奇怪, 小遊戲, 小品遊戲, 網頁遊戲, 等級1, 等級99, 神級, 成長遊戲, 養成遊戲, 奇怪地圖, 惡搞地圖, 整人地圖, 逃離, 怪人, 成長, 脫逃成功, 逃脫地圖, 殺人, 逃脫, 逃出, 跑酷, 嚇人, 整人遊戲, 糞GAME, 怪物, 奇怪遊戲, 奇怪的遊戲, 怪誕, 養成型遊戲, 爆笑, 搞笑, 搞笑地圖, 恐怖地圖, 爆笑遊戲, 生存地圖, 可怕的頭, 挑戰系列, ROBLOX 有感筆電, Roblox Daptoper, 死亡遊戲, roblox roleplay, roblox funny moments, roblox doors, OP, 最強武器, blox fruits, 娛樂, 手遊, 恐怖, 手機遊戲, 新遊戲, 精華, 遊戲推薦, 電玩, 免費, 實況, 怪談, 台灣, 閲覧注意",1543,hd,False,True,267058,8306.0,702
UqulVAukVBw,2025-12-04 05:04:56+00:00,我的支持型伴侶,Anson Lo 盧瀚霆 - Topic,Music,"Anson Lo 盧瀚霆, Kingdom, 我的支持型伴侶",222,hd,False,True,29419,1562.0,285
aNDfYPnF6A8,2025-12-07 15:00:01+00:00,EXO 엑소 'REVERXE' Trailer,EXO,Music,"EXO, 엑소, we are oneEXO, EXO-K, EXO-M, 엑소케이, 엑소엠, SUHO, LAY, CHANYEOL, D.O., KAI, SEHUN, 수호, 레이, 찬열, 디오, 카이, 세훈, REVERXE, 리버스, 8th album, 8집, comeback, 컴백, trailer, 트레일러",213,hd,True,True,194027,54357.0,8074
mRG9ogv_6_Y,2025-12-04 03:45:04+00:00,[JFFLIVE 直播精華] 床隊長帶隊PUBG連吃兩雞｜隊員0服從隊長命令瘋狂駁嘴｜小K姐姐一場TK隊友3次,米走雞,People & Blogs,,869,hd,True,True,42751,550.0,20
cqHpwbCtUNg,2025-11-25 12:00:07+00:00,張與辰 - Novara Official Music Video 4K,TVB Music Group,Music,,243,hd,False,True,337972,2729.0,5529
-XCc_MYEgd8,2025-12-05 10:30:01+00:00,【閒君】大雄的「新海底鬼岩城」出了新預告，來看一下他改了多少東西吧,閒君,People & Blogs,,671,hd,True,True,42481,1040.0,222
gJxrVxuC4DI,2025-12-07 08:19:22+00:00,【99%玩到崩潰🤯】地獄級困難「按同意」遊戲正式版😫彈珠機、西瓜遊戲都有？利用規約に同意したい,笑波子,Gaming,"笑波子, 波子, hk, vlog, 熱門, boris, smilingboris",1026,hd,False,True,22109,762.0,28
yAXnEHFKKaY,2025-12-05 15:00:06+00:00,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,BABYMONSTER,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",206,hd,False,True,11649142,253597.0,9395
pSuB6t30jNA,2025-12-04 00:00:01+00:00,《巨洪》| 正式預告 | Netflix,Netflix Taiwan,Entertainment,"12月新作, 12月新片, Netflix, Netflix 電影, TheGreatFlood, 動作, 天災, 導演金秉佑, 巨洪, 強檔, 朴海秀, 災害, 災難, 科幻, 金多美, 鉅片, 넷플릭스, 대홍수",126,hd,False,False,133170,1104.0,113
S-LMSpzlnc0,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,False,True,2551002,66133.0,6207
xGhaNqnjgr4,2025-12-01 09:00:14+00:00,TAEYEON 태연 '인사 (Panorama)' MV,SMTOWN,Music,"taeyeon, letter to myself, mv, girls' generation, 태연, music video, 뮤비, 뮤직 비디오, 소녀시대, 티저, teaser, Panorama, 인사, Panorama : The Best of TAEYEON, 파노라마, 더 베스트 오브 태연",192,hd,True,True,1006636,69781.0,3868
7K3sNRm8J0w,2025-12-03 13:59:16+00:00,READY OR NOT 2: HERE I COME | Official Trailer | Searchlight Pictures,SearchlightPictures,Film & Animation,,140,hd,True,True,3075543,62146.0,3768
KgsTBDRttPg,2025-12-06 14:00:39+00:00,I Got Hunted By the Minecraft LAW,Wemmbu,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,False,True,3568793,187710.0,18995
gvWeo1yKoa8,2025-12-05 13:00:07+00:00,DOMOTO - 愛のかたまり / THE FIRST TAKE,THE FIRST TAKE,Music,"the first take, firsttake, ファーストテイク, ふぁーすとていく, 一発撮り, TFT, 音楽, 音楽番組, DOMOTO, 愛のかたまり, AI NO KATAMARI, Kinki Kids, キンキキッズ",316,hd,True,True,2203856,134947.0,4948
XQ5nlO_TCck,2025-12-06 12:20:59+00:00,POPPY PLAYTIME CHAPTER 5 TRAILER,KreekCraft,Gaming,,361,hd,False,True,300810,5109.0,171
JGK2sXFR7mc,2025-12-05 10:30:23+00:00,這款合作遊戲破壞了我們的友誼..別再害我了！朱玉恩、錫蘭！🤬 @nerdzun @xilanceylan,火火放,Entertainment,"放火, 尊, 錫蘭, 露營, RV There Yet?",2296,hd,False,True,184326,6561.0,190
HP8qpxRpIW8,2025-11-24 09:00:22+00:00,NOT CUTE ANYMORE,ILLIT - Topic,Music,"ILLIT, NOT CUTE ANYMORE",132,hd,False,True,4873786,88991.0,1304
zatTjHyb5X8,2025-12-06 10:19:41+00:00,【偷走腦腐】24小時只靠管理員機器能賺到1兆？免費秘密方塊和12倍幸運！【Steal a Brainrot】【Roblox】【機械方塊】,R子_第2頻道,Gaming,"R子, Steal a brainrot, 偷走一顆大腦紅, 偷走一顆腦腐, 偷走腦腐, 草莓大象, OG草莓大象, 腦腐神, 秘密, 黃金基地, 鑽石基地, 秘密腦腐, 馬桶縫合怪, 隱藏儀式, 儀式腦腐",834,hd,True,True,147091,1927.0,239
Y4bWk1T5Ei0,2025-11-17 09:03:53+00:00,ONE MORE TIME,ALLDAY PROJECT - Topic,Music,"ALLDAY PROJECT, Vince, TARZZAN, BAILEY, Jesse Bluu, KUSH, ONE MORE TIME",196,hd,False,True,3614198,34607.0,590
AN195Rfh0hI,2025-12-04 22:40:54+00:00,English Stream A | StarLadder Budapest Major 2025 - Stage 3 - Day 1,StarLadder CS2 LIVE,Gaming,"#CS2, #CounterStrike2, #CS #CounterStrike #Valve, #Esports, #Major2025, #Major, #CS2Major, #BudapestMajor2025, #BudapestMajor, #StarLadderMajor, #StarLadder, #StarLadderCS2LIVE, #StarLadderLIVE, #CS2Live, #LIVE #CS2Esports, #VIT, #TeamVitality, #TS, #TeamSpirit, #FLC, #TeamFalcons, #MOUZ, #G2, #G2Esports, #FUR, #FURIA, #paiN, #paiNGaming, #MGLZ, #TheMongolZ, #NAVI, #NatusVincere, #FaZe, #FaZeClan, #B8, #B8Esports, #IMP, #Imperial, #PUA, #PassionUA",38677,hd,False,False,1588637,13050.0,32
ODRqjBLzjEM,2025-12-01 09:01:54+00:00,인사 Panorama,TAEYEON - Topic,Music,"TAEYEON, Panorama : The Best of TAEYEON, 인사 Panorama",180,hd,False,True,1096435,12973.0,264
7vcM655FG1A,2025-12-06 04:00:06+00:00,12 月必玩遊戲大集合！一片睇曬私心推介遊戲作品！ - 遊戲 情報科 ( cc. 中文字幕 ) // OTOPATH TRAVERLER 0 // Metroid Prime 4: Beyond,希治閣【遊戲情報科】,Gaming,"遊戲, 遊戲新聞, 新game, 情報科, 希治閣, PS5, XS, XSX, XSS, XBOX, Switch, 新GAME, 介紹, 廣東話, 中文字幕, 遊戲三世書, 遊戲情報科, gamehub, 歷史, 恐怖遊戲, 獨立遊戲, 單機遊戲, ps5, xsx, 刺客, war thunder, 隻狼, 八卦, OTOPATH TRAVERLER 0, Metroid Prime 4: Beyond, ROUTINE, Marvel Cosmic Invasion, LET IT DIE INFERNO, Elden Ring Nightreign : Forsaken Hollows, 激奏！BAND STAR, 節奏醫生, Paralives, Code Violet",693,hd,True,True,26085,1237.0,50
ZgGi1zAF5Sc,2025-12-05 05:02:16+00:00,下次不如相信自己一次,COLLAR - Topic,Music,"COLLAR, 下次不如相信自己一次",230,hd,False,True,13870,770.0,58
sU4cSQFgMF8,2025-12-05 17:39:53+00:00,putting traps under people's homes,JudeLow,Gaming,"judelow base, judelow trap base, trapped base judelow, judelow living in the walls, living in the walls, living in players walls, living in minecraft players walls, judelow tai arrow cannon, tai arrow cannon, living in rust players walls, living under players floor, living under peoples base, living in peoples bases, judelow edit, judelow bases, judelow living in bases, rust living in bases, living inside their walls, judelow lives in walls, living under base, livinin wall",1137,hd,False,True,1536537,77239.0,5707
aLBo0oJqBXI,2025-12-02 15:00:07+00:00,ALPHA DRIVE ONE (알파드라이브원)  FORMULA PERFORMANCE VIDEO,ALPHA DRIVE ONE,People & Blogs,"알파드라이브원, 알디원, ALD1, ALPHADRIVEONE, 리오, 준서, 아르노, 건우, 상원, 씬롱, 안신, 상현, LEO, JUNSEO, ARNO, GEONWOO, SANGWON, XINLONG, ANXIN, SANGHYEON, FORMULA",207,hd,True,False,5247561,157886.0,31233
8KVJjxGQPkI,2025-12-07 09:00:16+00:00,2K史上最強一戰！面對宇宙雷霆變態陣容，我們打出了最完美的籃球！2K26零交易霸龍紀元王朝模式第八集,Junior杰青,Gaming,"NBA, NBA2K26, 粤语, 篮网, 篮网队, 布鲁克林篮网, 杜兰特, 哈登, 威少, 雷霆, 雷霆队, 俄克拉荷马雷霆, 詹姆斯, 库里, 王朝模式, MYNBA, 夏登, 韋少, 居里",1784,hd,False,True,13250,1475.0,72
x_RYZsOfpKY,2025-11-24 08:58:07+00:00,ILLIT (아일릿) 'NOT CUTE ANYMORE’ Official MV,HYBE LABELS,Music,"HYBE, HYBE LABELS, 하이브, 하이브레이블즈",147,hd,True,True,13416765,395472.0,20812
IMH6CW6-ly0,2025-12-06 03:30:15+00:00,Viper拯救LPL？BLG再成希望，AL重要核心离队，众多世界冠军休息【转会期第二期】,LOL丶诺诺,Gaming,"英雄联盟, LPL, Viper, LCK, BLG, TES, GEN, T1, WBG, AL",951,hd,False,True,83277,700.0,231
tmwpO_NwqoE,2025-11-20 10:03:03+00:00,Ten Thousand Miles,Juice Boy - Topic,Music,"Juice Boy, Ten Thousand Miles",254,hd,False,True,279016,1625.0,9
