video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
63tdWuk-zEM,2025-12-02 16:01:34+00:00,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic,Music,"bliznakinja, hajde, igracica, intervju, novo, otkad tebe znam, polako, song, svetica, tairovic, tea, tea tairovic, video",136,hd,False,True,1497800,11737,445
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254052,13797
YJSTO_cLW6Q,2025-12-01 17:14:24+00:00,EKSTREMNE ŽMURKE U 99 NOĆI,Novke,Comedy,"novke, novisha, novisa, novcic, aleksandar novcic, 24 sata, ymurke, skrivaci, smiga, smigicka, djape, novketova devojka, novketov brat, novke i smigicka, novke i smiga, smuga, nofke, nobke, caki, defko, novke majice, smiga majice",1311,hd,False,True,426599,10065,454
tZYCJxmnBB8,2025-11-29 14:00:07+00:00,Ellen - Božić nas zove (Official video),Ellen elita 🎤,Music,"ellen, ellita, zove me grad",123,hd,False,False,234301,9107,1306
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,6101816,523776,29607
EZgyXyAQA-o,2025-12-06 19:00:28+00:00,REŠAVAM NAJTEŽI KVIZ NA INTERNETU!,Dex Rock,Entertainment,DexRock,923,hd,False,True,114506,5700,445
gjBzwVgRlaY,2025-11-21 11:00:06+00:00,Jakov Jozinović - Polje ruža,Jakov Jozinovic,Music,poje ruza polje ruža jakov jozinovic jožinović,214,hd,False,False,668247,21157,689
FNiqgfyh02E,2025-12-03 17:00:33+00:00,Toni Gleda Stranger Things 5 Trailer (REAKCIJA),Baloni Toni,Entertainment,"Toni Baloni, Baloni Toni, Skolton, Toni Shortz, Tko je Baloni Toni? - PRVI VIDEO, Tier Lista - TRGOVINE, Tier Lista - PLAYSTATION 5 IGRICE, Tier Lista - PIĆA, Toni Gleda Svako Dobro 1 & 2 (REAKCIJA), Toni Gleda Squid Game 3 Trailer (REAKCIJA), Toni Baloni ROOM TOUR, Toni Gleda Wednesday 2 Trailer (REAKCIJA), Tier Lista - WEDNESDAY, Toni Baloni Pitanja & Odgovori (Q&A), Tier Lista - ŠKOLA, Toni BalonI Pitanja & Odgovori 2. DIO (Q&A), Toni Gleda Stranger Things 5 Trailer (REAKCIJA)",1371,hd,False,True,28594,1652,135
fab3_Hdpvew,2025-12-06 03:54:39+00:00,"DO VRHA, ALI SA KAJAKOM",Nugato,Gaming,"Nugato, baba, Balkan, GTA V, CSGO",29500,hd,False,True,140411,6870,21
BGePuoLrcjM,2025-11-27 11:00:28+00:00,Peki x Baks - Louvre (Official Video),yem,Music,,165,hd,False,True,113183,3844,161
IaEtA56pd_w,2025-12-05 20:48:18+00:00,Iron Lung: Final Trailer,Markiplier,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",105,hd,False,False,3047983,411191,19427
PeurdWfVb8g,2025-12-03 15:00:53+00:00,PREŽIVI 99 NOĆI KAO KAUBOJ ...,KingsOfFailsShow,Gaming,"kingsoffailsshow, markokofs, kofs, kings of fails show, 99 nights roblox, 99 nights, 99 dana, 99 dana kofs, marko kofs, 99 dana u sumi, novo 99 noci u sumi, 99 noci kofs, 99 noci marko kofs, 99 noci pets, 99 nights ljubimci, 99 noci medvjed, 99 nights necromancer, 99 night six kings, 99 nights halloween, 99 nights vampir, 99 noci vampir, 99 nights witch, 99 nights hurt deer, 99 noci jelen, 99 noci jelen je ozljedjen, 99 nights bat, 99 noci sismis",2232,hd,False,True,192028,5729,305
ceAQLoY1U5g,2025-11-16 13:00:07+00:00,DESINGERICA - FOLKICC (OFFICIAL VIDEO),Desingerica,People & Blogs,"desingerica, pljugica, tuckavacc, kucci kucci, praccka, pistacc, balkanacc",165,hd,False,True,2436545,42355,1552
sItUCKJQLTU,2025-12-04 20:53:14+00:00,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,True,True,10258925,71305,4633
YAIAgaLY6iw,2025-12-04 20:16:59+00:00,Preživljavamo U BOLNICI u 99 Noći U Šumi,Leptirica,Gaming,"leptirica, roblox, 99 nights in the forest, 99 noći u šumi, 99 DANA, lajv roblox",1943,hd,False,True,128475,3050,196
XyXDrvKmYv4,2025-12-05 11:00:04+00:00,GAZDA PAJA x STOJA - ANIMAL [OFFICIAL VIDEO],Gazda Paja,Music,,158,hd,False,True,116587,3560,248
Eln66CJHna8,2025-11-29 19:24:34+00:00,Fortnite Battle Royale Chapter Seven: Pacific Break | Cinematic Trailer,Fortnite,Gaming,yt:cc=on,98,hd,False,True,1221419,47040,3530
KgsTBDRttPg,2025-12-06 14:00:39+00:00,I Got Hunted By the Minecraft LAW,Wemmbu,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,False,True,3568793,187705,18995
XSQaT2mDdbM,2025-11-22 11:00:06+00:00,LELEK X MARIN - TANE (Official Video),LELEK,Music,"#lelek, #marin, #tane, #music, #etno, #balkan",156,hd,False,True,430937,7150,708
9c-DrMe8o5Q,2025-11-12 17:00:17+00:00,The Devil Wears Prada 2 | Teaser Trailer,20th Century Studios,Film & Animation,Trailer,52,hd,False,True,7493465,148082,5087
UkGGGHWMi4M,2025-12-05 18:03:44+00:00,JEZIVA BABA MI JE IZAZVALA SRČANI UDAR!!! / Don't Look at Grandma,Dennis Domian Gaming,Gaming,"dennis domian, gaming, dennis domian gaming, gameplay, JEZIVA BABA MI JE IZAZVALA SRČANI UDAR, Don't Look at Grandma, JEZIVA BABA, horror game, horor igra, scary game, scary grandma, jumpscare",2322,hd,False,True,38992,2793,201
sgifJBCQSSQ,2025-12-06 11:00:01+00:00,JELENA ROZGA - BOZIC JE (OFFICIAL VIDEO 2025) 4K,Jelena Rozga,Music,,188,hd,False,True,26915,1230,97
