video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
M9tsDK05KU8,2025-12-06T05:37:00Z,"Sasirekha Song Promo | Mana Shankara Varaprasad Garu |Chiranjeevi, Nayanthara| Bheems|Anil Ravipudi",T-Series Telugu,10,Music,"Telugu New song, Telugu Songs, T-Series, Telugu Video Songs, Telugu Hit songs, telugu hit songs, telugu songs, Latest Telugu Songs 2025, sasirekha promo, chiranjeevi sasirekha, nayanthara sasirekha, bheems music, anil ravipudi movie, sasirekha song promo, chiranjeevi new movie promo, nayanthara new film, bheems mass song, chiranjeevi nayanthara, anil ravipudi entertainer, sasirekha teaser, telugu trending promo, mega star chiranjeevi, south indian movie promo, msg song, msg",35,hd,false,True,603555,23149,761
p3rOLWgkXPo,2025-12-05T04:33:07Z,"The Devil - Official Trailer | Darshan, Rachana Rai | Prakash Veer | B Ajaneesh Loknath",Saregama Kannada,1,Film & Animation,"the devil trailer, the devil official trailer, darshan the devil, darshan new movie, trailer the devil kannada, rachana rai the devil, prakash veer director, b ajaneesh loknath music, the devil kannada trailer, kannada new trailers, kannada movie trailer, sandalwood trailer, kannada action movie, kannada cinema, darshan fans, darshan trailer, kannada latest movie, kannada mass trailer, new kannada release, the devil darshan trailer, devil darshan",136,hd,true,True,8038225,431379,44467
oZ5tnwZuy-k,2025-12-06T12:19:32Z,Escaping from HORROR GRANNY School in Minecraft..,Carry Depie,20,Gaming,"carry depie, minecraft",1098,hd,false,True,698938,10266,646
uG_p0ULRYho,2025-12-05T12:06:46Z,"Aawaara Angaara (Film Version) | Tere Ishk Mein |Dhanush,Kriti |AR Rahman,Faheem|Aanand LR|Bhushan K",T-Series,10,Music,"hindi songs 2025, hindi songs new, bollywood songs 2025, bollywood movies 2025, tseries, tseries songs, hindi songs, aawaara angaara film version, aawaara angaara song film version, aawaara angaara song tere ishq mein, aawaara angaara full song, aawaara angaara tere ishq mein song, aawaara angaara dhanush, aawaara angaara song dhanush, aawaara angaara full song tere ishq mein, aawaara angaara, tere ishq mein songs, aawaara angaara film version song, tere ishq mein song",228,hd,false,True,1782969,35092,799
BcZJhA2baZc,2025-12-06T05:30:02Z,"Vaa Vaathiyaar - Trailer | Karthi, Krithi Shetty | Nalan Kumarasamy|Santhosh Narayanan| Studio Green",Think Music India,10,Music,"karthi, karthi new movie, karthi new movie trailer, karthi tamil movies, karthi vaa vaathiyaar, karthi vaa vaathiyaar movie, karthi vaa vaathiyaar movie trailer, karthi vaa vaathiyaar trailer, karthi vaa vaathiyar trailer, krithi shetty, latest tamil movies, nalan k",140,hd,false,True,5233104,120570,1182
auj8uVbP_sI,2025-12-06T08:00:04Z,Long Slide Game with Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals,kuly luly,1,Film & Animation,,459,hd,false,True,1272365,165592,3008
MBTVOnxBjN4,2025-12-05T00:30:07Z,Tu Mo Suna Chadhei - Video | New Odia Song | Rupa & Pintu | Humane Sagar & LP Ananya ,Saregama Odia,10,Music,"Tu Mo Suna Chadhei, new Odia song, Odia video song 2025, Swayam Padhi, Antara Chakraborty, Rupa Pintu, Odia romantic song, Odia latest video, Skyfall Media Network, Rudra Prasad Nayak music, Ranjan Hati lyrics, Sajan Ruchika choreography, Divyalok Sinha DOP, Kuna Roul editing, Odia trending song, Sur Pandit Sandeep, LP Ananya, Humane Sagar, Odia love song, Odia emotional song, Odia music video, viral Odia song, odia wedding song, wedding song",380,hd,false,True,939626,58704,3332
Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,2086452,145947,8726
7q6juzcYeiQ,2025-12-06T15:31:10Z,2025 GC League | Last Chance Day 1 | WATCHPARTY WITH SNAX,Snax Gaming,20,Gaming,"Pubg mobile, Bgmi, Battlegrounds mobile india, Bgmi live, Snax Gaming, Watchparty, Pmgc, Pmgc live, Snax live",16856,hd,false,True,979948,43090,89
mQ-NA_sQ5f8,2025-12-06T02:30:03Z,Nijjar - God Did (Official Music Video) Latest Punjabi Songs 2025,NIJJAR,10,Music,"God Did, Nijjar, Deep Jandu, God Did song, God Did official video, Nijjar new song, Deep Jandu new song, Nijjar God Did, Punjabi song 2025, New Punjabi song 2025, Latest Punjabi song, Punjabi music, Trending Punjabi songs, Nijjar music 2025, Deep Jandu 2025, God Did official video Punjabi, punjabi song, God Did new punjabi song, nijjar, nav dhiman video, baba kri jawe mehar kmm hoi jande ne, baba kri jawe mehar nijjar, mehar song nijjar, latest punjabi song this week 2025",185,hd,false,True,1139451,68667,1332
18y_YaQ2zx4,2025-12-07T04:45:48Z,The Boys Season 5 Tamil Trailer Breakdown (தமிழ்),Mokka Commentry,24,Entertainment,"tamil, தமிழ், mokka commentry, mokka, trending, youtube tamil, recommended, tamil creator, The Boys Season 5 Tamil Trailer Breakdown, the biys, season 5, the boys season 5 trailer, tamil trailer breakdown, tamil boys trailer breakdown, the boys 5 trailer breakdown, tamil trailer, tamil the boys trailer, homelander, tamil homelander, homelander vs butcher",680,hd,false,True,19055,3299,182
7YLpmOSccX8,2025-12-06T22:16:29Z,KYA YE SEASON LEGEND HOGA? | ULTIMATE ROYALE OR WHAT | BGMI LIVE,LoLzZz Gaming,20,Gaming,"lolz, lolzz, lolzzz, lolz gaming, lolzz gaming, lolzzz gaming, bgmi, conqueror",21869,hd,false,True,417364,24672,37
D_ms06NPLvA,2025-12-06T01:30:09Z,#Khesari Lal Yadav | रोमांटिक विडियो | कमर तोर पतरी | Kamar Tor Patri | Bhojpuri Video Song 2025,Agastya Music World,22,People & Blogs,"Agastya Music World, Bhojpuri Song 2025, Kamar Tor Patri, कमर तोर पतरी, Shilpi Raj Ka Gana, Shilpi Raj Ke Gana, Shilpi Raj Song, Shilpi Raj, Bhojpuri Song, Karishma Kakkar, Khesari Lal Yadav, Khesari Lal Yadav ka gana, Khesari Lal Yadav ke gana, Khesari Lal Yadav song, Khesari Lal Yadav Video SOng, Khesari Lal Yadav new Song, Khesari Lal Yadav Ka Video Gana, Khesari Lal Yadav Gana, Karishma Kakkar ka gana, Karishma Kakkar ke gana, Karishma Kakkar song",1238,hd,false,True,129389,592,10
cepHkHPHhhw,2025-12-05T07:57:24Z,Devil Trailer Review | Darshan Devil Trailer Review | The Devil Movie Trailer | D Boss,Newz Alert,25,News & Politics,"Devil, The Devil, Devil Trailer, The Devil Trailer, Devil Trailer Review, The Devil Trailer Review, The Devil Movie, Darshan devil, Darshan Devil Review, Darshan Devil Trailer Review, Devil Trailer Reaction, The Devil Trailer Reaction, Darshan Devil Trailer Reaction, Devil Kannada Trailer Review, Darshan, D Boss, Chandan Gowda, Newz Alert, NImma Chandan Gowda, D Boss Darshan, D Boss Devil",531,hd,false,True,115312,10257,1147
iH17mQ_U-k0,2025-12-05T21:24:49Z,GTA 5 today,Mrz Thoppi,24,Entertainment,"Mrz Thoppi, Thoppi, Mrz, Thoppi funny moments",11226,hd,false,False,274773,11904,329
S9qaZ1AWdPw,2025-12-03T19:34:40Z,Shaky ( Official #Video ) Sanju Rathod Ft. Isha Malviya | G-Spark | New #Marathi Songs 2025,ManishSamratVEVO,10,Music,"Manish Samrat, Dance",216,hd,false,True,1407936,2927,42
zTq4Xg2Jp8o,2025-12-06T13:03:21Z,Poppy Playtime Chapter 5 Cinematic Trailer REACTION + FULL BREAKDOWN 😱 AYUSH MORE,Ayush More 2.0,20,Gaming,"poppy playtime, poppy, playtime, ayush more, roblox, minecraft, poppy playtime hindi, catnap, huggy wuggy, poppy playtime update, poppy playtime chapter 4, poppy playtime 4, poppy playtime 4 teaser, poppy playtime chapter 4 hindi, poppy playtime 4 hindi, poppy playtime chapter 4 trailer, nightmare critters, the doctor poppy playtime, doey poppy playtime, kissy missy, full story, doey in real life, poppy playtime in real life, poppy playtime 5, poppy playtime chapter 5, glowy",766,hd,false,True,215096,5475,795
vzxwgV7EaCc,2025-12-06T13:15:33Z,THIS HORROR BABY IS VERY SCARY | BABY IN YELLOW,kG Empire,20,Gaming,"minecraft, Minecraft Building, Minecraft Tips, Minecraft Live Stream, minecraft live, Minecraft Mods, Minecraft Tricks, minecraft mod, minecraft challenge, Minecraft Survival, minecraft but, minecraft meme, Minecraft Redstone, minecraft update, Minecraft Multiplayer, Minecraft Gameplay, Minecraft Challenges, minecraft building ideas, Minecraft Updates, Minecraft Tutorial",5377,hd,false,True,541235,2761,2
7NsURBp3lMA,2025-12-06T05:29:14Z,Hasli Keno Bol | Jeet Gannguli | Idhika | Bengal Talkies | Projapati 2 | New Bengali Movie Song 2025,Times Music Bangla,10,Music,"Hasli Keno Bol, Projapati 2 Songs, bengali love song, bengali romantic song, bengali romantic songs new, bengali movie song, bangla gaan, bangla gana, bangla song, bangla love song, love song bangla, bangla romantic song, bangla movie song, new bengali song, new bangla song, bengali romantic gaan, new songs, romantic songs, love songs, Anirban Chakrabarti, mithun chakraborty songs, mithun chakraborty, bengali new movie, projapoti 2 song, projapoti 2 new song",232,hd,false,True,945724,22938,2685
dZV4h7vrKnQ,2025-12-03T15:53:34Z,Akhanda 2 Thaandavam Trailer | Nandamuri Balakrishna | Boyapati Sreenu | Thaman S,MS Talkies,24,Entertainment,"Akhanda 2 Thaandavam Trailer, Akhanda 2 Trailer, Akhanda 2 Movie, Akhanda 2 Songs, Nandamuri Balakrishna, Balakrishna Akhanda 2, Boyapati Sreenu, Balakrishna, Akhanda 2 Thaandavam, Akhanda Thaandavam, Akhanda 2 Teaser, Akhanda 2, Thaman Songs, Thaman Akhanda, Thaandavam Trailer, ms talkies",225,hd,false,True,1738614,19298,329
