video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Cs6i13GIyo8,IQ,2025-12-18 02:24:15.763513+00:00,2025-12-15 15:00:08+00:00,Nassif Zeytoun & @abuwardmusic - Kazdoura [Official Video] (2025) / ناصيف زيتون و أبو ورد - كزدورة,Nassif Zeytoun & @abuwardmusic - Kazdoura [Official Video] (2025) / ناصيف زيتون و أبو ورد - كزدورة,Nassif Zeytoun,UCO4AjeljgqgiowEf2yfvYHg,10,Music,"nassif, nassif zeytoun, nassif zaiton, nassif zeiton, nassif zayton, nassif zeyton, ناصيف زيتون, ناصيف, nassif music, nassif zeytoun music, اغاني نصيف زيتون, ناصيف زيتون 2023, nassif 2023, kazdoura, kazdura, kazdoora, kazdora, abu ward, abou ward, abu wared, nassif and abu ward, nassif zeytoun and abu ward, nassif kazdoura, abu ward kazdoura, nassif kazdura, أبو ورد كزدورة, أبو ورد, ناصيف زيتون و أبو ورد, كزدورة, ناصيف زيتون كزدورة",30,https://i.ytimg.com/vi/Cs6i13GIyo8/hqdefault.jpg,ar,ar,False,203,PT3M23S,hd,true,True,,,1562034,36377,2351
e0Eo0D038rQ,IQ,2025-12-18 02:24:15.763555+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,true,True,,,12322402,529295,22106
K8XSfkYgi1M,IQ,2025-12-18 02:24:15.763567+00:00,2025-12-17 09:56:02+00:00,سيرفر نصف قلب #4 اسف يا صديقي ...,سيرفر نصف قلب #4 اسف يا صديقي ...,مصطفى GAME OVER,UC3CFqU4KlktVPPJ1Km87pRg,20,Gaming,"ماين كرافت, minecraft",2,https://i.ytimg.com/vi/K8XSfkYgi1M/hqdefault.jpg,ar,ar,False,3447,PT57M27S,hd,false,True,,,376316,38208,1868
odtsc__BQ5s,IQ,2025-12-18 02:24:15.763577+00:00,2025-12-16 15:00:02+00:00,ظل گلبي يا يمه - محمد باقر الخاقاني ,ظل گلبي يا يمه - محمد باقر الخاقاني ,محمد باقر الخاقاني / Mohamad Baqer Alkhaqani,UC1tc7PapZl85wvxStwhJoDQ,10,Music,"ظل گلبي يا يمه, محمد باقر الخاقاني, Mohamad Baqer Alkhaqani, أم البنين, ذكرى شهادة أم البين, شهادة أم البنين, ليالي وفاة ام البنين, البقيع, ندب, shia, شور, لطميات, رادود, hussein, iraq, موكب, ندبيات, حسين, عزاء, كربلاء, ندبية, مجلس, ملا, الإمام الحسين, imam, شيعه, محرم, لطم, الاربعين, العراق, لطمية, بين الحرمين, الزيارة, هوسات, الامام, علي, فاطمة, زهراء, قصائد, قرايات, زينب, بيات ديجيتال, bayat digital",43,https://i.ytimg.com/vi/odtsc__BQ5s/hqdefault.jpg,ar,ar,False,413,PT6M53S,hd,false,True,,,25362,3224,0
kK7YMuIamJs,IQ,2025-12-18 02:24:15.763586+00:00,2025-12-16 15:07:41+00:00,نص قلب #5 | تقاتلت مع الكارد!! 😱🔥,نص قلب #5 | تقاتلت مع الكارد!! 😱🔥,ALKRKY,UCKZQE5HN6RLa6r_MrOkw93w,20,Gaming,"سالار, الكركي, ماينكرافت, ماين كرافت",4,https://i.ytimg.com/vi/kK7YMuIamJs/hqdefault.jpg,ar,ar,False,1659,PT27M39S,hd,false,True,,,165661,14093,669
ATS4uCKWUFw,IQ,2025-12-18 02:24:15.763594+00:00,2025-12-15 09:23:11+00:00,ازهر الناطق ( المقاوم الاول ) ,ازهر الناطق ( المقاوم الاول ) ,ازهر الناطق - Azhar Alnatk,UCor76TFbfCm-F56Asvbl5QA,22,People & Blogs,,0,https://i.ytimg.com/vi/ATS4uCKWUFw/hqdefault.jpg,ar,ar,False,268,PT4M28S,hd,false,True,,,138947,5315,738
SmDDaaJNsbg,IQ,2025-12-18 02:24:15.763602+00:00,2025-12-17 11:01:58+00:00,فلم قراند : زعرور يشتري جبل كامل من السيارات في يوم واحد ( احمد مصدوم ) 🔥😂,فلم قراند : زعرور يشتري جبل كامل من السيارات في يوم واحد ( احمد مصدوم ) 🔥😂,Ahmad GTA Family - عائلة احمد قراند ,UCQkLgXGjPbIrrNtT8ZtHOmg,22,People & Blogs,"مصطفى GAME OVER, Mr GG, كرافتر - Crafter, XTREEM - اكستريم, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, BOZEX, هاردلك | hardlk, افلام, ماين كرافت, فلم ماين كرافت, غني وفقير, فايتر Fighter, ابو فله, فايتر, افلام ماين كرافت, الغني و الفقير, كوكب, M4X5, ماين, MineCraft Movie, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, Ahmad M4 - احمد ام فور, بطل, Ahmad Hero - احمد البطل, احمد هيرو, سمبوسة - Sambosa, جعطوط - JATOOT, خزان, طيران, P4GAM3R, Y9M5 \ يصمخ, قراند",38,https://i.ytimg.com/vi/SmDDaaJNsbg/hqdefault.jpg,ar,ar,False,932,PT15M32S,hd,false,True,,,168578,2022,56
mWMK4s2xSX8,IQ,2025-12-18 02:24:15.763611+00:00,2025-12-16 16:01:19+00:00,Bassam Mahdi - Ethkarny (Official Music Video) | بسام مهدي  - اذكرني,Bassam Mahdi - Ethkarny (Official Music Video) | بسام مهدي  - اذكرني,Bassam Mahdi,UCg5MRP6aRsI7DSg2BPrnxmQ,10,Music,"Ethkarny, اذكرني, Bassam Mahdi, Wein, بسام مهدي, وين, خليجي, عراقي, iraq music, iraq songs, موسيقى, أغاني عراقية, أغاني عربية, تعال, ta3al, العراق, Arabic music, mega hit, aghani, khaliji songs, أغاني خليجية, أغاني أغاني, بسام مهدي راح, Ali Saber, حبيب الروح, حبيب الروح بسام مهدي, روما, سويناها بسام مهدي, اغاني افراح, bassam mahdi, وين محبتك اليه, ماجيت على بالك, شوفو منو اجه, الرسالة الاخيرة, حبك متاهة, اغاني بسام مهدي, اغنية تعبني الفراق, اغاني عراقية, الملحن بسام مهدي, Chabaka",40,https://i.ytimg.com/vi/mWMK4s2xSX8/hqdefault.jpg,ar,ar,False,233,PT3M53S,hd,true,True,,,227816,3203,183
QvOpeLYhkQU,IQ,2025-12-18 02:24:15.763620+00:00,2025-12-16 15:30:29+00:00,عائلة المتدعبلين #493 رحنا لاكبر مول بالمدينة واشترينا غراض !!؟😨😱,عائلة المتدعبلين #493 رحنا لاكبر مول بالمدينة واشترينا غراض !!؟😨😱,عليشكو Alishko,UCCy23PzIjfKpimDGPtk2ONg,20,Gaming,"ماين كرافت, minecraft, عليشكو, Alishko, فلم ماين كرافت, افلام ماين كرافت, الغني و الفقير, فلم الغني و الفقير, عراق كرافت, العاب اطفال, فلم ببجي موبايل, فلم, افلام, الفقير و الغني, بيت ماين كرافت, النوب و المحترف, مصطفى جيم اوفر, مصطفى, حرب البيض, مستر تورش, تك توك, فلم ماينكرافت, رانيا كيمنك, رانيا ماين كرافت, مستر جيجي, امير سلاو, ريما ستوب, minecraft movie, دايموند, الماس, بنات ماين كرافت, ريما ماين كرافت, ريما, رانيا جيمنج, رانيا وجيجي, جيجي ورانيا, دعبول ودعبولة و عليشكو",37,https://i.ytimg.com/vi/QvOpeLYhkQU/hqdefault.jpg,ar,ar,False,1332,PT22M12S,hd,false,True,,,109168,2515,288
4OWLehIlIyc,IQ,2025-12-18 02:24:15.763628+00:00,2025-12-15 17:00:11+00:00,Ozhin Nawzad - Karim Gulani - Amine,Ozhin Nawzad - Karim Gulani - Amine,Ozhin Nawzad,UCEZZentdkVvF8n6i-2LAMsg,10,Music,"ozhin nawzad, ozhin, nawzad, gorani, kurdi, band, Kurdish song, Kurdish band, safin, safin saizar, saizar, ga3da, danishtn, young Kurdish artist, live, music, live music, rastawxo, zindu, track 2, danishtny, ga3day ozhin, young, gorany, song, kurdish, 2020, 2019, 2018",29,https://i.ytimg.com/vi/4OWLehIlIyc/hqdefault.jpg,ku,und,False,526,PT8M46S,hd,false,True,,,53793,1845,296
