video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
J-Vce33jF4A,2025-12-08 16:00:11+00:00,ظهري منكسر | سيد سلام الحسيني,سيد سلام الحسيني Sayyed Salam Alhusaini ll,Music,"سيد, سلام, الحسيني, sayyed, salam, alhusaini, ندب, shia, شور, لطميات, رادود, hussein, iraq, المشايه, موكب, ندبيات, حسين, عاشوراء, ashura, muharram, عزاء, كربلاء, ندبية, مجلس, ملا, الإمام الحسين, imam, شيعه, محرم, مشايه, لطم, الاربعين, العراق, لطمية, بين الحرمين, الزيارة, هوسات, الامام, علي, فاطمة, زهراء, قصائد, قرايات, زينب, بيات ديجيتال, bayat digital, ثاري الهجر ذباح, اذان العشق, لطميات حسينية, سيد سلام الحسيني, بندرية القاسم, يلابس ثياب العرس, فزاعي, حب الحسين, هيهات من الذلة, محرم 1447, محرم 1446, ظهري منكسر",376,hd,false,True,55796,8517,861
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",121,hd,true,True,6653139,294768,15776
6VsIE41oQxA,2025-12-08 09:00:10+00:00,دخلنا اقدم بيت متروك بالعالم في ماين كرافت !,مستر جيجي Mr GG,Gaming,"ماين كرافت, ماينكرافت, minecraft, فيلم الغني والفقير, فلم ماين كرافت, فلم الغني والفقير, فيلم ماين كرافت, العاب ماين كرافت, لعبه ماين كرافت, مستر جيجي, رانيا وجيجي, تحميل ماين كرافت, بندريتا ماين كرافت, دحومي 999 ماين كرافت, ماين كرافت الغني والفقير, سيد ماين كرافت, كيف تحمل ماين كرافت, بيت ماين كرافت, كيف احمل ماين كرافت, ماين كرافت مصطفى, افلام ماين كرافت, سيرفرات ماين كرافت, شيلات ماين كرافت, عرب كرافت, خليج كرافت, بيت, بيت قديم, بيت مهجور",2543,hd,false,True,281514,7344,537
NZaqCWgqOz0,2025-12-06 15:00:07+00:00,"Qaed Helmy & Nabeel Aladeeb - Ketbt Esmk (Official Video, 2026) قائد حلمي ونبيل الاديب - كتبت اسمك",HGuitaraStudio - حيدر كيتارا,Music,"حيدر كيتارا, HGuitaraStudio, دموع تحسين, علي عرنوص, حمزه الآصيل, علي عرنوص نساني, دموع تحسين بعد بعد, اضم حبك, نبيل الاديب, خبر فززني, حمزة المحمداوي اعترف, علاقتي الأولى, أغاني عراقية, أغاني خليجية, Iraqi Songs, Khaleeji Songs, العراق, السعودية, الخليج, الأردن, اغاني عراقية حزينة, اغاني تريند, مبطئ, مسرع, مسلسلات تريند, اكسبلور, ترند التيك توك, ترند العراق, ترند السعوديه, ترند الكويت, اغاني تيك توك, اغاني 2025, حالات وتساب",252,hd,false,True,785233,33997,3098
DAv0_KNDsFU,2025-12-07 20:41:10+00:00,تحليل اعلان الموسم الخامس من مسلسل The Boys 😮🔥,Farouk Tv,Entertainment,"تحليل اعلان الموسم الخامس من مسلسل The Boys, تحليل اعلان الموسم الاخير من The Boys, رد فعل اعلان الموسم الخامس من The Boys, The Boys Season 5 Teaser Trailer Breakdown, نظريات الموسم الاخير من مسلسل The Boys, نظريات الموسم الخامس من مسلسل ذا بويز, هوم لاندر ضد ذا بويز, Homelander vs The Boys, The Boys, The Boys Season 5, The Boys Season 5 Teaser Trailer, اعلان مسلسل The Boys, Homelander, هوم لاندر, ذا بويز, هوملاندر, Farouk Tv",656,hd,false,True,37472,3222,188
mZOeFnx59GE,2025-12-08 09:55:36+00:00,ماين كرافت : ماب رعب الدمية المسكونة !!؟,مصطفى GAME OVER,Gaming,"ماين كرافت, minecraft",1346,hd,false,True,185975,23846,1546
Ox5HMFFuAog,2025-12-08 20:03:43+00:00,يا ليل | الحاج باسم الكربلائي,Basim Karbalaei / باسم الكربلائي,Music,"باسم الكربلائي, لطميات, عاشوراء, محرم, ياعلي, النجف, كربلاء, basim karbalaei, basim karbalai, mulla, bassim, basim",1527,hd,false,True,25623,5412,682
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,6914720,552937,30978
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,false,True,4042786,61731,5363
HSyddsIC9y8,2025-12-07 13:00:05+00:00,Adam Raafat - Mutri (Official Music Video) 2025 | ادم رافت - مطري,Adam Raafat Studios - ستوديوهات ادم رافت,Music,"Adam Raffat, Mutri, ادم رافت, مطري, Adam Raafat, تجيني الحاله, اخر شهكه, Aker Shahka, اشتاقلك, ادم, نور الزين, جلال الزين, جعفر الغزال, حسين الغزال, اغاني, اشبيليا, رعد الناصري, سيف نبيل, نبيل الاديب, احمد الساعدي, حمزة المحمداوي, محمود الغياث, علي صابر, حسن نسيم, علي الدلفي, السحاب, زيد الحبيب, علي جاسم, حفلات, Adam rafat, يواش يواش, اغاني تيك توك, اغاني عراقيه, اغاني عربيه, حمزه المحمداوي, حارث العربي, حسام الرسام, الروابي, حفلات ادم رافت, ملاية, ادم رافت ملاية",206,hd,false,True,51306,1409,55
