video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
Jufw0fwANoc,2025-12-05 13:00:42+00:00,Geolier - 081 (Official Video),Geôlier2 OFFICIAL,Music,"Geolier, emanuele palumbo, musica, napoli, rap napoletano, musica urban, sanremo, geolier sanremo, sanremo 2024, geolier i p me tu p te, i p me tu p te geolier sanremo, secondigliano, il vero secondino geolier, el pibe de oro, geolier musica, geolier nuovo singolo, dio lo sa, geolier nuovo album, geolier video, geolier dio lo sa atto II, geolier 081, 081 geolier, geolier 081 official video, 081 geolier video ufficiale, 081",192,hd,false,True,634345,18505,922
ok0_QLaC2E4,2025-12-07 00:00:14+00:00,The Boys - Teaser Trailer Stagione Finale | Prime Video,Amazon Prime Video Italia,Film & Animation,"Antony Starr, Cameron Crovetti, Chace Crawford, Colby Minifie, Erin Moriarty, Jack Quaid, Jessie T. Usher, Karen Fukuhara, Laz Alonso, Susan Heyward, The Boys stars Karl Urban, Tomer Capone, Valorie Curry, and Jensen Ackles",110,hd,true,False,96705,4436,301
pr3MULOeS0g,2025-12-08 15:30:39+00:00,TORNO SU GARTIC PHONE CON TUTTI I VECCHI WGF 3 ANNI DOPO!,WhenGamersFail ► Lyon,Gaming,"nuovi ruoli, among us nuovi, among us, lyon, lyonwgf, whengamersfail, gioco lyon, nuovo gioco, among us lyon, amongus, mongus, amongas, lyon alex, lyon anna, lyon cico, lyon stre, among us mod, random roles, ruoli casuali, ruolo, among us gioco, sonic, tails, naruto, naruto among us, mangiare, calcio, calciatore, mercoledì, superman, super man, emoji, choo choo charles, lego, LEGO, ruoli a caso, random role, a caso",3544,hd,false,True,61131,5047,312
XNC4eAVXPvU,2025-12-08 17:00:07+00:00,Olsi Bylyku ft. Gjovalin Shani - Lule Mali,Olsi Bylyku,Music,"olsi bylyku, gjovalin shani, lule malit, olsi bylyku gjovalin shani, olsi bylyku lule malit, gjovalin shani lule malit, noizy dhurata dora, dhurata dora, dafina zeqiri, finem, kostantinos argiros, marin, fatima ymeri, 2ton, deyzoh, don xhoni, noizy, fatti, yll limani, altin shira, elgit doda, matolale, leumasi, finem akoma, ben leman, albania got talent, akoma, mr bean, big brother vip kosova, aurela gace, halef, sam and colby, era istrefi 13, hitet e reja 2025",150,hd,false,True,221564,10943,313
2E-VdjZMsZA,2025-12-04 10:00:10+00:00,Buen Camino | Trailer Ufficiale | Dal 25 dicembre al cinema,Checco Zalone Official,Music,,102,hd,false,True,423735,11060,459
PJafid8Z5Yo,2025-12-08 13:00:50+00:00,IL SUPER TORNEO TUTTI VS TUTTI (infinito),StallionsTV / SoaR Blur!,Gaming,,2443,hd,false,True,66062,4497,24
7tJ3Ew3yBb4,2025-12-05 13:00:07+00:00,Me contro Te - QUELLI VERI (Dissing 2),Me contro Te Music,Music,"me contro te, me contro te music, me contro te canzoni, me contro te tik tok, sofi e lui, lui e sofi, me contro te musica, me contro te like me, like me, like me contro te, me contro te copia, copia copia copia, me contro te copia copia copia, copia me contro te, quelli veri, me contro te quelli veri, nuova canzone me contro te, me contro te nuova canzone, dissing, dissing me contro te, me contro te dissing 2, canzone dissing, me contro te nuovi video",112,hd,false,True,211639,13140,2093
kF8PkMc3G9g,2025-12-04 13:27:41+00:00,BUEN CAMINO (2025) Trailer | Checco Zalone | Film Commedia,FilmIsNow Trailer Italia,Film & Animation,"Buen Camino, Buen Camino trailer, Buen Camino trailer 2025, Buen Camino film 2025, migliori film, film da non perdere, film in uscita, prossimamente al cinema, coming soon, film trailers, filmisnow italia, Buen Camino trailer italiano, Buen Camino trailer ita, Checco Zalone",122,hd,false,True,172357,2349,195
Le4cHJEUsYA,2025-12-08 14:39:20+00:00,HORRORMANIA COMPILATION - VOL 3,Il Matthew del Tubo,Gaming,"yotobi, yotobi live, yotobigames, gameplay, twitch, live, il meglio di yotobi, il meglio del tubo, il matthew del tubo, yotobi twitch, yotobi horrormania, yotobi horrormania compilation, yotobi horror, lion of hell, the stranger, petsitting, shift at midnight, buried tapes the cleaner, side hustle, gutter night",3159,hd,false,True,73347,6231,165
85ETxUOFnfM,2025-12-04 18:00:06+00:00,Danny Ocean - Me Rehúso (Letra),Caribeo,People & Blogs,,206,hd,false,True,1968507,2231,15
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,6914720,552947,30979
S-LMSpzlnc0,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,false,True,3706587,85445,6990
M5anaVYTHto,2025-12-05 13:00:58+00:00,"Frezza, Dipinto - SCUGNIZZI X SEMPRE (Official Video)",Frezza,Music,"frezza, frezza musica, musica, rap napoletano, napoli, rap, urban, vecchio stampo, frezza vecchio stampo, frezza dipinto SCUGNIZZI X SEMPRE, SCUGNIZZI X SEMPRE frezza dipinto, frezza dipinto SCUGNIZZI X SEMPRE video ufficiale, SCUGNIZZI X SEMPRE frezza dipinto official video, SCUGNIZZI X SEMPRE, dipinto, frezza dipinto joint album, frezza dipinto",108,hd,false,False,69797,1882,49
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,true,True,3068149,210413,15281
ZPEapOpaSR4,2025-12-08 13:01:14+00:00,IL GRANDE ZICO IN WEEKEND LEAGUE!,Zano XVII,Gaming,"wl, weekend league, fut champions, zano wl, zano weekend league, fc 26, fc 26 weekend league, totti, totti fc 26, francesco totti, totti fc 26 gameplay, totti fc 26 review, ho comprato francesco totti, zano, zano xvii, pack opening, fc 26 gameplay, fc 26 pack opening, fc 26 zano, zano ea fc 26, pack opening fc 26, fc 26 playstyles, ultimate team, fc 26 ultimate team, fut",1491,hd,false,True,55933,4568,89
