video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
sR1slWWQNZk,JP,2025-12-21 02:35:11.530647+00:00,2025-12-20 14:01:37+00:00,【期間限定】King ＆ Prince × 50TA「希望の丘」,【期間限定】King ＆ Prince × 50TA「希望の丘」,King & Prince,UCSxwcQnzA5K6DvofvBn6ATA,10,Music,"King & Prince, 永瀬廉, Nagase Ren, 髙橋海人, Takahashi Kaito, キンプリ, きんぷり, KP, King, Prince, キングアンドプリンス, きんぐあんどぷりんす, Dance, ダンス, MV, Music Video, STARRING, 狩野英孝, 50TA, 希望の丘",20,https://i.ytimg.com/vi/sR1slWWQNZk/hqdefault.jpg,ja,ja,False,192,PT3M12S,hd,false,True,,,171820,26787,1165
XN26Fd2sQmc,JP,2025-12-21 02:35:11.530688+00:00,2025-12-20 04:00:38+00:00,待たせたなァ！『新劇場版 銀魂 -吉原大炎上-』本予告解禁｜2026年2月13日（金）公開,待たせたなァ！『新劇場版 銀魂 -吉原大炎上-』本予告解禁｜2026年2月13日（金）公開,銀魂チャンネル【公式】,UCFyBWO9SUQfKpuV7uF8Rh5A,24,Entertainment,"銀魂, gintama, 銀魂 THE FINAL, THE FINAL, 空知英秋, 空知, ゴリラ, ジャンプ, 眼鏡, メガネ, 万事屋, 坂田銀時, 志村新八, 神楽, 定春, エリザベス, 真選組, 新選組, 高杉, 万屋, 土方, 近藤, 沖田, 松陽, 杉田智和, 釘宮理恵, 阪口大助, 中井和哉, 千葉進歩, 鈴村健一, 石田彰, 子安武人, 山寺宏一, 紅桜, アニメ, 漫画, 完結篇, 終わる終わる詐欺, 宮脇千鶴, 藤田陽一, 高松信司, SPYAIR, DOES, 前川貴史, 樋口弘光, 大西恒平",46,https://i.ytimg.com/vi/XN26Fd2sQmc/hqdefault.jpg,ja,ja,False,93,PT1M33S,hd,false,False,,,201559,12897,654
1CYAOD2MBkU,JP,2025-12-21 02:35:11.530701+00:00,2025-12-20 11:00:03+00:00,【神回】ライズの最高傑作、とりあえず見てください【よしきの成り上がり人生録第679話】[パチスロ][スロット]#いそまる#よしき,【神回】ライズの最高傑作、とりあえず見てください【よしきの成り上がり人生録第679話】[パチスロ][スロット]#いそまる#よしき,スロパチステーション,UC8yYqoMOYO_Q755YLJ-teoQ,24,Entertainment,"i3y2, パチンコ, 動画, 実践, 大当たり, パチスロ, スロット, いそまる, いそまるの成り上がり回胴録, スロパチステーション, よしきの成り上がり人生録, よしき, ライズ, 万枚, 気焰万丈, モンスターハンター, モンハン, ナルハタタヒメ, 上位AT",19,https://i.ytimg.com/vi/1CYAOD2MBkU/hqdefault.jpg,ja,ja,False,5321,PT1H28M41S,hd,false,True,,,614585,8411,680
jHDh0K4TQxE,JP,2025-12-21 02:35:11.530711+00:00,2025-12-20 10:01:15+00:00,『クリスマスソング』acoustic cover. 優里×吉田右京（マルシィ）,『クリスマスソング』acoustic cover. 優里×吉田右京（マルシィ）,優里ちゃんねる【公式】,UC7MvTslTWkE1HKNYkXiGv1Q,22,People & Blogs,,0,https://i.ytimg.com/vi/jHDh0K4TQxE/hqdefault.jpg,ja,ja,False,302,PT5M2S,hd,false,True,,,112592,7794,334
kVHimB7_cjQ,JP,2025-12-21 02:35:11.530720+00:00,2025-12-19 23:05:00+00:00,「スティール・ボール・ラン ジョジョの奇妙な冒険」｜予告編｜Netflix,「スティール・ボール・ラン ジョジョの奇妙な冒険」｜予告編｜Netflix,Netflix Japan,UCv2ejD5B1xOYtGB2cf80B8g,24,Entertainment,jojo_anime,1,https://i.ytimg.com/vi/kVHimB7_cjQ/hqdefault.jpg,ja,en-US,False,136,PT2M16S,hd,false,True,,,150043,4289,361
RGnB5C14_1U,JP,2025-12-21 02:35:11.530728+00:00,2025-12-20 09:15:06+00:00,超広大な山を雪で埋め尽くすまで終われません！,超広大な山を雪で埋め尽くすまで終われません！,ドズル社,UCj4PjeVMnNTHIR5EeoNKPAw,20,Gaming,"ドズル社, マイクラ, まいくら, マインクラフト, とずる社, どする社, ドズル社マイクラ, ドズル, おんりー, おらふくん, ぼんじゅうる, おおはらMEN, ネコおじ, ネコおじいちゃん, 大富豪おじいちゃん",15,https://i.ytimg.com/vi/RGnB5C14_1U/hqdefault.jpg,ja,ja,False,2697,PT44M57S,hd,false,True,,,314811,9923,427
rI0Nk9iQscU,JP,2025-12-21 02:35:11.530736+00:00,2025-12-19 10:01:35+00:00,Mr.Children「産声」Teaser,Mr.Children「産声」Teaser,Mr.Children Official Channel,UCXteDRy5qB0IjA8WPusCJ7w,10,Music,"Mr.Children, ミスターチルドレン, ミスチル, 桜井和寿, 田原健一, 中川敬輔, 鈴木英哉, J-pop",8,https://i.ytimg.com/vi/rI0Nk9iQscU/hqdefault.jpg,ja,ja,False,57,PT57S,hd,false,True,,,284211,11816,1055
nCApm__t-VY,JP,2025-12-21 02:35:11.530744+00:00,2025-12-20 14:09:04+00:00,JUJUTSU KAISEN - SEASON 3: Official Trailer (REACTION),JUJUTSU KAISEN - SEASON 3: Official Trailer (REACTION),Nicholas Light TV,UCto0JEelepQkcueYJgUA8zw,1,Film & Animation,"anime reaction, nicholas light, jjk reaction, jjk season 3, jjk season 3 trailer, jjk season 3 trailer reaction, culling games, gojo, jujutsu kaisen trailer reaction",9,https://i.ytimg.com/vi/nCApm__t-VY/hqdefault.jpg,en,en,False,359,PT5M59S,hd,false,True,,,99645,7121,572
To4kTwOHslU,JP,2025-12-21 02:35:11.530752+00:00,2025-12-20 13:14:37+00:00,ブルアカらいぶ！クリスマスぱーてぃー計画！SP,ブルアカらいぶ！クリスマスぱーてぃー計画！SP,ブルーアーカイブ-Blue Archive-,UCmgf8DJrAXFnU7j3u0kklUQ,20,Gaming,"ブルーアーカイブ, ブルアカ",2,https://i.ytimg.com/vi/To4kTwOHslU/hqdefault.jpg,ja,ja,False,13391,PT3H43M11S,hd,false,False,,,420432,11285,59
1-xwxyHOyVw,JP,2025-12-21 02:35:11.530760+00:00,2025-12-19 09:45:01+00:00,山下達郎「クリスマス・イブ　(Christmas Eve)」 MV,山下達郎「クリスマス・イブ　(Christmas Eve)」 MV,Warner Music Japan,UCfb-Ly0RXaUGxglFJmPji1g,10,Music,,0,https://i.ytimg.com/vi/1-xwxyHOyVw/hqdefault.jpg,ja,ja,False,261,PT4M21S,hd,false,True,,,234399,9071,457
