video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
haPeRPYCR6U,2025-12-08 11:00:06+00:00,BE:FIRST / 街灯 -Music Video-,BE:FIRST Official,Music,"SKY-HI, スカイハイ, すかいはい, 日高, ヒダカ, ひだか, 日高光啓, AAA, トリプルエー, すっきり, ｽｯｷﾘ, sukkkiri, THEFIRST, ザファースト, ｻﾞﾌｧｰｽﾄ, ざふぁーすと, BMSG, ビーエムエスジー, ﾋﾞｰｴﾑｴｽｼﾞｰ, びーえむえすじー, ボーイズグループオーディション, ざすと, ザスト, ｻﾞｽﾄ, BEFIRST, ﾋﾞｰｽﾄ, ボーイズグループ, ﾎﾞｰｲｽﾞｸﾞﾙｰﾌﾟ, Boysgroup, BE:FIRST, JUNON, RYUHEI, LEO, SOTA, MANATO, SHUNTO, ジュノン, ｼﾞｭﾉﾝ, リュウヘイ, ﾘｭｳﾍｲ, レオ, ソウタ, ﾚｵ, ｿｳﾀ, ﾘｮｳｷ, マナト, ﾏﾅﾄ, シュント, ｼｭﾝﾄ, BESTY, 街灯, がいとう",234,hd,true,True,645705,52765,5991
ffEdXd545tw,2025-12-07 20:00:30+00:00,『ゴールデンカムイ 網走監獄襲撃編』予告【2026年3月13日(金)公開】,東宝MOVIEチャンネル,Film & Animation,,91,hd,false,True,87061,2059,127
6jpc7LIc2pE,2025-12-08 10:00:12+00:00,【衝激】昨今のスマスロで1/65536を引いたらこうなります。【いそまるの成り上がり回胴録第934話】[パチスロ][スロット]#いそまる#よしき,スロパチステーション,Entertainment,"i3y2, パチンコ, 動画, 実践, 大当たり, パチスロ, スロット, いそまる, いそまるの成り上がり回胴録, スロパチステーション, よしきの成り上がり人生録, よしき, 胸, 脚, 絶対衝撃, 絶対領域, レジェンド, だいいち",2811,hd,false,True,476340,3838,394
oMwiEfp_hWo,2025-12-08 12:00:07+00:00,なにわ男子 - Never Romantic [Official Music Video],なにわ男子,Entertainment,"なにわ, なにわ男子, 浪花男子, NANIWA, 関西, KANSAI, music, musicvideo, mv, video, jpop, なにふぁむ, 西畑大吾, 大西流星, 道枝駿佑, 高橋恭平, 長尾謙杜, 藤原丈一郎, 大橋和也, NeverRomantic, ミュージックビデオ",256,hd,true,True,331362,37288,5591
6XZoT8RT0f0,2025-12-08 04:00:06+00:00,『ザ・ボーイズ』シーズン5 OFFICIALティザー予告｜プライムビデオ,Prime Video JP - プライムビデオ,Film & Animation,"#プライムビデオ, #海外ドラマ, TheBoys, ザボーイズ",110,hd,false,False,25690,563,125
xU4X8rizbpE,2025-12-08 13:38:14+00:00,【パチスロ生配信】最新台スマスロ化物語を最速ライブ配信！生放送パチンコパチスロ実戦！12/8【金時大森】,やっちゃんの崖っぷちスロパチ生活,Gaming,,41281,hd,false,True,527347,5369,15
dH5E4tESdDk,2025-12-07 08:02:01+00:00,｢Snow Man Dome Tour 2025-2026 ON｣福岡公演 一部生配信,Snow Man,Music,"Snow Man, スノーマン, 岩本 照, Hikaru Iwamoto, 深澤 辰哉, Tatsuya Fukazawa, ラウール, Raul, 渡辺 翔太, Shota Watanabe, 向井 康二, Koji Mukai, 阿部 亮平, Ryohei Abe, 目黒 蓮, Ren Meguro, 宮舘 涼太, Ryota Miyadate, 佐久間 大介, Daisuke Sakuma, 生配信",2590,hd,false,True,3095748,,3294
o44dAQBOKlg,2025-12-08 16:03:39+00:00,【＃ホロドラゴンマイクラ】1日目！ドラゴンがいる世界で生き残る！ぺこ！【ホロライブ/兎田ぺこら】,Pekora Ch. 兎田ぺこら,Gaming,"兎田ぺこら, ホロライブ, 歌ってみた, 大神ミオ, Vtuber, ホロライブゲーマーズ, ゲーム実況, 実況, VTuber, バーチャルYouTuber, VR, 白 上フブキ, 湊あくあ, 赤井はあと, ときのそら, ロボ子さん, 夜空 メル, 大空スバル, 夏色まつり, さくらみこ, 百鬼あやめ, ア キ・ローゼンタール, 戌神ころね, 猫又おかゆ, 紫咲シオン, 潤羽るしあ, 不知火フレア, 白銀ノエル, 宝鐘マリン, hololive, 白上フブキ, 夜空メル, アキ・ローゼンタール, ホロアニメ, 3D, ホログラ, AZKi, 星街すいせい, 天音かなた, 桐生ココ, 姫森ルーナ, 角巻わため, 常闇トワ",17086,hd,false,True,624343,16864,226
EEI6APtik8Y,2025-12-08 09:30:07+00:00,【MV Teaser】MORE STAR『もっと、キラッと』,KAWAII LAB.,Entertainment,"FRUITS ZIPPER, ふるっぱー, ASOBISYSTEM, 月足天音, 鎮西寿々歌, 櫻井優衣, 仲川瑠夏, 真中まな, 松本かれん, 早瀬ノエル, 木村ミサ, KAWAII LAB., 超めでたいソング, わたしの一番かわいいところ, ちょめでた, わたかわ",18,hd,false,True,56067,2466,354
YWDw-cbvNaY,2025-12-08 09:15:06+00:00,消える仲間を助けるマインクラフト,ドズル社,Gaming,"ドズル社, マイクラ, まいくら, マインクラフト, とずる社, どする社, ドズル社マイクラ, ドズル, おんりー, おらふくん, ぼんじゅうる, おおはらMEN, ネコおじ, ネコおじいちゃん",2619,hd,false,True,233201,8456,391
St6UOLqRAGY,2025-12-05 12:00:07+00:00,HANA / NON STOP -Music Video-,HANA official,Music,,205,hd,true,True,5876272,201408,16934
TDU6pmP7gCc,2025-12-08 13:58:58+00:00,【パチンコ 新台 北斗の拳11 暴凶星】とんでもない凶暴台ｗ【パチンコ 実践】【ひでぴ パチンコ】,ひでぴのパチ実況,Entertainment,"ひでぴ パチンコ, ひでぴ とある, ひでぴラレータ, レールガン ひでぴ, ぼうきょうせい, 北斗 新台",2927,hd,false,True,149661,1471,215
RRQ6wB_obBE,2025-12-07 09:00:23+00:00,INI｜'True Love' Performance Video,INI,Entertainment,"INI, アイエヌアイ, PRODUCE101, 아이앤아이, 池﨑理人, 尾崎匠海, 木村柾哉, 後藤威尊, 佐野雄大, 許 豊凡, 髙塚大夢, 田島将吾, 西洸人, 藤牧京介, 松田迅",173,hd,true,True,468432,26147,4427
eR0MxmBAXVw,2025-12-08 14:52:36+00:00,"【スプラ3】足引っ張り隊【ABOP,エアルOG,獅子堂氏】#にじイカ祭り2025",Kuzuha Channel,Gaming,"葛葉, くずは, kuzuha, 吸血鬼, にじさんじ, nijisanji, いちから株式会社, ichikara, Vtuber, anime, アニメ, japan, 切り抜き, 雑談, game, ゲーム, 実況, 歌ってみた, カバー",7619,hd,false,True,354874,5786,19
9nOrPNxjvck,2025-12-08 09:00:07+00:00,ALLDAY PROJECT - ‘LOOK AT ME’ M/V,THEBLACKLABEL,Music,,168,hd,true,True,4076006,,6708
ADGc7ClZITQ,2025-12-08 09:00:21+00:00,クリア者不在!? 全キーアイテムを手に入れなければならない[ 強欲 ]がムズすぎる【マインクラフト/みどろんぱ】,らっだぁ,Gaming,"マインクラフト, Minecraft, マイクラ, らっだぁ, ゲーム, ゲーム実況, ニコ生",1360,hd,false,True,185892,7820,198
LVcwVyS5jNc,2025-12-08 12:07:15+00:00,【KAWAII FOCUS】FRUITS ZIPPER『はちゃめちゃわちゃライフ！』,FRUITS ZIPPER,Entertainment,,229,hd,false,False,89709,4663,353
yxNrZu4djuw,2025-12-08 07:00:54+00:00,「異常すぎる母との約束」今年一怖かったホラーゲーム『いえのあじ』,レトルト,Gaming,"レトルト, retoruto, fun, ゲーム実況, ニコニコ, レトチャンネル, playthrough, 実況プレイ, 攻略, video, game, let's, play",3611,hd,false,True,163889,4603,239
