video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Uux5TXOV3CU,KR,2025-12-31 02:30:40.507372+00:00,2025-12-30 11:29:34+00:00,[박서진 공식] 첫눈에 반해 버린 사람아,[박서진 공식] 첫눈에 반해 버린 사람아,박서진,UCInYIznyqojL4rJc83pSJQA,24,Entertainment,,0,https://i.ytimg.com/vi/Uux5TXOV3CU/hqdefault.jpg,ko,ko,False,180,PT3M,hd,false,False,,,39369,4892,939
3F4p3KOH8y0,KR,2025-12-31 02:30:40.507409+00:00,2025-12-30 14:29:09+00:00,[어벤져스: 둠스데이] '토르' 예고편 최초 공개,[어벤져스: 둠스데이] '토르' 예고편 최초 공개,MarvelKorea,UCSB5FOwUVnAhGo_o99IhxYA,24,Entertainment,"마블, marvel, marvelkorea, 마블 영화, 마블 예고편, 예고편, trailer, 마블 ost, 마블 히어로, 마블 명장면, 마블 만화, 마블총정리, 아이언맨, 캡틴아메리카, 엔드게임, 닥터스트레인지, 앤트맨, 블랙위도우, 어벤져스, marvel studio",20,https://i.ytimg.com/vi/3F4p3KOH8y0/hqdefault.jpg,ko,ko,False,93,PT1M33S,hd,false,True,,,372328,7908,1428
e9bKMJGDrzA,KR,2025-12-31 02:30:40.507422+00:00,2025-12-30 08:30:24+00:00,지피지기,지피지기,PAKA,UCJpAwvQaZyCI5spAz7tipGA,20,Gaming,"파카, paka, 손인욱, 리그오브레전드",4,https://i.ytimg.com/vi/e9bKMJGDrzA/hqdefault.jpg,ko,ko,False,1602,PT26M42S,hd,false,True,,,271941,1940,238
eDlYB_e5k3c,KR,2025-12-31 02:30:40.507432+00:00,2025-12-29 09:04:16+00:00,Borrow your night,Borrow your night,PLAVE - Topic,UCXbPamSKLbpTQV1kPUsW3KQ,10,Music,"PLAVE, 1Hz, GPLP, Yountoven, Sonbaksa, 윤다온, Borrow your night (Original Soundtrack from Even If This Love Disappears Tonight), 이 밤을 빌려 말해요 (오늘 밤, 세계에서 이 사랑이 사라진다 해도 X PLAVE), Borrow your night, 이 밤을 빌려 말해요",10,https://i.ytimg.com/vi/eDlYB_e5k3c/hqdefault.jpg,ko,ko,False,180,PT3M,hd,false,True,,,73617,5661,116
9C973g8hrXQ,KR,2025-12-31 02:30:40.507440+00:00,2025-12-30 15:22:26+00:00,와.. 드디어 근본 토르가 돌아왔다.. ≪어벤져스: 둠스데이≫ 2차 토르 예고편 떡밥 총정리,와.. 드디어 근본 토르가 돌아왔다.. ≪어벤져스: 둠스데이≫ 2차 토르 예고편 떡밥 총정리,무비띵크_Movie Think,UCKBzr20577Xcn0LJoRVES_A,1,Film & Animation,"영화리뷰, 영화추천, 무비띵크, 마블, 마블영화, 마블유튜브, 마블유튜버, 마블띵크, 디즈니플러스, MCU, 떴냐, 루머띵크, 디즈니 마블, 마블 디즈니, 어벤져스 둠스데이, 어벤져스5 둠스데이, 어벤져스5, 어벤져스 시크릿 워즈, 어벤져스 둠스데이 닥터둠, 어벤져스 둠스데이 스토리, 어벤져스 둠스데이 요약, 어벤져스 둠스데이 스포, 둠스데이 캐스팅, 둠스데이 배우, 둠스데이 캐스팅 라인업, 어벤져스 둠스데이 배우, 어벤져스 둠스데이 루머, 어벤져스 둠스데이 라인업, 어벤져스 둠스데이 로다주, 어벤져스 둠스데이 빌런, 어벤져스 둠스데이 완다, 어벤져스 둠스데이 팀, 어벤져스 둠스데이 티저, 어벤져스 둠스데이 예고편, 어벤져스 둠스데이 티저예고편, 어벤져스 둠스데이 출연료, 어벤져스 둠스데이 스티브 로저스, 둠스데이 스티브 로저스, 스티브 로저스 둠스데이, 어벤져스 둠스데이 2차 예고편, 어벤져스 둠스데이 토르",41,https://i.ytimg.com/vi/9C973g8hrXQ/hqdefault.jpg,ko,ko,False,540,PT9M,hd,false,True,,,194117,3204,470
u4CPtzmeAFc,KR,2025-12-31 02:30:40.507450+00:00,2025-12-30 11:01:41+00:00,??? : 에라 모르겠다 억빠해주세요 승천 슛! 으앜아키앜ㅌ이;ㅏㅋㅌ;임ㄴㅇ,??? : 에라 모르겠다 억빠해주세요 승천 슛! 으앜아키앜ㅌ이;ㅏㅋㅌ;임ㄴㅇ,잡상싱,UCgT-gb3favw2jQgwxbbwwaA,20,Gaming,,0,https://i.ytimg.com/vi/u4CPtzmeAFc/hqdefault.jpg,ko,ko,False,929,PT15M29S,hd,false,True,,,123544,1109,66
zftroR3vhf0,KR,2025-12-31 02:30:40.507458+00:00,2025-12-30 12:07:07+00:00,[LIVE] WARNING!+Sweet Chaos｜DAY6(데이식스) 10th Anniversary Tour ＜The DECADE＞,[LIVE] WARNING!+Sweet Chaos｜DAY6(데이식스) 10th Anniversary Tour ＜The DECADE＞,DAY6,UCp-pqXsizklX3ZHvLxXyhxw,22,People & Blogs,,0,https://i.ytimg.com/vi/zftroR3vhf0/hqdefault.jpg,en,ko,False,434,PT7M14S,hd,false,True,,,25739,3053,250
9FdiLntO6sE,KR,2025-12-31 02:30:40.507466+00:00,2025-12-22 23:00:21+00:00,"[신비아파트 10주년 극장판: 한 번 더, 소환] 2차 예고편","[신비아파트 10주년 극장판: 한 번 더, 소환] 2차 예고편",CJ ENM Movie,UCRV0Gb4i99Aj9UiqCE8xlvw,1,Film & Animation,"CJ엔터테인먼트, CJ Entertainment, 영화예고, 예고편, trailer, CJ ENM_Movie, 한국영화, 국내영화, 한국영화추천, 영화추천, 인생영화, 영화 비하인드, 영화 리뷰, 영화 후기, 넷플릭스, movie, movie recommendation, Korean movie, CJ ENM, ENM movie",20,https://i.ytimg.com/vi/9FdiLntO6sE/hqdefault.jpg,ko,ko,False,78,PT1M18S,hd,false,True,,,195511,952,144
xzTkBOYd8f0,KR,2025-12-31 02:30:40.507474+00:00,2025-12-30 15:28:46+00:00,훌라는 폭군 라이브 스트리밍 중,훌라는 폭군 라이브 스트리밍 중,훌라는 폭군,UCfAUXGg10tCLPxun9VSc72A,10,Music,,0,https://i.ytimg.com/vi/xzTkBOYd8f0/hqdefault.jpg,ko,ko,False,15096,PT4H11M36S,hd,false,False,,,209763,414,0
5A9T1vIOKRo,KR,2025-12-31 02:30:40.507482+00:00,2025-12-28 09:00:12+00:00,EVE,EVE,YANGHONGWON - Topic,UCO4p2LbFEEF1HKm4HnUVjfg,10,Music,"YANGHONGWON, 양홍원, SONAGY, 소나기, EVE, 이브",6,https://i.ytimg.com/vi/5A9T1vIOKRo/hqdefault.jpg,en,en,False,114,PT1M54S,hd,false,True,,,68519,1441,0
