video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
AeGzMMn-zI0,2025-11-30 17:15:25+00:00,สายลมเจ็บปวด เวอร์ชั่นอะคูสติก,Wirada Sirin - Topic,Music,"Wirada Sirin, Hmong Sad Song, สายลมเจ็บปวด เวอร์ชั่นอะคูสติก",272,hd,False,True,293180,1962.0,84.0
XhzT5vBrkio,2025-11-28 12:00:01+00:00,[Official Trailer] Beside The Sky ต้นฟ้าไต้ฝุ่น | STUDIO WABI SABI,Studio Wabi Sabi,Film & Animation,"#ซีรีส์วาย, #หนังวาย, #Studiowabisabi, Wabi, Sabi, #วาบิซาบิ, #วาบิ, #ซาบิ, UWMAseries, ด้ายแดง, บังเอิญรัก, lovebychance, 7project, #องศาสูญ, AbsoluteZero, FoureveryouProject, เพราะรักนำทาง",205,hd,True,True,394062,29278.0,1172.0
rqlJ27HH-iU,2025-12-06 11:00:06+00:00,สุสานโสเภณีร้าง | หลอนไดอารี่ EP.304,หลอนไดอารี่,Entertainment,"หลอนไดอารี่, เรื่องผี3D, เรื่องผี3มิติ, หนังผี, หลอนไดอารี่ล่าสุด, ผี, หลอน daily, ร้อนไดอารี่, ไดอารี่, ลอนดอนไดอารี่, เรื่องผี, การ์ตูนผี, ผีไทย, ตำนาน, เรื่องเล่า, หลอยไดอารี่, ลี้ลับ, เรื่องหลอน, หลอนไดอารี่ใหม่ล่าสุด, หลอนเดลี่, โหลดไดอารี่, ดูหลอนไดอารี่, สอนไดอารี่, หลอนไดอารี, ร้านไดอารี่, หนังผีหลอนไดอารี่, ไม่หลอนไม่เล่า, ไดอารี่หลอน, หลอดไดอารี่, หลอนไดอารี่ตอนใหม่ล่าสุด, ลอนไดอารี่, หนังไดอารี่, หลอนไดอารี่ล่าสุดวันนี้, เบิ่งหนังผี, การ์ตูน, ผีหลอก, หลอด diary, หล่อนไดอารี่, หอนไดอาลี, หลอนแบรี่, 3DHorror",787,hd,False,True,95092,5643.0,340.0
vxHVQtJj2uQ,2025-11-25 11:00:13+00:00,สาธุ (Sathu) - ASIA7 Feat. ปลาย กนกพร |Official MV|,GeneLab,Music,"ASIA7, ปลาย กนกพร, สาธุ, Sathu, ขอรักแท้เอยจงเข้ามา, grammy gold, genelab, ขอให้เจอความรักที่จะไม่ทำให้เสียใจ, สาธุเด้อ, จุดธูปเก้าดอกสักการะ, น้องปลาย, ออย ASIA7, บ่โสดบ่อนุญาตให้จีบ, สาธุNetflix, สาธุ2",234,hd,True,True,3905468,23515.0,781.0
OdaPoeA6lFU,2025-11-27 10:00:44+00:00,[Official Trailer] Dare you to death ไขคดีเป็น เห็นคดีตาย,GMMTV OFFICIAL​​,Entertainment,"GMMTV, จีเอ็มเอ็ม ทีวี, GMM Grammy, จุง อาเชน, ดัง ณัฎฐ์ฐชัย, จุงดัง, JOONGDUNK, ชิม่อน วชิรวิชญ์, ซิง หฤษฎ์, จูน วรรณวิมล, โอม ฐิภากร, มาร์ค ณฐริศร์, พร้อม ทีปกร, ฟลุ๊ค จีรัสณ์, ป่าน ปทิตตา, แซมมี่ ซาแมนท่า, อังเปา โอชิริส, อชิ พีระกานต์, เอิร์น ปรียาภัทย์",189,hd,True,True,669591,58226.0,3395.0
gdFCTymqcYA,2025-12-06 13:54:24+00:00,งานออฟไลน์การแข่งขัน RoV นานาชาติ AIC 2025🏆 รอบ 4 ทีมสุดท้าย [6 Dec],Garena RoV Thailand,Gaming,,33646,hd,False,False,1277984,6676.0,41.0
u7n96mUafXk,2025-11-27 11:01:48+00:00,คองเผิ่น - ต่าย อรทัย x ไผ่ พงศธร【OFFICIAL MV】,GRAMMY GOLD OFFICIAL,Music,"เพลงลูกทุ่ง, แกรมมี่ โกลด์, grammy gold, gmmgrammyofficial, ลูกทุ่งแกรมมี่, เพลงลูกทุ่งรัก, เพลงลูกทุ่งเศร้า, คองเผิ่น, เพลงใหม่, เพลงเพราะ, เพลงใหม่ล่าสุด, ต่าย อรทัย, ไผ่ พงศธร, ต่าย ไผ่, แอ้ม ชลธิชา, ก้ำ ศุภเชษฐ์, เพพชร คฑาวุธ, อัลบั้มปลายปากกาตราครูบ้านนอก, เพลงอกหัก, ต้องให้เป็นไผในตอนนี้, ผู้หญิงหัวใจอีสาน, ผู้สาวซิ่นมัดหมี่",354,hd,False,True,1602090,10451.0,653.0
2W7z4SB8Vy8,2025-11-09 03:06:13+00:00,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,Entertainment,"skibidi toilet, skibidi toilet emergence, skibidi emergence, skibidi toilet new series, skibidi toilet 80, skibidi explained, skibidi lore, skibidi storyline, skibidi arc, skibidi war, cameraman, tv woman, speakerman, secret agent, watchman of doom, astro toilet, astros vs alliance, alliance vs astros, Dafuqboom, unreal engine animation, skibidi universe, skibidee toilet, Skebedee, toilet skibidi, brainrot, emergence trailer, skibidi trailer, skibidi spoiler, steal a brainrot",51,hd,True,True,6383421,198120.0,39850.0
P399r2kx-vc,2025-12-06 01:30:20+00:00,ผมเปลี่ยนฐานของผมให้เป็น ฐานกับดักไก่งวงที่ปลอดภัยที่สุด! 99คืนในป่า,Tomaz ZaZab,Gaming,"roblox, 99 nights in the forest, 99 night in the forest, 99 คืนในป่า, ปลูกสวน, steal a brainrot, โรบล็อค",1369,hd,False,True,126570,3028.0,233.0
MLB7JKDmYnM,2025-11-25 08:31:14+00:00,วันที่อ่อนแอ (Live Version),NJoinPlay - Topic,Music,"NJoinPlay, วันที่อ่อนแอ (Live Version), วันที่อ่อนแอ",302,hd,False,True,1187883,4495.0,0.0
