video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
AeGzMMn-zI0,2025-11-30T17:15:25Z,สายลมเจ็บปวด เวอร์ชั่นอะคูสติก,Wirada Sirin - Topic,10,Music,"Wirada Sirin, Hmong Sad Song, สายลมเจ็บปวด เวอร์ชั่นอะคูสติก",272,hd,false,True,324878,2089,87
XhzT5vBrkio,2025-11-28T12:00:01Z,[Official Trailer] Beside The Sky ต้นฟ้าไต้ฝุ่น | STUDIO WABI SABI,Studio Wabi Sabi,1,Film & Animation,"#ซีรีส์วาย, #หนังวาย, #Studiowabisabi, Wabi, Sabi, #วาบิซาบิ, #วาบิ, #ซาบิ, UWMAseries, ด้ายแดง, บังเอิญรัก, lovebychance, 7project, #องศาสูญ, AbsoluteZero, FoureveryouProject, เพราะรักนำทาง",205,hd,true,True,397772,29408,1173
QkQZAuJgpUw,2025-12-06T17:31:40Z,อ้ายวินมาแล้ว | FREE FIRE Live Stream #1 🔴,LowGrade,20,Gaming,"โลเกรด, โลเกด, พี่วิน, ราชาบัค, แบล็ค, FiveM, มายคราฟ, Minecraft, GTA, เณรแบล็ค, Roblox, LowGrade, เกมช่อนแอบ, Yataliban, icebaber, blackkung, songdohe, LowGrade Roblox, LowGrade MineCraft, เกมใหม่, เกมฮาๆ, เกมเล่นกับเพื่อน, เกมมือถือ, เกมอินดี้, เกมน่าเล่น, เกมมาแรง, เกมฮิต, เกมสร้างบ้าน, เกมเอาชีวิตรอด, เกมผจญภัย, เกมแนะนำ, เกมตลก, เกมแนว Sandbox, เกมออนไลน์, เกมเมอร์ไทย, ยูทูบเบอร์เกม, คอนเทนต์เกม, ตลกเกมเมอร์, เล่นเกมฮาๆ, เล่นเกมฮาแตก, Minecraft Mod, Minecraft ไทย, Minecraft เอาชีวิตรอด, Minecraft สร้างบ้าน",14696,hd,false,True,365812,28298,492
vxHVQtJj2uQ,2025-11-25T11:00:13Z,สาธุ (Sathu) - ASIA7 Feat. ปลาย กนกพร |Official MV|,GeneLab,10,Music,"ASIA7, ปลาย กนกพร, สาธุ, Sathu, ขอรักแท้เอยจงเข้ามา, grammy gold, genelab, ขอให้เจอความรักที่จะไม่ทำให้เสียใจ, สาธุเด้อ, จุดธูปเก้าดอกสักการะ, น้องปลาย, ออย ASIA7, บ่โสดบ่อนุญาตให้จีบ, สาธุNetflix, สาธุ2",234,hd,true,True,4070640,24166,810
OdaPoeA6lFU,2025-11-27T10:00:44Z,[Official Trailer] Dare you to death ไขคดีเป็น เห็นคดีตาย,GMMTV OFFICIAL​​,24,Entertainment,"GMMTV, จีเอ็มเอ็ม ทีวี, GMM Grammy, จุง อาเชน, ดัง ณัฎฐ์ฐชัย, จุงดัง, JOONGDUNK, ชิม่อน วชิรวิชญ์, ซิง หฤษฎ์, จูน วรรณวิมล, โอม ฐิภากร, มาร์ค ณฐริศร์, พร้อม ทีปกร, ฟลุ๊ค จีรัสณ์, ป่าน ปทิตตา, แซมมี่ ซาแมนท่า, อังเปา โอชิริส, อชิ พีระกานต์, เอิร์น ปรียาภัทย์",189,hd,true,True,676742,58509,3402
rqlJ27HH-iU,2025-12-06T11:00:06Z,สุสานโสเภณีร้าง | หลอนไดอารี่ EP.304,หลอนไดอารี่,24,Entertainment,"หลอนไดอารี่, เรื่องผี3D, เรื่องผี3มิติ, หนังผี, หลอนไดอารี่ล่าสุด, ผี, หลอน daily, ร้อนไดอารี่, ไดอารี่, ลอนดอนไดอารี่, เรื่องผี, การ์ตูนผี, ผีไทย, ตำนาน, เรื่องเล่า, หลอยไดอารี่, ลี้ลับ, เรื่องหลอน, หลอนไดอารี่ใหม่ล่าสุด, หลอนเดลี่, โหลดไดอารี่, ดูหลอนไดอารี่, สอนไดอารี่, หลอนไดอารี, ร้านไดอารี่, หนังผีหลอนไดอารี่, ไม่หลอนไม่เล่า, ไดอารี่หลอน, หลอดไดอารี่, หลอนไดอารี่ตอนใหม่ล่าสุด, ลอนไดอารี่, หนังไดอารี่, หลอนไดอารี่ล่าสุดวันนี้, เบิ่งหนังผี, การ์ตูน, ผีหลอก, หลอด diary, หล่อนไดอารี่, หอนไดอาลี, หลอนแบรี่, 3DHorror",787,hd,false,True,215890,9242,399
u7n96mUafXk,2025-11-27T11:01:48Z,คองเผิ่น - ต่าย อรทัย x ไผ่ พงศธร【OFFICIAL MV】,GRAMMY GOLD OFFICIAL,10,Music,"เพลงลูกทุ่ง, แกรมมี่ โกลด์, grammy gold, gmmgrammyofficial, ลูกทุ่งแกรมมี่, เพลงลูกทุ่งรัก, เพลงลูกทุ่งเศร้า, คองเผิ่น, เพลงใหม่, เพลงเพราะ, เพลงใหม่ล่าสุด, ต่าย อรทัย, ไผ่ พงศธร, ต่าย ไผ่, แอ้ม ชลธิชา, ก้ำ ศุภเชษฐ์, เพพชร คฑาวุธ, อัลบั้มปลายปากกาตราครูบ้านนอก, เพลงอกหัก, ต้องให้เป็นไผในตอนนี้, ผู้หญิงหัวใจอีสาน, ผู้สาวซิ่นมัดหมี่",354,hd,false,True,1688902,10648,665
2W7z4SB8Vy8,2025-11-09T03:06:13Z,skibidi toilet: emergence | official trailer,DaFuq!?Boom!,24,Entertainment,"skibidi toilet, skibidi toilet emergence, skibidi emergence, skibidi toilet new series, skibidi toilet 80, skibidi explained, skibidi lore, skibidi storyline, skibidi arc, skibidi war, cameraman, tv woman, speakerman, secret agent, watchman of doom, astro toilet, astros vs alliance, alliance vs astros, Dafuqboom, unreal engine animation, skibidi universe, skibidee toilet, Skebedee, toilet skibidi, brainrot, emergence trailer, skibidi trailer, skibidi spoiler, steal a brainrot",51,hd,true,True,6446386,198793,40044
4TeOE5VApXo,2025-12-06T12:00:08Z,แกล้งคนขโมยรถด้วยคำสั่งแอดมิน ในเกม GTA V Roleplay (ภาค 2),Moment Games,20,Gaming,"moment games, โมเม้นเกม, gta, gta v, gta v roleplay, GTA, GTAV, Roleplay, ปลอมตัว, ปลอมตัวเป็น npc, gta v ไทย, gta v ฮาๆ, gta v ตลก, แกล้งคน gta v, แกล้งคนขโมยรถ gta v, ใช้คำสั่งแอดมินแกล้งคนขโมยรถ gta v",955,hd,false,True,122889,5270,205
MLB7JKDmYnM,2025-11-25T08:31:14Z,วันที่อ่อนแอ (Live Version),NJoinPlay - Topic,10,Music,"NJoinPlay, วันที่อ่อนแอ (Live Version), วันที่อ่อนแอ",302,hd,false,True,1256133,4738,0
