video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
PSiLRpq3aBc,LI,2025-12-30 02:31:11.752275+00:00,2025-12-24 17:00:07+00:00,Dafina Zeqiri x Marin - 4 Pyetje,Dafina Zeqiri x Marin - 4 Pyetje,Dafina Zeqiri,UCrv0PJoutcRhHkSMJYoXAIQ,10,Music,"Dafina Zeqiri, Marin, 4 Pyetje, Dafina Zeqiri x Marin, Dafina Zeqiri x Marin - 4 Pyetje, dafina zeqiri, marin, dafina zeqiri marin, dafina zeqiri marin 4 pyetje, DAFINA ZEQIRI, dafina, zeqiri, prishtina, kosova, albania, duffye",16,https://i.ytimg.com/vi/PSiLRpq3aBc/hqdefault.jpg,en,en,False,170,PT2M50S,hd,false,True,,,972814,8499,332
Mzw2ttJD2qQ,LI,2025-12-30 02:31:11.752312+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,27737596,495855,25577
zPbrkmdcTfo,LI,2025-12-30 02:31:11.752324+00:00,2025-12-27 17:00:04+00:00,1000 Players Simulate Civilization: Boys vs Girls,1000 Players Simulate Civilization: Boys vs Girls,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/zPbrkmdcTfo/hqdefault.jpg,en,en,False,3156,PT52M36S,hd,true,True,,,14435358,456344,29538
gvj6ywe60SU,LI,2025-12-30 02:31:11.752333+00:00,2025-12-18 16:59:46+00:00,YLL LIMANI - DITE E NATE (Official Visualizer),YLL LIMANI - DITE E NATE (Official Visualizer),Yll Limani,UCwxa1gR8DEkcOVKXbN5cDkg,10,Music,"Yll Limani, Ylli, Ylli Limani, ylli limani, ylli, yll, prishtina, kosova, albania, kaje",10,https://i.ytimg.com/vi/gvj6ywe60SU/hqdefault.jpg,sq,sq,False,217,PT3M37S,hd,false,True,,,2823315,12789,117
_Dfc89TY-aA,LI,2025-12-30 02:31:11.752341+00:00,2025-12-24 14:00:00+00:00,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Barry Keoghan, Cillian Murphy, Conspiracy, Netflix, Netflix 2026, Netflix Teasers, New on Netflix, Packy Lee, Peaky Blinders, Rebecca Ferguson, Sophie Rundle, Stephen Graham, Steven Knight, Tense, The Immortal Man, Tim Roth, Tom Harper, drama, film, teaser",20,https://i.ytimg.com/vi/_Dfc89TY-aA/hqdefault.jpg,en,en-US,False,71,PT1M11S,hd,true,True,,,6867171,179366,5446
QIuQKFrAqT8,LI,2025-12-30 02:31:11.752350+00:00,2025-12-27 15:01:00+00:00,DIE KRASSESTE AMONG US RUNDE ALLER ZEITEN,DIE KRASSESTE AMONG US RUNDE ALLER ZEITEN,LUCREW,UCnGzJIUgwZmvixL5WzxIwbg,24,Entertainment,"luca, laserluca, lucrew, concrafter, reaction, reaktion, reagiert, live",8,https://i.ytimg.com/vi/QIuQKFrAqT8/hqdefault.jpg,de,de,False,948,PT15M48S,hd,false,True,,,437103,20602,817
tALK9QKqP5I,LI,2025-12-30 02:31:11.752357+00:00,2025-12-21 17:00:07+00:00,DON XHONI x VINZ x STEALTH - GHETTO,DON XHONI x VINZ x STEALTH - GHETTO,DON XHONI,UCZNJXsf2I4y54M_UmMiC6Vw,24,Entertainment,,0,https://i.ytimg.com/vi/tALK9QKqP5I/hqdefault.jpg,en,sq,False,151,PT2M31S,hd,false,True,,,2509054,26913,1035
q5Jya-8TzRY,LI,2025-12-30 02:31:11.752365+00:00,2025-12-22 14:15:24+00:00,DIE ODYSSEE Trailer German Deutsch (2026) Matt Damon & Tom Holland,DIE ODYSSEE Trailer German Deutsch (2026) Matt Damon & Tom Holland,KinoCheck,UCOL10n-as9dXO2qtjjFUQbQ,24,Entertainment,"2026, Abenteuer, Anne Hathaway, Die Odyssee, Die Odyssee (Film), Die Odyssee Trailer, Die Odyssee Trailer Deutsch, Die Odyssee Trailer German, Griechenland, Götter, Homer, KinoCheck, Matt Damon, Monster, Odyssee, The Odyssey, Tom Holland, deutsch, german, trailer, trailer deutsch, trailer german",22,https://i.ytimg.com/vi/q5Jya-8TzRY/hqdefault.jpg,de,de,False,122,PT2M2S,hd,false,True,,,389441,7747,688
s0UdN6baK2c,LI,2025-12-30 02:31:11.752372+00:00,2025-12-28 14:01:32+00:00,Unstable SMP: The Battle for The Great Sea,Unstable SMP: The Battle for The Great Sea,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,20,Gaming,,0,https://i.ytimg.com/vi/s0UdN6baK2c/hqdefault.jpg,en-US,en-US,False,4149,PT1H9M9S,hd,false,True,,,3188708,172379,20814
gKCjGVtzIbo,LI,2025-12-30 02:31:11.752380+00:00,2025-12-21 16:00:07+00:00,Durim Malaj x Rinis Malaj - Diaspora (Potpuri 2026),Durim Malaj x Rinis Malaj - Diaspora (Potpuri 2026),EMRA COM,UCfvkj-ggeiPT066ByKgg93Q,10,Music,"Durim Malaj, Rinis Malaj, Diaspora, Potpuri, Potpuri 2026, Durim Malaj x Rinis Malaj, Durim Malaj x Rinis Malaj - Diaspora, Durim Malaj x Rinis Malaj - Diaspora (Potpuri 2026), (Potpuri 2026), durim malaj, rinis malaj, diaspora, potpuri, potpuri 2026, durim malaj rinis malaj potpuri 2026, emracom, emra, kosove, kosova, prishtina, tirana, shqiptar, albania, show",24,https://i.ytimg.com/vi/gKCjGVtzIbo/hqdefault.jpg,sq,sq,False,513,PT8M33S,hd,false,True,,,516475,3367,97
