video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
VubJRLtbA14,2025-11-21 11:40:17+00:00,Dinuli Damsandi - Buru Buru ( බුරු බුරු ) | Official Music Video,Dinuli Damsandi,Music,"Dinuli damsandi, Buru Buru, බුරු බුරු, Buru buru song, dinuli damsandi, Mata sahodaraya wage song, බුරු බුරු song, Dinuli damsandi new song, Dinuli damsandi buru buru, Buru buru official music video, Buru buru lyrics, Sinhala song, New song, New sinhala songs, Trip eka pandarin, Lassana light dama bus eka awa, Buru buru sinhala, Sinhala pop, Dinuli Damsandi - Buru Buru ( බුරු බුරු ) | Official Music Video, Dinuli damsandi buru buru song, Buru buru song dinuli damsandi",220,hd,False,False,2432155,50257.0,7602.0
BcZJhA2baZc,2025-12-06 05:30:02+00:00,"Vaa Vaathiyaar - Trailer | Karthi, Krithi Shetty | Nalan Kumarasamy|Santhosh Narayanan| Studio Green",Think Music India,Music,"karthi, karthi new movie, karthi new movie trailer, karthi tamil movies, karthi vaa vaathiyaar, karthi vaa vaathiyaar movie, karthi vaa vaathiyaar movie trailer, karthi vaa vaathiyaar trailer, karthi vaa vaathiyar trailer, krithi shetty, latest tamil movies, nalan k",140,hd,False,True,2564645,106801.0,960.0
gMriCU9OYOY,2025-12-05 10:30:06+00:00,Nick & Tani Funny Story Sinhala Episode :-  1 ,YAKA MAN,Gaming,"Nick & Tani Funny Story Sinhala, Scary Teacher, Pranks, Game, Nick, Tani, Here for the Pranks, Just Roll with it, The Prankster Effect, Bug-time Fright, Hair We Are, Nacho Average Prank, A Purrfect Crime, is That Trash?, Creep it real, Bugstastic Snack, A Trippy Affair, Nick & Tani Funny Story Sinhala Episode 1, yaka man",1122,hd,False,True,21454,2296.0,415.0
eXtPsLLc7qM,2025-11-25 11:42:08+00:00,18 Wannam  ( 18 වන්නම් ) | Yuki Navaratne & Ravi Jay | Official Animation Video by @CHAKRAVISUALS,Yuki Navaratne ,Entertainment,"Yuki Navaratne, Ravi Jay, YukiBeatz, Sinhala music, Sri Lankan music, new Sinhala song, Sinhala animation video, Chakra Visuals, Umara Music Studio, Yaka Crew, Sinhala rap, Sinhala pop, Sri Lanka 2025 music, Sinhala official video, Sinhala animated video, trending Sinhala songs, Sri Lankan artists, Yuki Navaratne new song, Ravi Jay new release, 18 Wannam, Sinhala production, 18 වන්නම්",235,hd,False,False,504894,25193.0,2069.0
-NyFfhaCFuQ,2025-12-03 07:28:01+00:00,KANCHANA 4 -Official Trailer  [Tamil ] | Raghava lawrence | Pooja Hegde | Nora Fatehi | New movie |,"WHITE CHILLIES ENTERTAINMENT 


.",Film & Animation,,95,hd,False,True,95538,1034.0,30.0
F0XHxFVUfnY,2025-12-05 10:43:00+00:00,මාව හප්පලා මැරුවා 😭 |  REPO New Update,Allen K S L,Gaming,"මාව හප්පලා මැරුවා 😭 | REPO New Update Sinhala Gameplay, REPO New Update, R.E.P.O. Sinhala Gameplay, Allen K SL R.E.P.O, R.E.P.O, repo sinahala gameplay, allen k sl repo, allen k sl gaming, allen k sl horror game, Repo gamplay, Repo, Allen K SL, allen k sl videos",2330,hd,False,True,19429,2258.0,361.0
Mo6BtpGay6s,2025-11-22 11:40:07+00:00,DILU Beats - Ahimi E Dasa (අහිමි ඒ දෑස) Official Music Video,DILU Beats,Music,,254,hd,False,True,468202,23754.0,2079.0
sItUCKJQLTU,2025-12-04 20:53:14+00:00,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,True,True,5581758,56661.0,3727.0
gimf4huCILM,2025-12-03 09:30:06+00:00,බස් එක ගංවතුරෙ ගිලුනා😢💦 Driving simulator srilanka sinhala game play @ALIeNKoLLa,ALIeN KoLLa,Gaming,"Driving simulator srilanka, Severe flooding, Bus game play, Flood, Sinhala game play",535,sd,False,True,21702,1158.0,69.0
mohotb1LOh8,2025-12-03 02:30:46+00:00,sinhala best  Band Old Songs Nonstop | Sinhala Sindu | Sinhala Songs Best Collection | Sinhala Song,Hadata Music,People & Blogs,"lassana sindu, duka hithena sindu, sinhala trending song, new sinhala songs, sinhala new mp3, sinhala songs collection, sinhala new songs collection, best sinhala songs collection, sinhala nonstop, sindu, aluth sinhala sindu, new sinhalasongs, hit sinhala songs, sinhala sindu, manoparakata, dj sinhala song, sinhala dj nonstop, sinhala songs jukebox, mano music, sinhala songs, aluth sindu, band song sinhala, band nonstop, nonstop sinhala, Old Nonstop sinhala, shaa sindu",4599,sd,False,True,66876,354.0,13.0
buOHOo5kWVM,2025-12-03 05:09:03+00:00,LEAKED Avengers Doomsday Teaser Breakdown (தமிழ்),Mokka Commentry,Entertainment,"tamil, தமிழ், mokka commentry, mokka, trending, youtube tamil, recommended, tamil creator",583,hd,False,True,118016,7788.0,256.0
44lFWJmSfeE,2025-12-05 12:38:57+00:00,🔴ROAD TO 58K!!| #freefire #ShortFeed #Shorts | GAMING MR.D,GAMING MR.D ,Gaming,"freefire, gamingmrd, mrd, short, shortfeed",13634,hd,False,True,35608,1102.0,2.0
sEeEm_OPkxg,2025-11-22 15:01:47+00:00,Yamu Sella Kataragam (යමු සෙල්ල කතරගම්) - ( Slowed + Reverb ),Asith Musick,Music,"asith new, asith music, manoparakata sindu, slowed and reverb, studio 101, sinhala slow sindu, new sinhala songs, yamu sellakatharagama, yamu sella katharagama, sella katharagama",256,hd,False,True,129460,,141.0
Ap0BPljx1Jc,2025-11-23 13:30:15+00:00,Dharmayuddhaya 2 (‍‍ධර්මයුද්ධය) - Sinhala Movie Trailer | WilzONE,WilzONE,Entertainment,"Sinhala Movies, WilzONE, 2025 Sinhala Films, Sinhala Movie Trailer, Dharmayuddhaya 2 Movie, Dharmayuddhaya 2 Sinhala Movie Trailer, Bimal Jayakodi, Dilhani Ekanayaka, Thisuri Yuwanika, Vinum Vansadhi, Kusum Renu, Daglas Ranasingha, Kumara Thirimadura, Ananda Athukorala, Ashan Dias, Dinakshi Priyasad, Sanath Gunathika, Mauli Ferdinando, Kalana Gunasekara, Kasuni Kavindi, Iresh Lakmal, Nirukshan Ekanayake, Harshika Rathnayaka, Danu Inasithambi, Thilakshini Rathnayaka",106,hd,False,True,38359,437.0,12.0
