video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
wNq-D_LRIQM,MA,2025-12-29 02:39:36.111123+00:00,2025-12-27 21:30:06+00:00,"7ELMET ADO 7 (Prod. By West, Foniki & Flem) M/V ","7ELMET ADO 7 (Prod. By West, Foniki & Flem) M/V ",ElGrandeToto,UCVG705xosVltZb52R0hHr_g,10,Music,"Elgrandetoto, HORS SÉRIE, elgrandetoto hors serie, elgrandetoto live, el grande toto, elgrandetoto album, elgrandetoto Pablo, elgrandetoto freestyle, rap 2020, rap maroc 2020, rap francais, rap maroc 2020 jadid, rap maroc 2020 new, elgrandetoto apache, elgrandetoto 7elmetado, راب مغربي, راب مغربي 2020",17,https://i.ytimg.com/vi/wNq-D_LRIQM/hqdefault.jpg,en,ar,False,480,PT8M,hd,false,True,,,357865,27822,2341
Dm1P6lGLvh4,MA,2025-12-29 02:39:36.111164+00:00,2025-12-28 12:02:51+00:00,Série - Marie & Momo - Episodes 44 - Bande annonce,Série - Marie & Momo - Episodes 44 - Bande annonce,Marodi TV Sénégal,UCqe0sSESmaQbLFdTExctQLA,24,Entertainment,"Séries, Série, télévisions, sénégal, séries sénégalaises, marodi tv, Marodi, séries africaines, mbarodi, vidéos sénégal, karma, maitresse, pod et marichou, decheance, virginie, emprises, credule, baabel, kay&za",19,https://i.ytimg.com/vi/Dm1P6lGLvh4/hqdefault.jpg,fr,fr,False,35,PT35S,hd,false,True,,,209300,10409,60
eRoGs5Wf4QI,MA,2025-12-29 02:39:36.111177+00:00,2025-12-26 23:21:50+00:00,🔴مباشر: المغرب ضد مالي | لعبة محاكاة وتوقعات eFootball PES 21,🔴مباشر: المغرب ضد مالي | لعبة محاكاة وتوقعات eFootball PES 21,KYRGYZ PUBG,UCmgLrmSvU8lVTrKRd1OgZ7Q,20,Gaming,,0,https://i.ytimg.com/vi/eRoGs5Wf4QI/hqdefault.jpg,en,ar,False,199,PT3M19S,hd,false,True,,,3055525,10161,3
bqF_q_0xurA,MA,2025-12-29 02:39:36.111187+00:00,2025-12-28 10:51:09+00:00,Diib - Labyrinth (prod by 88young),Diib - Labyrinth (prod by 88young),Diib,UCxj_XGuCZIfdJKQQryVShgA,10,Music,"Diib, ديب, Dib, Hip Hop, Rap, Arabic, Arabic Rap, Rap Marocain, Moroccan, Trap, اغاني, اغاني راب, راب, راب مغربي, Music, unstable v2, madara, unstable, klach youppi, lferda, raid, diip, Dibe, deeb, الديب, diibologie, tafi, Dilemma, dojo, Chabaka, شبكة, Official Channel",32,https://i.ytimg.com/vi/bqF_q_0xurA/hqdefault.jpg,en,ar,False,209,PT3M29S,hd,false,True,,,46227,6531,631
-0i7QAPk8ow,MA,2025-12-29 02:39:36.111197+00:00,2025-12-28 19:30:01+00:00,PIGGY: INTERCITY TRAILER REACTION,PIGGY: INTERCITY TRAILER REACTION,KreekCraft,UCxsk7hqE_CwZWGEJEkGanbA,20,Gaming,,0,https://i.ytimg.com/vi/-0i7QAPk8ow/hqdefault.jpg,en-US,en-US,False,533,PT8M53S,hd,false,True,,,417923,8098,345
viXNprQPjKg,MA,2025-12-29 02:39:36.111205+00:00,2025-12-28 11:59:23+00:00,هذه السكواد تتحداني منذ عام 😱 صدمني مستواهم 🔥👀,هذه السكواد تتحداني منذ عام 😱 صدمني مستواهم 🔥👀,MODOX FF,UCT8bIM1sAW9i8mlRqhGVPjA,20,Gaming,"free fore, modox, ff",3,https://i.ytimg.com/vi/viXNprQPjKg/hqdefault.jpg,ar,ar,False,708,PT11M48S,hd,false,True,,,41200,4608,193
9loVIHzN2aQ,MA,2025-12-29 02:39:36.111213+00:00,2025-12-26 16:00:07+00:00,Bessan Ismail - Najma (Official Music Video) | بيسان اسماعيل - نجمة,Bessan Ismail - Najma (Official Music Video) | بيسان اسماعيل - نجمة,Bessan Ismail Music,UChqTvg4HK6_vNDCwy7XypqQ,10,Music,"نجمة, Najma, bessan ismail, bessan, bessan ismael, bissan, bissan ginger, bissan tiktok, ani el eshktak, بيسان اسماعيل, بيسان ترند جديد, Kelmat Hwaya, Ana Nadman, bessan ismail music, هيهات, chabaka, Bessan Ismail, bessan ismail songs, bessan ismail vlog, bessan ismail 2025, arabic pop, arabic songs, بيسان اسماعيل اغاني, بيسان اسماعيل جديد, ترند بيسان, arabic music, مشاهير التيك توك, نجوم سوريا, syria stars, بيسان اسماعيل تيك توك, bessan ismail tiktok, bessan ismail youtube",32,https://i.ytimg.com/vi/9loVIHzN2aQ/hqdefault.jpg,ar,ar,False,176,PT2M56S,hd,false,True,,,6465563,218791,54864
IqaXNwAzSmQ,MA,2025-12-29 02:39:36.111222+00:00,2025-12-25 17:30:00+00:00,Bridgerton Season 4 | Official Trailer | Netflix,Bridgerton Season 4 | Official Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Adjoa Andoh, Benedict, Benophie, Bridgerton, Bridgerton Season 4, Bridgerton Trailer, Claudia Jessie, Colin, Eloise, Fantasy, Francesca, Golda Rosheuvel, Hannah Dodd, Jonathan Bailey, Julia Quinn, Julie Andrews, Kanthony, Lady Whistledown, Luke Newton, Luke Thompson, Michaela, Netflix, Netflix Drama, Netflix Series, Nicola Coughlan, Penelope, Polin, Regency, Romance, Ruth Gemmell, Shondaland, Simone Ashley, Sophie, Yerin Ha",34,https://i.ytimg.com/vi/IqaXNwAzSmQ/hqdefault.jpg,en,en-US,False,153,PT2M33S,hd,true,True,,,2771028,80436,2853
wShVJ9l6a-A,MA,2025-12-29 02:39:36.111230+00:00,2025-12-26 22:58:47+00:00,🎮 مباراة قوية بين المغرب ومالي | HIGHLIGHTS|محاكاة رقمية efootbal PES2021 PC,🎮 مباراة قوية بين المغرب ومالي | HIGHLIGHTS|محاكاة رقمية efootbal PES2021 PC,BUZZ TUBE,UCCjZ0Lp49PgvimSNEW8s7Ug,20,Gaming,,0,https://i.ytimg.com/vi/wShVJ9l6a-A/hqdefault.jpg,ar,ar,False,180,PT3M,hd,false,True,,,2269661,5766,4
HzgBZJlhAuI,MA,2025-12-29 02:39:36.111237+00:00,2025-12-26 17:00:26+00:00,DEMON X BABY GANG X ORIO - NARI NARI NARI (MUSIC VIDEO),DEMON X BABY GANG X ORIO - NARI NARI NARI (MUSIC VIDEO),DEMON 324,UCVaVBXo6_w8N499hhnkxJ_A,10,Music,"demon, demon324, dimo, dimon, CB4, CB4GANG, moro, rapmaroc, rap2022, rap 2023, street rap, #BabyGang, #NewMusic, #MusicVideo, #Rap, #narinarinari, #rapitalia, Rapnorway, Clash disstrack, #demon324, #rapmaroc",21,https://i.ytimg.com/vi/HzgBZJlhAuI/hqdefault.jpg,en,ar,False,174,PT2M54S,hd,false,True,,,105303,6440,929
SsECjtajY90,MA,2025-12-29 02:39:36.111246+00:00,2025-12-28 12:00:20+00:00,سرقت اغلى شخصية في لعبة السرقة 😱في روبلكس🔥| Steal a Brainrot,سرقت اغلى شخصية في لعبة السرقة 😱في روبلكس🔥| Steal a Brainrot,Hicham Panda,UConNpoTlEic3FtPdwafprag,20,Gaming,"العزاوي, العزاوي فاملي, باندا, هشام باندا, HICHAM, HICHAM PANDA, PANDA, فاملي, family, تحدي, هشام, la3zawi, la3zawi family, مكا فاملي, مكا, maka family, hk, hk family, اشكا, اشكا فاملي, game, لعبة, العاب, gaming, gameplay, games, تحديات",27,https://i.ytimg.com/vi/SsECjtajY90/hqdefault.jpg,ar,ar,False,1726,PT28M46S,hd,false,True,,,58878,1500,235
9OS_GIQQ2zM,MA,2025-12-29 02:39:36.111254+00:00,2025-12-28 19:02:26+00:00,1.Enfant gâté (Official Audio),1.Enfant gâté (Official Audio),Kira7,UCEQztCpf_GDLbDqOO_-btxA,10,Music,,0,https://i.ytimg.com/vi/9OS_GIQQ2zM/hqdefault.jpg,fr,en,False,216,PT3M36S,hd,false,True,,,7331,1292,197
_NRaMoCRfr4,MA,2025-12-29 02:39:36.111261+00:00,2025-12-28 20:04:06+00:00,الجزائر ضد بوركينا فاسو | محاكاة كأس الأمم 2025 | أسلوب لعب واقعي في لعبة eFootball PES 21,الجزائر ضد بوركينا فاسو | محاكاة كأس الأمم 2025 | أسلوب لعب واقعي في لعبة eFootball PES 21,Astra League,UCoRjKJq5SE-tBRur2YFaUVg,20,Gaming,"Algeria vs Burkina Faso, Burkina Faso vs Algeria, Cup of Nations, livefootball2025, Cup of Nations highlights, Burkina Faso goals, Burkina Faso live, Burkina Faso 2025, Burkina Faso match, Burkina Faso highlights, Algeria highlights, football watchalong, efootball livestream, football commentary, football simulation, pes 21 live, Algeria vs Burkina Faso match video, football match today, Algeria vs Burkina Faso gaming, efootball highlights",20,https://i.ytimg.com/vi/_NRaMoCRfr4/hqdefault.jpg,en-IN,en-IN,False,8781,PT2H26M21S,hd,false,True,,,509989,2194,2
6vEwWpRChZI,MA,2025-12-29 02:39:36.111272+00:00,2025-12-27 02:39:32+00:00,walid rahmani badr ouabi had lkass dial menهاد الكاس ديال من,walid rahmani badr ouabi had lkass dial menهاد الكاس ديال من,studio ghazi - Topic,UCiF2NkyCbYT2wUd4HdZvZrQ,10,Music,"studio ghazi, hassan, ghazi, walid rahmani badr ouabi had lkass dial menهاد الكاس ديال من",4,https://i.ytimg.com/vi/6vEwWpRChZI/hqdefault.jpg,ar,ar,False,403,PT6M43S,hd,false,True,,,24719,250,0
I3o4IFgoPsA,MA,2025-12-29 02:39:36.111280+00:00,2025-12-28 16:09:24+00:00,أصبحت بائع شاورما في مطعم مسكون وندمت .. 😳,أصبحت بائع شاورما في مطعم مسكون وندمت .. 😳,Tayar | تيار,UCFP-t0OQA_YsjzcoaI11Mxw,20,Gaming,"Roblox Scary Shawarma Kiosk, روبلوكس مطعم شاورما, لعبة شاورما, THE MOON WOKE UP, THE MOON WOKE UP IN ROBLOX, روبلوكس القمر استيقظ, مستر ميكس روبلوكس, 99 nights in the forest, 99 يوم في الغابة, لعبة الحبار روبلوكس, روبلوكس, لعبة الحبار, roblox, لعبة روبلوكس الجديدة, العاب روبلوكس, فلم روبلوكس, فيلم روبلوكس, roblox لعبة الحبار, roblox shorts, روبلوكس لعبة الحبار, الغزال المجنون, 99 ليلة في الغابة, حلقات القمر المرعب, حلقات القمر, روبلوكس ماب السرقة, ماب البيوت, القمر المرعب",27,https://i.ytimg.com/vi/I3o4IFgoPsA/hqdefault.jpg,ar,ar,False,1419,PT23M39S,hd,false,True,,,83858,3405,532
BgoCy7g_wJM,MA,2025-12-29 02:39:36.111288+00:00,2025-12-25 16:03:26+00:00,ALLAH AL WATAN AL MALIK l Produced by RedOne #can2025 #morocco,ALLAH AL WATAN AL MALIK l Produced by RedOne #can2025 #morocco,RedOne,UCMwDdAvIP0MVuqENDpME0xg,10,Music,"RedOne, CAN 2025, CUP AFRICA, DIZZY DROS, MUSLIM, HKAYNE, HCHKID, MUSIC VIDEO, aghani kass africa, aghani, morocco",11,https://i.ytimg.com/vi/BgoCy7g_wJM/hqdefault.jpg,en,ar,False,273,PT4M33S,hd,false,False,,,1362062,44583,2053
