video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
63tdWuk-zEM,2025-12-02 16:01:34+00:00,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic,Music,"bliznakinja, hajde, igracica, intervju, novo, otkad tebe znam, polako, song, svetica, tairovic, tea, tea tairovic, video",136,hd,False,True,1160380,10710,414
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,4246050,432172,25507
YJSTO_cLW6Q,2025-12-01 17:14:24+00:00,EKSTREMNE ŽMURKE U 99 NOĆI,Novke,Comedy,"novke, novisha, novisa, novcic, aleksandar novcic, 24 sata, ymurke, skrivaci, smiga, smigicka, djape, novketova devojka, novketov brat, novke i smigicka, novke i smiga, smuga, nofke, nobke, caki, defko, novke majice, smiga majice",1311,hd,False,True,396415,9731,432
d0JZxcmL_mQ,2025-11-21 23:00:54+00:00,CODA - GDE ĆU SAD MOJA RUŽO (MY WAY) [LIVE @ IDJ PEPSI SHOW 2025],IDJShow,Entertainment,"idjshow, idj show, 2023, relja, relja popovic, darko dimitrov, natasa bekvalac, idj takmicenje, idjsou, idj sou, serbian talent show",200,hd,False,True,470505,13567,617
phPEN-30898,2025-12-03 19:00:59+00:00,NAŠAO SAM TAJNU BAZU VLASNIKA STEAL A BRAINROTA!,Dex Rock,Entertainment,DexRock,760,hd,False,True,210514,11241,765
ceAQLoY1U5g,2025-11-16 13:00:07+00:00,DESINGERICA - FOLKICC (OFFICIAL VIDEO),Desingerica,People & Blogs,"desingerica, pljugica, tuckavacc, kucci kucci, praccka, pistacc, balkanacc",165,hd,False,True,2311991,41780,1537
fab3_Hdpvew,2025-12-06 03:54:39+00:00,"DO VRHA, ALI SA KAJAKOM",Nugato,Gaming,"Nugato, baba, Balkan, GTA V, CSGO",29500,hd,False,True,121227,6538,19
P8uXqOWpJp8,2025-11-22 12:00:19+00:00,Ivana Pavković x Petar Mitić - Doživotno | Official Video 2025,Ivana Pavković,Music,"ivana pavkovic, petar mitic, ivana pavkovic petar mitic, ivana i petar, dozivotno, dozivotno pesma, ivana pavkovic dozivotno, petar mitic dozivotno, official video, official video 2025, nova pesma, hit 2025, folk pop duet, ivana pavkovic official, petar mitic official, ivana pavkovic pesma, petar mitic pesma, ivana pavkovic novi spot, petar mitic novi spot, ivana pavkovic 2025, petar mitic 2025, ivana pavkovic dozivotno official video, petar mitic dozivotno official video",180,hd,False,True,737513,5810,274
oFhhz3LUGPQ,2025-12-04 14:00:05+00:00,DEDA MRAZ JE POLUDEO * Vlogmas 4/31*,VukAleksandra Gaming,Gaming,"vukaleksandra, vukaleksanragaming, gaming, igrice, vuk, aleksandra",695,hd,False,True,77470,2362,92
gjBzwVgRlaY,2025-11-21 11:00:06+00:00,Jakov Jozinović - Polje ruža,Jakov Jozinovic,Music,poje ruza polje ruža jakov jozinovic jožinović,214,hd,False,False,636123,20867,681
wuP3lIbhchQ,2025-12-05 16:01:47+00:00,PRONAŠAO SAM I SKRIVENOG OG BRAINROTA!,Imperator FX,Gaming,"Impe, ImperatorFX, Imperator FX, Imperator, ImpeFX, Impe FX, minecraft, minecraftprezivljavanje, mc prezivljavanje, impe, mapa, creative, impefortnite, impefortnajt, vodeno prezivljavanje, vodeno, minecraftvodeno, prez, gtapropisi, gta po propisima, gta5, gta5 po pravilima, impe po propisima, minecraft impe, ostrvo, prezivljavanje impe, majnkraft, bazen, kuca, auto, bloxburg, adopt me, porodicne, avanture, roblox, impe roblox, impe bloxburg, imperator roblox, zooba, impe brawl stars, impe zooba",1403,hd,False,True,55041,1381,292
jf2PEkycbi4,2025-11-28 14:00:07+00:00,POPOVSKA - SMAK SVETA (Official Video) Prod. by Jhinsen,Generacija Zed,Music,"generacija zed, popovska, smak sveta, ajde, smak sveta u meni probudi, teodora popovska",135,hd,True,True,286946,6182,390
Ij9KNSPNA-Q,2025-12-04 10:00:39+00:00,Ragea i Kovalskog Su Uhapsili i Strpali u Najstroži Zatvor u Minecraftu!!,Rage ,Gaming,,1064,hd,False,True,61126,1393,48
tZYCJxmnBB8,2025-11-29 14:00:07+00:00,Ellen - Božić nas zove (Official video),Ellen elita 🎤,Music,"ellen, ellita, zove me grad",123,hd,False,False,212550,8888,1273
YAIAgaLY6iw,2025-12-04 20:16:59+00:00,Preživljavamo U BOLNICI u 99 Noći U Šumi,Leptirica,Gaming,"leptirica, roblox, 99 nights in the forest, 99 noći u šumi, 99 DANA, lajv roblox",1943,hd,False,True,100156,2577,164
XyXDrvKmYv4,2025-12-05 11:00:04+00:00,GAZDA PAJA x STOJA - ANIMAL [OFFICIAL VIDEO],Gazda Paja,Music,,158,hd,False,True,65100,2766,205
C7Bm2c5MR0s,2025-12-04 22:20:59+00:00,StarLadder Budapest Major 2025 -Stage 3 - MOUZ vs B8,TV Arena Esport,Gaming,"csgo, blast, live, uzivo, prenos, arena esport, tv arena esport, g2, niko, hunter",36554,hd,False,True,63563,947,0
