video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
63tdWuk-zEM,2025-12-02T16:01:34Z,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic,10,Music,"bliznakinja, hajde, igracica, intervju, novo, otkad tebe znam, polako, song, svetica, tairovic, tea, tea tairovic, video",136,hd,false,True,1279883,11101,424
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,5285578,485257,27794
YJSTO_cLW6Q,2025-12-01T17:14:24Z,EKSTREMNE ŽMURKE U 99 NOĆI,Novke,23,Comedy,"novke, novisha, novisa, novcic, aleksandar novcic, 24 sata, ymurke, skrivaci, smiga, smigicka, djape, novketova devojka, novketov brat, novke i smigicka, novke i smiga, smuga, nofke, nobke, caki, defko, novke majice, smiga majice",1311,hd,false,True,407916,9834,441
0c5qwAydbt0,2025-12-05T23:00:01Z,TAŠA KRUNIĆ & VALENTINNA (BACK TO THE FUTURE) [LIVE @ IDJ PEPSI SHOW 2025],IDJShow,24,Entertainment,"idjshow, idj show, 2023, relja, relja popovic, darko dimitrov, natasa bekvalac, idj takmicenje, idjsou, idj sou, serbian talent show",138,hd,false,True,71342,5336,413
phPEN-30898,2025-12-03T19:00:59Z,NAŠAO SAM TAJNU BAZU VLASNIKA STEAL A BRAINROTA!,Dex Rock,24,Entertainment,DexRock,760,hd,false,True,218175,11452,775
ceAQLoY1U5g,2025-11-16T13:00:07Z,DESINGERICA - FOLKICC (OFFICIAL VIDEO),Desingerica,22,People & Blogs,"desingerica, pljugica, tuckavacc, kucci kucci, praccka, pistacc, balkanacc",165,hd,false,True,2368344,42028,1543
fab3_Hdpvew,2025-12-06T03:54:39Z,"DO VRHA, ALI SA KAJAKOM",Nugato,20,Gaming,"Nugato, baba, Balkan, GTA V, CSGO",29500,hd,false,True,131867,6705,19
P8uXqOWpJp8,2025-11-22T12:00:19Z,Ivana Pavković x Petar Mitić - Doživotno | Official Video 2025,Ivana Pavković,10,Music,"ivana pavkovic, petar mitic, ivana pavkovic petar mitic, ivana i petar, dozivotno, dozivotno pesma, ivana pavkovic dozivotno, petar mitic dozivotno, official video, official video 2025, nova pesma, hit 2025, folk pop duet, ivana pavkovic official, petar mitic official, ivana pavkovic pesma, petar mitic pesma, ivana pavkovic novi spot, petar mitic novi spot, ivana pavkovic 2025, petar mitic 2025, ivana pavkovic dozivotno official video, petar mitic dozivotno official video",180,hd,false,True,743585,5858,275
oFhhz3LUGPQ,2025-12-04T14:00:05Z,DEDA MRAZ JE POLUDEO * Vlogmas 4/31*,VukAleksandra Gaming,20,Gaming,"vukaleksandra, vukaleksanragaming, gaming, igrice, vuk, aleksandra",695,hd,false,True,81891,2414,92
gjBzwVgRlaY,2025-11-21T11:00:06Z,Jakov Jozinović - Polje ruža,Jakov Jozinovic,10,Music,poje ruza polje ruža jakov jozinovic jožinović,214,hd,false,False,649290,21006,685
wuP3lIbhchQ,2025-12-05T16:01:47Z,PRONAŠAO SAM I SKRIVENOG OG BRAINROTA!,Imperator FX,20,Gaming,"Impe, ImperatorFX, Imperator FX, Imperator, ImpeFX, Impe FX, minecraft, minecraftprezivljavanje, mc prezivljavanje, impe, mapa, creative, impefortnite, impefortnajt, vodeno prezivljavanje, vodeno, minecraftvodeno, prez, gtapropisi, gta po propisima, gta5, gta5 po pravilima, impe po propisima, minecraft impe, ostrvo, prezivljavanje impe, majnkraft, bazen, kuca, auto, bloxburg, adopt me, porodicne, avanture, roblox, impe roblox, impe bloxburg, imperator roblox, zooba, impe brawl stars, impe zooba",1403,hd,false,True,58655,1423,297
jf2PEkycbi4,2025-11-28T14:00:07Z,POPOVSKA - SMAK SVETA (Official Video) Prod. by Jhinsen,Generacija Zed,10,Music,"generacija zed, popovska, smak sveta, ajde, smak sveta u meni probudi, teodora popovska",135,hd,true,True,306600,6312,392
Ij9KNSPNA-Q,2025-12-04T10:00:39Z,Ragea i Kovalskog Su Uhapsili i Strpali u Najstroži Zatvor u Minecraftu!!,Rage ,20,Gaming,,1064,hd,false,True,62942,1418,49
tZYCJxmnBB8,2025-11-29T14:00:07Z,Ellen - Božić nas zove (Official video),Ellen elita 🎤,10,Music,"ellen, ellita, zove me grad",123,hd,false,False,220213,8971,1287
YAIAgaLY6iw,2025-12-04T20:16:59Z,Preživljavamo U BOLNICI u 99 Noći U Šumi,Leptirica,20,Gaming,"leptirica, roblox, 99 nights in the forest, 99 noći u šumi, 99 DANA, lajv roblox",1943,hd,false,True,110194,2751,178
XyXDrvKmYv4,2025-12-05T11:00:04Z,GAZDA PAJA x STOJA - ANIMAL [OFFICIAL VIDEO],Gazda Paja,10,Music,,158,hd,false,True,84415,3137,215
QdKgeNAwO0c,2025-12-06T18:00:35Z,"Sta God Kazem, POJAVI SE u Steal a Brainrot!",Drugari,20,Gaming,"minecraft, lunailuka, lukailuna, luna, luka, luna minecraft, luka minecraft",1066,hd,false,True,31107,2315,59
QvZG4Ct7_ok,2025-11-28T16:00:01Z,PEDJA JOVANOVIC - IMENIK (OFFICIAL VIDEO 2025),Pedja Jovanovic,10,Music,"meni dajte njenu ruku, novo, nove pesme, 2025, Pedja Jovanovic, Jovanović, Peđa, Blizanac, 24 7, 24/7, neformalno, nemoguca ljubav, breskvica, sava centar, zelja, ja cu i dalje da ti pisem pesme, ono nesto, parfem od vanile, live, uzivo, rekla si mi da ne volis zimu, cokolada, mila, volim te i pijan, cvece za nju, cover, imenik",222,hd,false,False,361752,2599,230
C7Bm2c5MR0s,2025-12-04T22:20:59Z,StarLadder Budapest Major 2025 -Stage 3 - MOUZ vs B8,TV Arena Esport,20,Gaming,"csgo, blast, live, uzivo, prenos, arena esport, tv arena esport, g2, niko, hunter",36554,hd,false,True,63658,947,0
hl9JlRy_I-U,2025-11-11T17:00:02Z,DEVITO X BAJAGA - ASTRONAUT,devito anonymo,10,Music,"devito, vudu, teodora, teodora dzehverovic, nina, offline, relja, idjvideos, austria, aligatori, magican cvet, oduzet, uh, flex, bajaga, momcilo bajagic, bajaga i instruktori",206,hd,false,True,2175912,32911,2134
lsirBTw7Ek0,2025-11-30T16:01:13Z,NOVA ŽIVOTINJA U 99 NOĆI U ŠUMI ...,KingsOfFailsShow,20,Gaming,"kingsoffailsshow, markokofs, kofs, kings of fails show, 99 nights roblox, 99 nights, 99 dana, 99 dana kofs, marko kofs, 99 dana u sumi, novo 99 noci u sumi, 99 noci kofs, 99 noci marko kofs, 99 noci pets, 99 nights ljubimci, 99 noci medvjed, 99 nights necromancer, 99 night six kings, 99 nights halloween, 99 nights vampir, 99 noci vampir, 99 nights witch, 99 nights hurt deer, 99 noci jelen, 99 noci jelen je ozljedjen, 99 nights bat, 99 noci sismis",1442,hd,false,True,234141,7960,1941
OkCbfqqHLrA,2025-12-06T23:47:18Z,PZ: Mirnes Muslim – Tu tu tu,Pinkove zvezde,22,People & Blogs,,121,hd,false,True,7101,69,15
lrQ1XGpf0-Y,2025-12-02T14:22:32Z,MINECRAFT LAKI BLOCK vs MUTANT KOKOSKA!,SerbianGamesBL,20,Gaming,"Minecraft, serbian, djolefull, mc, laki blok, arena, fajt, pvp, serbiangamesbl decembar, decembar",1949,hd,false,True,120216,21504,1260
3j2uPApyCe4,2025-11-11T12:25:27Z,Lacku feat. Biba - Najludja (OFFICIAL VIDEO),Lacku,24,Entertainment,,176,hd,false,False,660421,9327,276
gnxhwZllJEo,2025-12-05T16:01:14Z,STA MINECRAFT MOBOVI RADE DOK NISI TU!,Luna  ,20,Gaming,"minecraft, lunailuka, lukailuna, luna, luka, luna minecraft, luka minecraft",1197,hd,false,True,31530,808,34
wKOCubYpZPA,2025-12-03T21:00:07Z,Smoke Mardeljano ft. Haze - BETON (Official Video),SMOKEMARDELJANOTV,10,Music,"smoke mardeljano, smokehouse, video, official",175,hd,false,True,45793,3085,141
oHbijOeUO1M,2025-12-06T09:01:20Z,CITAM LUNI MISLI! (MINECRAFT TELEPATIJA)!,Luka,20,Gaming,"minecraft, lunailuka, lukailuna, luna, luka, luna minecraft, luka minecraft",1465,hd,false,True,34377,1139,78
DfxeGe_4Aiw,2025-11-05T11:00:37Z,Sasa Matic - STANI MALO - (Official Lyric Video 2025),Sasa Matic,24,Entertainment,"sasa matic daleko, sasa matic nova pesma, sasa matic nocas nam ne gine ljubav, sasa matic, sasa matic official video, sasa matic 2025, sasa matic official 2025, nova pesma sasa matic, sasa matic official video 2025, sasa matic dalje 2025, sasa matic stani malo, sasa matic stani malo official video 2025, stani malo official video, stani malo official video 2025, stani malo 2025, stani malo sasa matic, stani malo nova pesma, nova pesma stani malo",258,hd,false,True,1779878,10230,403
KARQV-uClcs,2025-12-06T10:25:00Z,PRONAŠLI SMO I POSLEDNJEG SKRIVENOG OG BRAINROTA!,50N3,20,Gaming,"50N3, Šone, Sone, ŠoneYT, Brawl Stars, Minecraft, Roblox, GTA V, Trending",1516,hd,false,True,24334,908,208
ceuUwhCyAUo,2025-11-13T11:00:18Z,Adi Šoše - Tuđa ( Official video),AL Music / Adi Šoše,24,Entertainment,,256,hd,false,True,902262,8204,497
KgsTBDRttPg,2025-12-06T14:00:39Z,I Got Hunted By the Minecraft LAW,Wemmbu,20,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,false,True,2572644,160583,17413
iyglabiM-oE,2025-11-20T18:00:03Z,MIRZA SELIMOVIĆ - BALADA NA RADIJU (OFFICIAL VIDEO),Mirza Selimovic,10,Music,"Mirza Selimovic, zvezde granda, grand, muzika, pevac, takmicenje, pobednik, show, ne reci mi adio, Evangelos Tassopoulos Phoebus, ja umro sam za tobom, novo 2025, nove pesme, 2025, moja vilo, pusti da vjerujem, crni snjegovi, nista ili sve, nisi moja, bolis me, ono najbolje, brod ludaka, za dusu uzmi me, da se opet rodim, emina jahovic, sejla zonic, ilma karahmet, mora da je ljubav, pedja jovanovic, balada na radiju, mrve od vecere, lutao, banja luka",236,hd,false,True,565484,4383,351
mm5WeNQcjDY,2025-12-04T18:00:53Z,SAMO ŽUTI BRAINROTOVI DO 1T$ U STEAL A BRAINROTU,Mata,20,Gaming,"Minecraft, minecraft, Mata, mata, SuperMax, supermax, luna, Luna, majnkraft, minecraft mod, luka, Luka, mod, brainrot, 99 noci, drugari, Drugari",1486,hd,false,True,41396,2015,133
u0e6fr0aKWo,2025-11-19T23:00:08Z,Cunami -  Moj Dilere,Cunami Flo,10,Music,,154,hd,true,True,214891,4386,178
tIVIMvV1CSg,2025-11-28T23:23:11Z,ČEKAMO MOJ ROĐENDAN,Smigicka,23,Comedy,"smigicka live, smigicka, aleksandra smigic, live, smigicka lajv, smiga, smiga live, smigicka 100k, live 200k, smiga 100k, sminka, roblox, roblox igrice, smiga roblox, prepreke u robloxu, igre, oblacim se, cekam, 100k, 200k, prelazim, rodjendan, poklon, iznenadjenje",4035,hd,false,True,220766,11280,2627
sRGe86bUsOs,2025-12-06T20:59:57Z,Christmas Brainrots Update + SANTA FUSE Machine!,CaylusBlox,20,Gaming,"caylusblox, caylus roblox, caylus, roblox, Steal a brainrot update, ADMIN ABUSE In Steal a Brainrot!, Steal a Brainrot UPDATE + Admin Abuse, admin abuse, steal a brainrot, witchs fuse, caylus steal a brainrot, dump update, caylus aura, caylus admin abuse, steal a brainrot update, w brainrot, Taco Tuesday ADMIN ABUSE + New BRAINROT!, tung tung tung sahur, tung tung sahur steal a brainrot, santa fuse machine, caylus fuse machine, caylus steak, caylus steal a brainrot christmas",12210,hd,false,True,3225076,93882,862
bnpaSNSIxZY,2025-12-06T20:24:38Z,VOZIM KOSILICU NA PSA... (Ja sam Mačka VR),Cigvan Gaming,20,Gaming,,1250,hd,false,True,18056,697,19
