video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
YcBUfrOguRQ,2025-12-07 23:00:43+00:00,KAROL G - Ivonny Bonita (Official Video),KarolGVEVO,Music,"karol, karolg, bichota, si antes te hubiera conocido, sathc, latina foreva, latina forever, ivonny, bonita, la reina presenta, papasito, dile luna, cuando me muera te olvido, cmmto, coleccionando heridas, marco antonio solis, el buki, un gatito me llamo, amiga mia, bandida entrenada, ese hombre es malo, su boca la amo, verano rosa, feid, no puedo vivir sin el, tu perfume, fkn movie, mariah angeliq, se puso linda, viajando por el mundo, manu chao, tropicoqueta",231,hd,False,True,1197394,61858,4780.0
S8WM9HdXy8Y,2025-12-08 16:30:13+00:00,BOMBAZO! Primer Trailer Avengers Doomsday anunciado en 3 días y Endgame se conecta con esta escena..,Somos Geeks,Film & Animation,"TheGeeks, Marvel, DC",1078,hd,False,True,56197,3308,1021.0
XsA82uI7Jno,2025-12-08 19:27:11+00:00,Abrí una TIENDA de ARMAS REALES en Minecraft!,Dagar,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",1370,hd,False,True,384905,6492,285.0
SKEbq50vknM,2025-12-07 03:00:06+00:00,Eros Ramazzotti - Otra Como Tú (Letra),Pulso Latino,Music,"pulso latino, pulso latino rock, pulso latino letras, soda stereo letras, los fabulosos cadillacs, los autenticos decadentes, gustavo cerati, rock nacional, rock argentino, rock latino, letras de rock nacional, letras de rock en español, rock in spanish, rock argentinian",281,hd,False,True,168063,523,4.0
vs0IsJj9RJY,2025-12-09 00:01:11+00:00,TRAILER EP 12: DONDE QUIERO ESTAR,SANTOS BRAVOS,People & Blogs,,61,hd,True,True,4221,1771,249.0
FWp0tQadDn0,2025-12-08 20:49:18+00:00,🙊FUSIONAMOS🙊DRAGONES🙊CON🙊MONOOAXACO🙊,ElAbrahaham,Entertainment,,8814,hd,False,True,567281,24633,488.0
5HpxaZS9unw,2025-12-07 16:00:15+00:00,Grupo Niche - Busca Por Dentro (Letra/Lyrics),Aquarius Music,Music,"grupo niche busca por dentro, busca por dentro, busca por dentro grupo niche, grupo niche busca por dentro letra, busca por dentro letra, busca por dentro grupo niche letra, grupo niche busca por dentro lyrics, busca por dentro lyrics, busca por dentro grupo niche lyrics, tiktok, tiktok song, tiktok remix, lyrics on screen",355,hd,False,True,105766,178,0.0
ybWrgLrwBsw,2025-12-07 00:00:17+00:00,The Boys - Temporada Final Teaser Trailer | Prime Video,Prime Video Latinoamérica,Film & Animation,"Antony Starr, Cameron Crovetti, Chace Crawford, Colby Minifie, Erin Moriarty, Jack Quaid, Jessie T. Usher, Karen Fukuhara, Laz Alonso, Susan Heyward, The Boys stars Karl Urban, Tomer Capone, Valorie Curry, and Jensen Ackles",110,hd,True,False,233546,12954,859.0
mZBkJpAZiDs,2025-12-08 22:44:32+00:00,ESCALÉ una MONTAÑA con mis AMIGOS 😨💀🏔️ SILVIOGAMER en PEAK,Silvio Gamer,Gaming,"SILVIO, SILVIOGAMER, SILVIO GAMER, MINECRAFT, Silvio, silviogamer, silvio, silvio gamer, minecraft silvio, silvio minecraft, silviogamer minecraft, minecraft silviogamer, silviogamer minecraft pero, minecraft pero, peak, escale, escalé, montaña, mis amigos, amigos",2638,hd,False,True,154437,10846,1646.0
LEqr3w7ATWs,2025-12-07 22:00:31+00:00,Marc Anthony - Tu Amor Me Hace Bien (Letra/Lyrics),Pulse Latin,Music,"Marc Anthony, Tu Amor Me Hace Bien, Marc Anthony Tu amor me hace bien, tu amor me hace bien marc anthony, Marc Anthony Tu Amor Me Hace Bien Letra, Letra Tu amor me hace bien, Tu amor me desarma, Ay tu amor me controla, eh oh me endulza me encanta, Pero bien, eh oh me vence me amarras, Eh eh dile que me hace bien, Ay que me hace bien, Pulse Latin, Musica Latina, Musica, Letra, Lyrics, Musica Marc Anthony, Tu amor me hace bien letra, exitos marc anthony, salsa version, salsa",301,hd,False,True,85338,132,0.0
