video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
Gfp1fVRxOX4,2025-12-04T10:05:44Z,Like That (bomboclatt),Shallipopi - Topic,10,Music,"Shallipopi, Wizkid, WizKid, ウィズキッド, Auracle, Like That (bomboclatt)",218,hd,false,True,104093,4211,383
QrLSjV6fqQQ,2025-12-03T18:06:36Z,Olorun Aye 2 Yoruba Movie 2025 | Official Trailer | Now Showing On ApataTV+,APATATV+,24,Entertainment,"yoruba movies, yorubahood, free movies, ibakatv, latest yoruba movies today, yoruba movies 2025 new release today, trailers 2025 movies official, best yoruba movies 2024 new release, latest yoruba comedy movies, yoruba new release this week, trailers 2024 movies official, yoruba, yoruba movies 2025 latest release, yoruba movie 2025 this week, yoruba movies 2025 today, yoruba movies 2025 drama, yoruba movies 2025 full movies",112,hd,false,True,62371,607,62
Ztudq6VTWn4,2025-12-03T11:30:06Z,eFootball™ CONNECT / Version 5.2.0 Update,eFootball,20,Gaming,,941,hd,true,False,457920,26612,3290
cM33s50feL4,2025-12-01T17:00:06Z,MAVO – Shakabulizzy Remix (Feat. Davido) [Official Music Video],Mavo,10,Music,,200,hd,false,False,325637,10522,687
vKSv4c3VBac,2025-12-02T10:50:07Z,"BEHIND THE SCENES (OFFICIAL TRAILER) Ft FUNKE AKiNDELE, TOBI BAKRE, IYABO OJO, SCARLET GOMEZ",FAAN TV,1,Film & Animation,"Funke akindele, Funke akindele a tribe called Judah, Timini, Toyosi of Jenifa's diary, Etim Nse, Iteledicon, Tobi Makinde, Etinosa, BEHIND THE SCENEs, BEHIND THE SCENES OFFICIAL TRAILER, Cinema movie, cinema movie 2025, BEHIND THE SCENES (OFFICIAL TRAILER) Ft FUNKE AKiNDELE, TOBI BAKRE, IYABO OJO, SCARLET GOMEZ, Trailer of Behind the scenes",102,hd,false,True,52860,1436,82
NIwvzLycKKA,2025-11-30T20:23:17Z,[LIVE] Chelsea vs Arsenal Premier League 25/26 Full Match - Video Game Simulation,Kampleng Com,24,Entertainment,"chelsea vs arsenal, chelsea vs arsenal live, chelsea vs arsenal premier league, premier league live 2025, premier league chelsea vs arsenal, chelsea vs arsenal 2025, chelsea vs arsenal today, chelsea vs arsenal big match, chelsea, arsenal, the derby, london, 2025, premier league live today, live, match, premier league 2025/2026, chelsea vs arsenal prediction, chelsea vs arsenal games match",13521,hd,false,True,634865,4178,9
SyLoIrE8JAs,2025-11-28T10:00:07Z,Young Jonn  - Lalala (feat. Rema) [Official Music Video],Young Jonn,10,Music,"young jonn, young john, jiggy, jiggy forever, nigerian artist, afrobeats, afrobeats mix, blue disco, young jonn blue disco, rema, rema songs, rema fun, young jonn ft rema, ft rema, rema ft young john, rema ft young jonn, lalala by young john ft rema, lalala rema, lalala, lalala young jonn, lalala music video, rema music videos, rema 2025 songs, rema lalala, young jonn lalala, young jonn album, young jonn new song, young jonn new album, young jonn live performance",184,hd,false,True,2275826,27494,1342
gbdfgJ_fC7E,2025-11-25T19:45:06Z,ALLURA CIKIN RUWA SEASON 4 TRAILER,YAKUBU MOHAMMED 2EFFECT TV,24,Entertainment,,279,hd,false,True,205434,5418,249
WI1eoSKCR88,2025-11-30T20:03:31Z,Chelsea vs Arsenal | English Premier League 2025/26 | Epl Live Stream | PES 21 Simulation,Football Gamer Rony,20,Gaming,"arsenal vs chelsea, chelsea vs arsenal, arsenal, chelsea, arsenal vs chelsea live, live football match online today, chelsea vs arsenal live, premier league, arsenal f.c., football live, arsenal chelsea, chelsea arsenal, premier league live, arsenal vs chelsea today live match, arsenal live, today football match live, chelsea vs arsenal live match today, football live match today, match en direct aujourd-hui, sporty tv live, arsenal vs chelsea live today",1173,hd,false,True,674225,3195,4
q49JaeHIuF4,2025-12-01T18:00:06Z,Flavour - The Eagle Has Landed (Official Music Video),Official Flavour,10,Music,"flavour, n'abania, Thankful, thankful album, kwarikwa, kwarikwa remix, M.i, Phyno, naija artistes, african music, Square, naija music videos, hot new videos, best selling videos, award winning videos, music, selebobo, afroculture, baaba maal, tg omori, senegal, nigeria, grammys, new nigerian music, new senegalese music, new african music, new highlife music, highlife, afrobeats, afrofusion, afropop, african culture, africa, the eagle has landed, december music",148,hd,false,True,629525,12714,1087
wVmkqlupMlQ,2025-12-05T15:00:06Z,"UNPLANNED MOTHERHOOD (PART 1) EBERE OKARO, SOCHI IFINITY, AJAELO UGEGBE - 2025 NOLLYWOOD MOVIE",Moviemakers nollywood tv,24,Entertainment,,3982,hd,false,True,26367,506,123
ZGxUU5_wdNg,2025-11-30T18:40:26Z,Chelsea vs Arsenal | Premier League 2025/26 | Watch Along & eFootball Simulation,Wavear,20,Gaming,,8548,hd,false,True,413265,2156,1
V6c8rvMbiCY,2025-12-04T09:30:07Z,Jux - Majo (Official Lyric Video),JUX,10,Music,,148,hd,false,True,695988,12593,4281
SYF0MxHVAR0,2025-12-04T00:00:00Z,The Great Flood | Official Trailer | Netflix,Netflix,24,Entertainment,"December new release, Director Kim Byung-woo, Kim Da-mi, Netflix, Park Hae-soo, SF, TheGreatFlood, a Netflix film, action, blockbuster, disaster, sci-fi, 넷플릭스, 대홍수",124,hd,false,True,1719599,14953,627
Dpcmuo2CsP0,2025-11-26T16:05:49Z,MSA Myth - Medusa Curse,MSA Myth,27,Education,,814,hd,false,True,1626226,42689,1676
qMuimu77EPo,2025-11-27T10:03:20Z,Wuse Tu,Zaylevelten - Topic,10,Music,"Zaylevelten, Mavo, then 1t g0t crazier, Wuse Tu",148,hd,false,True,125570,2319,103
G0rsvVFeAgA,2025-12-01T10:30:09Z,Ile Odun Tuntun | Yoruba Movie 2025 | Official Trailer | Showing This Dec On Yorubaplus,Yorubaplus,24,Entertainment,"yoruba movies, yorubahood, free movies, ibakatv, latest yoruba movies today, yoruba movies 2025 new release today, trailers 2025 movies official, best yoruba movies 2024 new release, latest yoruba comedy movies, yoruba new release this week, trailers 2024 movies official",171,hd,false,True,41429,565,205
tfGfSqv6Pjw,2025-11-30T20:19:36Z,🔴LIVE : Chelsea vs Arsenal | Premier League 2025 | Match Live Now | SIMULATION,KickOff TV,20,Gaming,,16395,hd,false,True,246921,,2
