video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
xIZISD1JqoQ,NP,2025-12-29 02:40:14.782331+00:00,2025-12-19 08:45:06+00:00,Sailo Ma Charghare『Official Music Video』- Bishwo Dong || Ft. Alisha Rai | Bijay Dong | Sushil Waiba,Sailo Ma Charghare『Official Music Video』- Bishwo Dong || Ft. Alisha Rai | Bijay Dong | Sushil Waiba,Bishwo Dong ,UCiTzLsmjdLj7U20JyM_TQJA,10,Music,"bishwo dong, new tamang song, bishwo dong new song, nepali song 2025, Sailo Ma Chargare, Timilai Dekhda Aananda hune man, alisha rai new song, dhan kamau chhu vane, Bagi jane Khola, maya le vane bishai pani, sailo ma charghare music video, bijay dong, brightlight pictures, sushil waiba new song, best selo song, new selo song 2024, new selo songs bishwo dong, tamang selo, Bishwo Dong Selo song, kauda song, alisha rai, bijay dong new song, sushil waiba, kauda song nepali",24,https://i.ytimg.com/vi/xIZISD1JqoQ/hqdefault.jpg,en,ne,False,382,PT6M22S,hd,false,True,,,1634691,29689,724
kJ3HSRYXrM8,NP,2025-12-29 02:40:14.782373+00:00,2025-12-27 09:50:06+00:00,"Kalli - Movie Official Teaser 2025 || Saugat Malla, Barsha Raut, Najir Husen, Benisha Hamal","Kalli - Movie Official Teaser 2025 || Saugat Malla, Barsha Raut, Najir Husen, Benisha Hamal",Budha Subba Digital,UCNR1KcWXj7zpWQFJtU3ddYg,1,Film & Animation,"New Nepali Movie, New nepali music videos, hit video, recent hit, new release, movie songs, filmy songs, nepali film, hit nepali music videos, recent releases, new nepali songs, nepali geet, nepali lok, hit nepali, nepali tracks, nepali best songs, nepali popular song, latest nepali, nepali folk, new nepali song, superhit nepali, new nepali video, top videos, music nepal, nepali comedy videos, comedy nepal, nepali song dance",27,https://i.ytimg.com/vi/kJ3HSRYXrM8/hqdefault.jpg,en,ne,False,124,PT2M4S,hd,false,True,,,169212,3158,432
miEfSr2KdCQ,NP,2025-12-29 02:40:14.782386+00:00,2025-12-26 09:01:22+00:00,We Got Adopted By SANTA FAMILY in Minecraft..,We Got Adopted By SANTA FAMILY in Minecraft..,Carry Depie,UClqifC6Nd7v-IfTqce4k62A,20,Gaming,"carry depie, minecraft",2,https://i.ytimg.com/vi/miEfSr2KdCQ/hqdefault.jpg,en,hi,False,989,PT16M29S,hd,false,True,,,1413033,20853,770
cQb4UxF7DL8,NP,2025-12-29 02:40:14.782395+00:00,2025-12-14 14:51:29+00:00,BALEN - AAM NEPALI BUWAA (OST JHARI PACHHI KO INDRENI),BALEN - AAM NEPALI BUWAA (OST JHARI PACHHI KO INDRENI),Balen,UCJgcDT2XI3cQJhGe01AFaHQ,10,Music,,0,https://i.ytimg.com/vi/cQb4UxF7DL8/hqdefault.jpg,en,en,False,286,PT4M46S,hd,false,True,,,4354688,273559,18723
Mzw2ttJD2qQ,NP,2025-12-29 02:40:14.782404+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,27338836,489356,25316
sc-w2Zd3Xg4,NP,2025-12-29 02:40:14.782412+00:00,2025-12-25 12:40:32+00:00,I Found a Secret Millionaire Villager City in Minecraft!,I Found a Secret Millionaire Villager City in Minecraft!,ProBoiz 95,UCSncGB_s0tuWN-4l-58mmvQ,20,Gaming,"minecraft, millionaire, millionaire minecraft, minecraft millionaire city, minecraft millionaire villager city, gaming, funny, minecraft villager city, proboiz, proboiz 95",10,https://i.ytimg.com/vi/sc-w2Zd3Xg4/hqdefault.jpg,en,en-IN,False,1458,PT24M18S,hd,false,True,,,2710562,51686,5152
BbEMemscO-I,NP,2025-12-29 02:40:14.782420+00:00,2025-12-23 11:15:06+00:00,YABI - BOOMERANG ( OFFICIAL MUSIC VIDEO ),YABI - BOOMERANG ( OFFICIAL MUSIC VIDEO ),YABI THE G.O.A.T,UCqzBxjf_nywt59-jP5ipXGQ,10,Music,Yabithegoat yabinewsong boomerang paschim farwest hiphop nepalihiphop timromood level Mayajalaima,1,https://i.ytimg.com/vi/BbEMemscO-I/hqdefault.jpg,en,ne,False,144,PT2M24S,hd,false,True,,,409671,26024,1603
7T8I7iR5jr4,NP,2025-12-29 02:40:14.782428+00:00,2025-12-27 11:43:46+00:00,Battle Of Galwan Teaser REVIEW | Deeksha Sharma,Battle Of Galwan Teaser REVIEW | Deeksha Sharma,Filmi Indian,UCeiAKuJGZrIjYvaq0nMwbJg,24,Entertainment,"battle of galwan, battle of galwan teaser, salman khan, battle of galwan movie, battle of galwan trailer, salman khan movie, salman khan galwan, movie, teaser, trailer, review, reaction, battle of galwan reaction, Chitrangada Singh, Apoorva Lakhia, battle of galwan review, filmi indian, Salman Khan Films",18,https://i.ytimg.com/vi/7T8I7iR5jr4/hqdefault.jpg,en,hi,False,241,PT4M1S,hd,false,True,,,529743,18454,2557
qq8YMhJDndI,NP,2025-12-29 02:40:14.782436+00:00,2025-12-27 12:56:41+00:00,Meenu Left Us Forever in Minecraft..,Meenu Left Us Forever in Minecraft..,Karry Kraft,UCW3Ms3ZxVaZUniP-HifWCDg,20,Gaming,"carry depi, minecraft",2,https://i.ytimg.com/vi/qq8YMhJDndI/hqdefault.jpg,en,en-IN,False,687,PT11M27S,hd,false,True,,,655544,8520,320
SHU8NzzQLt0,NP,2025-12-29 02:40:14.782444+00:00,2025-12-20 15:01:37+00:00,Lamjunge Dadaima Hawa Sarara (Blues),Lamjunge Dadaima Hawa Sarara (Blues),AI CORE MUSIC - Topic,UCeVnUhbX_N_hbxhZpnXHO4A,10,Music,"AI CORE MUSIC, AI Core Music, Lamjunge Dadaima Hawa Sarara (Blues)",3,https://i.ytimg.com/vi/SHU8NzzQLt0/hqdefault.jpg,su,und,False,318,PT5M18S,hd,false,True,,,478380,5800,9
N2kHzUGiHjo,NP,2025-12-29 02:40:14.782451+00:00,2025-12-27 12:53:40+00:00,Battle Of Galwan Teaser Review | Yogi Bolta Hai,Battle Of Galwan Teaser Review | Yogi Bolta Hai,YOGI BOLTA HAI,UCIihexFQucy1Sm7V7yvL_mA,24,Entertainment,"Battle Of Galwan, Battle Of Galwan Teaser, Battle Of Galwan Teaser Review, Battle Of Galwan Trailer, Salman Khan, Apoorva Lakhia, Chitrangada Singh, Salman Khan Movie, Action Film, War Based Movie, Latest Movie, Hindi Language Movie, Upcoming Movie, Movie, Trailer Review, Teaser Review, Trailer, Teaser, New Teaser, New Trailer, Yogi Bolta Hai",21,https://i.ytimg.com/vi/N2kHzUGiHjo/hqdefault.jpg,en,zxx,False,189,PT3M9S,hd,false,True,,,468590,20474,1079
cJ43xPrvLSE,NP,2025-12-29 02:40:14.782459+00:00,2025-12-26 06:26:02+00:00,First Time Invisible Character in Free Fire 😱 I am Sorry !!,First Time Invisible Character in Free Fire 😱 I am Sorry !!,Tonde Gamer,UCD5EC8IWhOFalXtePCkhJTA,20,Gaming,"free fire, garena free fire, tonde gamer, tonde new video, tonde, gaitonde, tgr gaitonde, best gameplay, free fire hindi, ff hindi, free fire king, free fire gameplay, ajjubhai, total gaming, desi gamers, top 1, free fire challenge, indian server, ff gameplay, tonde gameplay, tonde ff, advanced server, ob52, ff updates, new updates, free fire updates, new, new characters, morse gameplay, morse character, invisible character, ff best character",32,https://i.ytimg.com/vi/cJ43xPrvLSE/hqdefault.jpg,en-IN,hi,False,1202,PT20M2S,hd,false,True,,,808742,44009,2891
ejpPQvs_Cpk,NP,2025-12-29 02:40:14.782466+00:00,2025-12-16 12:15:13+00:00,#Dhirubhai #SanviBhagat | Mair Jeti Gardan Reti | Rakesh Pasman | New Maithili Sad Video Song 2025,#Dhirubhai #SanviBhagat | Mair Jeti Gardan Reti | Rakesh Pasman | New Maithili Sad Video Song 2025,dhirubhai 9076,UCJa4eTVvODj2FX6pJMQvFDw,24,Entertainment,"Dhirubhai9076, Dhirubhai vlog, dhirubhai tik tok, dhirubhai ke naya geet, dhirubhai9076 song, rakesh pasman song, sanvi song, dhirubhai sad song, dhirubhai nirgun song, dhirubhai sanvi ke geet, Mair Jeti Gardan Reti Rakesh Pasman, Mair Jeti Gardan Reti Dhirubhai, Mair Jeti Gardan Reti, new Maithili song, new Maithili video sad song 2025, new Maithili sad, sad song 2025, Rakesh Paswan official, Rakesh Paswan ka new gana, Rakesh Paswan new sad song",20,https://i.ytimg.com/vi/ejpPQvs_Cpk/hqdefault.jpg,en,hi,False,501,PT8M21S,hd,false,True,,,1215168,64556,4876
_Dfc89TY-aA,NP,2025-12-29 02:40:14.782474+00:00,2025-12-24 14:00:00+00:00,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Barry Keoghan, Cillian Murphy, Conspiracy, Netflix, Netflix 2026, Netflix Teasers, New on Netflix, Packy Lee, Peaky Blinders, Rebecca Ferguson, Sophie Rundle, Stephen Graham, Steven Knight, Tense, The Immortal Man, Tim Roth, Tom Harper, drama, film, teaser",20,https://i.ytimg.com/vi/_Dfc89TY-aA/hqdefault.jpg,en,en-US,False,71,PT1M11S,hd,true,True,,,6686238,175558,5406
7BbYXJielhI,NP,2025-12-29 02:40:14.782481+00:00,2025-12-26 17:35:58+00:00,[NP] 2025 PUBG MOBILE STAR CHALLENGE | Day 1 | Final Showdown Suru Vayo!,[NP] 2025 PUBG MOBILE STAR CHALLENGE | Day 1 | Final Showdown Suru Vayo!,PUBG MOBILE Esports South Asia ,UCMus-ap67HdQVz_QMHtaxXw,20,Gaming,,0,https://i.ytimg.com/vi/7BbYXJielhI/hqdefault.jpg,en,en,False,17133,PT4H45M33S,hd,false,False,,,202780,5861,13
_z6AGCB2tyo,NP,2025-12-29 02:40:14.782489+00:00,2025-12-24 12:15:22+00:00,DONG - Arkai Rapper | ( Prod. By SNJV ) |  ( Official M/V ),DONG - Arkai Rapper | ( Prod. By SNJV ) |  ( Official M/V ),DonG ThaGreat,UCOtSwNRLSn2kWqTZPQaLc6g,10,Music,"dong, arkai rapper, nepali hip hop, classxpresentation, snjv, sota, Mahesh Tamang, arko rapper, dong new song",9,https://i.ytimg.com/vi/_z6AGCB2tyo/hqdefault.jpg,en,ne,False,201,PT3M21S,hd,false,True,,,218552,19771,1204
qMjUqckbfSk,NP,2025-12-29 02:40:14.782497+00:00,2025-12-23 12:30:00+00:00,Andhra King Taluka | Hindi Trailer | Ram Pothineni | Upendra | Bhagyashri Borse | Netflix India,Andhra King Taluka | Hindi Trailer | Ram Pothineni | Upendra | Bhagyashri Borse | Netflix India,Netflix India,UCZSNzBgFub_WWil6TOTYwAg,24,Entertainment,"Ram Pothineni, Upendra Rao, andhra king taluka, andhra king taluka cast, andhra king taluka full movie, andhra king taluka movie, andhra king taluka music, andhra king taluka puppy shame, andhra king taluka rating, andhra king taluka review, andhra king taluka song, andhra king taluka songs, andhra king taluka trailer, andhra king taluka usa review, bhagyashri borse, mahesh babu, puppy shame andhra king taluka, what to watch",18,https://i.ytimg.com/vi/qMjUqckbfSk/hqdefault.jpg,en,en-US,False,175,PT2M55S,hd,true,False,,,1211917,20595,495
M0B-JBFcx2A,NP,2025-12-29 02:40:14.782505+00:00,2025-12-23 13:31:06+00:00,Dig Tunnel to Escape JAIL 😱,Dig Tunnel to Escape JAIL 😱,Tyro Gaming,UCIpN4Y3Pt00Q9KoQMWI77_Q,20,Gaming,"Dig Hole to Escape Prison! 😱, junkeyy, Shivang mini, Shinchan game, Doraemon Game, Nobita Game, Shinchan in hindi, Shinchan Gaming, Frostbite Gaming, VeryNuclear, Rock Indian Gamer, Amaan-T, Flight Gamer, Carry Depie, Proboiz, Tyro Gaming, Proboii, Taro gaming, Funny Game Roblox, Doraemon New Episode, Shinchan New Episode, Dig To Escape Prison, Dig out of Jail, Dig To Escape",24,https://i.ytimg.com/vi/M0B-JBFcx2A/hqdefault.jpg,en,hi,False,658,PT10M58S,hd,false,True,,,1497379,8696,568
gr7ZEFrBYlc,NP,2025-12-29 02:40:14.782513+00:00,2025-12-22 09:48:06+00:00,Donald Trumpko Bhai - Rajkumar Oli | Anju Bishwokarma | Chandra Shahi | Alina Rayamajhi | CID Ashok,Donald Trumpko Bhai - Rajkumar Oli | Anju Bishwokarma | Chandra Shahi | Alina Rayamajhi | CID Ashok,Rajkumar Oli,UCyqE3WUXZq6RQZnAMq2C4KQ,10,Music,"Donald Trump ko bhai, rajkumar oli, chandra kumari shahi, alina rayamajhi, alina rayamajhi new song, rajkumar oli new song, cid ashok, chandra kumari shahi new song, tiktok viral song, reels viralsong, Donald Trump, rajkumar oli viral song, dhurba pun, anju bishwokarma, anju bishwokarmanew song, anju bishwokarma hit song, anju bishwokarma viralsong, man gc, man gc viral song, comedy song, viralcomedy song, comedy video",22,https://i.ytimg.com/vi/gr7ZEFrBYlc/hqdefault.jpg,en,ne,False,567,PT9M27S,hd,false,True,,,147544,4311,337
tyO3guLrVmU,NP,2025-12-29 02:40:14.782522+00:00,2025-12-26 12:48:25+00:00,Battle Of Galwan - Trailer | Salman Khan | Chitrangada Singh | Sanjay Kapoor | Fan Made Ai ,Battle Of Galwan - Trailer | Salman Khan | Chitrangada Singh | Sanjay Kapoor | Fan Made Ai ,"T-Gold Studio · 2.3M views · 2 hours ago






",UCBpDoJbKCPRXFmJWyNblXlg,1,Film & Animation,"battle of galwan trailer, battle of galwan, galwan, galwan trailer, battle of galwan teaser, salman khan battle of galwan trailer, battle of galwan salman khan trailer, battle of galwan trailer salman khan, battle of galwan new trailer, battle of galwan official trailer, battle of galwan movie trailer, battle of galwan release trailer, battle of galwan update, battle of galwan movie, salman khan battle of galwan look, Salman Khan new trailer, salman Khan birthday, trailers",18,https://i.ytimg.com/vi/tyO3guLrVmU/hqdefault.jpg,en,hi,False,85,PT1M25S,hd,false,True,,,567793,13263,550
Dpp4rfwoBmY,NP,2025-12-29 02:40:14.782529+00:00,2025-12-27 13:13:28+00:00,A4 Gamer संग Matchmaking भयो !! 😲 Finally Revenge Done ☑️ Tonde Pasa,A4 Gamer संग Matchmaking भयो !! 😲 Finally Revenge Done ☑️ Tonde Pasa,Tonde Pasa,UCzMeo-K0Gb0Qb8rbIuhv7-A,20,Gaming,"free fire, free fire nepal, tonde nepal, tonde pasa, garena free fire, free fire max, max, nepali, free fire in nepali, tonde nepali, tonde gamer, tgr, a4 gamer, tonde vs, tonde vs a4 gamer",15,https://i.ytimg.com/vi/Dpp4rfwoBmY/hqdefault.jpg,en-US,ne,False,835,PT13M55S,hd,false,True,,,57869,7523,385
LNOGXL3Nvqs,NP,2025-12-29 02:40:14.782537+00:00,2025-12-26 13:15:06+00:00,Yabesh Thapa - Shital | OFFICIAL VISUALIZER,Yabesh Thapa - Shital | OFFICIAL VISUALIZER,Yabesh Thapa,UCXR00_5QcEleXwXloTNTv5A,10,Music,,0,https://i.ytimg.com/vi/LNOGXL3Nvqs/hqdefault.jpg,en,en,False,192,PT3M12S,hd,false,True,,,127972,13272,560
LbRWTmp576A,NP,2025-12-29 02:40:14.782544+00:00,2025-12-18 13:00:41+00:00,Dacoit Teaser (Hindi) | Adivi Sesh | Mrunal Thakur | Anurag Kashyap | Shaneil Deo,Dacoit Teaser (Hindi) | Adivi Sesh | Mrunal Thakur | Anurag Kashyap | Shaneil Deo,Sony Music India,UC56gTxNs4f9xZ7Pa2i5xNzg,10,Music,"sony music india, dacoit, dacoit teaser, Adivi Sesh, Mrunal Thakur, dacoit hindi teaser, Anurag Kashyap, dacoit movie, dacoit review, Tu Cheez Badi Hai Mast Mast",10,https://i.ytimg.com/vi/LbRWTmp576A/hqdefault.jpg,en,en,False,97,PT1M37S,hd,true,True,,,10566171,259378,4518
e2malhQbCUg,NP,2025-12-29 02:40:14.782552+00:00,2025-12-26 10:46:07+00:00,Franklin Touch Anything Become Diamond & Gold in GTA 5 | SUMIT OP,Franklin Touch Anything Become Diamond & Gold in GTA 5 | SUMIT OP,SumitOP Extra,UCH4T1hEF92dvMbi3QSH1X9g,20,Gaming,"sumitop, Franklin Touch Anything Become Diamond & Gold in GTA 5 | SUMIT OP",2,https://i.ytimg.com/vi/e2malhQbCUg/hqdefault.jpg,en,hi,False,1581,PT26M21S,hd,false,True,,,595672,12367,1335
