video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
RE0wi2Dn_Lc,2025-12-08 12:30:41+00:00,En Vaighai Song |  Kalamkaval | Mammootty | Jithin K Jose | Mujeeb Majeed | MammoottyKampany,Mammootty Kampany,Entertainment,"kalamkaval mammootty, mammootty kalamkaval, mammootty kalamkaval movie, kalamkaval jukebox, kalamkaval songs, kalamkaval movie songs, kalamkaval audio jukebox, kalamkaval malayalam songs, kalamkaval bgm, kalamkaval music mujeeb majeed, kalamkaval mammootty vinayakan, kalamkaval movie songs jukebox, kalamkaval movie updates, kalamkaval promo, kalamkaval making video, kalamkaval movie news, kalamkaval song playlist, mammootty latest movie songs, kalamkaval film songs",131,hd,false,True,220921,6259,459
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",121,hd,true,True,6653139,294768,15776
TSnazHJK6XM,2025-12-08 21:17:09+00:00,تحليل مبارة السعوديه ضد المغرب - برنامج المجلس,7ref gameing,Sports,,512,hd,false,True,152815,1258,1
NZaqCWgqOz0,2025-12-06 15:00:07+00:00,"Qaed Helmy & Nabeel Aladeeb - Ketbt Esmk (Official Video, 2026) قائد حلمي ونبيل الاديب - كتبت اسمك",HGuitaraStudio - حيدر كيتارا,Music,"حيدر كيتارا, HGuitaraStudio, دموع تحسين, علي عرنوص, حمزه الآصيل, علي عرنوص نساني, دموع تحسين بعد بعد, اضم حبك, نبيل الاديب, خبر فززني, حمزة المحمداوي اعترف, علاقتي الأولى, أغاني عراقية, أغاني خليجية, Iraqi Songs, Khaleeji Songs, العراق, السعودية, الخليج, الأردن, اغاني عراقية حزينة, اغاني تريند, مبطئ, مسرع, مسلسلات تريند, اكسبلور, ترند التيك توك, ترند العراق, ترند السعوديه, ترند الكويت, اغاني تيك توك, اغاني 2025, حالات وتساب",252,hd,false,True,785233,33997,3098
BcZJhA2baZc,2025-12-06 05:30:02+00:00,"Vaa Vaathiyaar - Trailer | Karthi, Krithi Shetty | Nalan Kumarasamy|Santhosh Narayanan| Studio Green",Think Music India,Music,"karthi, karthi new movie, karthi new movie trailer, karthi tamil movies, karthi vaa vaathiyaar, karthi vaa vaathiyaar movie, karthi vaa vaathiyaar movie trailer, karthi vaa vaathiyaar trailer, karthi vaa vaathiyar trailer, krithi shetty, latest tamil movies, nalan k",140,hd,false,True,7913328,132153,1365
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,false,True,4042786,61731,5363
yAXnEHFKKaY,2025-12-05 15:00:06+00:00,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,BABYMONSTER,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",206,hd,false,True,13544750,272600,9700
ecNk4KFwxNY,2025-11-26 07:34:23+00:00,"KIS KISKO PYAAR KAROON 2 - Official Trailer | Kapil Sharma, Warina, Tridha, Parul | Anukalp Goswami",Kapil Sharma,Entertainment,"kapil sharma, kis kisko pyaar karoon 2 trailer, kis kisko pyaar karoon 2, K9 Films, kis kisko pyaar karoon 2 movie, kapil sharma movie, kapil sharma k9, kapil sharma kis kisko pyaar karoon, kapil sharma show, kis kisko pyaar karoon 2 teaser, kapil sharma new movie, new hindi movie trailer, kis kisko pyaar karoon 2 trailer launch, hindi trailer, The Kapil Sharma Show, bollywood movies trailers 2025, new movie trailer, new trailer, hindi movie, new trailer 2025, trailer",177,hd,false,True,4955808,122661,3438
9ZDRieUdElQ,2025-12-08 11:00:27+00:00,الهروب من المدرسة الالية مع حمودي 😱🏃🔥 ROBLOX,شبكة العاب العرب | Arab Games Network,Gaming,,783,hd,false,True,164892,5643,440
VQ0Crs1WOqg,2025-11-30 06:00:08+00:00,سلومو | اسمع الحقيقه | كش مات | SLOW MOE,SLOW MOE,Music,"Esmaa Alhagega, Slow Moe, اسمع الحقيقه, سلومو, سلو, مو, راب, دس, كلاش, ارمله, الفا, سعودي, جديد, رد, Slow, Moe, Asm3, Al7agega, Diss, New, 2025, End, Rap, Saudi, Beef, بيف, جذور الراب, Rap roots, فاروق, سحاب, عصام, ردة فعل, ترند, اكسبلور, For you, القرضاب, تشي تشي, تشيتشي, انتا, انا من ربي, جيت, بروستاته, بروستات",283,hd,false,True,2739647,113074,25986
qlCBzdZSnlY,2025-11-21 14:26:28+00:00,Akhanda 2 Thaandavam Trailer (Telugu) | Nandamuri Balakrishna | Boyapati Sreenu | Thaman S | DEC 5th,14 Reels Plus,Film & Animation,"Akhanda 2 Telugu Trailer, Akhanda, Akhanda 2 Trailer, Balakrishna New Movie Trailer, NBK Trailer, NBK New Movie Trailer, Akanda Telugu Trailer",162,hd,false,True,17839165,433649,9730
zA8PR-n8b_Y,2025-12-08 11:01:41+00:00,ماين كرافت : دخلنا الى اغرب مكان سري في عالمي 🔥😰 (منصوري ضاع) !!,SPIDER GAMER,Gaming,"فورت نايت, فورتنايت, العاب, سيت اب, قيمز, سبايدر, سبايدر قيمر, دونويشن, دونيشن, دعم, تويتش, افضل, SPIDER, SPIDER GAMER, اخو, اخ, جلد, ضحك, فورت نايت رقم قياسي, 100 دولار, HMX, SPI, تسريب فورتنايت, فرتنايت, بث سبايدر, فورت نايت التحديث الجديد, تسريبات فورت نايت, فورت نايت السيزون الجديد, باور, 100 زر, تحدي 24 ساعة, تحديات, شابتر 4, الشابتر الرابع, قلتش, قلتشات",980,hd,false,True,87751,2836,250
tHVDy4vYApA,2025-11-28 13:09:15+00:00,BAROTA (MUSIC VIDEO) SIDHU MOOSE WALA | THE KIDD | LATEST PUNJABI SONGS 2025,Sidhu Moose Wala,Music,"sidhu moosewala, sidhu moosewala latest song, sidhu moosewala leaked songs, sidhu moosewala official videos, sidhu moosewala official song, latest punjabi song 2020",319,hd,false,True,39289734,2330590,4127323
tunE9m6Capc,2025-11-22 09:08:57+00:00,"Tu Meri Main Tera Main Tera Tu Meri - OFFICIAL TEASER | Kartik, Ananya | Sameer V | 25 Dec 2025",Dharma Productions,Film & Animation,"kartik aaryan, kartik aryan, kaartik aryan, sonu ki titu ki sweety, bhool bhulaiya 3, dharma productions, dharma movies, new bollywood trailer, new bollywood teaser, official teaser, christmas, croatia, bollywood trip, new hindi movie, hindi movie teaser, tu jhooti main makkar",95,hd,true,True,35861322,288946,5639
