video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
lfbnU6chXuw,2025-12-03 10:48:18+00:00,"Gloc-9, Aristotle Pollisco - Simpleng Tao (Lyrics)",Glim Philippines,Music,"gloc-9 aristotle pollisco simpleng tao lyrics, Gloc-9 Aristotle Pollisco Simpleng Tao, Simpleng Tao Lyrics, Simpleng Tao, Pag-ibig ko sa'yo na 'di magbabago, At kahit na anong bagyo ika'y masusundo, Ganito lang ako, Simpleng tao, Na umaasa hanggang ngayon, Ganito man ako, Ang maipagyayabang ko lang sa'yo, Gloc-9 Aristotle Pollisco Simpleng Tao Lyrics, simpleng tao Lyrics, simpleng tao, gloc-9 simpleng tao lyrics, gloc-9 simpleng tao, gloc 9 simpleng tao lyrics, gloc 9",248,hd,False,True,247342,219,4.0
cFZmGrP108E,2025-12-02 10:47:55+00:00,"'Call Me Mother' Official Trailer | Vice Ganda, Nadine Lustre",ABS-CBN Star Cinema,Film & Animation,"ABS-CBN, Star Cinema, ABS-CBN Star Cinema, ABS Star Cinema, Movie, Philippines, Philippine Movie, ABS-CBN Philippines, PH Movies",177,hd,False,True,280667,7907,526.0
86jQnqlo4ow,2025-12-05 09:00:16+00:00,SURVIVE 99 NIGHTS in the FOREST | Roblox | ANG BAHAY NG PANIKI NA SKINWALKER,PlayofEL,Gaming,"PlayofEL, TaleofEL, tale of el, play of el, roblox, roblox tagalog, ROBLOX PINOY, BROOKHAVEN rp, MAHIRAP TO MAYAMAN VERY QUICK!, ANG BABAE SA PLAYGROUND!, brookhaven poor to rich, playofel muscle, gym star roblox, deadrails, dead rails roblox, dead rails playofel",657,hd,False,True,239131,1662,133.0
qz4d57-ypK0,2025-12-03 10:00:07+00:00,Arthur Nery - Di Nakakasawa feat. Kiyo (Official Music Video) starring Nadine Lustre,Arthur Nery,Music,"Arthur Nery, Di Nakakasawa, Nadine Lustre, Music Video, Trending, The II Album, OPM, Viva, Viva Records, OPM Hit, Tatak Pinoy, Arthur x Nadine, New Music Video, Viva Artist, Nadine, Arthur, Kiyo",238,hd,False,True,381160,20268,1164.0
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,4246050,432146,25505.0
B_PoD2Uc-sE,2025-12-05 23:45:01+00:00,NOOB VS PRO: 67 Brainrot Build Battle in Minecraft (Tagalog),Esoni TV,Gaming,"brainrot, squidgame, isoni, minecraft, esoni, maycrap",984,hd,False,True,188471,4806,268.0
IwLQ7ctys54,2025-12-05 21:31:11+00:00,Best Tagalog Christmas Songs Playlist ☃️🎄 Paskong Pinoy 2026 🌟 Traditional Holiday Medley Nonstop 🎶🎁,Paskong Pinoy,Music,"paskong pinoy, paskong pinoy songs, paskong pinoy medley, tagalog christmas songs, christmas songs, best tagalog christmas, christmas songs medley, non-stop christmas songs, merry christmas, filipino christmas songs, christmas songs playlist, tagalog paskong pinoy, paskong pinoy nonstop, christmas music, tagalog christmas medley, christmas medley, Best Jose Mari Chan Christmas songs, Filipino Christmas songs 2026, timeless Filipino Christmas songs, pasko, sana ngayong pasko",5357,hd,False,True,123750,1454,32.0
SYF0MxHVAR0,2025-12-04 00:00:00+00:00,The Great Flood | Official Trailer | Netflix,Netflix,Entertainment,"December new release, Director Kim Byung-woo, Kim Da-mi, Netflix, Park Hae-soo, SF, TheGreatFlood, a Netflix film, action, blockbuster, disaster, sci-fi, 넷플릭스, 대홍수",124,hd,False,True,1572215,13888,596.0
Po6FNvC5dsw,2025-12-04 00:37:00+00:00,Sprunki has a SERIOUS PROBLEM..,Tyler & Snowi,Gaming,"roblox, funny moments, tyler and snowi, tyler, snowi, tyler & snowi, kick the buddy, funny, moments, kick, the, buddy, sprunki, incredibox sprunki, sprunki funny moments, kick the sprunki, kick the buddy sprunki, incredibox sprunki phase 4, sprunki phase 3, sprunki phase 4, sprunki wenda, sprunki powerful punch, powerful punch, incredibox sprunki animation, wenda x gray, wenda, gray, oren x pinki, dog, beat up wenda, beat up jevin, beat up mr black hat, beat up simon, beat up broker",2795,hd,False,True,1209191,30868,1722.0
zz68RFww3pg,2025-12-04 11:31:05+00:00,Top Christmas Songs of All Time 🎄 Best 2 Hour Christmas Music Playlist,Christmas Songs and Carols - Love to Sing,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",9243,hd,False,True,546498,1673,134.0
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,1787749,161225,11924.0
2zSNQzFOIEs,2025-12-05 06:00:07+00:00,BINUSOG KO SILANG LAHAT | ROBLOX | Survive 99 Nights in the Forest,FearOfEL,Gaming,"fear of el, fearofel, horror game, night shift roblox, horror experience roblox, roblox game, roblox tagalog, roblox pinoy, playofel, need more firends robox, asheru gaming, midnight roblox, play of el, 99 NIGHTS IN THE FOREST",1001,hd,False,True,143260,1658,123.0
DUcq5I9Dbzw,2025-11-30 11:30:19+00:00,Goo Goo Dolls - Iris (Lyrics),Rock Treasure,Music,"Goo Goo Dolls, Iris, Goo Goo Dolls Iris, Iris Goo Goo Dolls, Lyrics, Lyrics Iris, Goo Goo Dolls Iris Lyrics, Iris Goo Goo Dolls Lyrics, Goo Goo Dolls Lyrics, Iris Lyrics Goo Goo Dolls, Lyrics Goo Goo Dolls Iris, Lyrics Iris Goo Goo Dolls, Iris by Goo Goo Dolls, goo goo dolls iris tiktok, iris tiktok, iris goo goo dolls tiktok, goo goo dolls iris tiktok version, and i don't want the world to see me, Tiktok, Tiktok song, trend, goo goo dolls song, trending, Tiktok viral song",289,hd,False,False,880002,1543,21.0
7K3sNRm8J0w,2025-12-03 13:59:16+00:00,READY OR NOT 2: HERE I COME | Official Trailer | Searchlight Pictures,SearchlightPictures,Film & Animation,,140,hd,True,True,2938617,58775,3606.0
8NmaBQy1C5Y,2025-12-06 00:40:00+00:00,99 nights in the Forest with Maymay Crush😍 in Roblox,EsoniBlox,Gaming,"Roblox, Esoni, Esoni TV, Esoni Roblox, isoni, isoni roblox, Esoni Minecraft, Minecraft, brainrot, grow a garden, tungtungtungsahur, sahur, playofel, maymaytv",939,hd,False,True,81483,1453,50.0
zZQmGOcjC9M,2025-12-03 22:00:27+00:00,Top OPM Hits Philippines 2025 🎶 Heaven Knows (Rock Cover With Lyrics)| Best OPM Love Hits on Spotify,Midnight Tears,People & Blogs,,8214,hd,True,True,122901,979,8.0
