video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
lfbnU6chXuw,2025-12-03T10:48:18Z,"Gloc-9, Aristotle Pollisco - Simpleng Tao (Lyrics)",Glim Philippines,10,Music,"gloc-9 aristotle pollisco simpleng tao lyrics, Gloc-9 Aristotle Pollisco Simpleng Tao, Simpleng Tao Lyrics, Simpleng Tao, Pag-ibig ko sa'yo na 'di magbabago, At kahit na anong bagyo ika'y masusundo, Ganito lang ako, Simpleng tao, Na umaasa hanggang ngayon, Ganito man ako, Ang maipagyayabang ko lang sa'yo, Gloc-9 Aristotle Pollisco Simpleng Tao Lyrics, simpleng tao Lyrics, simpleng tao, gloc-9 simpleng tao lyrics, gloc-9 simpleng tao, gloc 9 simpleng tao lyrics, gloc 9",248,hd,false,True,313480,272,4
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,5285578,485242,27791
B_PoD2Uc-sE,2025-12-05T23:45:01Z,NOOB VS PRO: 67 Brainrot Build Battle in Minecraft (Tagalog),Esoni TV,20,Gaming,"brainrot, squidgame, isoni, minecraft, esoni, maycrap",984,hd,false,True,246144,6295,351
IwLQ7ctys54,2025-12-05T21:31:11Z,Best Tagalog Christmas Songs Playlist ☃️🎄 Paskong Pinoy 2026 🌟 Traditional Holiday Medley Nonstop 🎶🎁,Paskong Pinoy,10,Music,"paskong pinoy, paskong pinoy songs, paskong pinoy medley, tagalog christmas songs, christmas songs, best tagalog christmas, christmas songs medley, non-stop christmas songs, merry christmas, filipino christmas songs, christmas songs playlist, tagalog paskong pinoy, paskong pinoy nonstop, christmas music, tagalog christmas medley, christmas medley, Best Jose Mari Chan Christmas songs, Filipino Christmas songs 2026, timeless Filipino Christmas songs, pasko, sana ngayong pasko",5357,hd,false,True,241881,2567,49
cFZmGrP108E,2025-12-02T10:47:55Z,"'Call Me Mother' Official Trailer | Vice Ganda, Nadine Lustre",ABS-CBN Star Cinema,1,Film & Animation,"ABS-CBN, Star Cinema, ABS-CBN Star Cinema, ABS Star Cinema, Movie, Philippines, Philippine Movie, ABS-CBN Philippines, PH Movies",177,hd,false,True,290299,8060,532
86jQnqlo4ow,2025-12-05T09:00:16Z,SURVIVE 99 NIGHTS in the FOREST | Roblox | ANG BAHAY NG PANIKI NA SKINWALKER,PlayofEL,20,Gaming,"PlayofEL, TaleofEL, tale of el, play of el, roblox, roblox tagalog, ROBLOX PINOY, BROOKHAVEN rp, MAHIRAP TO MAYAMAN VERY QUICK!, ANG BABAE SA PLAYGROUND!, brookhaven poor to rich, playofel muscle, gym star roblox, deadrails, dead rails roblox, dead rails playofel",657,hd,false,True,282402,1903,155
qz4d57-ypK0,2025-12-03T10:00:07Z,Arthur Nery - Di Nakakasawa feat. Kiyo (Official Music Video) starring Nadine Lustre,Arthur Nery,10,Music,"Arthur Nery, Di Nakakasawa, Nadine Lustre, Music Video, Trending, The II Album, OPM, Viva, Viva Records, OPM Hit, Tatak Pinoy, Arthur x Nadine, New Music Video, Viva Artist, Nadine, Arthur, Kiyo",238,hd,false,True,410515,20806,1175
SYF0MxHVAR0,2025-12-04T00:00:00Z,The Great Flood | Official Trailer | Netflix,Netflix,24,Entertainment,"December new release, Director Kim Byung-woo, Kim Da-mi, Netflix, Park Hae-soo, SF, TheGreatFlood, a Netflix film, action, blockbuster, disaster, sci-fi, 넷플릭스, 대홍수",124,hd,false,True,1720250,14953,627
KgsTBDRttPg,2025-12-06T14:00:39Z,I Got Hunted By the Minecraft LAW,Wemmbu,20,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,false,True,2572644,160565,17413
zz68RFww3pg,2025-12-04T11:31:05Z,Top Christmas Songs of All Time 🎄 Best 2 Hour Christmas Music Playlist,Christmas Songs and Carols - Love to Sing,10,Music,"top christmas song, christmas songs, top christmas songs of all time, top 100 christmas songs of all time, best christmas songs of all time, best christmas songs, top christmas songs, top 100 christmas songs, classic christmas songs, christmas songs playlist, best christmas music, christmas songs medley, top 100 christmas songs and carols, top 100 christmas songs and carols playlist",9243,hd,false,True,593308,1763,144
XRRnP91SSrQ,2025-12-05T16:00:21Z,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,20,Gaming,,58,hd,true,True,2230963,179695,13129
E0YgN26TKq8,2025-12-07T00:00:30Z,"Minecraft, But I BECAME GIANT AND BROKE EVERYTHING!",Maizen,20,Gaming,"Minecraft, Maizen",1286,hd,false,True,428068,3506,320
mBEZS-Rs80I,2025-12-03T13:29:41Z,The Calling - Wherever You Will Go (Lyrics),Enthrall,10,Music,"wherever you will go, wherever you will go lyrics, lyrics wherever you will go, the calling, lyrics, the calling wherever you will go, wherever you will go the calling, the calling wherever you will go lyrics, lyrics the calling wherever you will go, the calling lyrics, lyrics the calling, the calling lyrics wherever you will go, wherever you will go lyrics the calling, lyrics wherever you will go the calling, wherever you will go the calling lyrics, pop, music, hits, songs",209,hd,false,True,200814,477,2
Fv0leN8TmR8,2025-12-07T00:00:04Z,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,true,True,2086452,146014,8731
