video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
tHVDy4vYApA,2025-11-28 13:09:15+00:00,BAROTA (MUSIC VIDEO) SIDHU MOOSE WALA | THE KIDD | LATEST PUNJABI SONGS 2025,Sidhu Moose Wala,Music,"sidhu moosewala, sidhu moosewala latest song, sidhu moosewala leaked songs, sidhu moosewala official videos, sidhu moosewala official song, latest punjabi song 2020",319,hd,False,True,37920249,2310874.0,4010296
BKOVzHcjEIo,2025-11-18 06:50:49+00:00,Dhurandhar Official Trailer | Ranveer Singh | Aditya Dhar | In Cinemas 5th December 2025,JioStudios,Entertainment,"Jio Studios, Dhurandhar First Look, dhurandhar ranveer singh, dhurandhar aditya dhar, dhurandhar movie, dhurandhar teaser, Ranveer singh, aditya dhar, dhurandhar 2025 movies, arjun rampal, dhurandhar song, dhurandhar, dhurandhar hanumankind, dhurandhar r madhavan, dhurandhar sanjay dutt, dhurandhar akshaye khanna, hanumankind ranveer singh, dhurandhar sara arjun, dhurandhar official trailer, dhurandhar trailer, dhurandhar trailer launch, dhurandhar jasmine sandlas",248,hd,True,True,47341855,573636.0,37727
tRR38wJToXg,2025-12-07 15:25:13+00:00,LAST CHANCE FOR TEAM IC PMGC 2025 / PUBG MOBILE GLOBAL CHAMPIONSHIP,ANONYMOUS LIVE,Gaming,"Challenge Videos, 24 Hour Challenge, LIVE, LIVE STREAM, PIBG, PUBG MOBILE, BGMI, PUBG, STAR ANONYMOUS live, ANONYMOUS LIVE, LAST CHANCE FOR TEAM IC PMGC 2025 / PUBG MOBILE GLOBAL CHAMPIONSHIP, PMGC, PMGC 2025, PUBG MOBILE GLOBAL CHAMPIONSHIP, TEAM IC, IC FALAK, LAST CHANCE PMGC",23731,hd,False,False,474726,35507.0,93
472GGh5D_h8,2025-11-26 05:30:07+00:00,Sawaal Puchdi (Official Video) | Yo Yo Honey Singh | Bohemia | 51 Glorious Days | Bhushan Kumar,T-Series,Music,"tseries, tseries songs, Honey singh new song, Sawaal puchdi honey singh, Sawaal puchdi bohemia, Honey singh and bohemia song, yo yo honey singh new song, sawaal puchdi song, bohemia sawaal puchdi, sawal puchdi honey singh, yo yo honey singh sawal puchdi, sawal puchdi full song, sawaal puchdi, honey singh sawaal puchdi, sawal puchdi yo yo honey singh, honey singh sawal puchdi song, bohemia and honey singh song, sawal puchdi, sawal puchdi video, honey singh, bohemia songs",255,hd,False,True,22549104,467859.0,35852
Eb9fIMlIiyc,2025-11-26 07:21:46+00:00,"KIS KISKO PYAAR KAROON 2: Official Trailer | Kapil Sharma, Manjot Singh |In Cinemas 12 December 2025",Venus Movies,Entertainment,"kis kisko pyaar karoon 2, kis kisko pyaar karoon 2 trailer, kapil sharma, kis kisko pyaar karoon, kis kisko pyaar karoon 2 movie, kapil sharma comedy, kapil sharma movie, trailer, official trailer, new movie trailer, movie trailer, bollywood, bollywood movies, comedy movie, comedy, comedy video, ayes, ayesha khan, parul gulati, tridha choudhary, manjot singh, official trailer 2025, new trailer 2025, hindi movie, bollywood comedy movies, kkpk 2, kkpk 2 trailer, movie, trailers",177,hd,True,True,13154691,111594.0,2931
VhEIRmUUm2g,2025-12-07 15:22:16+00:00,[URDU] 2025 PMGC League | Last Chance | Day 2 | PUBG MOBILE Global Championship,PUBG MOBILE Esports Pakistan,Gaming,"pmgc, pubgm, pubg mobile, pmgc 2025, pmgc urdu, pubgm urdu, team ic, ic falak, pakistani team in pmgc, pmgc pakistan, pubgm pakistan, urdu pmgc, urdu, ic pmgc, aladdin pmgc, aadi pmgc",17466,hd,False,False,304395,8222.0,47
3MtSBlXz2Q0,2025-11-24 01:38:08+00:00,Ishq Da Saagar (Main Ishq Da Banda Tu Ishq Da Malik),Sufiyana Sangeet - Topic,Music,"Sufiyana Sangeet, Nazafi Gohar, Ishq Da Saagar (Main Ishq Da Banda Tu Ishq Da Malik)",190,hd,False,True,857272,15060.0,0
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254060.0,13797
2k3JxLDWMwk,2025-11-27 08:34:49+00:00,My Sports Car vs New Heavy Bike Drag Race🏎️,Vampo,Entertainment,"vampire yt, vampo yt, Drag race, Tug of war, New bike, New car, Sports car, Vampire new video, Vlogs",911,hd,False,True,1313717,13979.0,528
hhpd8R5TjcQ,2025-11-26 12:53:40+00:00,"Saiyaara X Barbaad - Mashup | Jubin Nautiyal , Arijit Singh & Faheem Abdullah | Latest 4K Mashups",Tanvir LUCKYY,Music,"mashup songs, tanvir luckyy mashup, saiyaara mashup, barbaad song, barbaad mashup, barbaad x saiyaara, saiyaara x barbaad, barbaad x, trending mashup, barbaad lofi, chillout mashup, tum hi ho x barbaad, sad mashup lofi, faheem abdullah songs, saiyaara lofi, lofi remix, bollywood mashup, emotional mashup, saiyaara x tum hi ho, jubin nautiyal, love mashup, arijit singh mashup, barbaad x lofi, barbaad jubin nautiyal, hindi mashup lofi, saiyaara mashup remix",379,hd,False,True,2155653,4415.0,40
