video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
rPSXipbz1gI,PL,2025-12-28 02:42:12.661787+00:00,2025-12-27 11:22:06+00:00,"Sobel ""ZA KOGO MNIE MASZ?""","Sobel ""ZA KOGO MNIE MASZ?""",Sobel,UCalZDLHUJpNk65HKF4V00LQ,10,Music,"sobel, bandyta, impreza, fiołkowe pole, piosenki, sanah, sobel wygladasz tak pieknie, sobel impreza, sobel bandyta, wygladasz tak pieknie, sobel sanah, kinol, drobna zabawa, czesc jak sie masz, biznes, alien, daj mi znac, presja, bandyta sobel, dziary na pół ryja, mata, oki, otsochodzi, young igi, oio, 2020, quequality, quebonafide, patologiczny zew, pull up, sobel pull up, płapka na motyle, kontrast, smolasty, guzior, gibbs, mr. polska, white 2115, 2115, bedoes, malik montana, kizo, białas, żabson",44,https://i.ytimg.com/vi/rPSXipbz1gI/hqdefault.jpg,pl,pl,False,149,PT2M29S,hd,false,True,,,154005,11956,329
Mzw2ttJD2qQ,PL,2025-12-28 02:42:12.661830+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,26797535,481218,24948
a0ay8tkP4IA,PL,2025-12-28 02:42:12.661845+00:00,2025-12-26 09:00:00+00:00,KOLOROWY CHOWANY Z LUCZEK I PIMPEK w Minecraft!,KOLOROWY CHOWANY Z LUCZEK I PIMPEK w Minecraft!,Wojan Games,UCzTFc6-iB68HTx3syrjTN_w,20,Gaming,"wojan, minecraft, gry, wojan minecraft, po polsku, wojan games, survival, minecraft survival, wojan survival, wojanowice, surwiwal, ptyś, ptys, noob, noobek, wojanek, napoj wojanek, picie wojana, luczek, pimpek, luczek i pimpek, kolorowy chowany, chowany",23,https://i.ytimg.com/vi/a0ay8tkP4IA/hqdefault.jpg,pl,pl,False,1322,PT22M2S,hd,false,True,,,276893,5196,490
LSJWfqWK6aU,PL,2025-12-28 02:42:12.661855+00:00,2025-12-22 12:06:20+00:00,Mata - BĘDĘ PREZYDENTEM :) (#MATA2040),Mata - BĘDĘ PREZYDENTEM :) (#MATA2040),Mata,UCwlfiDDikYOz4vLPyacLjhQ,10,Music,"mata2040, BĘDĘ PREZYDENTEM :), Mata",3,https://i.ytimg.com/vi/LSJWfqWK6aU/hqdefault.jpg,pl,pl,False,234,PT3M54S,hd,true,False,,,689822,32914,1590
OmmlWam1TJc,PL,2025-12-28 02:42:12.661863+00:00,2025-12-24 14:00:01+00:00,Peaky Blinders: Nieśmiertelny | Oficjalny teaser | Netflix,Peaky Blinders: Nieśmiertelny | Oficjalny teaser | Netflix,Netflix Polska,UCwAiG5lj7w24SbgPy6eiYvg,24,Entertainment,"Barry Keoghan, Cillian Murphy, Netflix, Netflix 2026, Nieśmiertelny, Packy Lee, Peaky Blinders, Rebecca Ferguson, Sophie Rundle, Stephen Graham, Steven Knight, Tim Roth, Tom Harper, dramat, film, nowość Netflixa, spisek, teaser, teasery Netflixa, trzymający w napięciu",20,https://i.ytimg.com/vi/OmmlWam1TJc/hqdefault.jpg,pl,en-US,False,71,PT1M11S,hd,false,False,,,58333,1668,67
0V8mgAJ09PQ,PL,2025-12-28 02:42:12.661872+00:00,2025-12-27 09:00:01+00:00,OSZUKUJE JAKO PRAWDZIWY TWÓRCA UKRADNIJ BRAINROT w Roblox,OSZUKUJE JAKO PRAWDZIWY TWÓRCA UKRADNIJ BRAINROT w Roblox,Wojan PLUS,UC5OmAy7nQNIYIh5XwPDCJ2g,20,Gaming,"wojan, wojan plus, plus, roblox, robux, wojan roblox, roblox robux, gra, ptys, ptyś, gacek, noob, noobek, wojanek, sammy, brainrot, ukradnij brainrot, oszukuje jako prawdziwy tworca ukradnij brainrot, udaje",19,https://i.ytimg.com/vi/0V8mgAJ09PQ/hqdefault.jpg,pl,pl,False,999,PT16M39S,hd,false,True,,,159979,3598,399
heRKFwhkOrs,PL,2025-12-28 02:42:12.661880+00:00,2025-12-25 15:33:09+00:00,"Gore Gwiozda / Mała Armia Janosika / TVP1 ""Malućkiemu kolęduje Mała Armia Janosika"" / prod. 2025","Gore Gwiozda / Mała Armia Janosika / TVP1 ""Malućkiemu kolęduje Mała Armia Janosika"" / prod. 2025",Mała Armia Janosika Official,UCqOpFvtSrKedvdy-tJOjOcg,10,Music,"mała armia janosika, armia janosika, janosik, muzyka góralska, piosenki góralskie, góralska muzyka, polska muzyka, nowość 2025, nowość 2026, piosenki po góralsku, damian pałasz",11,https://i.ytimg.com/vi/heRKFwhkOrs/hqdefault.jpg,pl,pl,False,169,PT2M49S,hd,false,True,,,119920,1097,49
KjOL6n0F0T8,PL,2025-12-28 02:42:12.661889+00:00,2025-12-26 02:41:22+00:00,Madden - Official Teaser | Prime Video,Madden - Official Teaser | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"madden official teaser, madden teaser, madden 2025, official teaser, teaser, teaser 2025, new amazon teaser, madden prime video, prime video madden, madden, drama, drama film, drama movie, prime video, amazon prime video, amazon prime, prime, amazon",18,https://i.ytimg.com/vi/KjOL6n0F0T8/hqdefault.jpg,en,en,False,41,PT41S,hd,true,True,,,522832,3575,500
cmCaLaeggbI,PL,2025-12-28 02:42:12.661896+00:00,2025-12-26 09:42:50+00:00,JESTEŚMY ZAMKNIĘCI w BARIERZE w Minecraft 🚫🚫,JESTEŚMY ZAMKNIĘCI w BARIERZE w Minecraft 🚫🚫,Luczek 🐶,UClFiR6dnvdeTYJ_P_LlOWiA,20,Gaming,"Minecraft, noob vs pro, noob, vs, pro, oszukuje, hackami, minecraft ale, Luczek, Pimpek, śmieszne, słodkie pieski, reakcja, smutny, film, piesek, luczek, pimpek, pimpek minecraft, dom, domek luczek, domek pimpek, ogromny pimpek, zbuduj domek, luczekshop, minecraft, wojanowice, dołączyliśmy na wojanowice, luczek wojan piosenka, zbudujmy baze piosenka luczek pimpek wojan, wojan luczek pimpek, reakcja na wojanowice, sekret, JESTEŚMY ZAMKNIĘCI w BARIERZE w Minecraft 🚫🚫",34,https://i.ytimg.com/vi/cmCaLaeggbI/hqdefault.jpg,pl,pl,False,1545,PT25M45S,hd,false,True,,,196433,2474,171
tEy7kNvYYFw,PL,2025-12-28 02:42:12.661905+00:00,2025-12-25 23:01:11+00:00,Tax Free - Rura musi yeah (prod. CUZCO$),Tax Free - Rura musi yeah (prod. CUZCO$),Tax Free,UCNdIlLiJ5wLc52VxgpRHuGg,22,People & Blogs,"tax free, tax, free, malik montana, kazior, rura musi yeah, rura musi jebać, rura, cuzco$",9,https://i.ytimg.com/vi/tEy7kNvYYFw/hqdefault.jpg,pl,pl,False,149,PT2M29S,hd,false,True,,,107383,8118,219
