video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
tkWZ0NLk4k0,2025-11-29 21:47:59+00:00,Tupasy Ka'akupépe - Mimados de Paraguay,Mimados de Paraguay,Music,"YouTube Music, nueva música latina, trending música, canción viral, música que toca el alma, música para reflexionar, canción para dedicar, música original, producción, independiente, estreno musical, mimados, kchak, music, caaguazu, paraguay, lo nuevo, top, masescuchados, musica, tupasy, caacupe, virgen, virgencita, virgencita de caacupe, milagro, ever osmar, fredy cardozo, derlis arnaldo, diego cardozo, elio rolando, mimado, los mimados",273,hd,False,False,11530,163,12
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",121,hd,True,True,6653139,294774,15776
XsA82uI7Jno,2025-12-08 19:27:11+00:00,Abrí una TIENDA de ARMAS REALES en Minecraft!,Dagar,Gaming,"Minecraft, minecraft mod, dagar y nacho, nacho y dagar, amigos minecraft, dagar minecraft, minecraft dagar",1370,hd,False,True,384905,6493,285
YcBUfrOguRQ,2025-12-07 23:00:43+00:00,KAROL G - Ivonny Bonita (Official Video),KarolGVEVO,Music,"karol, karolg, bichota, si antes te hubiera conocido, sathc, latina foreva, latina forever, ivonny, bonita, la reina presenta, papasito, dile luna, cuando me muera te olvido, cmmto, coleccionando heridas, marco antonio solis, el buki, un gatito me llamo, amiga mia, bandida entrenada, ese hombre es malo, su boca la amo, verano rosa, feid, no puedo vivir sin el, tu perfume, fkn movie, mariah angeliq, se puso linda, viajando por el mundo, manu chao, tropicoqueta",231,hd,False,True,1197394,61858,4780
8cnxm6_G8D0,2025-12-07 00:10:49+00:00,THE BOYS Temporada 5 Tráiler Español Latino (2026),ONE Media Español,Film & Animation,"Tráiler, Película, Español, Latino, 2026, The Boys, The Boys temporada 5, The Boys temporada 5 Tráiler, Homelander, Butcher, Final",130,hd,False,True,362744,18454,1367
lT0y_VprlRQ,2025-12-08 20:08:18+00:00,NUNCA JUEGUES la TORRE TROLL DE RUMI GUERRERA KPOP GUSANO ATERRADORA en ROBLOX con Mandarina,Lyna,Gaming,,1020,hd,False,True,186530,2836,296
LEz_eHbD15w,2025-12-02 23:00:31+00:00,Beéle - si te pillara (LETRA),FlowVerso,Music,,184,hd,False,True,921305,694,5
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,6914720,552947,30979
i_V5zy1Aeeo,2025-12-08 21:00:56+00:00,LOS BROS VOLVIMOS A R.E.P.O Y FUE GRACIOSISIMO!👻,ElAbrahaham,Gaming,"abrahahamflores, stream, entretenimiento, divertido, risa, gracioso, gamer, videojuegos, elabrahaham, copilacion, videos graciosos, antes vs ahora, mexico vs usa, abrahaham, directos, shorts, tiktoks, streams, twitch, reaccion, reacciones",1471,hd,False,True,142621,7871,1421
iTTBqm6rVRs,2025-12-02 01:48:24+00:00,Labios Compartidos - Maná (Letra/Lyrics),Rock Soul,Entertainment,"Labios Compartidos, Maná, Labios Compartidos Maná, Labios Compartidos letra, Labios Compartidos lyrics, Maná letra, Maná lyrics, rock latino, rock en español, pop rock, Maná hits, música romántica, canción icónica, Maná oficial, canción para dedicar, música en español, Musicana, rock mexicano, balada rock, música legendaria, rock clásico latino, canción nostálgica, éxitos de Maná, himnos del rock, música para enamorados, baladas poderosas, Maná en vivo",316,hd,False,False,860641,1089,8
