video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
zEjvRz_u5MM,PY,2025-12-30 02:30:45.422564+00:00,2025-12-24 19:01:06+00:00,"Wisin, Ozuna - Escápate Conmigo (LETRA)","Wisin, Ozuna - Escápate Conmigo (LETRA)",FlowVerso,UCeaIKrEW4gqu8vSLLuEfzfg,10,Music,,0,https://i.ytimg.com/vi/zEjvRz_u5MM/hqdefault.jpg,es,es,False,233,PT3M53S,hd,false,True,,,528785,857,6
siz2MR_xZP4,PY,2025-12-30 02:30:45.422600+00:00,2025-12-28 21:59:00+00:00,AAA Trailer X-MEN FILTRADO Avengers Doomsday confirma Cíclope y mutantes acabados por Doctor Doom,AAA Trailer X-MEN FILTRADO Avengers Doomsday confirma Cíclope y mutantes acabados por Doctor Doom,Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/siz2MR_xZP4/hqdefault.jpg,es,es-419,False,940,PT15M40S,hd,false,True,,,321568,16053,785
XUhbRhJl72k,PY,2025-12-30 02:30:45.422611+00:00,2025-12-29 19:09:02+00:00,Construimos el ÁRBOL más GRANDE de Roblox con Mandarina,Construimos el ÁRBOL más GRANDE de Roblox con Mandarina,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/XUhbRhJl72k/hqdefault.jpg,es-419,es-419,False,1302,PT21M42S,hd,false,True,,,222225,3561,395
imfr5Px5D54,PY,2025-12-30 02:30:45.422620+00:00,2025-12-27 00:00:54+00:00,J BALVIN || BZRP Music Sessions #62/66,J BALVIN || BZRP Music Sessions #62/66,Bizarrap,UCmS75G-98QihSusY7NfCZtw,24,Entertainment,"bizarrap, biza, bisa, bizzarrap, bzrp, bzrp music sessions, trap, musica latina, argentina, méxico, españa, hip hop, rap, biza session, reggaeton, music session, USA, latin music, el biza, gonzalo, bizarraaap, 66, 62, j balcin, jbalvin, balvin, la que me olvido, lego, for fun, pa divertirme, residente, colombia, bad bunny balvin, el biza la soltó, España, puerto rico, J BALVIN || BZRP Music Sessions #62/66, la 62 de biza, vallenato, jose balvin",40,https://i.ytimg.com/vi/imfr5Px5D54/hqdefault.jpg,es,es,False,197,PT3M17S,hd,true,True,,,5357586,413919,31085
4h3i9_t4n8E,PY,2025-12-30 02:30:45.422629+00:00,2025-12-23 14:17:05+00:00,AVENGERS: DOOMSDAY Teaser Tráiler (2026),AVENGERS: DOOMSDAY Teaser Tráiler (2026),ONE Media Español,UCcVNDl7ZJMf9lC9a34CY4RA,1,Film & Animation,"Tráiler, Película, Español, Latino, 2025, Avengers Doomsday, Avengers Doomsday Tráiler, Captain America, Chris Evans, Marvel, Avengers 5",11,https://i.ytimg.com/vi/4h3i9_t4n8E/hqdefault.jpg,es,es,False,101,PT1M41S,hd,false,False,,,346465,15200,1156
D8zJtUAjj0M,PY,2025-12-30 02:30:45.422638+00:00,2025-12-29 18:00:12+00:00,Un Robux convirtió a TRALALERITO en un Trillonario! | ChuyMine REACCIONA a Zommy,Un Robux convirtió a TRALALERITO en un Trillonario! | ChuyMine REACCIONA a Zommy,ChuyMine R,UCHVrnbeCIO7gzPbl90m6C-Q,20,Gaming,"ChuyMine Reacciona, ChuyMine R, Chuymine, chuy reacciona",4,https://i.ytimg.com/vi/D8zJtUAjj0M/hqdefault.jpg,es,es,False,1227,PT20M27S,hd,false,True,,,223171,8086,241
vl_66cmQrOw,PY,2025-12-30 02:30:45.422646+00:00,2025-12-23 18:30:06+00:00,"TINI, Maria Becerra - Miénteme (Letra)","TINI, Maria Becerra - Miénteme (Letra)",Tropicalízate,UCgVlte3RIwLsBlXukDv9p1Q,22,People & Blogs,,0,https://i.ytimg.com/vi/vl_66cmQrOw/hqdefault.jpg,es,es,False,166,PT2M46S,hd,false,True,,,297014,579,7
Mzw2ttJD2qQ,PY,2025-12-30 02:30:45.422655+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,27737596,495854,25577
krnhKVgg1Fg,PY,2025-12-30 02:30:45.422662+00:00,2025-12-29 19:44:33+00:00,Sobreviví a la Invasión PHONK en Minecraft,Sobreviví a la Invasión PHONK en Minecraft,ARSEL,UCdkYpnBPZeGnyS0EvASGMkQ,20,Gaming,"arsel, arsel minecraft, arsel y mario, vmario y arsel, arsel trolleos, hice trampas en minecraft, minecraft, vmario, dano, danomc, arsel y dano, arsel dano y mario, mario dano y arsel, troll, rol, troleo, trolleo, trolee, batalla, mob, mobs, hack, hacks, amigo, Batalla de mobs, batalla de construccion, construccion, hackee, bobicraft, mikecrack, trolleé, transformé, mobs op, minecraft mod, converti, transforme, transformado, minecraft challenge, reto",39,https://i.ytimg.com/vi/krnhKVgg1Fg/hqdefault.jpg,es-ES,es-ES,False,1089,PT18M9S,hd,false,True,,,111209,2061,169
iPtFo4sMQb8,PY,2025-12-30 02:30:45.422670+00:00,2025-12-23 17:47:41+00:00,AMO MINHA FAVELA - MC MENO K & DJ JAPA NK,AMO MINHA FAVELA - MC MENO K & DJ JAPA NK,DJ Japa NK,UC9OJH9t7DyfTCvfBSOTlHtQ,10,Music,,0,https://i.ytimg.com/vi/iPtFo4sMQb8/hqdefault.jpg,pt-PT,pt-BR,False,121,PT2M1S,hd,false,False,,,1113938,8811,84
MPfZhgLiK6w,PY,2025-12-30 02:30:45.422677+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,false,True,,,6205093,305822,10328
dTi_4XF39lQ,PY,2025-12-30 02:30:45.422685+00:00,2025-12-29 21:36:52+00:00,¡SOBREVIVÍMOS usando SOLO FUEGO! 🔥🦌🥵 SILVIOGAMER en 99 NOCHES en el BOSQUE,¡SOBREVIVÍMOS usando SOLO FUEGO! 🔥🦌🥵 SILVIOGAMER en 99 NOCHES en el BOSQUE,Silvio Gamer,UCCrA8ZN1J3S52wuF4vthZFQ,20,Gaming,"SILVIO, SILVIOGAMER, SILVIO GAMER, MINECRAFT, Silvio, silviogamer, silvio, silvio gamer, minecraft silvio, silvio minecraft, silviogamer minecraft, minecraft silviogamer, silviogamer minecraft pero, CONSEGUI, CONSEGUÍ, CLASE, NUEVA CLASE, OBTUVE, LA NUEVA, NUEVA, CLASE OP, OP, CLASS, NEW CLASS, NEW OP CLASS, 99 NIGHTS, 99 NIGHTS IN THE FOREST, 99 NOCHES EN EL BOSQUE, 99 NOCHES, 99 NOCHES BOSQUE, BOSQUE, VENADO, fuego, solo fuego, cosas de fuego, sobrevivimos, sobrevivímos, sobreviví",38,https://i.ytimg.com/vi/dTi_4XF39lQ/hqdefault.jpg,es,es,False,1881,PT31M21S,hd,false,True,,,182099,9061,1295
Jxy8lX_bPKI,PY,2025-12-30 02:30:45.422692+00:00,2025-12-22 18:00:19+00:00,Los Auténticos Decadentes - Loco (Tu Forma de Ser) (Letra/Lyrics),Los Auténticos Decadentes - Loco (Tu Forma de Ser) (Letra/Lyrics),nostalgia lyrics.,UCaxjS8mdF402rdn1hP6_1_Q,10,Music,,0,https://i.ytimg.com/vi/Jxy8lX_bPKI/hqdefault.jpg,es,es,False,314,PT5M14S,hd,false,True,,,283177,1035,5
