video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
qUCVam95ajk,RS,2025-12-27 02:26:58.767681+00:00,2025-12-21 11:00:06+00:00,Ana Nikolić - Nije mi 22 (Official Video),Ana Nikolić - Nije mi 22 (Official Video),Ana Nikolic,UCXdoy3W1J-yItjWWHBJ9Hqg,10,Music,"Ana Nikolic 2025, Ana Nikolic Nije mi 22, Ana Nikolic novi spot, Ana Nikolic spot, Ana nikolic nova pesma, Nije mi 22, Nije mi 22 hit, Nije mi 22 hit singl, Nije mi 22 spot, Nova pesma, ana nikolic, atina, djavo, dzukelo, hit singl, januar, klovn, lose ti je bilo, mafia ca",19,https://i.ytimg.com/vi/qUCVam95ajk/hqdefault.jpg,sr,sr,False,176,PT2M56S,hd,false,True,,,941576,26042,1446
Mzw2ttJD2qQ,RS,2025-12-27 02:26:58.767706+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,26263721,473120,24587
ZFXLs4_Gs7g,RS,2025-12-27 02:26:58.767718+00:00,2025-12-25 08:45:03+00:00,PAO JE SNEG! Grand Theft Auto V - Lude Trke w/Cale (TRKMAS),PAO JE SNEG! Grand Theft Auto V - Lude Trke w/Cale (TRKMAS),Mudja,UCZbp-wYt5PiIkGmoEZ6ChmQ,20,Gaming,"Mudja, MudjaPlus",2,https://i.ytimg.com/vi/ZFXLs4_Gs7g/hqdefault.jpg,sr,sr,False,998,PT16M38S,hd,false,True,,,196243,17619,318
IdM7rARaoYU,RS,2025-12-27 02:26:58.767726+00:00,2025-12-23 11:08:00+00:00,2soma x Gazda Paja - Napumpam i ćao,2soma x Gazda Paja - Napumpam i ćao,Bassivity Digital,UCtAE452wbBYJZASZ-3jCNBA,10,Music,,0,https://i.ytimg.com/vi/IdM7rARaoYU/hqdefault.jpg,sr,sr,False,162,PT2M42S,hd,false,True,,,239909,9824,300
_Dfc89TY-aA,RS,2025-12-27 02:26:58.767734+00:00,2025-12-24 14:00:00+00:00,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Peaky Blinders: The Immortal Man | Official Teaser | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Barry Keoghan, Cillian Murphy, Conspiracy, Netflix, Netflix 2026, Netflix Teasers, New on Netflix, Packy Lee, Peaky Blinders, Rebecca Ferguson, Sophie Rundle, Stephen Graham, Steven Knight, Tense, The Immortal Man, Tim Roth, Tom Harper, drama, film, teaser",20,https://i.ytimg.com/vi/_Dfc89TY-aA/hqdefault.jpg,en,en-US,False,71,PT1M11S,hd,true,True,,,5775722,159113,6066
8I1tRoP0bb4,RS,2025-12-27 02:26:58.767742+00:00,2025-12-25 17:03:14+00:00,PRVI PUT SAMA U 99 NOĆI U ŠUMI,PRVI PUT SAMA U 99 NOĆI U ŠUMI,EmiFox,UC7a6v4_3RyIuUu52CYG7x8A,20,Gaming,"ema, emifox, emaizobra, emafox",4,https://i.ytimg.com/vi/8I1tRoP0bb4/hqdefault.jpg,sr,sr,False,1585,PT26M25S,hd,false,True,,,106125,2840,279
yb-pCrsHRLo,RS,2025-12-27 02:26:58.767749+00:00,2025-12-19 16:27:57+00:00,Senidah - Ti i Ja (Official Video),Senidah - Ti i Ja (Official Video),Senidah,UCoj4v3N2C8wKQTmMkW_kibg,10,Music,"senidah, sladjana, misici, mišići, atlas erotika, cazzafura, belo, bez tebe",8,https://i.ytimg.com/vi/yb-pCrsHRLo/hqdefault.jpg,sl,sr,False,246,PT4M6S,hd,false,True,,,609153,12956,876
MPfZhgLiK6w,RS,2025-12-27 02:26:58.767757+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,false,True,,,5933710,299423,10159
D6bBevEx9tQ,RS,2025-12-27 02:26:58.767764+00:00,2025-12-25 08:00:07+00:00,PRENKUJEM MARKA U 99 NOCI U SUMI,PRENKUJEM MARKA U 99 NOCI U SUMI,Sarezza,UCXgsOHYsLh6V7wSXh5myYbA,20,Gaming,"roblox, brainrot",2,https://i.ytimg.com/vi/D6bBevEx9tQ/hqdefault.jpg,sr,sr-Cyrl,False,1393,PT23M13S,hd,false,True,,,70818,1567,50
zbi4TRyeY64,RS,2025-12-27 02:26:58.767771+00:00,2025-12-23 10:01:42+00:00,Lete Pare,Lete Pare,Bandra - Topic,UCBC1GkCowmkOPwZBTLIAlGA,10,Music,"Bandra, Lacku, Lete Pare",3,https://i.ytimg.com/vi/zbi4TRyeY64/hqdefault.jpg,sr,sr,False,166,PT2M46S,hd,false,True,,,77404,2482,0
