video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
kpv46Phe_Mw,2025-12-05 09:00:03+00:00,Клава Кока - СПЛЕТНИ. ШУМ. ЛУК.  (Клип 2025),Клава Кока,Music,"клип, клава кока, Баста, Ксения Собчак, Дима Билан, Ваня Дмитриенко, Бустер, Братишкин, deepins, Satyr, Exile, Frame Tamer, ЕГОРИК, Прохор Шаляпин, Алексей Жидковский, Антон Шастун, Кукояка, nkeeei, МОТ, DILARA, Илья Куруч, Джарахов, Гоша Карцев, Лариса Долина, MARGO, Краймбрери, Каграманов, Кравец, Lovv66, Маш Милаш, Пересильд, Pokrov, ТРАВМА, JONY, ГАВРИЛИНА, Tenderlybae, Джиган, Тодоренко, Басков, Олег Майами, Rakhim, SERYABKINA, Artik&Asti, Ревва, Куруч, Карцев, Щербакова, klava koka, СПЛЕТНИ, ДимаМасленников",132,hd,False,True,206516,9211,1130
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,4246050,432172,25507
_kVeSMFqaas,2025-12-06 11:10:15+00:00,В меня влюбилась КАТЯ - Все СЛИШКОМ Хорошо ➲ Зайчик 5 эпизод ➲ Tiny Bunny 5 Эпизод!,windy31,Entertainment,,3157,hd,False,True,236675,27760,3085
ujnEDma-_AY,2025-12-05 16:02:33+00:00,"Расскажи, Снегурочка",Release - Topic,Music,"Sasha Komovich, Расскажи, Снегурочка",120,hd,False,True,64727,2185,0
r6yg5H-Ws9k,2025-12-06 10:54:53+00:00,ДЖЕКС НАШЕЛ ВЫХОД? - Разбор Трейлера 7 Серии УЦЦ,ДЕРВИС,Film & Animation,"digital circus, tadc, glitch, vivziepop, hazbin hotel, helluva boss, tadc episode 7, уцц, цифровой цирк, дервис, дервис уцц, дервис цифровой цирк, джекс нашел выход, уцц обзор, цифровой цирк обзор, уцц 7 серия, цифровой цирк 7 серия, уцц 8 серия, уцц теории, уцц факты, джекс, помни, рагата, генгл, кейн, зубл, королер, уцц на русском, мемы, юмор, озвучка, мульты, комиксы, анимация, арт, уцц 7 серия трейлер, глитч, уцц 7 серия обзор, цифровой цирк 7 серия обзор, уцц озвучка, уцц пародия, ох",361,hd,False,True,16353,1086,101
Pc1Rb77Jyz8,2025-12-06 08:00:35+00:00,"😱От 0$ до 1T$, Но с FESTIVE ЛАКИ БЛОКАМИ в Steal a Brainrot! Только Новогодние Брейнроты! Фиксай",FixEye - Роблокс,Gaming,"фиксай, fixeye, roblox, роблокс, прокачали мемы, steal a brainrot, steal a brainrot прохождение, секреты steal a brainrot, festive lucky block, festive лаки блок, фестивальный лаки блок, новогодний лаки блок, открытие новогодних лаки блоков, открыл 100 новогодних лаки блоков, открыл 100 festive лаки блоков, 100 фестив лаки блоков, новогодние брейнроты, 25, 25 брейнрот, от 0 до триллиона с festive лаки блоками",996,hd,False,True,347161,10428,1620
0VIWxxcOwEs,2025-11-29 04:02:28+00:00,"888 - НЕ РАССТАВАЙСЯ С ЛЮБИМЫМИ (Премьера, 2025)",АЛЕКСАНДР ВЕСТОВ ,Music,"Русская Музыка, Новинки 2025, Песни О Любви, Хиты 2025, Душевные Песни, Лучшие Песни, Музыка Для Души, Русские Песни, Шансон, Лирические Песни, Красивые Песни, Популярные Песни, Новая Песня, Клип 2025, Премьера 2025",309,hd,False,True,62348,916,122
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,1787749,161241,11925
lnJZs-7_2wI,2025-12-06 12:20:48+00:00,Меня Взломали..,PozziBlox,Gaming,,1396,hd,False,True,128440,9949,971
n3e9lwoAmj4,2025-12-03 15:45:08+00:00,NO BATIDÃO (Ultra Slowed) - ZXKAI x slxughter,Rubix Records,Music,,126,hd,False,True,748981,6844,161
