video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
gzHZyS2Bmio,RU,2025-12-20 02:21:08.168484+00:00,2025-12-19 12:31:23+00:00,BOOKER - Время Колокольчиков (ВИДЕО),BOOKER - Время Колокольчиков (ВИДЕО),FEDYA BOOKER,UCKt1ANy7JbLkTcAHTDrYJFg,10,Music,"букер, booker, букер д фред, федя букер",4,https://i.ytimg.com/vi/gzHZyS2Bmio/hqdefault.jpg,ru,ru,False,150,PT2M30S,hd,false,True,,,37271,5616,926
tEgUvtIpFog,RU,2025-12-20 02:21:08.168508+00:00,2025-12-18 14:14:16+00:00,Человек-Паук 4 - Разбор трейлера. Серый Халк и роль Сэди Синк!,Человек-Паук 4 - Разбор трейлера. Серый Халк и роль Сэди Синк!,Marvel/DC: Geek Movies,UCQ1NsRaJAq3wc0KIdRRs5MA,1,Film & Animation,"Marvel/DC, комиксы, фильмы, Марвел, ДС, обзор, герой, Супергерой, geek, movies, гик мувис",11,https://i.ytimg.com/vi/tEgUvtIpFog/hqdefault.jpg,ru,ru,False,701,PT11M41S,hd,false,True,,,145998,4705,297
bZLkOfkMgck,RU,2025-12-20 02:21:08.168520+00:00,2025-12-19 08:01:01+00:00,😱Я Получил СОБСТВЕННЫЙ ВЫХОД БРЕЙНРОТОВ в Steal a Brainrot! Фиксай и Sammy,😱Я Получил СОБСТВЕННЫЙ ВЫХОД БРЕЙНРОТОВ в Steal a Brainrot! Фиксай и Sammy,FixEye - Роблокс,UCwkDYwR6NT9KhQJA0ZQ9jBw,20,Gaming,"фиксай, fixeye, roblox, роблокс, прокачали мемы, steal a brainrot, steal a brainrot прохождение, секреты steal a brainrot, админ выход брейнротов, северное поле, админ выход брейнротов в steal a brainrot, админ таблица брейнротов в steal a brainrot, получаю брейнротов админ панелью, максимальная удача, админский сервер, сервер админов steal a brainrot, sammy, sammy и фиксай, брейнроты и админ выход брейнротов в steal a brainrot, максимальная удача в steal a brainrot",20,https://i.ytimg.com/vi/bZLkOfkMgck/hqdefault.jpg,ru,ru,False,1045,PT17M25S,hd,false,True,,,401204,9282,1387
nieAHZDUYCo,RU,2025-12-20 02:21:08.168529+00:00,2025-12-19 17:22:45+00:00,"SCHOKK, CZAR - Пройдено","SCHOKK, CZAR - Пройдено",OfficialCzar,UCR7b7sIYzRw85OCRdwk7fRQ,10,Music,"царь, czar, SCHOKK, CZAR, SCHOKK CZAR - ПРОЙДЕНО, SCHOKK CZAR - Пройдено, schokk czar - пройдено, schokk czar пройдено, czar пройдено, schokk пройдено, пройдено czar, пройдено shokk",12,https://i.ytimg.com/vi/nieAHZDUYCo/hqdefault.jpg,ru,ru,False,63,PT1M3S,hd,false,True,,,6662,602,107
KGC_MKhAGzg,RU,2025-12-20 02:21:08.168538+00:00,2025-12-19 16:00:36+00:00,"Warhammer 40,000: Dawn of War IV - ""Sons of Caliban"" Dark Angels Trailer","Warhammer 40,000: Dawn of War IV - ""Sons of Caliban"" Dark Angels Trailer",Warhammer,UCwdh3MTrFq3sXlB4ct8B-Fg,20,Gaming,"Games Workshop, Citadel Miniatures, Warhammer Age of Sigmar, Warhammer 40000, Forge World, Black Library, 40K, AoS, GW, Astartes, Space marine, Tow, The Old world, Middle earth strategy battle game, lord of the rings, the hobbit, warhammer underworlds, necromunda, the horus heresy, legions imperialis, age of darkness, total war, space marine, space marine 2, Warhammer Fantasy",25,https://i.ytimg.com/vi/KGC_MKhAGzg/hqdefault.jpg,en,en-GB,False,35,PT35S,hd,true,False,,,152737,10178,794
4gBfj-P7CfE,RU,2025-12-20 02:21:08.168546+00:00,2025-12-19 13:28:37+00:00,Как я играл в Mafia 2,Как я играл в Mafia 2,Нарратор,UC1ppJCQhKVPm7INQcy7OWlA,20,Gaming,"mafia, mafia 2, definitive edition, как я играл в mafia 2, mafia 2 сюжет, mafia 2 обзор, mafia 2 прохождение, mafia 2 приколы, mafia 2 летсплей, мафия, мафия 2, дифинитив идишн, как я играл в мафия 2, мафия 2 сюжет, мафия 2 прохождение, мафия 2 летсплей, вито, джо, приколы, смешные моменты, джо в сделку не входил, нарратор, наратор, narrator, нарратор мафия, как я играл",26,https://i.ytimg.com/vi/4gBfj-P7CfE/hqdefault.jpg,ru,ru,False,6471,PT1H47M51S,hd,false,True,,,187754,15578,1668
aatJMcuGdpg,RU,2025-12-20 02:21:08.168555+00:00,2025-12-17 21:00:07+00:00,SHAMO - Чегери (Премьера песни 2025),SHAMO - Чегери (Премьера песни 2025),GLOBAL SOUND,UCoLMmpYItIckNl1WCPqr_dw,10,Music,"GLOBAL SOUND, SHAMO, Чегери, Премьера песни 2025, Shamo - Чегери, шамо, новые песни шамо, новая песня шамо, шамо все песни, shamo, музыка, песни, pop music, pop songs, хит, хиты, эти песни ищут все, музыка в машину, новые песни, pop hits, лучшие песни, новая песня shamo, песни о любви, песня для души, лучшая музыка, новинки музыки, красивая музыка, восточные песни, кавказская музыка, pop, музыка песни, popular song, песни для души, песни от всей души, топ хитов, pop radio",36,https://i.ytimg.com/vi/aatJMcuGdpg/hqdefault.jpg,ru-Latn,ru,False,153,PT2M33S,hd,false,True,,,57872,1490,167
b51C8AbRDGU,RU,2025-12-20 02:21:08.168563+00:00,2025-12-19 23:05:00+00:00,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,Netflix Anime,UCBSs9x2KzSLhyyA9IKyt4YA,1,Film & Animation,jojo_anime,1,https://i.ytimg.com/vi/b51C8AbRDGU/hqdefault.jpg,en,en-US,False,130,PT2M10S,hd,false,False,,,154001,52911,3510
uC9xLXV9vDM,RU,2025-12-20 02:21:08.168570+00:00,2025-12-19 11:31:25+00:00,▼ ХУДШИЙ ХОРРОР НА ЮНИТИ 💩,▼ ХУДШИЙ ХОРРОР НА ЮНИТИ 💩,Happy Wolf,UCRH0ReHZQs0d50jh9VRh0CA,20,Gaming,"happy wolf, хэппи вульф, вульф, баги, геймплей, пк, игра, угар, юмор, rus, рус, смешные моменты, Funny, фэйлы, приколы",15,https://i.ytimg.com/vi/uC9xLXV9vDM/hqdefault.jpg,ru,ru,False,2275,PT37M55S,hd,false,True,,,276349,33236,2368
bCePAQPA008,RU,2025-12-20 02:21:08.168578+00:00,2025-12-18 21:00:08+00:00,Алла Пугачёва - Давай просто жить [ПРЕМЬЕРА] (Official Audio),Алла Пугачёва - Давай просто жить [ПРЕМЬЕРА] (Official Audio),Алла Пугачёва,UCBEVTnZU7Gj4O0Ji3aHlrcA,10,Music,,0,https://i.ytimg.com/vi/bCePAQPA008/hqdefault.jpg,ru,en,False,199,PT3M19S,hd,false,True,,,147767,15242,1785
CTxL1KprRXI,RU,2025-12-20 02:21:08.168585+00:00,2025-12-19 11:55:17+00:00,Мстители 5: Судный День - ВТОРОЙ ТРЕЙЛЕР В КАЧЕСТВЕ!,Мстители 5: Судный День - ВТОРОЙ ТРЕЙЛЕР В КАЧЕСТВЕ!,Кеноби одобряет!,UCGWMzb5L9nGy910KG7FMwcg,1,Film & Animation,"Мстители Судный День, Мстители 5, Мстители 5 судный день, мстители думсдей, судный день, стив роджерс мстители судный день, разбор трейлера, разбор трейлера мстители судный день, второй трейлер мстители судный день, второй официальный трейлер мстители судный день, трейлер тора мстители судный день, тизер с тором мстители 5, тизер тора мстители 5, тор вернётся в мстители судный день, avengers doomsday, avengers doomsday second trailer, official trailer, трейлер мстители 5, тор",19,https://i.ytimg.com/vi/CTxL1KprRXI/hqdefault.jpg,ru,ru,False,369,PT6M9S,hd,false,True,,,29458,683,54
4xXJTqFVHY8,RU,2025-12-20 02:21:08.168593+00:00,2025-12-19 13:44:48+00:00,ЗОНТИКС И МАЖИСК ВЕРНУЛИСЬ В СПИРИТ!,ЗОНТИКС И МАЖИСК ВЕРНУЛИСЬ В СПИРИТ!,РАЙЗ,UCLKB9g1374gcxezJINOLtag,20,Gaming,,0,https://i.ytimg.com/vi/4xXJTqFVHY8/hqdefault.jpg,ru,ru,False,900,PT15M,hd,false,True,,,297426,20977,654
34pl4Avu6oI,RU,2025-12-20 02:21:08.168599+00:00,2025-12-18 14:00:00+00:00,Dildora Niyozova - Er bo'lmasa kimsan ayol | Дилдора Ниёзова - Ер булмаса кимсан аёл,Dildora Niyozova - Er bo'lmasa kimsan ayol | Дилдора Ниёзова - Ер булмаса кимсан аёл,RizaNovaUZ,UCDPnSqLmYqHadD6VkrRiarg,10,Music,"uzbek music, o’zbek music, uzbekcha musiqa, o’zbekcha musiqa, uzbek klip, uzb music, uzbek, o’zbek, uzbekcha qoshiqlar, rizanova, rizanova uz, rizanova uz music, узбек музыка, узбек клип, узбек клиплар, узбекча клиплар, узбекча кушиклар, ризанова, ризанова уз, узбек, клип, янги, музыка, узбекские, песни, узбекча, мусика, тарона, узбекские песни, klip, yangi, music, o'zbek, o'zbekcha, musiqa, tarona, uzbek qo'shiqlar, o'zbek qo'shiqlari, o'zbekcha qo'shiqlar",39,https://i.ytimg.com/vi/34pl4Avu6oI/hqdefault.jpg,uz,uz,False,452,PT7M32S,hd,false,True,,,110046,2026,113
ckZCDtc348Y,RU,2025-12-20 02:21:08.168608+00:00,2025-12-19 06:33:26+00:00,⚡️ Второй Слитый Трейлер Мстителей: Судный День. ТОР готовится к битве с ДУМОМ?,⚡️ Второй Слитый Трейлер Мстителей: Судный День. ТОР готовится к битве с ДУМОМ?,Mr. Moment Inc,UCWIoDsZugYNNXqdxqrmbUog,1,Film & Animation,"Мстители Судный День, Avengers Doomsday, Тор трейлер, тизер Мстители, Капитан Америка Стив Роджерс, Доктор Дум КВМ, Marvel утечки, трейлер Marvel, новости Marvel, разбор трейлера, Тор и Любовь, тема отцовства КВМ, мультивселенная Marvel, инкурсия, Человек Паук 4, Совершенно новый день, Spider Man 4, слитый трейлер Человек Паук, Сэди Синк Marvel, Джин Грей КВМ, Шатра Marvel, Каратель Marvel, Брюс Бэннер, Департамент контроля ущерба, Мистер Момент, Mr Moment Inc",26,https://i.ytimg.com/vi/ckZCDtc348Y/hqdefault.jpg,ru,ru,False,522,PT8M42S,hd,false,True,,,23993,687,73
UWklq9QhJ9A,RU,2025-12-20 02:21:08.168615+00:00,2025-12-19 12:01:06+00:00,Игровой ПК ASUS за 55.000 рублей из DNS,Игровой ПК ASUS за 55.000 рублей из DNS,Ремонтяш,UCk94O116OXhPAOWZM7S2Leg,20,Gaming,,0,https://i.ytimg.com/vi/UWklq9QhJ9A/hqdefault.jpg,ru,ru,False,1465,PT24M25S,hd,false,True,,,234149,18525,1636
K7EGbEVSk64,RU,2025-12-20 02:21:08.168622+00:00,2025-12-19 17:40:29+00:00,"Backstage | ICEGERGERT, Zivert – БАНК","Backstage | ICEGERGERT, Zivert – БАНК",Zivert,UCSSBxO-_qQgZq4tZhMQF1bQ,10,Music,"zivert, зиверт, icegergert, банк, zivert концерт, zivert банк, zivert beverly hills, zivert эгоистка, zivert icegergert, zivert все песни, zivert goodbye, zivert гудбай, zivert айсберг, icegergert концерт, icegergert наследство, icegergert zivert, icegergert гектор, icegergert клип, icegergert type beat, icegergert вопрос ребром, icegergert амстердам, icegergert альбом, icegergert аритмия, аритмия icegergert, альбом icegergert, icegergert банк, зиверт айгергерт",27,https://i.ytimg.com/vi/K7EGbEVSk64/hqdefault.jpg,ru,ru,False,270,PT4M30S,hd,false,True,,,8557,354,41
j7S3WwBald0,RU,2025-12-20 02:21:08.168630+00:00,2025-12-19 13:00:03+00:00,Диггер — Русский тизер-трейлер (2026) Том Круз,Диггер — Русский тизер-трейлер (2026) Том Круз,Kinoman,UC6A-Z0jDKemh9-CwGbj5yog,1,Film & Animation,"диггер, диггер трейлер, диггер 2026 трейлер, диггер русский трейлер, диггер трейлер на русском, трейлер фильма диггер, диггер фильм, том круз, трейлер 2026, трейлеры, трейлеры 2026, фильмы, фильмы 2026, кино, кино 2026, новинки кино, трейлер фильма, русский трейлер, трейлер на русском, трейлер фильмов, лучшие фильмы, киноман, kinoman, movie trailers, trailers 2026, teaser trailers",26,https://i.ytimg.com/vi/j7S3WwBald0/hqdefault.jpg,ru,ru,False,60,PT1M,hd,false,False,,,5418,152,22
JAsD2P-1SWo,RU,2025-12-20 02:21:08.168637+00:00,2025-12-19 16:56:19+00:00,Меня булят! ( Шизофренды #2 ),Меня булят! ( Шизофренды #2 ),JOHAN,UCuQsXgtPrppIkSE7GWjp7HA,23,Comedy,"JOHAN, johan, джохан, жохан, йохан, джохан и мармок, ехан, ёхан, приколы в играх, фейлы и баги в играх, джохан канал, пабг pubg кс го, cs go, баги, приколы, фейлы, мармок пати, marmok squad, смешные моменты, кс 2, cs 2",21,https://i.ytimg.com/vi/JAsD2P-1SWo/hqdefault.jpg,ru,ru,False,932,PT15M32S,hd,false,True,,,140756,20545,1213
SbdOIdg2McI,RU,2025-12-20 02:21:08.168645+00:00,2025-12-18 15:00:06+00:00,BABYMONSTER - ‘SUPA DUPA LUV’ M/V,BABYMONSTER - ‘SUPA DUPA LUV’ M/V,BABYMONSTER,UCqwUnggBBct-AY2lAdI88jQ,10,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",19,https://i.ytimg.com/vi/SbdOIdg2McI/hqdefault.jpg,en,ko,False,182,PT3M2S,hd,true,True,,,8247574,444563,34870
LzhoCK8Z8WM,RU,2025-12-20 02:21:08.168652+00:00,2025-12-19 12:00:53+00:00,6 НОЧЕЙ С КОМПОТОМ 404 В МАЙНКРАФТ | Компот Minecraft,6 НОЧЕЙ С КОМПОТОМ 404 В МАЙНКРАФТ | Компот Minecraft,Компот,UC0cWWruNMb95iCBEOzPnjRA,20,Gaming,"компот, майнкрафт, compot, minecraft, компот в майнкрафте, игры, роман компот, майн, 6 ночей с компотом 404 в майнкрафт, шесть ночей в майнкрафт, шесть ночей, 6 ночей, шесть, шесть в майнкрафт, компот в майнкрафт, компот 404 в майнкрафт, компот 404, ошибка 404 в майнкрафт, ошибка 404, проклятый компот в майнкрафт, красный компот, красный, красный в майнкрафт, ночь, ночь в майнкрафт, красная ночь в майнкрафт, луна, красная луна в майнкрафт, страшилка в майнкрафт, страшилка, 404, хоррор",32,https://i.ytimg.com/vi/LzhoCK8Z8WM/hqdefault.jpg,ru,ru,False,858,PT14M18S,hd,true,True,,,308346,15480,2707
4IL67t825cA,RU,2025-12-20 02:21:08.168660+00:00,2025-12-19 16:00:07+00:00,Megadeth - Let There Be Shred (Official Music Video),Megadeth - Let There Be Shred (Official Music Video),Megadeth,UCLVz1B001PIbq9LliJenV2w,10,Music,"Megadeth, heavy metal, thrash metal, dave mustaine",4,https://i.ytimg.com/vi/4IL67t825cA/hqdefault.jpg,en,en,False,239,PT3M59S,hd,false,False,,,263670,29537,2603
Z1cOYGiGAXo,RU,2025-12-20 02:21:08.168667+00:00,2025-12-19 17:31:08+00:00,УНИЖЕНИЕ ПИОНЕРА,УНИЖЕНИЕ ПИОНЕРА,DeadP47,UCUzkWdUCkVrkKCcmut9epTQ,20,Gaming,"pioner, пионер, игра пионер, пионер игра, пионер геймплей, pioner прохождение, геймплей пионер, стим пионер, пионер стим, проблемы пионер, пионер проблемы, баги пионер, пионер баги, пионер прохождение, пионер обзор, обзор пионер, дедп47, дедпи47, deadp47, ростелеком игры, ростелеком, pioner ростелеком, pioner обзор, обзор pioner",24,https://i.ytimg.com/vi/Z1cOYGiGAXo/hqdefault.jpg,ru,ru,False,1540,PT25M40S,hd,false,True,,,149301,10441,1010
