video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
BFIWY_Hyfks,2025-12-05 20:30:06+00:00,"Nassif Zeytoun - Ya Donia / من حلقة ""قصة ناصيف"" مع الإعلامي محمد قيس على منصة ""المشهد""",T Start,People & Blogs,"nassif, nassif zeytoun, nassif zaiton, nassif zeiton, nassif zayton, nassif zeyton, ناصيف زيتون, ناصيف, nassif zeytoun music, اغاني نصيف زيتون, اغاني ناصيف زيتون, اغاني سورية, جديد ناصيف زيتون, ناصيف زيتون 2025, جديد البوم ناصيف, اجمل اغاني ناصيف زيتون, اغاني ناصيف, meni ana, مني انا, البوم مني انا, جديد ناصيف, ya donia, نصيف يا دنيا, يا دنيا, نصيف زيتون يا دنيا, دنيا, ya dunya, ya dunia, ya donya, ya dounia, ya dounya",199,hd,False,True,54810,2158,372
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,4246050,432172,25508
R16B6V3tWvU,2025-12-05 15:00:53+00:00,Jag Öppnade en Bank i Minecraft!,AffeDoom,People & Blogs,,1686,hd,False,True,45865,1480,72
ESWWoF657VE,2025-11-28 15:00:06+00:00,De Vet Du - Nu Kommer Alla Jullåtar (OFFICIELL MUSIKVIDEO),De Vet Du,Music,"De Vet Du, Det vet du, devetdu, Tor, Chris Martland, Johan Gunterberg, DJ-Hunk, dj hunk, Chris Ronaldo, dj hunken, uppesittarkväll, julmusik, jullåt, nu kommer alla jullåtar, jul låtar, jullåtar, jul musik, svt, de vet du live",214,sd,False,False,89796,1228,67
sItUCKJQLTU,2025-12-04 20:53:14+00:00,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,True,True,5581758,56661,3727
POHAYdLOnh0,2025-12-06 07:00:21+00:00,Adopterad Av TRILLIONÄRER I Steal A Brainrot!,Perik,Gaming,"perik, roblox, bebis perik, melinda, steal a brainrot",1116,hd,False,True,23946,1192,36
oNdNgAsdXsc,2025-12-05 11:00:06+00:00,CHRISTMAS TRUCE (Sabaton) - Tommy J Live in Boden,Tommy Johansson,Music,"Tommy Johansson, Metal Cover, Rock Cover, Majestica, Sabaton",303,hd,False,True,16923,2317,213
IaEtA56pd_w,2025-12-05 20:48:18+00:00,Iron Lung: Final Trailer,Markiplier,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",105,hd,False,False,2084361,325063,16824
AN195Rfh0hI,2025-12-04 22:40:54+00:00,English Stream A | StarLadder Budapest Major 2025 - Stage 3 - Day 1,StarLadder CS2 LIVE,Gaming,"#CS2, #CounterStrike2, #CS #CounterStrike #Valve, #Esports, #Major2025, #Major, #CS2Major, #BudapestMajor2025, #BudapestMajor, #StarLadderMajor, #StarLadder, #StarLadderCS2LIVE, #StarLadderLIVE, #CS2Live, #LIVE #CS2Esports, #VIT, #TeamVitality, #TS, #TeamSpirit, #FLC, #TeamFalcons, #MOUZ, #G2, #G2Esports, #FUR, #FURIA, #paiN, #paiNGaming, #MGLZ, #TheMongolZ, #NAVI, #NatusVincere, #FaZe, #FaZeClan, #B8, #B8Esports, #IMP, #Imperial, #PUA, #PassionUA",38677,hd,False,False,1585998,13026,31
uchGiXcNDIs,2025-12-05 15:02:00+00:00,SABATON - Crossing the Rubicon (Official Music Video),Sabaton,Music,"sabaton, сабатон, heavy metal, metal, crossing the rubicon, crossing the rubicon sabaton, crossing the rubicon song, crossing the rubicon lyrics, julius caesar rubicon, julius caesar rubicon to rome, julius caesar crossing the rubicon river, sabaton crossing the rubicon, sabaton crossing the rubicon video, julius caesar sabaton, julius caesar crossing the rubicon, julius caesar lesson, crossing the rubicon music video, sabaton crossing the rubicon music video, music video",297,hd,False,True,116413,13823,1002
