video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Cs6i13GIyo8,SE,2025-12-21 02:35:23.560918+00:00,2025-12-15 15:00:08+00:00,Nassif Zeytoun & @abuwardmusic - Kazdoura [Official Video] (2025) / ناصيف زيتون و أبو ورد - كزدورة,Nassif Zeytoun & @abuwardmusic - Kazdoura [Official Video] (2025) / ناصيف زيتون و أبو ورد - كزدورة,Nassif Zeytoun,UCO4AjeljgqgiowEf2yfvYHg,10,Music,"nassif, nassif zeytoun, nassif zaiton, nassif zeiton, nassif zayton, nassif zeyton, ناصيف زيتون, ناصيف, nassif music, nassif zeytoun music, اغاني نصيف زيتون, ناصيف زيتون 2023, nassif 2023, kazdoura, kazdura, kazdoora, kazdora, abu ward, abou ward, abu wared, nassif and abu ward, nassif zeytoun and abu ward, nassif kazdoura, abu ward kazdoura, nassif kazdura, أبو ورد كزدورة, أبو ورد, ناصيف زيتون و أبو ورد, كزدورة, ناصيف زيتون كزدورة",30,https://i.ytimg.com/vi/Cs6i13GIyo8/hqdefault.jpg,ar,ar,False,203,PT3M23S,hd,true,True,,,4740927,64755,3971
e0Eo0D038rQ,SE,2025-12-21 02:35:23.560957+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,true,True,,,14396846,570953,23305
DojeYhm2Fc4,SE,2025-12-21 02:35:23.560969+00:00,2025-12-19 15:00:24+00:00,Jag Öppnade en Spelbutik i Minecraft!!,Jag Öppnade en Spelbutik i Minecraft!!,AffeDoom,UCqa96Remwqn-sr28dyqkhDw,22,People & Blogs,,0,https://i.ytimg.com/vi/DojeYhm2Fc4/hqdefault.jpg,sv,sv,False,1706,PT28M26S,hd,false,True,,,52720,732,42
9NK2oq0oA7g,SE,2025-12-21 02:35:23.560978+00:00,2025-12-12 16:00:08+00:00,Adam - Kaza Shakhsiyeh (Official Music Video) | آدم - كذا شخصية,Adam - Kaza Shakhsiyeh (Official Music Video) | آدم - كذا شخصية,Adam | آدم,UC3uOwAgmquYz0bPNcvXILzg,10,Music,"في عندك كزا شخصية, أول ما جرّب انسى بترجعلي, علقتني, طمعتني, kaza shakhsiyeh, كذا شخصية, adam, adam new song, adam kaza chakhsiyeh, آدم كذا شخصية, آدم, albi mertah, albi merta7, new song adam, adam new 2025, قلبي مرتاح آدم, قلبي مرتاح بحبك, انتي الحب اللي باقي, أول حبيب, على بالي, تعا, Taa, مجروح, Majrou7, نحنا سوا, في طيبة بقبلك, Ahla Snin, أحلى سنين, خسارة, Khsara, خلص الدمع, خلصت الحكاية, أنا ما إلي بالحب, Bhebak Ana, بحبك أنا, Ana Btaa Zaman, Adam New Song 2025, Chabaka",38,https://i.ytimg.com/vi/9NK2oq0oA7g/hqdefault.jpg,ar,ar,False,182,PT3M2S,hd,false,True,,,7170492,63083,2302
UFe6NRgoXCM,SE,2025-12-21 02:35:23.560988+00:00,2025-12-16 15:59:57+00:00,Disclosure Day | Official Teaser,Disclosure Day | Official Teaser,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/UFe6NRgoXCM/hqdefault.jpg,en-US,en-US,False,127,PT2M7S,hd,false,True,,,17889562,101007,11669
zAd6mDrJz-8,SE,2025-12-21 02:35:23.560996+00:00,2025-12-18 18:01:11+00:00,SIDEMEN AMONG US BUT THE IMPOSTOR IS A PEANUT,SIDEMEN AMONG US BUT THE IMPOSTOR IS A PEANUT,MoreSidemen,UCh5mLn90vUaB1PbRRx_AiaA,22,People & Blogs,"sidemen, moresidemen, miniminter, ksi, zerkaa, behzinga, tbjzl, vikkstar, wroetoshaw",9,https://i.ytimg.com/vi/zAd6mDrJz-8/hqdefault.jpg,en,en-GB,False,3939,PT1H5M39S,hd,false,True,,,3145288,116607,6526
BFIWY_Hyfks,SE,2025-12-21 02:35:23.561004+00:00,2025-12-05 20:30:06+00:00,"Nassif Zeytoun - Ya Donia / من حلقة ""قصة ناصيف"" مع الإعلامي محمد قيس على منصة ""المشهد""","Nassif Zeytoun - Ya Donia / من حلقة ""قصة ناصيف"" مع الإعلامي محمد قيس على منصة ""المشهد""",T Start,UCa_a_d8c4IXA90tG66wZbAA,10,Music,"nassif, nassif zeytoun, nassif zaiton, nassif zeiton, nassif zayton, nassif zeyton, ناصيف زيتون, ناصيف, nassif zeytoun music, اغاني نصيف زيتون, اغاني ناصيف زيتون, اغاني سورية, جديد ناصيف زيتون, ناصيف زيتون 2025, جديد البوم ناصيف, اجمل اغاني ناصيف زيتون, اغاني ناصيف, meni ana, مني انا, البوم مني انا, جديد ناصيف, ya donia, نصيف يا دنيا, يا دنيا, نصيف زيتون يا دنيا, دنيا, ya dunya, ya dunia, ya donya, ya dounia, ya dounya",31,https://i.ytimg.com/vi/BFIWY_Hyfks/hqdefault.jpg,ar,ar,False,199,PT3M19S,hd,false,True,,,1671537,14275,1534
b51C8AbRDGU,SE,2025-12-21 02:35:23.561012+00:00,2025-12-19 23:05:00+00:00,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,STEEL BALL RUN JoJo’s Bizarre Adventure | Official Trailer | Netflix,Netflix Anime,UCBSs9x2KzSLhyyA9IKyt4YA,1,Film & Animation,jojo_anime,1,https://i.ytimg.com/vi/b51C8AbRDGU/hqdefault.jpg,en,en-US,False,130,PT2M10S,hd,false,False,,,1983097,203396,10472
3WzeGqQIqWA,SE,2025-12-21 02:35:23.561019+00:00,2025-12-19 14:00:08+00:00,My Best Friend Died on the Unstable SMP,My Best Friend Died on the Unstable SMP,Spoke,UCk2uxbWi5py_iJXaEsh2YRA,20,Gaming,"spoke, spokeishere, lifesteal, minecraft, survival, unstable, unstable universe, wemmbu, parrotx2, flamefrags, unstable smp",11,https://i.ytimg.com/vi/3WzeGqQIqWA/hqdefault.jpg,en,en-US,False,3784,PT1H3M4S,hd,false,True,,,1754092,76726,10891
qTvmQfDvniI,SE,2025-12-21 02:35:23.561027+00:00,2025-12-12 14:30:06+00:00,Rahma Riad - Taa Khabbik [Official Video] (2025) / رحمة رياض - تعا خبيك,Rahma Riad - Taa Khabbik [Official Video] (2025) / رحمة رياض - تعا خبيك,Rahma Riad,UCQlSkOX5bI-BSP5bwEPoIAA,10,Music,"رحمة رياض, Rahma, rahma riad, rahma ryad, rahma riad 2022, rahma riad music, اغاني رحمة رياض, رحمة, taa khabbik, taa khabik, ta3a khabbik, ta3a khabik, taa khabeek, ta3a 5abik, ta3a 5abbik, رحمة رياض تعا خبيك",16,https://i.ytimg.com/vi/qTvmQfDvniI/hqdefault.jpg,ar,en,False,230,PT3M50S,hd,false,True,,,1574148,30331,1652
