video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
V2PZYfFuvsw,2025-11-28T08:00:06Z,VZROCK - EL CLÁSICO (official video),VZROCK,10,Music,"VZROCK, EL CLASICO, VZROCK EL CLASICO, VZROCK KLASIKO, KLASIKO, BARCA, REAL, ČIRA ČARA, JAGODE IN MED, FANTAZIRA, PINA COLADA, BAD BOY, TAMALA, FEHTARJI, SUMMER HITS, SCHATZI, STIL, JAN PLESTENJAK, EUROVISION, JOKER OUT, PESMI ZA ŽUR, PARTY HITS, RAAY MUSIC, EUROVISION SLOVENIA, JOOMBOOS, DEJAN VUNJAK, MODRIJANI, MODRIJANI S TABO RES RAD, ČUKI, FIRBCI, JAKOV JOZINOVIC, OLIVERA",143,hd,false,False,133840,1725,63
VI6XO8EijT4,2025-12-05T20:00:28Z,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,true,True,5285578,485257,27794
KgsTBDRttPg,2025-12-06T14:00:39Z,I Got Hunted By the Minecraft LAW,Wemmbu,20,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,false,True,2572644,160583,17413
80Xc5swHWEA,2025-11-25T09:00:06Z,FIRBCI - ZA PRAZNIKE SMO DOMA (Official video),FIRBCI,10,Music,,175,hd,false,False,199710,1793,249
IaEtA56pd_w,2025-12-05T20:48:18Z,Iron Lung: Final Trailer,Markiplier,20,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",105,hd,false,False,2670923,379151,18476
mZcA1qSmKoM,2025-12-02T21:10:31Z,GTA RP SERIJA 2025 - S01E10,PeroMartic,20,Gaming,"pero, martic, peromartic, trollgang, slovenija, slo, slovenia, trending, gaming, gta, serija, rai, ometv, balkan, martić, event, igre, roleplay, rp, peter, irl, stream, strim",10247,hd,false,True,13333,1407,9
63tdWuk-zEM,2025-12-02T16:01:34Z,Tea Tairovic - Severna latina (Official Video | Album ASKA II) 2025,Tea Tairovic,10,Music,"bliznakinja, hajde, igracica, intervju, novo, otkad tebe znam, polako, song, svetica, tairovic, tea, tea tairovic, video",136,hd,false,True,1279883,11101,424
9c-DrMe8o5Q,2025-11-12T17:00:17Z,The Devil Wears Prada 2 | Teaser Trailer,20th Century Studios,1,Film & Animation,Trailer,52,hd,false,True,7473433,147864,5071
9_RVdNejla0,2025-12-05T15:00:20Z,PODKUPITI SEM GA MOGEL! (KMETIJA MED VRHOVI #20) [FS25 SLO],GERMA,20,Gaming,"FS25, SLO, SLOVENIA, SLOVENIJA, VLOG, FARMING ISMULATOR 2025, GERMA",1102,hd,false,True,5519,376,20
p30a0SheX2s,2025-11-23T17:00:06Z,Ansambel Stil ft. Pero Martić - Pr'let na žur [Official],Ansambel Stil,10,Music,"ansambel stil, stilovci, prjatlca, polka za 2 milijona folka, le tebe bi, le tvoj, bi te bi te, kjer se kregata dva, pero martić, trollgang, anni si, vid pintarič, modrijani, fehtarji, s tabo res rad, stisn se k men, po tebi vse diši, firbci, brajde, jakob jozinović, olivera, daj daj daj, gojko ajkula, goran hrvačanin, hitmacher, vzrock, levo desno, domen kumer, čuki, na pumpo, veselice, slovenska narodnozabavna glasba, avsenik, ansambel saša avsenika, ena bolha za pomoč, schatzi, dončić",172,hd,false,True,136642,2385,1613
sRGe86bUsOs,2025-12-06T20:59:57Z,Christmas Brainrots Update + SANTA FUSE Machine!,CaylusBlox,20,Gaming,"caylusblox, caylus roblox, caylus, roblox, Steal a brainrot update, ADMIN ABUSE In Steal a Brainrot!, Steal a Brainrot UPDATE + Admin Abuse, admin abuse, steal a brainrot, witchs fuse, caylus steal a brainrot, dump update, caylus aura, caylus admin abuse, steal a brainrot update, w brainrot, Taco Tuesday ADMIN ABUSE + New BRAINROT!, tung tung tung sahur, tung tung sahur steal a brainrot, santa fuse machine, caylus fuse machine, caylus steak, caylus steal a brainrot christmas",12210,hd,false,True,3225076,93882,862
71_gcQuqBOg,2025-11-28T14:32:47Z,"Mali, ne kompliciri",Vzrock - Topic,10,Music,"Vzrock, Bad boy, Mali, ne kompliciri",152,hd,false,True,36498,345,0
8uxJn7yqIMQ,2025-12-05T14:00:13Z,LOVIL SEM INDOMINUSA REXA ... | Minecraft,Denko,20,Gaming,"denko, slo, denkoslo, night dweller, cave dweller, mod, mc, minecraft, indominus, indominus rex, i rex, jurassic, jurassicraft, dino, jurassic world, jurassic world rebirth, jurassic park",1181,hd,false,True,6195,602,39
zIALsKV7BXg,2025-12-05T11:00:06Z,Joker Out - Supersonic (Official Video),Joker Out Official,10,Music,,197,hd,false,True,28779,2172,132
fab3_Hdpvew,2025-12-06T03:54:39Z,"DO VRHA, ALI SA KAJAKOM",Nugato,20,Gaming,"Nugato, baba, Balkan, GTA V, CSGO",29500,hd,false,True,131867,6705,19
gjBzwVgRlaY,2025-11-21T11:00:06Z,Jakov Jozinović - Polje ruža,Jakov Jozinovic,10,Music,poje ruza polje ruža jakov jozinovic jožinović,214,hd,false,False,649290,21006,685
00Nh2E6-WWY,2025-12-04T19:53:52Z,GLEDAMO DIA JAXA NA TURNIRJU! | Fortnite,ScorpLZ,20,Gaming,"skorp, skorplz, germa, clash royale, clash royale 1v1, 1vs1, 1v1, event, slo, slovenija, slovenia",19134,hd,false,True,6413,621,0
4JhFg5tbYAs,2025-11-26T08:00:06Z,KVATROPIRCI - HELIJ (Official Video),Kvatropirci,10,Music,"KVATROPIRCI, HELIJ, KVATROPIRCI HELIJ, MARKO ŠKUGOR, OBLJUBIM TI, DEKLICA, ŠTA DA BOGA MOLIM JA, DORA, ONO NEŠTO, DANIJELA, SAMO S TOBOM, OLIVER DRAGOJEVIC, PESEM, ŽELIM, ALYA, ŽAN SERČIČ, LUKA BASI, FEHTARJI, SCHATZI, JAN PLESTENJAK, EUROVISION, JOKER OUT, RAAY MUSIC, EUROVISION SLOVENIA, JOOMBOOS, MARAAYA, KLAPA, DALMACIJA, DALMATINSKI MIX, KLAPSKI MIX, PJESME ZA KONOBU",177,hd,false,True,54280,628,50
BeaVJggQ2dc,2025-11-30T18:13:22Z,Race Highlights | 2025 Qatar Grand Prix,FORMULA 1,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, qatar, qatar grand prix, lusail, f1 highlights, wdc, lando norris, oscar piastri, mclaren, red bull",489,hd,false,True,6212213,124707,6576
J2jvgs7KlRA,2025-11-27T10:00:06Z,MARAAYA - PISMO (Official Video),Maraaya,10,Music,"Maraaya, božična, pismo, naj bo vsak božič, christmas song, maraaya božična, maraaya christmas, maraaya xmas, Pismo, Maraaya pismo, božična pesem pismo, božične pesmi, božični hiti, slovenske božične, zimske pesmi, balada, najlepše slovenske, slovenski hiti, marjetka vovk, raay, lučke, polkaholiki bql, greva na lučke, za božič sem kot otrok, poljubi me na božič, na božično noč",186,hd,false,True,99650,,45
