video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
UuWD2_NW5d4,TN,2025-12-28 02:41:34.719031+00:00,2025-12-27 17:18:26+00:00,Junior Hassen - WLIDHA ( Official Music Video ),Junior Hassen - WLIDHA ( Official Music Video ),JUNIOR HASSEN ,UCWy8EL_FMdYyZSU52VfCSYA,10,Music,"Hassen, Junior, Hassen junior, Junior hassen, Hassen jr, Jr hassen, Ramallah, Masajin, Sousse, 🇹🇳, Rap tunisien",11,https://i.ytimg.com/vi/UuWD2_NW5d4/hqdefault.jpg,en,ar,False,127,PT2M7S,hd,false,True,,,42310,5391,414
IqaXNwAzSmQ,TN,2025-12-28 02:41:34.719062+00:00,2025-12-25 17:30:00+00:00,Bridgerton Season 4 | Official Trailer | Netflix,Bridgerton Season 4 | Official Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Adjoa Andoh, Benedict, Benophie, Bridgerton, Bridgerton Season 4, Bridgerton Trailer, Claudia Jessie, Colin, Eloise, Fantasy, Francesca, Golda Rosheuvel, Hannah Dodd, Jonathan Bailey, Julia Quinn, Julie Andrews, Kanthony, Lady Whistledown, Luke Newton, Luke Thompson, Michaela, Netflix, Netflix Drama, Netflix Series, Nicola Coughlan, Penelope, Polin, Regency, Romance, Ruth Gemmell, Shondaland, Simone Ashley, Sophie, Yerin Ha",34,https://i.ytimg.com/vi/IqaXNwAzSmQ/hqdefault.jpg,en,en-US,False,153,PT2M33S,hd,true,True,,,2472087,75545,2671
oROXI_7vUY8,TN,2025-12-28 02:41:34.719074+00:00,2025-12-27 23:16:41+00:00,🔴EN DIRECT : NIGERIA vs TUNISIE | Simulation de jeu eFootball PES 21 sur PC,🔴EN DIRECT : NIGERIA vs TUNISIE | Simulation de jeu eFootball PES 21 sur PC,KYRGYZ PUBG,UCmgLrmSvU8lVTrKRd1OgZ7Q,20,Gaming,,0,https://i.ytimg.com/vi/oROXI_7vUY8/hqdefault.jpg,en,fr,False,189,PT3M9S,hd,false,True,,,513985,1096,0
qaF0oRM4-XE,TN,2025-12-28 02:41:34.719082+00:00,2025-12-27 16:00:16+00:00,JenJoon - TIRI TIRI | طيري طيري,JenJoon - TIRI TIRI | طيري طيري,JenJoon,UC_SEdVk8EOw7COe9lfWThyg,10,Music,"جنجون, اغنية, راب, jenjoon, mama, اغاني, اروع اغنية لجنجون, لا تالي, اللّيل, أمنيّات, دهر, حيّالة, شوارع طافية, برّاني, عِينِي في عِينِيك, سُكارَى, يا مّالي البيت, لا لوم, henya, fly me to the moon, parasite, hayala, shweraa tafia, barrani, aini fi ainik, chkoun f eddar, soukara, yammeli elbit, la loum, ma tebki ya ain, مَاتبكي يا عِين, rap, ech mazel, أراضينا, Aradhina, rap music, 2023, jenjoon لا تالي, ya, تونس, dhar mann, rap tunisien, palestine, RAPTUNISI, Manetfergou, tunisia",46,https://i.ytimg.com/vi/qaF0oRM4-XE/hqdefault.jpg,fr,zxx,False,186,PT3M6S,hd,false,True,,,57614,3818,240
Mzw2ttJD2qQ,TN,2025-12-28 02:41:34.719092+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,26797535,481218,24948
lx-j89fXzAg,TN,2025-12-28 02:41:34.719100+00:00,2025-12-27 09:01:26+00:00,حان وقت حرق الجواهر 🔥,حان وقت حرق الجواهر 🔥,SA7RAWI,UCjHq0FqdRB0JP-1CcokW3-w,20,Gaming,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",41,https://i.ytimg.com/vi/lx-j89fXzAg/hqdefault.jpg,ar,ar,False,662,PT11M2S,hd,false,True,,,190694,18056,1723
9loVIHzN2aQ,TN,2025-12-28 02:41:34.719109+00:00,2025-12-26 16:00:07+00:00,Bessan Ismail - Najma (Official Music Video) | بيسان اسماعيل - نجمة,Bessan Ismail - Najma (Official Music Video) | بيسان اسماعيل - نجمة,Bessan Ismail Music,UChqTvg4HK6_vNDCwy7XypqQ,10,Music,"نجمة, Najma, bessan ismail, bessan, bessan ismael, bissan, bissan ginger, bissan tiktok, ani el eshktak, بيسان اسماعيل, بيسان ترند جديد, Kelmat Hwaya, Ana Nadman, bessan ismail music, هيهات, chabaka, Bessan Ismail, bessan ismail songs, bessan ismail vlog, bessan ismail 2025, arabic pop, arabic songs, بيسان اسماعيل اغاني, بيسان اسماعيل جديد, ترند بيسان, arabic music, مشاهير التيك توك, نجوم سوريا, syria stars, بيسان اسماعيل تيك توك, bessan ismail tiktok, bessan ismail youtube",32,https://i.ytimg.com/vi/9loVIHzN2aQ/hqdefault.jpg,ar,ar,False,176,PT2M56S,hd,false,True,,,4233149,187434,49161
BwdMT-OiARI,TN,2025-12-28 02:41:34.719118+00:00,2025-12-21 06:45:01+00:00,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Black Clover Second Season | Official Trailer 2 | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"black clover, black clover anime, black clover season 2, black clover s2, black clover second season, crunchyroll, anime, anime trailer, anime preview",9,https://i.ytimg.com/vi/BwdMT-OiARI/hqdefault.jpg,en,ja,False,110,PT1M50S,hd,false,True,,,3272106,233346,12160
5zPhKQ6wsWw,TN,2025-12-28 02:41:34.719126+00:00,2025-12-27 11:00:11+00:00,جربت مميزات التحديث القادم !!,جربت مميزات التحديث القادم !!,SA7RAWI Gaming,UC2qdrMpLKn3GgeCwN65SX_Q,20,Gaming,"الصحراوي, صحراوي فري فاير, sa7rawi, فري فاير, صحراوي, فري فاير الجزائر, تهكير فري فاير, تحدي فري فاير, مقلب النوب, شحنتلهم, شحن فري فاير, ألف جوهرة, تخريب حساب, شحنت للمتابع, تحدي أفوز, FREE FIRE, NOOB PRANK, سكواد جزائري, خدعة اللغم, ساكورا, التحديث الجديد فري فاير, WHITE444, هيدشوت تلقائي, حسونة, دراغونوف, DBL N, الشخصية الجديدة, متجر التخفيضات, السكن, الشوتقن, فري فاير لايت, الكريمنال, الفاير باس الاول, المتابعين, اصعب تحدي, Ali Omar, M16, TRYHARD, DJEXO, قيم بلاي, سكواد بنات",41,https://i.ytimg.com/vi/5zPhKQ6wsWw/hqdefault.jpg,ar,ar,False,521,PT8M41S,hd,false,True,,,153329,16316,781
_LHllAoCVx8,TN,2025-12-28 02:41:34.719134+00:00,2025-12-26 16:35:06+00:00,KTYB - HOODOO (prod by JOHN SIX),KTYB - HOODOO (prod by JOHN SIX),KTYB,UCnBeOXkvCydq1dY2XAOJ5nw,10,Music,,0,https://i.ytimg.com/vi/_LHllAoCVx8/hqdefault.jpg,en,en-US,False,223,PT3M43S,hd,false,True,,,82438,6963,493
