video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
LrabOJbMLy8,2025-12-05 14:18:29+00:00,[ 恆星不忘 ✦ Forever Forever ]  周杰倫Jay ╳ 言承旭Jerry ╳ 吳建豪VanNess ╳ 周渝民Vic  ╳ 五月天阿信 Ashin｜Music Video,相信音樂BinMusic,Music,,300,hd,False,True,5498481,38865.0,3846
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,5285578,485257.0,27794
wKPaWca_mko,2025-12-06 13:36:23+00:00,AIC 2025 四強賽－2025/12/06《Garena傳說對決》,Garena 傳說對決,Gaming,,33566,hd,False,False,417224,2057.0,209
1gcVpyVOOJE,2025-12-05 08:59:49+00:00,恆星不忘 Forever Forever,Release - Topic,Music,"周杰倫, 言承旭, 吳建豪, 周渝民, 五月天 阿信, 恆星不忘 Forever Forever",288,hd,False,True,122776,2705.0,0
-XCc_MYEgd8,2025-12-05 10:30:01+00:00,【閒君】大雄的「新海底鬼岩城」出了新預告，來看一下他改了多少東西吧,閒君,People & Blogs,,671,hd,True,True,37925,957.0,214
XumnHEfrDWU,2025-12-06 13:20:53+00:00,【Sirenia海牛 】GCS最後希望FW VS PSG 能否實現1穿3RPL!?,Sirenia海牛,Gaming,"傳說對決, 海牛, Sirenia海牛, 海牛 直播, 洪海牛, 海牛 洪偉嘉, Txo Sirenia, Sirenia, Smg Sirenia, 傳說凱薩路, garena 傳說對決, 傳說對決 凱薩路, 傳說, 傳說對決 四週年改版, 傳說對決 海牛 直播, 海牛 傳說, 海牛 txo, txo 海牛, txo sirenia, 傳說渣男, 传说对决, 传说对决 海牛直播, 传说 海牛, 海牛txo",17269,hd,False,True,191242,1642.0,26
yAXnEHFKKaY,2025-12-05 15:00:06+00:00,BABYMONSTER - 'PSYCHO' PERFORMANCE VIDEO,BABYMONSTER,Music,"BABYMONSTER, 베이비몬스터, 베몬, BABYMON, BAEMON, 하람, 아현, 루카, 치키타, 파리타, 로라, 아사, HARAM, AHYEON, RUKA, CHIQUITA, PHARITA, RORA, ASA",206,hd,False,True,9412289,231768.0,9018
jZ-w5EOQF6k,2025-12-02 12:00:01+00:00,《超時空輝耀姬！》| 正式預告 | Netflix,Netflix Taiwan,Entertainment,"40mP, Aqu3ra, HoneyWorks, Melt, Netflix, Studio Chromato, Studio Colorido, Vocaloid製作人, kz, livetune, ryo, supercell, yuigot, 企鵝公路, 山下清悟, 想哭的我戴上了貓的面具",100,hd,False,False,123107,6244.0,192
Jg38q9VsOIk,2025-12-05 10:00:36+00:00,我變成蜘蛛了！還跟朋友黏在一起😭挑戰全破超難的雙人跑酷?! (鴕鳥課金最多的一集💀 挑戰500公尺)【Roblox Webbed - 有感筆電】,有感筆電 Daptoper,Gaming,"roblox, 迷因, 梗圖, 迷因梗圖, 有感筆電, daptoper, game, 遊戲, 機械方塊, 罗布乐思, meme, funny, 機器磚塊, 以下單純試圖找到YouTube流量密碼, 生存遊戲, 恐怖遊戲, 搞笑遊戲, 進化, Minecraft, 冒險, 生存, 死亡, 熱門, 好看, 有趣, 奇怪, 小遊戲, 小品遊戲, 網頁遊戲, 等級1, 等級99, 神級, 成長遊戲, 養成遊戲, 奇怪地圖, 惡搞地圖, 整人地圖, 逃離, 怪人, 成長, 脫逃成功, 逃脫地圖, 殺人, 逃脫, 逃出, 跑酷, 嚇人, 整人遊戲, 糞GAME, 怪物, 奇怪遊戲, 奇怪的遊戲, 怪誕, 養成型遊戲, 爆笑, 搞笑, 搞笑地圖, 恐怖地圖, 爆笑遊戲, 生存地圖, 可怕的頭, 挑戰系列, ROBLOX 有感筆電, Roblox Daptoper, 死亡遊戲, roblox roleplay, roblox funny moments, roblox doors, OP, 最強武器, blox fruits, 娛樂, 手遊, 恐怖, 手機遊戲, 新遊戲, 精華, 遊戲推薦, 電玩, 免費, 實況, 怪談, 台灣, 閲覧注意",1543,hd,False,True,238621,7770.0,664
xGhaNqnjgr4,2025-12-01 09:00:14+00:00,TAEYEON 태연 '인사 (Panorama)' MV,SMTOWN,Music,"taeyeon, letter to myself, mv, girls' generation, 태연, music video, 뮤비, 뮤직 비디오, 소녀시대, 티저, teaser, Panorama, 인사, Panorama : The Best of TAEYEON, 파노라마, 더 베스트 오브 태연",192,hd,True,True,962806,68920.0,3836
