video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
xIzBVMtFDow,2025-12-01 08:11:56+00:00,MamaRika - Люби себе (ПРЕМʼЄРА 2025),MamaRika,Music,"mamarika, MamaRika Зв'язок, MamaRika Люди, MamaRika Лелека, MamaRika Колишня, MamaRika Мріяла, MamaRika Сину, MamaRika Проліски, мамаріка, мамарика, Еріка, Мама Ріка, кліп мамаріка, українські пісні, українські пісні 2025, хіти, хіти 2025, нова музика, пісня, музика, нові пісні, лелека, мріяла мала, фабрика зірок, sereda, люби себе, mamarika люби себе, мама люба, я не пʼяна я просто закохана, boy, мала люби себе, українська музика, пісні, українські хіти, настя ткаченко, храмцова",187,hd,False,True,470091,13990,712
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,4246050,432172,25508
162uFtXAQRE,2025-12-04 13:05:02+00:00,ХЕЙТЕРША ПОССОРИЛА НАС С ЛЕНОЙ на Сервере в Майнкрафт...,Domer Grief,Gaming,"minecraft, domer, майнкрафт, домер девушка, домер лена, в майнкрафте, тролинг, ХЕЙТЕРША ПОССОРИЛА НАС С ЛЕНОЙ на Сервере в Майнкрафт, reallyworld, домер, domer grief, домер гриф, рили ворлд, майнкрафт сервер, сервер майнкрафт, рилик, сервер для девушек майнкрафт, девочка майнкрафт, девушка майнкрафт, девушка домера, домер захожу на сервера, домер с девушкой, сервер хейтеров домера, сумасшедшая фанатка, алина хейтерша, хейтерша алина, домер сервер хейтера, хейтерша, домер леночка",1377,hd,False,True,907608,52679,8248
70TvoIc8G5o,2025-12-02 13:54:01+00:00,Циганко нагадай,DJ KAIFAR - Topic,Music,"DJ KAIFAR, Циганко нагадай",148,hd,False,True,265656,3199,22
XRRnP91SSrQ,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,Gaming,,58,hd,True,True,1787749,161248,11925
Zbb0NevUNqc,2025-12-04 22:17:35+00:00,[UA] NAVI проти parivision | StarLadder Budapest Major 2025 | Stage 3,CS2 Maincast,Gaming,"кс, кс 2, кс2, контр страйк, контр страйк 2, кс українською, кс 2 українською, кс2 українською, cs2 українською, cs, cs 2, cs2, counter strike, counter strike 2, кіберспорт, мейджор, кс мейджор, мажор, кс мажор, major, cs major, cs2 major, starladder, starladder budapest major 2025, cs2 budapest major, budapest major, budapest, esports, navi, vitality, faze, furia, spirit, cs2 maincast, maincast, мейнкаст, maincast cs, maincast cs2, мейнкаст кс, мейнкаст кс2, кс2 мейнкаст, кс 2 мейнкаст",39213,hd,False,True,207283,2276,6
_D3_ScAhSXo,2025-11-27 10:04:05+00:00,Гандзя,100лиця - Topic,Music,"100лиця, Савчук Назарій, Ступак Владислав, Гандзя",218,hd,False,True,897252,19206,97
as8msAyr-Os,2025-12-04 22:55:57+00:00,«Огневой контакт» — трейлер обновления / War Thunder,War Thunder. Официальный канал,Gaming,"war thunder, wt, вар тандер, war thunder обновление, трейлер, обновление",214,hd,True,False,146396,13933,2312
wvdocUdPpK4,2025-12-05 08:01:22+00:00,😱Я Нашёл Заброшенные БАЗЫ ИГРОКОВ Steal a Brainrot! СТРАШНАЯ МИСТИКА АККАУНТОВ РОБЛОКС..,FixEye - Роблокс,Gaming,"фиксай, fixeye, roblox, роблокс, прокачали мемы, steal a brainrot, steal a brainrot прохождение, секреты steal a brainrot, как стать богатым в steal a brainrot, заброшенные базы игроков, заброшенные базы, заброшенные аккаунты, заброшенные аккаунты steal a brainrot",1000,hd,False,True,685936,15308,2639
6W4Bmjjg9SM,2025-12-03 06:00:27+00:00,АНТИТІЛА - ВІДКОЛИ,АНТИТІЛА,Music,"АНТИТІЛА, antytila, ВІДКОЛИ, АНТИТІЛА ВІДКОЛИ, Тарас Тополя, Між нами крижане море, Все що було, антитіла вдома, вдома небо синє, АНТИТІЛА - ВДОМА / Official Video, antytila official, відколи антитіла, антитіла бахмут, Антитіла всі пісні, Як дим в кімнаті, Без пальця як натягнута струна, антитіла відколи, українська музика, антитіла фортеця бахмут, люди як кораблі, Topolya, Topolia, Taras topolya",172,hd,True,True,165012,7733,774
KSWw4WeIBr0,2025-12-05 09:20:11+00:00,Реакция CrewGTW на трейлер обновления «Огневой контакт» и пехоту в War Thunder,CrewGTW,Gaming,"war thunder, crewgtw, обзор, крю, танки, крюгтв, крюга, war thunder самолёты, игра war thunder, crewgtw ютуб, скачать war thunder, war thunder танки, вар тандер, tanks, war thunder обзор, геймплей war thunder, самолёты",554,hd,False,True,58470,4480,662
P18cGGdUAl0,2025-12-05 18:15:38+00:00,ЗАЙЧИК 5 ЭПИЗОД НАКОНЕЦ ВЫШЕЛ И ЭТО ОФИГЕННО! ➲ Tiny Bunny 5 Эпизод!,windy31,Entertainment,,3082,hd,False,True,790187,64446,5927
yywNuQiO5fY,2025-11-26 10:01:42+00:00,boy,Кажанна - Topic,Music,"Кажанна, Makiienko Anna, boy",146,hd,False,True,788080,22355,362
sItUCKJQLTU,2025-12-04 20:53:14+00:00,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,True,True,5581758,56661,3727
5PY3roEOCwU,2025-12-05 12:06:49+00:00,ПРОКОПАЛ ТУННЕЛЬ НА БАЗУ МОИХ ДРУЗЕЙ В STEAL A BRAINROT В МАЙНКРАФТ!,EdisonPts,Gaming,"эдисон, едісон, edisonpts, эдисон перец, едисон, эд, майнкрафт, minecraft, роблокс, roblox, укради брейнрот, Steal a brainrot",2374,hd,False,True,532150,30195,4974
naFHBC_B1Ko,2025-12-02 08:31:41+00:00,Темна нічка,Maestro Barsik - Topic,Music,"Maestro Barsik, Темна нічка",216,hd,False,True,55035,461,0
