video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
waQJd7hDRv8,2025-11-23 09:55:28+00:00,"Nzalina - Feffe Bussi Ft Winnie Nwagi, Spice Diana, Dax Vibez, Kapeke (Official Music Video)",Feffe Bussi Music,Music,"#davido, #wizkid, #unforgettable, #pacito, pacito, #eddy, kenzo, #montana, halsey, red, bone, attentionstaysam, hunt, believer, kendrick, lama, humble, #ed, sheeran#wild, thoughts, #shape, of, #bruno, mars, #I'm, the, one#despacito#congraculations, mask, off, #hip, hop, #afrobeat, Something, Just, Like, This",245,hd,False,True,614860,13236.0,2032
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, karen fukuhara, chace crawford",121,hd,True,True,5107672,254047.0,13797
SQrnOTflgWA,2025-12-06 15:03:41+00:00,🔴Live : Arsenal vs Aston Villa I English Premier League 2025/26 Season Live I eFootball Pes 21 Game,Munna,Gaming,"munna, football, soccer, football gameplay, gameplay, epes, soccer league, english, epl, english premier league, premier league, live, live football, match, football live, live football match, sport, sports, soccer live, live soccer, 2025, arsenal, aston villa, arsenal vs aston villa, aston villa vs arsenal, arsenal live, arsenal match, arsenal live match, arsenal match live, arsenal vs aston villa match, aston villa vs arsenal live, arsenal aston villa match, aston villa arsenal match",554,hd,False,True,294988,1853.0,2
l1L7HOAwc_M,2025-12-05 13:00:06+00:00,NTOLI - Sandra NAXX  Official Music Video  4K,Sandra NAXX Music ,Music,,155,hd,False,True,61123,3534.0,589
zHhR3daI3bY,2025-11-10 12:00:01+00:00,Man Vs Baby | Official Trailer | Netflix,Netflix,Entertainment,"Ashley Jensen, Baby, Baby’s Day Out, Bean, Christmas, Home Alone, London, Man Vs Baby, Man Vs Bee, Mr Bean, Rowan, Rowan Atkinson, Trevor, baby Jesus, nativity",124,hd,True,True,9388902,247681.0,8917
6JkvIZDkCaI,2025-12-06 18:07:09+00:00,[LIVE] Aston Villa vs Arsenal Premier League 25/26 Full Match - Video Game Simulation,Kampleng Com,Entertainment,"aston villa vs arsenal, aston villa vs arsenal live, aston villa vs arsenal premier league, premier league live 2025, premier league aston villa vs arsenal, aston villa vs arsenal 2025, aston villa vs arsenal static, aston villa, arsenal, the derby, london, 2025, premier league live today, live, match, premier league 2025/2026, aston villa vs arsenal prediction, aston villa vs arsenal today",8386,hd,False,True,202240,996.0,2
hz1_UhKSKGQ,2025-11-18 11:00:07+00:00,Joshua Baraka & JAE5 - Wrong Places,Joshua Baraka,Music,,179,hd,False,True,757125,10985.0,380
2Yk9GL3YPfE,2025-12-02 18:50:15+00:00,OUR WEDDING DAY: The Official Trailer! *OMG*,Kristen & Reafe,People & Blogs,"Kristen and Reafe, Kristen and Reafe vlogs, Kristen and Reafe Pranks, our wedding day, wedding, kristen and reafe wedding, wedding film, wedding trailer, wedding movie, kristen and reafe wedding video, asking her to marry me, marriage, wedding location, best wedding locations, best wedding venues, couple goals, best couple, youtube couple, youtube couple wedding",492,hd,False,True,110439,13178.0,1821
n2ztwjLnIWs,2025-12-06 15:30:05+00:00,Aston Villa vs Arsenal LIVE | Premier League 2025/26 Full Match | Epl Match Live | PES 21 Simulation,Wavear,Gaming,"aston villa vs arsenal, aston villa vs arsenal live, aston villa vs arsenal premier league, premier league live 2025, premier league aston villa vs arsenal, aston villa vs arsenal 2025, aston villa vs arsenal static, aston villa, arsenal, the derby, london, 2025, premier league live today, live, match, premier league 2025/2026, aston villa vs arsenal prediction, aston villa vs arsenal today",7274,hd,False,True,95084,,4
WqdUDwiD7rI,2025-11-26 10:00:57+00:00,MUSEVENI : Jose Chameleone X Weasel (2025),Jose Chameleone,Music,,163,hd,False,True,242249,4496.0,657
BKOVzHcjEIo,2025-11-18 06:50:49+00:00,Dhurandhar Official Trailer | Ranveer Singh | Aditya Dhar | In Cinemas 5th December 2025,JioStudios,Entertainment,"Jio Studios, Dhurandhar First Look, dhurandhar ranveer singh, dhurandhar aditya dhar, dhurandhar movie, dhurandhar teaser, Ranveer singh, aditya dhar, dhurandhar 2025 movies, arjun rampal, dhurandhar song, dhurandhar, dhurandhar hanumankind, dhurandhar r madhavan, dhurandhar sanjay dutt, dhurandhar akshaye khanna, hanumankind ranveer singh, dhurandhar sara arjun, dhurandhar official trailer, dhurandhar trailer, dhurandhar trailer launch, dhurandhar jasmine sandlas",248,hd,True,True,47341855,573632.0,37727
WzlbPrcN1mo,2025-12-06 16:23:32+00:00,🔴Aston Villa vs Arsenal LIVE. Premier League 2025/2026 Full Match - Simulation Video Games,Guest YT,Sports,"live aston villa vs arsenal, aston villa vs arsenal premier league, aston villa vs arsenal, aston villa vs arsenal 2024, aston villa vs arsenal epl, aston villa vs arsenal premier league today, aston villa, arsenal, premier league aston villa vs arsenal 25/26, soccer, broadcast, live, live score, aston villa vs arsenal big match, aston villa vs arsenal prediction, aston villa vs arsenal tips",7021,hd,False,True,81962,414.0,0
AKkffMa4A9Q,2025-12-03 08:00:06+00:00,Iwe - Pretty Banks ft Ray G (Official Video ),Pretty Banks,Music,#prettybanks #IWE,176,hd,False,True,45413,2658.0,455
S-LMSpzlnc0,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,False,True,2548229,66108.0,6205
pWWNdN_NjxM,2025-11-20 13:33:51+00:00,Liam Voice - Sibyamanyi (official Lyrics Video),Liam Voice,Music,,174,hd,False,False,105318,1851.0,184
WYc3vZRE6CY,2025-12-06 16:14:38+00:00,🔴 Aston Villa vs Arsenal LIVE | Premier League 2025/26 | Full Match Simulation,Torcida Gamers,Sports,"Aston Villa vs Arsenal live, Aston Villa and Arsenal, Aston Villa vs Arsenal live today, goals from the match Aston Villa vs Arsenal 06/12/2025, highlights of the match Aston Villa vs Arsenal 06/12/2025, match Aston Villa vs Arsenal, Aston Villa vs Arsenal, Premier League 2025, Premier League, eFootball 2025, Aston Villa, Arsenal, match of Aston Villa live, match of Arsenal live, gameplay eFootball 2025, Arsenal vs Aston Villa",7260,hd,False,True,90177,345.0,1
9KzQDA_eQ0g,2025-12-01 09:00:07+00:00,Lydia Jazmine & Bwiza - True Love ( Visuals ) ,LYDIA JAZMINE,Music,"Lydia Jazmine, Uganda, Lydia Jazmine songs, Lydia Jazmine official, Spice Diana, Ugandan Music, New Uganda Videos, Music video, official, Comedy store, Eddy Kenzo, LJ Music",199,hd,False,True,141447,3720.0,223
x_fknCUmCtQ,2025-12-06 18:46:05+00:00,Aston Villa vs Arsenal | English Premier League 2025/26 | Epl Live Stream | PES 21 Gameplay,Football Gamer Rony,Gaming,"efootball, efootball pes 21, pes 21 gameplay, football game, pes 21, pes21, efootball pes 21 gameplay, live football, football live, football, football gamer rony",918,hd,False,True,232705,912.0,0
1zr_Jyp-C90,2025-11-03 16:08:27+00:00,Time Temala - Gloria Bugie X King Saha (Official Music Video),Gloria Bugie ,Music,,178,hd,False,True,687432,8383.0,489
0pjJ_SxPxyM,2025-12-06 15:20:53+00:00,🔴Aston Villa vs Arsenal - English Premier League 2025/26 | Pes 21 Gameplay,Football TV,Sports,"premier league pes 21, english league pes 21, premier league 25-26 pes 21, pes 2021, pes 2021 gameplay, soccer, pro evolution soccer 2021, pc gameplay, football pes 2021, sport, football, gameplay video, gameplay, pc, gameplay sport, gameplay football, gameplay pes 2021, pes 2021 pc, game, футбол, спорт, игра, геймплей, efootball, aston villa vs arsenal pes 21, aston villa pes 21, arsenal pes 21",15128,hd,False,True,73540,231.0,0
1ZABiPExe8w,2025-11-11 08:11:07+00:00,Nyweera - Sheebah (LETTER TO SELF) Official Video,Sheebah ,Music,"Sheebah Kalungi, New Ugandan Music, Music Videos, New, HD, Video, Sheebah, Nyweera, Nyweera by Sheebah, sheebah new music, tredning ugandan music, Uganda, trending",215,hd,False,True,308972,13537.0,1975
IZNzfTMTloI,2025-12-07 05:33:11+00:00,ASTON VILLA 2-1 ARSENAL! PREMIER LEAGUE 2025-26 Simulation/Recreation,十Loork Football,Gaming,,238,hd,False,True,97553,492.0,3
y9BMTBl_lks,2025-11-17 17:46:44+00:00,Ani Unstoppable - Alien skin ( Official audio),Alien Skin OFFICIAL,Music,,166,hd,False,True,125192,4354.0,945
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,False,True,1041920,25605.0,2755
CclYn_dfVsg,2025-11-13 21:00:06+00:00,Tracy Melon & Kataleya & Kandle- Totta (Official Visualizer),Tracy Melon,Entertainment,,193,hd,False,True,138510,3181.0,257
