video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
XvNAX8W_jQo,UY,2025-12-18 02:24:47.483073+00:00,2025-12-16 23:00:08+00:00,The La Planta - Mix Del Verano | Cumbia Rocha ( Por El Momento / Bailando Con Tu Sombra / XKbron ) ,The La Planta - Mix Del Verano | Cumbia Rocha ( Por El Momento / Bailando Con Tu Sombra / XKbron ) ,The La Planta,UClcRKA8DsLg7rJMz3ZYaUgQ,10,Music,The La Planta,1,https://i.ytimg.com/vi/XvNAX8W_jQo/hqdefault.jpg,es,es,False,196,PT3M16S,hd,false,True,,,170834,3805,3253
xgCxY0qWRC4,UY,2025-12-18 02:24:47.483115+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Tráiler del volumen 2 | Netflix,Stranger Things 5 | Tráiler del volumen 2 | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Hop, Jamie Campbell Bower, Jim Hopper, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Once, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things, Stranger Things 5, Will Byers, Winona Ryder, volumen 2",31,https://i.ytimg.com/vi/xgCxY0qWRC4/hqdefault.jpg,es,en-US,False,136,PT2M16S,hd,false,False,,,1598658,49748,1885
EwRBKs-2tT0,UY,2025-12-18 02:24:47.483128+00:00,2025-12-16 22:00:06+00:00,"PRESIONA EL BOTON ""ROJO""","PRESIONA EL BOTON ""ROJO""",JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,20,Gaming,"juegagerman, juega, german, holasoygerman, hola soy german, juega german, fever meme, juego troll, gaming",9,https://i.ytimg.com/vi/EwRBKs-2tT0/hqdefault.jpg,es-419,es-419,False,2521,PT42M1S,hd,false,True,,,717107,43033,1063
yh42Ba29uS0,UY,2025-12-18 02:24:47.483137+00:00,2025-12-16 22:00:06+00:00,Maxi Alvarez x Juanjo Morgade - Borraxxa #DirectamenteDeBB,Maxi Alvarez x Juanjo Morgade - Borraxxa #DirectamenteDeBB,Maxi Alvarez,UCdvx_u12RTssjxeUpxz6Cmw,10,Music,"maxi alvarez, juanjo morgade, borracha, boraxxa, ddbb, directamentedebarrosblancos, directamentedebb, la nueva escuela, la deskarga, la dosis, la bocha 12, pa que escondernos",12,https://i.ytimg.com/vi/yh42Ba29uS0/hqdefault.jpg,es,es-419,False,169,PT2M49S,hd,false,False,,,35823,655,25
YqdAEdkHrwo,UY,2025-12-18 02:24:47.483145+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,false,True,,,15752960,372532,20776
ohe32FGtLLg,UY,2025-12-18 02:24:47.483154+00:00,2025-12-16 22:30:26+00:00,Robleis y Juan COMPRAN la skin de Kim Kardashian en Fortnite 🥵🤑,Robleis y Juan COMPRAN la skin de Kim Kardashian en Fortnite 🥵🤑,RobleisIUTU,UCG8eSYvOQUpb9HM8zU5d6xg,20,Gaming,"robleis, robleisiutu, risa, funny, top, videos graciosos, recopilacion, clips, reaccion, juego, mejores momentos, record, reaccionando, best moments, nueva skin, nueva arma, actualizacion, como mejorar, como ganar, trucos, tips, consejos, fails, si me rio, gameplay, español, terror",27,https://i.ytimg.com/vi/ohe32FGtLLg/hqdefault.jpg,es,es,False,2764,PT46M4S,hd,false,True,,,273232,9689,326
GkTWxDB21cA,UY,2025-12-18 02:24:47.483163+00:00,2025-12-15 17:00:06+00:00,ROSALÍA - La Perla (Official Video) ft. Yahritza Y Su Esencia,ROSALÍA - La Perla (Official Video) ft. Yahritza Y Su Esencia,RosaliaVEVO,UCy2bCk5KnIfjmWYFHMZcd5w,10,Music,"ROSALÍA, Columbia, Latin, Alternative, Rosalia, New Rosalia, New Rosalia Album, Rosalia Lyrics, Rosalia Album, Motomami, El Mal Querer, Berghain, LUX, Rosalia Lux, LUX era, Flamenco, Classical, Reggaeton, Rosalia Live, Rosalia Performance, LUX Tour, Rosalia tour, New Rosalia Video, Yahritza Su Esencia, La Perla, Rosalia Stillz, Stillz, Es Una Perla, Nadie Se Fia, La decepcion local, rompecorazones nacional, el mayor destastre mundial",32,https://i.ytimg.com/vi/GkTWxDB21cA/hqdefault.jpg,es,es,False,210,PT3M30S,hd,false,True,,,2929201,156048,7031
T54OWinnymM,UY,2025-12-18 02:24:47.483171+00:00,2025-12-12 01:54:58+00:00,Resident Evil Requiem - 3rd Trailer,Resident Evil Requiem - 3rd Trailer,Resident Evil,UCS2iGSouOopNHXFBcWtBQiA,20,Gaming,"#ResidentEvilRequiem, #ResidentEvil, #RE, #RERequiem, #RE9",5,https://i.ytimg.com/vi/T54OWinnymM/hqdefault.jpg,en,en,False,205,PT3M25S,hd,false,True,,,1554303,117098,7615
VihFQ_BiIyE,UY,2025-12-18 02:24:47.483179+00:00,2025-12-16 22:00:49+00:00,EXPLORE el SERVIDOR MAS ANTIGUO de MINECRAFT con EL RUBIUS 🐻,EXPLORE el SERVIDOR MAS ANTIGUO de MINECRAFT con EL RUBIUS 🐻,FarfadoxVEVO,UC6WLsuQaH77MTsIQ6e0DvgQ,20,Gaming,"2b2t, servidor anarquico, minecrat, minecraft bedrock, rubius, elrubiusomg, survival, risas, entretenimiento, hardcore, Farfadox, Farfa, servidor",13,https://i.ytimg.com/vi/VihFQ_BiIyE/hqdefault.jpg,es,es,False,2672,PT44M32S,hd,false,True,,,327706,27667,596
CyKgtV_pIik,UY,2025-12-18 02:24:47.483186+00:00,2025-12-12 00:00:07+00:00,Jory Boy x Chencho Corleone - Incorregible | Matando La Liga 2 [Official Video],Jory Boy x Chencho Corleone - Incorregible | Matando La Liga 2 [Official Video],JORY BOY,UC-8k7L_8TtDhR-xPNHo9FXA,10,Music,"jory boy, el de la jota, matando la liga, joryboy, nova y jory, reggaeton, Chencho Corleone, Plan B, Jory Boy, Incorregible, Jory Boy Incorregible, Chencho Corleone Incorregible, Matando La Liga 2, Jory Boy Matando La Liga 2, visualizer oficial, reggaeton 2025, música urbana, nuevo reggaeton, colaboración urbana, reggaeton visualizer, nuevo lanzamiento, chencho corleone, jory boy x chencho corleone, musica urbana, artistas latinos, perreo latino, latin urban hits",27,https://i.ytimg.com/vi/CyKgtV_pIik/hqdefault.jpg,es,es-419,False,189,PT3M9S,hd,true,False,,,797167,20390,578
