video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
43XdrvzmSj0,2025-11-30 09:00:07+00:00,"IT'S GON' BE ALRIGHT - Negav ft. Văn Mai Hương | Anh Trai ""Say Hi"" 2025 [Performance]",Vie Channel - MUSIC,Music,"music vie channel, anh trai say hi, Anh Trai Say Hi, anh trai say hi 2025, anh trai say hi mùa 2, Anh Trai Say Hi 2025, anh trai say hi tập 12, chung kết anh trai say hi 2025, chung kết anh trai say hi, it gonna be alright, it's gonna be alright, it’s gonna be alright negav, it's gonna be alright negav văn mai hương, it's gonna be alright performance, it's gonna be alright negav performance, negav, negav solo anh trai say hi, negav ft văn mai hương, negav its gonna be alright",273,hd,False,True,942134,25794.0,14084.0
gXYx3ahPZXE,2025-12-05 10:18:09+00:00,BI HUỲNH MỞ KHÓA CHIÊU THỨC ẨN CÂU THÀNH CÔNG CÁ 120 VẠN CÂN | CÂU CÁ VẠN CÂN #3,Bi Huỳnh Gaming,Gaming,"blox fruit, bi huỳnh gaming, bi đại thần, thử thách 100 ngày blox fruit, thử thách blox fruit, 24h blox fruit",1617,hd,False,True,1350161,15618.0,2162.0
wMSWB-1rzmY,2025-12-04 01:01:32+00:00,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 20 Nhạc TikTok Hay 2025,H2O Remix,Music,"nhạc remix, remix, remix tiktok, nhạc remix tiktok, nhac tiktok hay 2025, nhạc, nhạc tiktok remix, nhac remix, nhạc trẻ, nhạc hot tiktok hiện nay, nhac, nhạc trẻ remix, nhạc tiktok, nhac remix 2025, nhac tiktok, nhạc remix tik tok, tiktok, nhạc remix tiktok 2025, tiktok remix, nhac tre, nhạc hay, nhạc remix mới nhất, remix 2025, nhạc hot, nhạc hot tiktok, nhac tre hay nhat hien nay, nhac tre remix, remix tik tok, mashup remix, nhạc việt, nhạc mới, h2o remix",3826,hd,False,True,542124,,96.0
1PbWUrNjKDI,2025-12-06 13:39:12+00:00,🔴 TRỰC TIẾP: PSG ESPORTS vs FLASH WOLVES | SEMI FINALS | AIC 2025 (06/12),Liên Quân Mobile eSports-Garena,Gaming,"garena liên quân, liên quân mobile, liên quân, arena of valor, đấu trường danh vọng, garena liên quân mobile, aov, giai dau lien quan, giải liên quân, esports, dau truong danh vong, liên quân esports, giải đấu, aog, aogs25, dtdv mua xuan 2025, aog xuan 2025, dau truong danh vong mua xuan 2025, abben dtdv, abben dau truong danh vong",32695,hd,False,False,1406930,6090.0,48.0
QBtyLWvjRKk,2025-12-02 23:32:08+00:00,Thiệp Hồng Sai Tên Remix | BXH Nhạc Trẻ Remix Hay Nhất 2025 | Top 15 Bản EDM TikTok Hot Trend,Minh Quan EDM,Music,"edm, remix, edm tiktok, nhạc trẻ edm 2025, nhạc trẻ remix 2025, remix tiktok 2025, nhạc trẻ remix, remix tiktok, nhạc tiktok, nhạc trend tiktok, nhạc thịnh hành, remix thịnh hành, nhac tre remix, tiktok, bxh nhạc trẻ remix, bxh nhac tre remix, nhạc trẻ, nhạc remix, nhạc remix mới, nhạc trẻ remix hay nhất hiện nay, thiệp hồng sai tên, thiệp hồng sai tên remix, nguyễn thành đạt",7080,hd,False,True,526763,7430.0,131.0
69PsX2S51ew,2025-12-04 12:09:43+00:00,Nếu Tô Gà Bị Biến Thành Train Eater Trong Minecraft!,Toga TV,Gaming,"tô gà, tô gà tv, tô gà sinh tố, sinh tố team, biệt đội sinh tố, em bé, tô gà em bé, gia đình, minecraft, minecraft pe, mcpe, hihachobi, yummie, nabee, huynoob, jackvn, em bé nhận nuôi, HUGGY, huggy wuggy, puppy playtime, toga tv, tô gà thử thách 24h, thử thách 24h tô gà, tô gà thử thách, nếu tô gà, Nếu Tô Gà Bị Biến Thành Train Eater Trong Minecraft!, Nếu Tô Gà Bị Biến Thành Train Eater, Train Eater Trong Minecraft, Nếu Tô Gà Bị Biến Thành",849,hd,False,True,552841,2457.0,109.0
l4Pkem30Q60,2025-12-03 13:30:53+00:00,"Kẻ Say Tình - Quốc Thiên | Sáng tác: Lê Cương, 89G Team | Live Concert SKYNote 2025",Quốc Thiên Official,Music,"quốc thiên, quoc thien, quốc thiên official, ca sĩ quốc thiên, quoc thien official, mv quốc thiên, nhạc mới, nhạc quốc thiên, quoc thien live, quoc thien idol, kẻ say tình, ke say tinh, kẻ say tình live, ke say tinh live, kẻ say tình mv, ke say tinh mv, kẻ say tình full, ke say tinh full, kẻ say tình quốc thiên, ke say tinh quoc thien, kẻ say tình quốc thiên live, ke say tinh quoc thien live",378,hd,False,True,282891,3862.0,553.0
2e3TUZnv9ng,2025-12-04 11:00:06+00:00,Hiha Huấn Luyện HIHA PRIME KHÔI PHỤC CƠ THỂ Trong Minecraft 🤩😍 ( Hiha Prime vs Hiha Toxic #2 ),Oops Hiha,Gaming,"oops hiha, oops club, hiha, hihachobi, hahichobi, hiha minecraft, hiha và yummie, sinh tố team, mcpe, minecraft, hiha yummie, hiha sinh tố team, hiha sinh tố, hiha yummie minecraft, hiha aut, làng hiha aut, hiha hiha aut, hiha aut hiha, h1h4, hiha alpha, Hiha Huấn Luyện HIHA PRIME KHÔI PHỤC CƠ THỂ Trong Minecraft, HIHA PRIME KHÔI PHỤC CƠ THỂ Trong Minecraft, Hiha Huấn Luyện HIHA PRIME KHÔI PHỤC CƠ THỂ, Hiha Prime minecraft, Hiha huấn luận hiha prime",1093,hd,False,True,619652,7518.0,724.0
IGHBSyXKZ8Y,2025-12-04 13:00:06+00:00,Low G | Đừng Để Tiền Rơi (ft. Anh Phan) | Special Version | OFFICIAL MUSIC VIDEO,Low G,People & Blogs,,240,hd,True,True,246327,15985.0,734.0
ySyr0nPXmFI,2025-12-03 16:17:10+00:00,"🏆[PGC 2025] BẢNG B - NGÀY CUỐI: 🇻🇳 AL, 🇺🇸 FLC, 🇺🇦 NAVI, 🇨🇳 PERO, 🇪🇺 FAZE, 🇹🇭 MITH, 🇺🇸 TL, 🇰🇷 BGP,...",PUBG: BATTLEGROUNDS VIETNAM,Gaming,"pubg, playerunknow's battleground, pubg vietnam official, pubg funny moment, pubg funny, pubg highlight, pubg news",20689,hd,False,False,779551,3458.0,41.0
