video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
Bb5Qb7ziIig,VN,2025-12-27 02:27:02.426282+00:00,2025-12-24 16:55:27+00:00,obito - 'dạo này' (official music video),obito - 'dạo này' (official music video),Obito Official,UCJwp8w_Ru1q--tCEfrPIA6g,10,Music,"tobiee official, tobiee, obito, tobiee music, dạo này, dao nay, mv dao nay, dao nay obito, obito dao nay, dạo này obito, obito dạo này, đánh đổi, hà nội, simple love, obito album, album obito, nhạc obito, obito mv",18,https://i.ytimg.com/vi/Bb5Qb7ziIig/hqdefault.jpg,vi,vi,False,289,PT4M49S,hd,true,True,,,845790,51772,3139
7zGY-2EGw1I,VN,2025-12-27 02:27:02.426316+00:00,2025-12-18 15:46:45+00:00,VIE - PHI | VIE - LAO | VIE - THA | VÒNG BẢNG & PLAYOFFS | SEA GAMES 33 - LQM ĐỒNG ĐỘI NAM (18/12),VIE - PHI | VIE - LAO | VIE - THA | VÒNG BẢNG & PLAYOFFS | SEA GAMES 33 - LQM ĐỒNG ĐỘI NAM (18/12),Liên Quân Mobile eSports-Garena,UCpnQwjzvDm1MOMtZV2zkVpA,20,Gaming,"garena liên quân, liên quân mobile, liên quân, arena of valor, đấu trường danh vọng, garena liên quân mobile, aov, giai dau lien quan, giải liên quân, esports, dau truong danh vong, liên quân esports, giải đấu, aog, aogs25, dtdv mua xuan 2025, aog xuan 2025, dau truong danh vong mua xuan 2025, abben dtdv, abben dau truong danh vong",20,https://i.ytimg.com/vi/7zGY-2EGw1I/hqdefault.jpg,vi,vi,False,40555,PT11H15M55S,hd,false,False,,,4177924,16933,200
V_YhGVnEGf8,VN,2025-12-27 02:27:02.426329+00:00,2025-12-19 04:00:07+00:00,MỸ TÂM - CHUYỆN ĐỂ DÀNH (FULL OFFICIAL LIVE VIDEO) | LIVESHOW SEE THE LIGHT,MỸ TÂM - CHUYỆN ĐỂ DÀNH (FULL OFFICIAL LIVE VIDEO) | LIVESHOW SEE THE LIGHT,My Tam,UCmgGhZ_OMFGRn5cbfd4Svrw,10,Music,"mỹ tâm, my tam, ca sỹ mỹ tâm, ca sy my tam, chuyện để dành, để dành, liveshow, see the light, mỹ tâm chuyện để dành, chuyen de danh, my tam chuyen de danh, MyTamLive, MyTamConcert, LiveAtMyDinh, MyTamMusic",15,https://i.ytimg.com/vi/V_YhGVnEGf8/hqdefault.jpg,vi,vi,False,298,PT4M58S,hd,false,True,,,1089364,10643,1238
goDWHFFf5hI,VN,2025-12-27 02:27:02.426339+00:00,2025-12-24 06:13:27+00:00,BI HUỲNH TRỞ LẠI SAU 3 THÁNG BẤT NGỜ VỚI CONTROL REWORK TRONG BLOX FRUITS,BI HUỲNH TRỞ LẠI SAU 3 THÁNG BẤT NGỜ VỚI CONTROL REWORK TRONG BLOX FRUITS,Bi Huỳnh Gaming,UCKHGKR_8mQcCuSOoagfpdBA,20,Gaming,"blox fruit, bi huỳnh gaming, bi đại thần, thử thách 100 ngày blox fruit, thử thách blox fruit, 24h blox fruit",6,https://i.ytimg.com/vi/goDWHFFf5hI/hqdefault.jpg,vi,vi,False,1350,PT22M30S,hd,false,True,,,1188748,20528,11793
wKIt5vBSW-4,VN,2025-12-27 02:27:02.426347+00:00,2025-12-18 13:00:06+00:00,Hẹn Lần Sau - MAYDAYs | Official Music Video,Hẹn Lần Sau - MAYDAYs | Official Music Video,MAYDAYs,UCiLtbxfokrKTPxLfTmbJ4Yw,10,Music,"maydays, maydays phep mau, phép màu, phép màu nguyễn hùng, đàn cá gỗ phép màu, hẹn lần sau, maydays mv, hẹn lần sau mv, nguyễn hùng mv, maydays hẹn lần sau, hẹn lần sau mv nguyễn hùng",11,https://i.ytimg.com/vi/wKIt5vBSW-4/hqdefault.jpg,vi,vi,False,278,PT4M38S,hd,false,False,,,954654,24159,1204
BYUmmf8AyLU,VN,2025-12-27 02:27:02.426355+00:00,2025-12-25 11:00:07+00:00,Hiha Phát Hiện LÀNG SINH TỐ ĐI ĐÂU vào 3 Giờ Sáng ... ???,Hiha Phát Hiện LÀNG SINH TỐ ĐI ĐÂU vào 3 Giờ Sáng ... ???,Oops Hiha,UCtT5uP2WIGxyP0MYCC_ZHtQ,20,Gaming,"oops hiha, oops club, hiha, hihachobi, hahichobi, hiha minecraft, hiha và yummie, sinh tố team, mcpe, minecraft, hiha yummie, hiha sinh tố team, hiha sinh tố, hiha yummie minecraft, hiha aut, làng hiha aut, hiha hiha aut, hiha aut hiha, h1h4, hiha alpha, Phát Hiện LÀNG SINH TỐ ĐI ĐÂU vào 3 Giờ Sáng, LÀNG SINH TỐ ĐI ĐÂU vào 3 Giờ Sáng, Hiha làng sinh tố, Hiha làng sinh tố 3h sáng, làng sinh tố đi đâu, hiha sinh tố 3h sáng",26,https://i.ytimg.com/vi/BYUmmf8AyLU/hqdefault.jpg,vi,vi,False,1007,PT16M47S,hd,false,True,,,450004,3537,165
Exzei8kuxGw,VN,2025-12-27 02:27:02.426364+00:00,2025-12-17 13:00:07+00:00,"QUÁ KHỨ KIA CỦA ANH | WOKEUP ft ANDREE RIGHT HAND, RHYDER, COOLKID, YOUNG BAN (from WOKEUPAT4AM EP)","QUÁ KHỨ KIA CỦA ANH | WOKEUP ft ANDREE RIGHT HAND, RHYDER, COOLKID, YOUNG BAN (from WOKEUPAT4AM EP)",WOKEUP,UCgdWsKWB2ceB-_YIxJ0aKpw,10,Music,"Music, Woke up, Wokeup, Wokeupat4am, Qua khu kia cua anh, Where you at, Andree right hand, Rhyder, Cool Kid, Youngban, DG House, Shube",12,https://i.ytimg.com/vi/Exzei8kuxGw/hqdefault.jpg,vi,vi,False,339,PT5M39S,hd,true,True,,,1438882,31361,1285
35bUA8Ew4ZA,VN,2025-12-27 02:27:02.426372+00:00,2025-12-24 11:20:00+00:00,Chạy Ngay Đi Nếu Bạn Thấy Mặt Trăng 666 Trong Minecraft 😨😱,Chạy Ngay Đi Nếu Bạn Thấy Mặt Trăng 666 Trong Minecraft 😨😱,Toga TV,UCDhxPj5HsdH-jn7rUx6A2yg,20,Gaming,"tô gà, tô gà tv, tô gà sinh tố, sinh tố team, biệt đội sinh tố, em bé, tô gà em bé, gia đình, minecraft, minecraft pe, mcpe, hihachobi, yummie, nabee, huynoob, jackvn, em bé nhận nuôi, HUGGY, toga tv, tô gà thử thách 24h, thử thách 24h tô gà, tô gà thử thách, nếu tô gà, Chạy Ngay Đi Nếu Bạn Thấy Mặt Trăng 666 Trong Minecraft 😨😱, Chạy Ngay Đi Nếu Bạn Thấy Mặt Trăng 666, Mặt Trăng 666, Mặt Trăng 666 Trong Minecraft, tô gà 666",28,https://i.ytimg.com/vi/35bUA8Ew4ZA/hqdefault.jpg,vi,vi,False,852,PT14M12S,hd,false,True,,,506910,2253,198
xzClnybxdbg,VN,2025-12-27 02:27:02.426381+00:00,2025-12-07 08:00:07+00:00,"CHỜ ANH VỀ - B Ray x AMEE x Masew | Anh Trai ""Say Hi"" 2025 [Performance]","CHỜ ANH VỀ - B Ray x AMEE x Masew | Anh Trai ""Say Hi"" 2025 [Performance]",Vie Channel - MUSIC,UC2fu6CiFfNYz5UFORvFyc0w,10,Music,"vie channel, anh trai say hi, Anh Trai Say Hi, anh trai say hi 2025, anh trai say hi mùa 2, anh trai, Anh Trai Say Hi 2025, anh trai say hi tập 13, chung kết anh trai say hi 2025, chung kết anh trai say hi, tập 13 anh trai say hi, solo, chờ anh về, cho anh ve, chờ anh về performance, chờ anh về bray, chờ anh về bray amee masew, chờ anh về b ray amee, b ray, bray amee, amee b ray, bray amee chờ anh về, b ray masew, chờ anh về anh trai say hi, chờ anh về bray performance",25,https://i.ytimg.com/vi/xzClnybxdbg/hqdefault.jpg,vi,vi,False,270,PT4M30S,hd,false,True,,,5622676,47683,18025
HpEO_FciA5o,VN,2025-12-27 02:27:02.426389+00:00,2025-12-21 15:39:13+00:00,🔴TRỰC TIẾP: T1 - SAO ESPORTS VIỆT NAM | VPBANK PRESENTS ESPORTS FESTIVAL | LEGENDS UNITE,🔴TRỰC TIẾP: T1 - SAO ESPORTS VIỆT NAM | VPBANK PRESENTS ESPORTS FESTIVAL | LEGENDS UNITE,FPT Bóng Đá,UC4LvrpNXujjbGOS4RDvr41g,17,Sports,"fpt bóng đá, T1, faker, trực tiếp T1, t1 faker, liên minh huyền thoại, liên minh, t1 liên minh huyền thoại, trực tiếp liên minh huyền thoại, trực tiếp t1 liên minh huyền thoại, faker liên minh huyền thoại, faker lmht, t1 all star việt nam, t1",14,https://i.ytimg.com/vi/HpEO_FciA5o/hqdefault.jpg,vi,vi,False,23072,PT6H24M32S,hd,false,True,,,1433875,14737,352
