video_id,published_at,title,channel_title,category_id,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
43XdrvzmSj0,2025-11-30T09:00:07Z,"IT'S GON' BE ALRIGHT - Negav ft. Văn Mai Hương | Anh Trai ""Say Hi"" 2025 [Performance]",Vie Channel - MUSIC,10,Music,"music vie channel, anh trai say hi, Anh Trai Say Hi, anh trai say hi 2025, anh trai say hi mùa 2, Anh Trai Say Hi 2025, anh trai say hi tập 12, chung kết anh trai say hi 2025, chung kết anh trai say hi, it gonna be alright, it's gonna be alright, it’s gonna be alright negav, it's gonna be alright negav văn mai hương, it's gonna be alright performance, it's gonna be alright negav performance, negav, negav solo anh trai say hi, negav ft văn mai hương, negav its gonna be alright",273,hd,false,True,979714,26044,14479
gXYx3ahPZXE,2025-12-05T10:18:09Z,BI HUỲNH MỞ KHÓA CHIÊU THỨC ẨN CÂU THÀNH CÔNG CÁ 120 VẠN CÂN | CÂU CÁ VẠN CÂN #3,Bi Huỳnh Gaming,20,Gaming,"blox fruit, bi huỳnh gaming, bi đại thần, thử thách 100 ngày blox fruit, thử thách blox fruit, 24h blox fruit",1617,hd,false,True,1502838,16532,2360
wMSWB-1rzmY,2025-12-04T01:01:32Z,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 20 Nhạc TikTok Hay 2025,H2O Remix,10,Music,"nhạc remix, remix, remix tiktok, nhạc remix tiktok, nhac tiktok hay 2025, nhạc, nhạc tiktok remix, nhac remix, nhạc trẻ, nhạc hot tiktok hiện nay, nhac, nhạc trẻ remix, nhạc tiktok, nhac remix 2025, nhac tiktok, nhạc remix tik tok, tiktok, nhạc remix tiktok 2025, tiktok remix, nhac tre, nhạc hay, nhạc remix mới nhất, remix 2025, nhạc hot, nhạc hot tiktok, nhac tre hay nhat hien nay, nhac tre remix, remix tik tok, mashup remix, nhạc việt, nhạc mới, h2o remix",3826,hd,false,True,563537,,100
1PbWUrNjKDI,2025-12-06T13:39:12Z,FS vs BAC | PSG vs FW | SEMI FINALS - AIC 2025 (NGÀY 06/12),Liên Quân Mobile eSports-Garena,20,Gaming,"garena liên quân, liên quân mobile, liên quân, arena of valor, đấu trường danh vọng, garena liên quân mobile, aov, giai dau lien quan, giải liên quân, esports, dau truong danh vong, liên quân esports, giải đấu, aog, aogs25, dtdv mua xuan 2025, aog xuan 2025, dau truong danh vong mua xuan 2025, abben dtdv, abben dau truong danh vong",32695,hd,false,False,1472079,6248,60
QBtyLWvjRKk,2025-12-02T23:32:08Z,Thiệp Hồng Sai Tên Remix | BXH Nhạc Trẻ Remix Hay Nhất 2025 | Top 15 Bản EDM TikTok Hot Trend,Minh Quan EDM,10,Music,"edm, remix, edm tiktok, nhạc trẻ edm 2025, nhạc trẻ remix 2025, remix tiktok 2025, nhạc trẻ remix, remix tiktok, nhạc tiktok, nhạc trend tiktok, nhạc thịnh hành, remix thịnh hành, nhac tre remix, tiktok, bxh nhạc trẻ remix, bxh nhac tre remix, nhạc trẻ, nhạc remix, nhạc remix mới, nhạc trẻ remix hay nhất hiện nay, thiệp hồng sai tên, thiệp hồng sai tên remix, nguyễn thành đạt",7080,hd,false,True,574689,7510,145
2ghWK6CbD1A,2025-12-06T11:00:06Z,Hiha Aut Bất Ngờ Khi Hiha Prime 6 Múi Trong Minecraft🤣🤩,Oops Hiha,20,Gaming,"oops hiha, oops club, hiha, hihachobi, hahichobi, hiha minecraft, hiha và yummie, sinh tố team, mcpe, minecraft, hiha yummie, hiha sinh tố team, hiha sinh tố, hiha yummie minecraft, hiha aut, làng hiha aut, hiha hiha aut, hiha aut hiha, h1h4, hiha alpha, Hiha Aut Bất Ngờ Khi Hiha Prime 6 Múi Trong Minecraft, Hiha Prime trong minecraft, Hiha Prime 6 múi, Hiha prime",997,hd,false,True,579883,7920,837
yRlUZ6xfrPs,2025-12-06T01:53:01Z,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay - Top 20 Nhạc TikTok Hay 2025,Orinn Mix,22,People & Blogs,"nhạc remix 2025, nhac remix 2025, nhạc remix, nhac remix, nhạc remix tiktok, remix tiktok, nhạc trẻ, nhạc trẻ remix, nhạc trẻ remix 2025, nhac tre, nhac tre remix, remix, nhạc tiktok, nhạc tik tok, nhạc tiktok remix, nhạc tik tok hot nhất hiện nay, nhạc hot tiktok, remix 2025, nhac tiktok hay 2025, nhac tre hay nhat hien nay, nhac tre 2025, nhạc mới, nhac tiktok, nhạc hot tiktok hiện nay, nhạc trend tiktok, nhac, tik tok remix, remix tik tok, nhạc remix tik tok",4073,hd,false,True,252944,911,40
pouHwtPfDUg,2025-12-06T11:49:09Z,Tô Gà Troll Sinh Tố Team Bằng Ảo Giác Trong Minecraft!,Toga TV,20,Gaming,"tô gà, tô gà tv, tô gà sinh tố, sinh tố team, biệt đội sinh tố, em bé, tô gà em bé, gia đình, minecraft, minecraft pe, mcpe, hihachobi, nabee, huynoob, jackvn, HUGGY, huggy wuggy, puppy playtime, toga tv, tô gà thử thách 24h, thử thách 24h tô gà, tô gà thử thách, nếu tô gà, Tô Gà Troll Sinh Tố Team Bằng Ảo Giác Trong Minecraft!, minecraft ảo giác, minecraft ảo ảnh, ảo ảnh minecraft, Tô Gà Troll Sinh Tố Team Bằng Ảo Giác, Tô Gà Troll Sinh Tố Team, Troll Sinh Tố Team Bằng Ảo Giác",1258,hd,false,True,483156,2489,178
l4Pkem30Q60,2025-12-03T13:30:53Z,"Kẻ Say Tình - Quốc Thiên | Sáng tác: Lê Cương, 89G Team | Live Concert SKYNote 2025",Quốc Thiên Official,10,Music,"quốc thiên, quoc thien, quốc thiên official, ca sĩ quốc thiên, quoc thien official, mv quốc thiên, nhạc mới, nhạc quốc thiên, quoc thien live, quoc thien idol, kẻ say tình, ke say tinh, kẻ say tình live, ke say tinh live, kẻ say tình mv, ke say tinh mv, kẻ say tình full, ke say tinh full, kẻ say tình quốc thiên, ke say tinh quoc thien, kẻ say tình quốc thiên live, ke say tinh quoc thien live",378,hd,false,True,343135,4203,586
RDmfaqNwSCw,2025-12-05T10:00:54Z,bqThanh và Ốc Troll Bắt Trộm Con Của HUNGRY WORM Bị Sâu Mẹ Đuổi Cắn Chạy Té Khói,bqThanh,20,Gaming,,1270,hd,false,True,312634,2233,109
IGHBSyXKZ8Y,2025-12-04T13:00:06Z,Low G | Đừng Để Tiền Rơi (ft. Anh Phan) | Special Version | OFFICIAL MUSIC VIDEO,Low G,22,People & Blogs,,240,hd,true,True,277498,17006,766
wEg_XK_Noco,2025-12-03T05:01:14Z,BI HUỲNH SĂN CÁ MẬP BẰNG ĐINH BA SẤM SÉT VÀ TỎ TÌNH THẤT BẠI TRONG ROBLOX 🤣,Bi Huỳnh Roblox,20,Gaming,"blox fruit, bi đại thần, bi huỳnh gaming, bi huỳnh roblox, toilet tower defense, king legacy, bi huỳnh chơi game",1195,hd,false,True,769169,7225,760
IKpaJx6ieXA,2025-12-01T07:41:38Z,THIỆP HỒNG SAI TÊN - GIA HUY x THÀNH ĐẠT | Cover Hot Tiktok | Em viết thiệp hồng tên em thì đúng,Gia Huy Official,10,Music,"gia huy official, gia huy, nhac che, Nguyen thanh dat, dai loan, thiep hong sai ten, em viet thiep hong ten anh thi dung, thiệp hồng sai tên, hot tiktok thiệp hồng, thiệp hồng sai tên hot tiktok",313,hd,false,True,292959,862,95
ym-8P1Rw-Mw,2025-12-05T12:15:11Z,GAME NÀY KHIẾN TÔI SỢ VÃI ! PHONG CẬN WHO AT THE DOOR,Phong Cận Tv,20,Gaming,"phong cận tv, phong cận, phong can tv, phong can, phong cận chơi game, phong cận game, phong cận chơi game kinh dị, GAME NÀY KHIẾN TÔI SỢ VÃI ! PHONG CẬN WHO AT THE DOOR",1370,hd,false,True,338816,3146,235
O9lP9caT1A8,2025-11-27T04:00:25Z,THIỆP HỒNG SAI TÊN - NGUYỄN THÀNH ĐẠT | CA SĨ GIẤU MẶT COVER | Em Viết Thiệp Hồng Tên Em Thì Đúng,Beta Music,10,Music,"thiệp hồng sai tên, thiệp hồng sai tên cover, thiệp hồng sai tên nguyễn thành đạt, thiệp hồng sai tên ca sĩ giấu mặt, thiệp hồng sai tên nam cover, thiệp hồng sai tên nam ca sĩ giấu mặt, thiệp hồng sai tên ca sĩ giấu mặt cover, nguyễn thành đạt, ca sĩ giấu mặt, ca sĩ giấu mặt cover, nam ca sĩ giấu mặt, em viết thiệp hồng tên em thì đúng, em viet thiep hong ten em thi dung",280,hd,false,True,542543,3960,175
ySyr0nPXmFI,2025-12-03T16:17:10Z,"🏆[PGC 2025] BẢNG B - NGÀY CUỐI: 🇻🇳 AL, 🇺🇸 FLC, 🇺🇦 NAVI, 🇨🇳 PERO, 🇪🇺 FAZE, 🇹🇭 MITH, 🇺🇸 TL, 🇰🇷 BGP,...",PUBG: BATTLEGROUNDS VIETNAM,20,Gaming,"pubg, playerunknow's battleground, pubg vietnam official, pubg funny moment, pubg funny, pubg highlight, pubg news",20689,hd,false,False,779998,3457,42
SNSlPokNQsk,2025-11-30T05:03:25Z,Khóc Đấy,Thắng - Topic,10,Music,"Thắng, Khóc Đấy",228,hd,false,True,534676,30593,0
NBDHswH6D3k,2025-12-02T12:15:08Z,"(GONE Fishing #1) Hội cần thủ Refund lún sâu vào bộ môn gacha, chật vật thu thập đầy đủ tế phẩm.",MixiGaming,24,Entertainment,"mixi, mixi gaming, độ mixi, độ phùng, gonefishing gameplay, fishing game, fishing simulator, gone fishing mystery, horror gameplay, fishing horror gameplay, gone fishing horror",9739,hd,false,True,370838,4960,123
