video_id,published_at,title,channel_title,category_name,tags,duration,definition,caption_available,licensed_content,views,likes,comments
svr2PNkGh90,2025-12-02 02:51:43+00:00,Dubai,Release - Topic,Music,"Mthandeni SK, MaWhoo, Dubai",271,hd,False,True,1636606,54155.0,0
Fv0leN8TmR8,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",121,hd,True,True,6653139,294770.0,15776
Ntp522Cad-s,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",195,hd,False,True,4042786,61732.0,5363
hRr2UP8U1PE,2025-12-04 13:00:06+00:00,"Sam Deep, Nia Pearl, Boohle, Mano - Shela (Official Music Video)",SamDeepVEVO,Music,"Sam Deep, Nia Pearl, Boohle, Mano, Universal Music (Pty) Ltd., Amapiano, SamDeep, MaDeepana, KusezoKhanya, Thokoza, Isgubhu, iMpumelelo, BoGogo, KingsOfKwapi, HitFactory, SouthAfricanMusic, AmapianoToTheWorld, DJProducer, WelcomeToTheParty, Genesis, Kwakhanya",259,hd,False,True,796517,14113.0,600
RRBt7i7dLsY,2025-12-02 16:10:47+00:00,SHELTER Trailer (2026) Jason Statham,ONE Media,Film & Animation,"movie trailer, new trailer, trailer, 2026, Shelter, Shelter Trailer, Jason Statham, Bill Nighy, Naomi Ackie, action",155,hd,False,True,1734419,25087.0,2803
S-LMSpzlnc0,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",503,hd,False,True,3706587,85445.0,6990
hc0OTJQgKLE,2025-12-02 10:01:49+00:00,Zep Zep Zep 2.0,Djy Smallz - Topic,Music,"Djy Smallz, Bongani, Zep Zep Zep, Zep Zep Zep 2.0",315,hd,False,True,549219,8670.0,0
XqOrSwTxYrs,2025-12-07 12:01:08+00:00,The Transporter 5 (2026) - Teaser Trailer | Jason Statham,KH Studio,Film & Animation,"transporter 5, jason statham transporter 5, transporter 5 movie, car chase action movie 2025, transportation thriller 2025, action thriller transporter, frank martin jason statham, new transporter movie, transporter 5 action scenes, jason statham action film, high-speed action transporter, transporter movie franchise, action packed transporter, transportation action thriller, transporter 5 fast paced action",81,hd,False,True,112138,360.0,17
KgsTBDRttPg,2025-12-06 14:00:39+00:00,I Got Hunted By the Minecraft LAW,Wemmbu,Gaming,"wemmbu, flamefrags, unstable smp, wemmbu vs flamefrags, wemmbu unstable smp, wemmbu farlands, minecraft farlands, wemmbu minecraft, wemmbu orbital cannon, orbital strike cannon, unstable universe, wemmbu unstable universe, weembu, wembu, wemmbu dead, How I DIED on a Hardcore Minecraft SMP, wemmbu flamefrags, 2 Minecraft Pros VS 1000 Players, parrotx2, spokeishere, wemmbu prisoner, wemmbu prison, lettucek, wemmbu lettucek, wemmbu law, wemmbu escape",4688,hd,False,True,4075838,198880.0,19693
PKkks2by-ps,2025-11-27 10:03:23+00:00,SNOKONOKO,Al Xapo - Topic,Music,"Al Xapo, Benzoo, EeQue, Leago Moganedi, Minenhle Mashiane, Banele Mapulane, SNOKONOKO",400,hd,False,True,1694486,42199.0,481
VI6XO8EijT4,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",58,hd,True,True,6914720,552945.0,30979
E0YgN26TKq8,2025-12-07 00:00:30+00:00,"Minecraft, But I BECAME GIANT AND BROKE EVERYTHING!",Maizen,Gaming,"Minecraft, Maizen",1286,hd,False,True,1423183,8094.0,625
hJSPG_oQvOk,2025-12-04 22:03:20+00:00,ZEP,DJ Smallz - Topic,Music,"DJ Smallz, Zinedine x Sguche, 031 Choppa, Uncool MC, ZEP",309,hd,False,True,287380,10006.0,0
sItUCKJQLTU,2025-12-04 20:53:14+00:00,A Knight of the Seven Kingdoms | Official Final Trailer | HBO Max,HBO Max,Entertainment,"hbo max, ser duncan the tall, a knight of the seven kingdoms hbo, george r.r. martin, dunk and egg, a knight of the seven kingdoms hbo max, a knight of the seven kingdoms trailer hbo, game of thrones, peter claffey, dexter ansell, a knight of the seven kingdoms trailer, dunk, egg, westeros, a song of ice and fire, house targaryen, game of thrones new series, a knight of the seven kingdoms game of thones, GoT, game of thrones new show, peter claffey dunk, finn bennett, knight, AKOTSK",152,hd,True,True,13105560,76635.0,5036
VMqEykRk0bQ,2025-12-07 15:54:25+00:00,Orlando Pirates vs Marumo Gallants | THE FINAL | Carling Knockout Cup 2025 | PES 21,Football Gamer Rony,Gaming,"efootball, efootball pes 21, pes21, live football, football live, football, football gamer rony, orlando pirates live match today, pirates live game today, live football match online today, carling black label cup 2025 live match today, pirates vs marumo gallants, orlando pirates vs marumo gallants live match today, black label cup final 2025, soccer live today, marumo gallants vs orlando pirates, orlando pirates, manchester city, betway premiership live match today",917,hd,False,True,183576,600.0,0
LkojSVjN5w4,2025-12-01 10:04:54+00:00,MAQONDANA NGQO,AMA AK47 - Topic,Music,"AMA AK47, ., ITSHE LIMINGOTHI, MAQONDANA NGQO",344,hd,False,True,326658,11752.0,0
iGyKtVA6ntI,2025-12-01 13:00:01+00:00,Sean Combs: The Reckoning | Official Teaser | Netflix,Netflix,Entertainment,"90s hip hop, Aubrey O'Day, Bad Boy Entertainment, Bad Boy Records, Cassie Ventura, Diddy, Diddy Cassie, Diddy documentary, Diddy lawsuit, Diddy legal issues, Diddy trial, East Coast rap, Making the Band, Notorious BIG, P Diddy, Puff Daddy, Sean Combs, Tupac, West coast rap, hip hop documentary, music business, music industry, rap documentary",70,hd,True,True,1570866,15557.0,2724
4EYfMk9Hc_g,2025-12-06 13:04:38+00:00,I Got MY OWN RITUAL in Steal a Brainrot…,CashBlox,Entertainment,"Cash, Nico, Nico and Cash, Cash and Nico, Minecraft, Minecraft mod, family friendly, kid friendly",952,hd,False,True,1371213,40213.0,10860
vzKW2V2vC90,2025-12-05 06:25:42+00:00,"Officixl RSA - Jab Jab [Feat. Scotts Maphuma, Benzoo, Bob Mabena, Mid9t, de-papzo] (Official Audio)",Officixl Rsa,Music,,409,hd,False,True,268462,4658.0,175
