video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
M7M0mplHY9g,ZW,2025-12-17 02:23:48.756308+00:00,2025-12-06 09:00:06+00:00,Nashie Zim - KUNGE RHEDHIYO ( visualizer ),Nashie Zim - KUNGE RHEDHIYO ( visualizer ),Nashie Zim,UC768yucVpqV16jPGpUU50Fg,22,People & Blogs,"interracial, interracial couple, interracial marriage, interracial relationship, interracial struggles, Nashie Zim",6,https://i.ytimg.com/vi/M7M0mplHY9g/hqdefault.jpg,sn,und,False,191,PT3M11S,hd,false,False,,,356846,7665,1207
e0Eo0D038rQ,ZW,2025-12-17 02:23:48.756331+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,true,True,,,10474947,493117,21099
Ntp522Cad-s,ZW,2025-12-17 02:23:48.756356+00:00,2025-12-07 22:10:52+00:00,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,REAL MADRID 0 - 2 CELTA | RESUMEN LALIGA EA SPORTS,LALIGA EA SPORTS,UCTv-XvfzLX3i4IGWAm4sbmA,17,Sports,"RC Celta, Real Madrid, Real Madrid vs. RC Celta, Madrid, Celta, Real Madrid Celta, Real Madrid vs Celta, LaLiga, jornada 15 laliga ea sports, laliga ea sports, highlights Real Madrid Celta, resumen Real Madrid Celta, goles Celta, Williot, Valverde, Mbappé, Santiago Bernabéu, mejores momentos fútbol, partido LaLiga, liga española, highlights fútbol, resumen fútbol, Celta vigo, Celta de Vigo",24,https://i.ytimg.com/vi/Ntp522Cad-s/hqdefault.jpg,es,es,False,195,PT3M15S,hd,false,True,,,4936687,68362,5797
1b7TNiheUCg,ZW,2025-12-17 02:23:48.756366+00:00,2025-12-02 08:00:07+00:00,Enzo Ishall - Chibatamabvi ft. Oskid,Enzo Ishall - Chibatamabvi ft. Oskid,Enzo Ishall,UCjsGaTISIF5XdU2831mRJCQ,10,Music,,0,https://i.ytimg.com/vi/1b7TNiheUCg/hqdefault.jpg,en,und,False,186,PT3M6S,hd,false,True,,,379034,10987,1143
YqdAEdkHrwo,ZW,2025-12-17 02:23:48.756374+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,false,True,,,15638312,370204,20629
S-LMSpzlnc0,ZW,2025-12-17 02:23:48.756382+00:00,2025-12-07 15:44:41+00:00,Race Highlights | 2025 Abu Dhabi Grand Prix,Race Highlights | 2025 Abu Dhabi Grand Prix,FORMULA 1,UCB_qr75-ydFVKSF9Dmo6izg,17,Sports,"F1, Formula One, Formula 1, Sports, Sport, Action, GP, Grand Prix, Auto Racing, Motor Racing, abu dhabi, f1 2025 championship",12,https://i.ytimg.com/vi/S-LMSpzlnc0/hqdefault.jpg,en,en,False,503,PT8M23S,hd,false,True,,,4647101,96633,7211
h6m1VpqLwqk,ZW,2025-12-17 02:23:48.756390+00:00,2025-12-05 08:00:06+00:00,Master H - Wakaluza visualizer ( Petrichor Album ),Master H - Wakaluza visualizer ( Petrichor Album ),Master H,UC5jrU8WxzE16gPTnlqQAqew,10,Music,,0,https://i.ytimg.com/vi/h6m1VpqLwqk/hqdefault.jpg,en,und,False,141,PT2M21S,hd,false,True,,,322021,9257,718
Fv0leN8TmR8,ZW,2025-12-17 02:23:48.756397+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,true,True,,,8600561,336404,17660
ek6tuIxGP5I,ZW,2025-12-17 02:23:48.756405+00:00,2025-12-10 22:33:42+00:00,Real Madrid vs Manchester City LIVE | Champions League 2025/26 | PES21 Simulation,Real Madrid vs Manchester City LIVE | Champions League 2025/26 | PES21 Simulation,Wavear,UC9b_boqg5-zOeOxlPwabEFA,20,Gaming,,0,https://i.ytimg.com/vi/ek6tuIxGP5I/hqdefault.jpg,en,en,False,7931,PT2H12M11S,hd,false,True,,,283879,1060,2
pA8EAJit4MI,ZW,2025-12-17 02:23:48.756412+00:00,2025-11-19 08:00:06+00:00,Raymer - Kapoto (Official Music Video),Raymer - Kapoto (Official Music Video),Raymer,UCoG7RTHJTxu89ZO-ep4h4ZQ,10,Music,,0,https://i.ytimg.com/vi/pA8EAJit4MI/hqdefault.jpg,en,und,False,131,PT2M11S,hd,false,True,,,1323738,13451,1060
