video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
NtLFfh2-yec,DO,2026-01-03 02:25:52.029995+00:00,2026-01-02 20:00:07+00:00,Romeo Santos & Prince Royce - Lokita Por Mí (Official Video),Romeo Santos & Prince Royce - Lokita Por Mí (Official Video),Romeo Santos,UCyxbZF7_PK4nLiexj0kkCNg,10,Music,,0,https://i.ytimg.com/vi/NtLFfh2-yec/hqdefault.jpg,en,es,False,308,PT5M8S,hd,false,False,,,518059,49914,8784
wHuWmjXsReU,DO,2026-01-03 02:25:52.030033+00:00,2026-01-01 17:00:08+00:00,Marvel Television’s Wonder Man | Official Trailer,Marvel Television’s Wonder Man | Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/wHuWmjXsReU/hqdefault.jpg,en,en,False,130,PT2M10S,hd,true,True,,,5948487,121757,5256
0NKM2myugTU,DO,2026-01-03 02:25:52.030045+00:00,2026-01-02 21:17:02+00:00,Jugando Como un BEBÉ AJOLOTE Amistoso en Minecraft!,Jugando Como un BEBÉ AJOLOTE Amistoso en Minecraft!,Nacho,UC8EkcHOycB94lHDkbAPSnQA,20,Gaming,"nacho, dagar, nacho minecraft, dagar y nacho, nacho y dagar, minecraft, minecraft mod, dagar minecraft, bosque, bosque minecraft, bebe, bebe minecraft, bebe ajolote, axolote, ajolote minecraft, bebe axolote minecraft, trolleo, troleo minecraft, amigos minecraft",19,https://i.ytimg.com/vi/0NKM2myugTU/hqdefault.jpg,es,es,False,1214,PT20M14S,hd,false,True,,,164898,3685,293
_Cc9K8vLqPE,DO,2026-01-03 02:25:52.030054+00:00,2026-01-01 21:50:18+00:00,EL ALFA EL JEFE X RONNY GTA X CHAEL PRODUCIENDO - TU CABEZA EN LA SUBASTA ( VIDEO OFICIAL ),EL ALFA EL JEFE X RONNY GTA X CHAEL PRODUCIENDO - TU CABEZA EN LA SUBASTA ( VIDEO OFICIAL ),Chael Produciendo,UC30_adbxuNVCFxcMPiO0LIQ,10,Music,"El alfa, Chael Produciendo, Ronny GTA, Peleando con el diablo, dembow, hiphop, musica, music, musica latina, musica urbana, trap, hip hop, musica urbana latina, gta ronny, gta, gta 5, alfa el jefe, tu cabeza, subasta, tu cabeza en la subasta, el jefe, alfa, gta5, gta rumores, ezzy r, rulay, rulay y pico, se dejo del novio, me jukeo, de aqui pa ya, de aqui pa alla, por el respeto, quien dijo miedo, rumores, hagan de to meno daño, la tengo de vaceo, gta nama, ronny gta",38,https://i.ytimg.com/vi/_Cc9K8vLqPE/hqdefault.jpg,es,es,False,180,PT3M,hd,false,True,,,135045,11693,5289
HjHJSbAoTTw,DO,2026-01-03 02:25:52.030063+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Tráiler de la final | Netflix,Stranger Things 5 | Tráiler de la final | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Hop, Jamie Campbell Bower, Jim Hopper, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Once, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things, Stranger Things 5, Will Byers, Winona Ryder, final",31,https://i.ytimg.com/vi/HjHJSbAoTTw/hqdefault.jpg,es,en-US,False,99,PT1M39S,hd,false,False,,,1348596,43343,3693
1hiEOKqAVmo,DO,2026-01-03 02:25:52.030072+00:00,2026-01-02 16:47:49+00:00,Hice Trampas en TIRO A CIEGAS en Roblox!,Hice Trampas en TIRO A CIEGAS en Roblox!,Dagar Roblox,UCmkyN2GfMyR7gsIiKBCR3nw,20,Gaming,"roblox, roblox dagar, roblox nacho, nacho y dagar, dagar y nacho",5,https://i.ytimg.com/vi/1hiEOKqAVmo/hqdefault.jpg,es,es,False,1013,PT16M53S,hd,false,True,,,226380,3442,230
Us5xcLfNWdM,DO,2026-01-03 02:25:52.030079+00:00,2026-01-02 01:40:30+00:00,"Dani Barranco, JLexis, Alofoke Music, Rome LMN - Envueltos Unplugged","Dani Barranco, JLexis, Alofoke Music, Rome LMN - Envueltos Unplugged",Dani Barranco,UCjTC7rv5Lo1j_Efiki-tZbQ,23,Comedy,"danibarranco13, dani barranco, daniela barranco, danibarranco, narcisista, amor prestado, Jlexis, Jlexisydani, Alofoke, Lacasadealofoke2, Envueltos",11,https://i.ytimg.com/vi/Us5xcLfNWdM/hqdefault.jpg,es,es-419,False,164,PT2M44S,hd,false,False,,,790968,41093,48906
badCDo6Sx3E,DO,2026-01-03 02:25:52.030087+00:00,2026-01-01 00:09:47+00:00,"Se confirmó QUINTO trailer Doctor Doom y trama de Centinelas X-Men con Vibranium, trailer Superbowl","Se confirmó QUINTO trailer Doctor Doom y trama de Centinelas X-Men con Vibranium, trailer Superbowl",Pelicomic,UCsMzBY3X_RS6GhGBiHXW19A,24,Entertainment,,0,https://i.ytimg.com/vi/badCDo6Sx3E/hqdefault.jpg,es,es-419,False,1027,PT17M7S,hd,false,True,,,347405,20042,983
XIDsyCT-5RU,DO,2026-01-03 02:25:52.030094+00:00,2026-01-02 14:35:02+00:00,SOLO PUEDO VIVIR EN UN COLOR en BROOKHAVEN..,SOLO PUEDO VIVIR EN UN COLOR en BROOKHAVEN..,SoyWelix,UCEc6kZNBV0WAKV5GZlLLgwA,22,People & Blogs,,0,https://i.ytimg.com/vi/XIDsyCT-5RU/hqdefault.jpg,es,es,False,887,PT14M47S,hd,false,True,,,132902,1660,84
82UxxY3SKwE,DO,2026-01-03 02:25:52.030102+00:00,2026-01-02 18:57:36+00:00,KIRY CURU X PUNTICO  X BILIN GANG | CUANDO ME VALLA - VIDEO OFICIAL ,KIRY CURU X PUNTICO  X BILIN GANG | CUANDO ME VALLA - VIDEO OFICIAL ,Kiry Curu,UCss1NK1r3DlGoP6QyoPAKbg,10,Music,"Kiry curu, Puntico, Puntico37, RONNY GTA, Rochyrd, Chapo 240, EZZY R",7,https://i.ytimg.com/vi/82UxxY3SKwE/hqdefault.jpg,es,es-419,False,249,PT4M9S,hd,false,False,,,14496,2100,134
