video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
_aSAyNUmUUc,GH,2026-01-02 02:32:42.275104+00:00,2025-12-26 10:00:58+00:00,Strongman x Criss Waddle - I Am Strongman [Audio Slide],Strongman x Criss Waddle - I Am Strongman [Audio Slide],Strongman Burner,UCi9Q7BqojVxhBwKieP1pZww,10,Music,,0,https://i.ytimg.com/vi/_aSAyNUmUUc/hqdefault.jpg,en,en-GB,False,166,PT2M46S,hd,false,False,,,75048,4362,500
dxpOyudIXuY,GH,2026-01-02 02:32:42.275140+00:00,2025-12-26 12:23:31+00:00,"FAST & FURIOUS 11 (2026) - First Trailer | Vin Diesel, Cristiano Ronaldo","FAST & FURIOUS 11 (2026) - First Trailer | Vin Diesel, Cristiano Ronaldo",US Studio,UCehUxf1EphIIDyHmyK6rOGQ,24,Entertainment,,0,https://i.ytimg.com/vi/dxpOyudIXuY/hqdefault.jpg,en,en,False,96,PT1M36S,hd,false,True,,,504381,5238,99
mXLDe3jpO_w,GH,2026-01-02 02:32:42.275152+00:00,2025-12-29 21:06:19+00:00,Zambia v Morocco | Match in 3 | CAF Africa Cup of Nations Morocco 2025,Zambia v Morocco | Match in 3 | CAF Africa Cup of Nations Morocco 2025,SuperSport,UCZH6G3Z5XINU6r92QN1l5Lw,17,Sports,"Morocco, Zambia, Zambia vs. Morocco",3,https://i.ytimg.com/vi/mXLDe3jpO_w/hqdefault.jpg,en,en,False,195,PT3M15S,hd,false,True,,,271320,2881,272
kTsBn5D8DJA,GH,2026-01-02 02:32:42.275162+00:00,2025-12-27 07:37:00+00:00,Stonebwoy - BHIMFest 2025 - Part 1 [Live from Accra Sports Stadium] (The Torcher - Reggae Session),Stonebwoy - BHIMFest 2025 - Part 1 [Live from Accra Sports Stadium] (The Torcher - Reggae Session),Stonebwoy,UCyY3qjWb8vgKyUov8iJwXyg,24,Entertainment,"stonebwoy, ghana, anlogajunction, afrobeat, dancehall, music, worldwide",7,https://i.ytimg.com/vi/kTsBn5D8DJA/hqdefault.jpg,en-GB,en-GB,False,3713,PT1H1M53S,hd,false,True,,,46958,2941,623
AfQ13jsLDms,GH,2026-01-02 02:32:42.275170+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,true,True,,,12969677,309037,24568
Crb5gudOABI,GH,2026-01-02 02:32:42.275178+00:00,2026-01-02 00:29:17+00:00,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,STEAL A BRAINROT GIVEAWAY LIVE | STEAL A BRAINROT FREE SECRETS + FREE BRAINROT GODS,Joxy,UC3DlDcaefUYr-1skxaiLxVw,20,Gaming,"steal a brainrot giveaway, steal a brainrot giveaway live, steal a brainrot secret giveaway, steal a brainrot live giveaway, steal a brainrot brainrot god giveaway, steal a brainrot stream, steal a brainrot live, steal a brainrot 24/7 stream, steal a brainrot, steal a brainrot god, w steal a brainrot, steal a brainrot game, steal a brainrot gifting, steal a brainrot mod, steal a brainrot glitch, steal a brainrot 24/7, roblox steal a brainrot, steal a brainrot roblox",18,https://i.ytimg.com/vi/Crb5gudOABI/hqdefault.jpg,en,en,False,30,PT30S,hd,false,True,,,685776,6273,44
jbmMgL7DKGk,GH,2026-01-02 02:32:42.275276+00:00,2025-12-25 10:04:50+00:00,Still Hammer,Still Hammer,Hammer of The Last Two - Topic,UCb3Z3WYPmNmJzqBa-7HR7sw,10,Music,"Hammer of The Last Two, Joey B, E.L, Fameye, Still Hammer",5,https://i.ytimg.com/vi/jbmMgL7DKGk/hqdefault.jpg,en,en,False,311,PT5M11S,hd,false,True,,,49544,2686,360
wHuWmjXsReU,GH,2026-01-02 02:32:42.275284+00:00,2026-01-01 17:00:08+00:00,Marvel Television’s Wonder Man | Official Trailer,Marvel Television’s Wonder Man | Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/wHuWmjXsReU/hqdefault.jpg,en,en,False,130,PT2M10S,hd,true,True,,,2773715,76844,3846
15FqT2MGLbc,GH,2026-01-02 02:32:42.275292+00:00,2026-01-01 06:45:12+00:00,NEW MESSI 110 PACK OPENING + GAMEPLAY 🔥 THE HIGHEST RATED PLAYER IN EFOOTBALL 💀,NEW MESSI 110 PACK OPENING + GAMEPLAY 🔥 THE HIGHEST RATED PLAYER IN EFOOTBALL 💀,9AL Games,UCvzTJH6G9bH5nCQ1Hfb8nGg,20,Gaming,"messi 110 efootball, messi 110 efootball game, efootball 110 messi, 110 messi efootball, efootball 2026 messi 110, ankara messi 110 efootball 26, messi big time 110 efootball, efootball 110 ankara messi, ankara messi 110 efootball 26 mobile, efootball 2026 mobile 110 messi, review messi 110 big time efootball, how to get 110 rated messi efootball, 110 rated messi trick in efootball 2025, pack open ankara messi 110 efootball 2026 mobile",14,https://i.ytimg.com/vi/15FqT2MGLbc/hqdefault.jpg,en,en,False,1326,PT22M6S,hd,false,True,,,284056,22829,1958
i4tXAEg4CNg,GH,2026-01-02 02:32:42.275299+00:00,2025-12-28 20:13:09+00:00,Maccasio ft Fadlan LANDLORD (Official Visualizer video),Maccasio ft Fadlan LANDLORD (Official Visualizer video),Maccasio Music,UCX3BNGTj8dJsiwKidelh72A,10,Music,,0,https://i.ytimg.com/vi/i4tXAEg4CNg/hqdefault.jpg,en,en,False,139,PT2M19S,hd,false,False,,,12243,1467,129
Z6X60iUGiUs,GH,2026-01-02 02:32:42.275307+00:00,2025-12-28 15:51:21+00:00,"😭OBAATAN NISUO😭(OFFICIAL TRAILER)ft AKABENEZER,DIANA,BERNICE,OTOO,ABIGAIL,ATADWE ","😭OBAATAN NISUO😭(OFFICIAL TRAILER)ft AKABENEZER,DIANA,BERNICE,OTOO,ABIGAIL,ATADWE ",OFFICIAL DR. LIKEE TV,UCA80gWFLEakovRHrBGSF0mQ,22,People & Blogs,,0,https://i.ytimg.com/vi/Z6X60iUGiUs/hqdefault.jpg,en,en,False,134,PT2M14S,hd,false,True,,,13631,689,46
evbX6RgFqqs,GH,2026-01-02 02:32:42.275314+00:00,2026-01-01 16:07:23+00:00,The Big Decision...Who Stays?,The Big Decision...Who Stays?,MoreS2G,UCw9rjdrpHa7mzNrWVJoaPgw,20,Gaming,,0,https://i.ytimg.com/vi/evbX6RgFqqs/hqdefault.jpg,en,en-GB,False,1212,PT20M12S,hd,false,True,,,120248,8191,1350
hdr9ZrQ7vxk,GH,2026-01-02 02:32:42.275321+00:00,2025-12-31 13:48:36+00:00,Naira Marley X Zinoleesky - Adugbo (Official Video),Naira Marley X Zinoleesky - Adugbo (Official Video),Naira Marley,UCNWtzYVo1PYlV3ZsLRwe3Pw,10,Music,"naira marley, naira, marley, naira marley issa goal, issa goal, issa goal lyrics, naira marley japa, afrobeats, afro bashment, hip hop, nigeria, naira marley shaku shaku",12,https://i.ytimg.com/vi/hdr9ZrQ7vxk/hqdefault.jpg,en,und,False,202,PT3M22S,hd,false,True,,,217138,11432,840
Mzw2ttJD2qQ,GH,2026-01-02 02:32:42.275328+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,28711490,508825,26050
4F6YViiTww0,GH,2026-01-02 02:32:42.275335+00:00,2025-12-30 21:55:56+00:00,🔴Live : Chelsea vs Bournemouth I Premier League 2025/26 Season Match Stream I eFootball Pes 21 Game,🔴Live : Chelsea vs Bournemouth I Premier League 2025/26 Season Match Stream I eFootball Pes 21 Game,Munna,UCxeXR8JqzNAOxAfS_ACtFdQ,20,Gaming,"munna, football, soccer, football gameplay, game, gameplay, pes, epes, soccer league, epl, english premier league, premier league, live, live football, match, football live, live football match, sport, sports, soccer live, live soccer, 2025, chelsea, bournemouth, bournemouth vs chelsea, chelsea match, chelsea live, chelsea vs bournemouth, bournemouth match, chelsea match live, chelsea bournemouth match, football simulation",32,https://i.ytimg.com/vi/4F6YViiTww0/hqdefault.jpg,en,zxx,False,584,PT9M44S,hd,false,True,,,121518,507,0
XBvq04ZIYWU,GH,2026-01-02 02:32:42.275343+00:00,2025-12-22 14:41:16+00:00,Ewor Me,Ewor Me,King Paluta - Topic,UCnT6ZMlW04xiYfE2a1OhyeQ,10,Music,"King Paluta, Kwabena Kwabena, Ewor Me",3,https://i.ytimg.com/vi/XBvq04ZIYWU/hqdefault.jpg,en,en,False,221,PT3M41S,hd,false,True,,,44222,1324,0
n9gbhVOooG8,GH,2026-01-02 02:32:42.275351+00:00,2026-01-01 20:00:06+00:00,BALARABA Trailer ,BALARABA Trailer ,Maishadda Global Resources,UCdiI6VrQ4aYI29FW1ChiHsA,24,Entertainment,,0,https://i.ytimg.com/vi/n9gbhVOooG8/hqdefault.jpg,ha,ha,False,299,PT4M59S,hd,false,True,,,33303,2283,220
g3nP-SZAclk,GH,2026-01-02 02:32:42.275358+00:00,2025-12-28 08:47:00+00:00,سبايدر مان اصعب دراجة نارية فوق اسماك القرش - Superheroes Ride on Motorcycle Stunt Funny Moments??,سبايدر مان اصعب دراجة نارية فوق اسماك القرش - Superheroes Ride on Motorcycle Stunt Funny Moments??,CyberCOW,UCQ7IDbbSQkxnlkcdTaaY9ow,20,Gaming,,0,https://i.ytimg.com/vi/g3nP-SZAclk/hqdefault.jpg,ar,ar,False,876,PT14M36S,hd,false,True,,,1057606,35008,336
wgGa9SgxhJI,GH,2026-01-02 02:32:42.275366+00:00,2025-12-03 12:59:54+00:00,"Al Xapo, Benzoo & EeQue - SNOKONOKO (Official Visualizer)","Al Xapo, Benzoo & EeQue - SNOKONOKO (Official Visualizer)",Al Xapo,UCrp38ZoYserlB8dlFM9_Oyw,22,People & Blogs,"Al Xapo, Benzoo, Eeque - Snokonoko (Official Lyric Video), South Africa, Al Xapo Nakupenda, TXC, Davido, Zlatan, Shoday, Snokonoko Lyrics, Snokonoko, Africa, New Music, Viral TikTok Challenge, Viral, AfroBeats, Amapiano, 3 Step, Ciza, al xapo tyler icu, al xapo yeyii, al xapo x benzoo x eeque snokonoko, al xapo ft scott maphuma, al xapo groove cartel, al xapo snoko, Producer",26,https://i.ytimg.com/vi/wgGa9SgxhJI/hqdefault.jpg,en,el,False,229,PT3M49S,hd,false,False,,,7233452,43748,964
KaVyJ-T0LxY,GH,2026-01-02 02:32:42.275374+00:00,2025-12-26 15:00:40+00:00,"FAST X: Part 2 (2026) - First Trailer | Vin Diesel, Christiano Rolando","FAST X: Part 2 (2026) - First Trailer | Vin Diesel, Christiano Rolando",TA Trailers,UC2SO1R77M34CAJtWKGDTQ6w,1,Film & Animation,"fast x part 2 trailer, fast and furious 2026, vin diesel fast x, fast and furious sequel, vin diesel, christiano rolando, fast and furious 11 trailer, fast and furious 11 2026, fast and furious official trailer, fast and furious upcoming movie, fast and furious new sequel, vin diesel new movie, fast x movie trailer, fast and furious action scenes, fast and furious cast, fast and furious release date, fast and furious fan reaction",17,https://i.ytimg.com/vi/KaVyJ-T0LxY/hqdefault.jpg,en,en,False,78,PT1M18S,hd,false,True,,,544060,6904,458
zPbrkmdcTfo,GH,2026-01-02 02:32:42.275381+00:00,2025-12-27 17:00:04+00:00,1000 Players Simulate Civilization: Boys vs Girls,1000 Players Simulate Civilization: Boys vs Girls,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,20,Gaming,,0,https://i.ytimg.com/vi/zPbrkmdcTfo/hqdefault.jpg,en,en,False,3156,PT52M36S,hd,true,True,,,19134881,564742,35166
duFavBDXh1I,GH,2026-01-02 02:32:42.275388+00:00,2025-12-12 16:00:07+00:00,O DARA | NATHANIEL BASSEY #nathanielbassey #worship #odara,O DARA | NATHANIEL BASSEY #nathanielbassey #worship #odara,Nathaniel Bassey Main,UCRe2Ir9wtPk_YQjElam7n2w,10,Music,,0,https://i.ytimg.com/vi/duFavBDXh1I/hqdefault.jpg,en,en-GB,False,504,PT8M24S,hd,false,True,,,1345322,52900,5714
c89vKrj8wyY,GH,2026-01-02 02:32:42.275395+00:00,2025-12-29 13:10:38+00:00,31 DECEMBER 🔥OFFICIAL TRAILER 🔥🔥,31 DECEMBER 🔥OFFICIAL TRAILER 🔥🔥,TRY GOD TV,UCaOV7MCpntm8aonSaz7WLgQ,23,Comedy,,0,https://i.ytimg.com/vi/c89vKrj8wyY/hqdefault.jpg,en,tw,False,121,PT2M1S,hd,false,True,,,3969,281,17
AKe1b-w8RnM,GH,2026-01-02 02:32:42.275402+00:00,2025-12-26 23:40:42+00:00,MASHHARDER PLAYFEST 25 | MATCH DAY 2,MASHHARDER PLAYFEST 25 | MATCH DAY 2,Mashharder Gaming,UCCT9BUPBNiJ82K_yycqfhbw,20,Gaming,,0,https://i.ytimg.com/vi/AKe1b-w8RnM/hqdefault.jpg,en,en,False,39660,PT11H1M,hd,false,False,,,3856,61,0
