video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
lOHVMmZ6n3o,IN,2026-01-03 02:25:44.293753+00:00,2026-01-02 14:00:06+00:00,"BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj","BORDER 2: Ghar Kab Aaoge | Sunny Deol | Anu,Mithoon, Sonu, Roop, Arijit, Vishal, Diljit, Javed,Manoj",T-Series,UCq-Fj5jknLsUf-MWSy4_brA,10,Music,"tseries, tseries songs, ghar kab aaoge border 2, sandese aate hai song, ghar kab aaoge border 2 song, border 2 song, ghar kab aaoge arijit singh, ghar kab aaoge full song, sandeshe aate hain song, border 2 sunny deol song, ghar kab aaoge sonu nigam, border 2, sandese aate hain full song, border 2 movie song, ghar kab aaoge song full, vishal mishra ghar kab aaoge, arijit singh ghar kab aaoge, border 2 songs, Sandeshe aate hai, Sandese aate h old song, Deshbhakti song",21,https://i.ytimg.com/vi/lOHVMmZ6n3o/hqdefault.jpg,en,hi,False,191,PT3M11S,hd,false,True,,,4707996,367677,21707
E08GZ3pFlnk,IN,2026-01-03 02:25:44.293791+00:00,2025-12-29 09:30:25+00:00,The RajaSaab Trailer 2.0 (Telugu) | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad | Jan 9 2026,The RajaSaab Trailer 2.0 (Telugu) | Prabhas | Maruthi | Thaman S | TG Vishwa Prasad | Jan 9 2026,People Media Factory,UCrzx3ZPXEZpzEGLF1gIuORQ,24,Entertainment,"People Media Factory, Raja Saab, Raja Saab Trailer, Raja Saab Telugu Trailer, Raja Saab Trailer Telugu, The Raja Saab Trailer, Prabhas, Maruthi, MalavikaMohanan, NidhhiAgerwal, Nidhhi Agerwal, malavika mohan, rebal star prabhas, prabhas, rebelstar, rajasaabfirstsingle, rebelsaab, rajasaabfirstsong, Thaman S, thaman, TG Vishwa Prasad, vishwaprasad, sahana sahana, sahanasong, sahanasahanasong, sahana sahana song, love song, romantic song, tfi, telugusongs",30,https://i.ytimg.com/vi/E08GZ3pFlnk/hqdefault.jpg,en,te,False,192,PT3M12S,hd,true,True,,,15438124,403937,11294
GkNh54g7_d0,IN,2026-01-03 02:25:44.293803+00:00,2026-01-02 23:10:42+00:00,FIRST STREAM OF 2026 🥳 | JONATHAN IS BACK!! | BGMI!!,FIRST STREAM OF 2026 🥳 | JONATHAN IS BACK!! | BGMI!!,JONATHAN GAMING,UCNoiWmvkDUL0q-6ECxNFH0Q,20,Gaming,"jonathan, jonathan gaming, esports, BGMI, BattleGroundsMobileIndia, classics, randoms, customs, jonathan vs zgod, contolcode, jonathan gaming sensitivity, TAPATAP, HACKERORWHAT, jonathanhandcam, jonathantdm, TDMGAMEPLAY, best crate opening, huge crate opening, biggest crate opening ever, crate opening",20,https://i.ytimg.com/vi/GkNh54g7_d0/hqdefault.jpg,en,hi,False,26189,PT7H16M29S,hd,false,True,,,1539158,149266,182
KoGOONSG1_g,IN,2026-01-03 02:25:44.293813+00:00,2026-01-02 05:42:00+00:00,Ghar Kab Aaoge (From “BORDER 2”),Ghar Kab Aaoge (From “BORDER 2”),Anu Malik - Topic,UCPgPdd27BUuBdXf3-86qhEw,10,Music,"Anu Malik, Mithoon, Sonu Nigam, Arijit Singh, Roop Kumar Rathod, Vishal Mishra, Diljit Dosanjh, Javed Akhtar, Manoj Muntashir, Anurag Singh, Sunny Deol, Varun Dhawan, Ahan Shetty, Border 2, Ghar Kab Aaoge (From “BORDER 2”)",15,https://i.ytimg.com/vi/KoGOONSG1_g/hqdefault.jpg,en,hi,False,635,PT10M35S,hd,false,True,,,1239095,77250,308
wHuWmjXsReU,IN,2026-01-03 02:25:44.293821+00:00,2026-01-01 17:00:08+00:00,Marvel Television’s Wonder Man | Official Trailer,Marvel Television’s Wonder Man | Official Trailer,Marvel Entertainment,UCvC4D8onUfXzvjTOM-dBfEA,24,Entertainment,"marvel, comics",2,https://i.ytimg.com/vi/wHuWmjXsReU/hqdefault.jpg,en,en,False,130,PT2M10S,hd,true,True,,,5946565,121756,5256
_n8wfzHQsWk,IN,2026-01-03 02:25:44.293829+00:00,2026-01-02 23:06:24+00:00,ULTIMATE ROYALE RANK PUSH | LEGEND KAB HOGA? | BGMI LIVE,ULTIMATE ROYALE RANK PUSH | LEGEND KAB HOGA? | BGMI LIVE,LoLzZz Gaming,UCI1vyXBgX3bruwvChLMNxjQ,20,Gaming,"lolz, lolzz, lolzzz, lolz gaming, lolzz gaming, lolzzz gaming, bgmi, conqueror",8,https://i.ytimg.com/vi/_n8wfzHQsWk/hqdefault.jpg,en-GB,hi,False,31828,PT8H50M28S,hd,false,True,,,637304,29444,13
raOAYDLgOAQ,IN,2026-01-03 02:25:44.293837+00:00,2026-01-02 01:31:01+00:00,#Video | #Khesari Lal Yadav | बुलबुल | #Shilpi Raj | Ft. #Neelam Giri | Bulbul | Bhojpuri Song 2026,#Video | #Khesari Lal Yadav | बुलबुल | #Shilpi Raj | Ft. #Neelam Giri | Bulbul | Bhojpuri Song 2026,Sur Music ,UCW1BEAegBZdCOq4M7JtDSQw,10,Music,"khesari lal yadav, shilpi raj, neelam giri, khesari lal yadav new song, khesari lal yadav bhojpuri song, khesari lal yadav shilpi raj, बुलबुल, neelam giri new video song, neelam giri bhojpuri video song, khesari lal yadav hits, khesari lal yadav hits movieara, khesari lal yadav garam kara, rangbaaz khesari lal yadav, aag lagaibu ka khesari lal yadav, aag lagaibu ka, bulbul, khesari lal yadav neelam giri, bhojpuri song 2026",18,https://i.ytimg.com/vi/raOAYDLgOAQ/hqdefault.jpg,en,hi,False,195,PT3M15S,hd,false,True,,,1266678,118492,22067
9QBppIBhCqM,IN,2026-01-03 02:25:44.293845+00:00,2026-01-02 11:44:26+00:00,JANA NAYAGAN -Official Trailer [ Tamil ] |Vijay Thalapathy|Bobby Deol | H.Vinoth | New movie Trailer,JANA NAYAGAN -Official Trailer [ Tamil ] |Vijay Thalapathy|Bobby Deol | H.Vinoth | New movie Trailer,"WHITE CHILLIES ENTERTAINMENT 


.",UCi3pt25kyNwfDRa31qeylhQ,24,Entertainment,,0,https://i.ytimg.com/vi/9QBppIBhCqM/hqdefault.jpg,en,ta,False,96,PT1M36S,hd,false,True,,,117478,3127,36
0ttNImp0-Do,IN,2026-01-03 02:25:44.293853+00:00,2026-01-02 08:15:24+00:00,INDIA vs NEW ZEALAND 1ST ODI HIGHLIGHTS 2026 | INDIA vs NEW ZEALAND ODI 2026 | IND vs NZ | CRICKET,INDIA vs NEW ZEALAND 1ST ODI HIGHLIGHTS 2026 | INDIA vs NEW ZEALAND ODI 2026 | IND vs NZ | CRICKET,Cric Analysis TV,UCZ9wCHu_E48ENWmXwYk-nxw,17,Sports,"Cric Analysis Tv, Icc T20 World Cup 2025, Latest Cricket News, India Cricket News, ind vs nz highlights, ind vs nz highlights today 2025, IND VS NZ 1ST ODI HIGHLIGHTS 2026, cricket highlights, cricket highlights today, cricket highlights today match india vs new zealand, INDIA VS NEW ZEALAND 2026, INDIA vs new zealand highlights 2026, pak vs sl t20 highlights 2026, pak vs sl highlights today, nz vs ind, nz vs ind highlights, nz vs ind highlights 2026, shubman gill",18,https://i.ytimg.com/vi/0ttNImp0-Do/hqdefault.jpg,en,en-US,False,831,PT13M51S,hd,false,True,,,439230,0,0
nQrrVyVIYvw,IN,2026-01-03 02:25:44.293861+00:00,2026-01-02 10:39:46+00:00,"Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo","Vaammo Vaayyo | Bhartha Mahasayulaku Wignyapthi | Ravi Teja, Ashika R, Dimple H | Bheems Ceciroleo",Saregama Telugu,UC68nKdrLbLL0Vj7ilVkLmmg,10,Music,"Vaammo Vaayyo song lyric, Vaammo Vaayyo lyrical, Bhartha Mahasayulaku Wignyapthi song lyrical video, Bhartha Mahasayulaku Wignyapthi songs, Ravi Teja Vaammo Vaayyo, Ravi Teja new song lyrical, Ravi Teja Telugu movie songs, Bheems Ceciroleo Vaammo Vaayyo, Bheems Ceciroleo Telugu songs, Vaammo Vaayyo Telugu song, Vaammo Vaayyo video lyricla, Bhartha Mahasayulaku Wignyapthi Ravi Teja, Telugu song lyrical, Telugu movie song lyrical, Latest Telugu song lyrical, Telugu music",16,https://i.ytimg.com/vi/nQrrVyVIYvw/hqdefault.jpg,en,te,False,182,PT3M2S,hd,false,True,,,1940481,22524,706
