video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
b_-QBfsBshs,JO,2026-01-02 02:32:29.165826+00:00,2025-12-31 14:00:12+00:00,حمود الخضر - يا هلا بالحلم ٢٠٢٦ -  تخرج,حمود الخضر - يا هلا بالحلم ٢٠٢٦ -  تخرج,Humood AlKhudher حمود الخضر,UCB9Iev_eM4rQBlaaVr0qVxw,10,Music,"حمود الخضر, kun anta, مستنيك, humood alkhudher, humood 2023, حمود 2026, humood, ياهلا بالحلم, يا هلا بالحلم, اغاني تخرج 2026, اغاني التخرج, اغنية تخرج 2026, أغاني تخرجات 2026, اغنية التخرج, أجمل اغنية تخرج 2026, اغنية ياهلا بالتخرج, اغنيه تخرج 2026 متخرجين حمود الخضر, اغنيه تخرج جديد 2026 حمود الخضر, تخرج 2026, اغاني تخرج, أغنية تخرج 2026, اغنية حمود الخضر 2026, التخرج, تخرج حمود الخضر 2026, اغاني الجامعات, مبروك التخرج, اغاني حمود الخضر, اغاني نجاح",28,https://i.ytimg.com/vi/b_-QBfsBshs/hqdefault.jpg,ar,en,False,207,PT3M27S,hd,false,True,,,180099,16221,3094
AfQ13jsLDms,JO,2026-01-02 02:32:29.165856+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,true,True,,,12969677,309036,24568
UuCttXmw8mw,JO,2026-01-02 02:32:29.165869+00:00,2026-01-01 11:44:06+00:00,فلم قراند : زعرور يكتشف مقر احمد السري الجديد في داخل المرحاض ( كركور يضحك ) 🔥😂,فلم قراند : زعرور يكتشف مقر احمد السري الجديد في داخل المرحاض ( كركور يضحك ) 🔥😂,Ahmad GTA Family - عائلة احمد قراند ,UCQkLgXGjPbIrrNtT8ZtHOmg,22,People & Blogs,"مصطفى GAME OVER, Mr GG, كرافتر - Crafter, XTREEM - اكستريم, اوكا - OKA, AboFlah, Mkamel GG, رانيا كيمنك Rania Gaming, BOZEX, هاردلك | hardlk, افلام, ماين كرافت, فلم ماين كرافت, غني وفقير, فايتر Fighter, ابو فله, فايتر, افلام ماين كرافت, الغني و الفقير, كوكب, M4X5, ماين, MineCraft Movie, Suhaib - صهيب, جلمود - GLMooD, تايمو Tymo, هاردلك HARDLK, Ahmad M4 - احمد ام فور, بطل, Ahmad Hero - احمد البطل, احمد هيرو, سمبوسة - Sambosa, جعطوط - JATOOT, خزان, طيران, P4GAM3R, Y9M5 \ يصمخ, قراند",38,https://i.ytimg.com/vi/UuCttXmw8mw/hqdefault.jpg,ar,ar,False,1045,PT17M25S,hd,false,True,,,179272,2325,81
A8iLNJ8NYFU,JO,2026-01-02 02:32:29.165880+00:00,2025-12-31 14:17:53+00:00,Majid Al Mohandis FT. Ali Saber - Sahran | Official Music Video 2025 ماجد المهندس وعلي صابر - سهران,Majid Al Mohandis FT. Ali Saber - Sahran | Official Music Video 2025 ماجد المهندس وعلي صابر - سهران,Rotana,UCNhqvQMXIgRfjAGmxQqdNRw,10,Music,"2024, Arabic, Majid Al Mohandis & Ali Saber, Majid Almohandis And Ali Saber, Music, Rotana, Sahran, Song, Tarab, Trend, abdul majeed abdullah, assala, bahaa sultan, elissa, majid al mohandis, mohammed abdo, music, muslim, najwa karam, new release, rotana, rotana music, top 10, trending, trendy, أغانى, أغاني, أغنيه, اسمع, ترند, ترندي, تيك توك, تيكتوك, روتانا, سهران, طرب, عربي, فيديو, كليب, ماجد المهندس سهران, ماجد المهندس وعلي صابر, مزيكا",42,https://i.ytimg.com/vi/A8iLNJ8NYFU/hqdefault.jpg,ar,en-US,False,355,PT5M55S,hd,false,True,,,580724,13055,831
Mzw2ttJD2qQ,JO,2026-01-02 02:32:29.165889+00:00,2025-12-22 14:00:04+00:00,The Odyssey | Official Trailer,The Odyssey | Official Trailer,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,24,Entertainment,,0,https://i.ytimg.com/vi/Mzw2ttJD2qQ/hqdefault.jpg,en-US,en-US,False,114,PT1M54S,hd,true,True,,,28711490,508822,26050
FonfkA7BuTE,JO,2026-01-02 02:32:29.165897+00:00,2026-01-01 11:54:26+00:00,سوي اصعب تحديات عشان تفوز ب الستروبري الفنت 🤑 Roblox Steal a Brainrot,سوي اصعب تحديات عشان تفوز ب الستروبري الفنت 🤑 Roblox Steal a Brainrot,RTQ,UCY5Zs3Y76ILKOdJODtlsiBw,20,Gaming,,0,https://i.ytimg.com/vi/FonfkA7BuTE/hqdefault.jpg,en,en,False,813,PT13M33S,hd,false,True,,,106822,3764,374
bgPVMuIxblM,JO,2026-01-02 02:32:29.165905+00:00,2026-01-01 14:00:06+00:00,نادر الشراري - الدرب الطويل (حصرياً) | 2026,نادر الشراري - الدرب الطويل (حصرياً) | 2026,نادر الشراري,UC_Iu4JkyFh09K8vinDr4xGQ,10,Music,"نادر الشراري, جديد الشيلات, نادر, الشراري, شيلات نادر الشراري, جديد نادر, جديد نادر الشراري, Nader Alsharariا, شيلات سعودية, شيلات خليجية, فن الشيلات, 2025, شيلة الشتاء, نادر الشراري ٢٠٢٥, شيلات الشراري, نادر ٢٠٢٥, Nader Alsharari, Sheilat, اغاني سعودي, اغاني خليجي, اغاني ٢٠٢٥, شيلات, نسيت ماضينا, صحيح ما يعطى الغلا للرخيصين",24,https://i.ytimg.com/vi/bgPVMuIxblM/hqdefault.jpg,ar,ar,False,244,PT4M4S,hd,false,True,,,101059,6946,1062
MPfZhgLiK6w,JO,2026-01-02 02:32:29.165913+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,false,True,,,6430733,310632,10454
nExs3aHrqNg,JO,2026-01-02 02:32:29.165921+00:00,2025-12-31 14:55:03+00:00,التحديات المجنونة رجعت 😍🔥| جلدت الشباب 🤣,التحديات المجنونة رجعت 😍🔥| جلدت الشباب 🤣,AboFlah Gaming,UCRu9mro2nPafhMxVy2CRfXA,20,Gaming,"aboflah, flah, gaming, قيمنق, ابو فلة, abo, فله, ابوفلة, ابوفلاح, فلاح, falah, جيمنق, فورتنايت, روبلكس, رعب, حرامي سيارات, جي تي اي, ببجي, ببجي موبايل, PUBG, iphone, العرب, مصر, السعودية, الامارات, دبي, الكويت, kuwait, riyadh, سكواد, عشوائي, لعبة, تحدي, اصعب, ضحك, امونق اس, ديسكورد, ستريم, شات, ماينكرافت, فورت, وارزون, كود, aboflah gaming, abo flah, ابو فلاح, تختيم, سلسلة, فيفا, تحديات, محاكي, لعبة محاكي, هل ابوفله",53,https://i.ytimg.com/vi/nExs3aHrqNg/hqdefault.jpg,ar,ar,False,1447,PT24M7S,hd,false,True,,,696296,44112,3123
LUmICjng90I,JO,2026-01-02 02:32:29.165929+00:00,2025-12-30 15:59:59+00:00,Anas Abu Sneineh - Leih Laa (Official Music Video) | انس ابو سنينة - ليه لا,Anas Abu Sneineh - Leih Laa (Official Music Video) | انس ابو سنينة - ليه لا,Anas Abu Sneineh,UCGSVj4tILlnt6BqczAenMQQ,10,Music,"Leih Laa, انس ابو سنينة ليه لا, ليه لا, lesh la2, anas leih la, انس ابو سنينة, بعد الصبر, إبن أكابر, Anas Abu Sneineh, انس ابو سنينة وعدي زاغة, الوجع بلا صوت, عدي زاغة, Ibn Akaber, وديع الشيخ, سارة الزكريا, اغاني فلسطينية, تريند تيك توك, انس ابو سنينة وعدي زاغة الرد القاسي, اغاني حزينة, مشيو على السكيت, انا ولاشي, خانو بجفا, خلص المشوار وجاي تكرمني, عظيم شانك, مافيي انتمي للويل, العودة, الرد, انا انس يا خال, سابك, شايف غباش, مهند زعيتر, لا منرجع لا, وينك حبيبي, Chabaka",34,https://i.ytimg.com/vi/LUmICjng90I/hqdefault.jpg,ar,ar,False,181,PT3M1S,hd,false,True,,,493801,7363,561
YqdAEdkHrwo,JO,2026-01-02 02:32:29.165937+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,false,True,,,16546249,384558,21615
HBDENTq-XvA,JO,2026-01-02 02:32:29.165945+00:00,2026-01-01 11:00:25+00:00,السفر الطويل : سيارة جديدة ! 😱,السفر الطويل : سيارة جديدة ! 😱,شبكة العاب العرب | Arab Games Network,UCV2JkEBmtfSYGAIlprAhAyQ,20,Gaming,,0,https://i.ytimg.com/vi/HBDENTq-XvA/hqdefault.jpg,ar,ar,False,1447,PT24M7S,hd,false,True,,,167837,8606,653
3QHBOwCWonk,JO,2026-01-02 02:32:29.165952+00:00,2025-12-19 16:46:03+00:00,مجوز - الدنيا تشتي والدنيا ترعد,مجوز - الدنيا تشتي والدنيا ترعد,الفنان محمد زياد - Topic,UC22Ee3_DjfpiapIygzt_zWw,10,Music,"الفنان محمد زياد, علي, زياد, مجوز - الدنيا تشتي والدنيا ترعد",4,https://i.ytimg.com/vi/3QHBOwCWonk/hqdefault.jpg,ar,ar,False,78,PT1M18S,hd,false,True,,,26346,255,2
N6EmIDHRX-U,JO,2026-01-02 02:32:29.165959+00:00,2026-01-01 13:18:45+00:00,حدث السنة الجديدة في ماب السرقة مع كرم🔥| STEAL A BRAINROT ,حدث السنة الجديدة في ماب السرقة مع كرم🔥| STEAL A BRAINROT ,ليث رائد | Laith Raed,UC7kkc33XNLbfO5sNHdHDmbw,20,Gaming,"شرطي روبلوكس, roblox, روبلوكس, لعبة roblox, روبلكس, السجن, لعبة, العاب, الهروب من الشرطي, روبلوكس رعب, roblox قناة, قناة روبلوكس, فيلم الشرطي المجنون, لعبه الشرطي المجنون, لعبه الشرطي المجنون, جوال, روبلوكس ماب البيوت, المجنون, ليث, كرم, ليث وكرم, قرو قاردن, ماب السرقة, سرقة, برين روت, المزرعة, مزرعة روبلوكس, ليث روبلوكس, ريما, هوب ريما, بيكا, روبوكس, 99 ليلة, غابة, 99 ليلة في الغابة, ماب البيوت, كرم وليث, رحومي, كخة, الشرطي, لابوبو, steal brainroot, ضحك, مقالب, ربلكس, حدث, هالووين, بتات جديدة, سرقا",49,https://i.ytimg.com/vi/N6EmIDHRX-U/hqdefault.jpg,ar,ar,False,978,PT16M18S,hd,false,True,,,29518,1181,61
htUEPWvA4YY,JO,2026-01-02 02:32:29.165968+00:00,2026-01-01 16:00:06+00:00,مش قصدي اخون ( حاسس اني انا نصين ) عصام صاصا الكروان - توزيع كيمو الديب Official Video,مش قصدي اخون ( حاسس اني انا نصين ) عصام صاصا الكروان - توزيع كيمو الديب Official Video,عصام صاصا - Essam Saasa,UCjrMuVOBkaC9mIhqsNtegmQ,10,Music,,0,https://i.ytimg.com/vi/htUEPWvA4YY/hqdefault.jpg,ar,ar,False,201,PT3M21S,hd,false,True,,,135476,10253,985
EWnZvqFf9j4,JO,2026-01-02 02:32:29.165974+00:00,2026-01-01 15:02:25+00:00,‏تحدي تطوير كريستيانو من 0 إلى 99,‏تحدي تطوير كريستيانو من 0 إلى 99,سوري جيمر - Syrian Gamer,UCjcaajsmBVSmJUBJ92v39Jg,20,Gaming,"فيفا 20, سوري جيمر - Syrian Gamer, فيفا, fifa, تفتيح بكجات, تشكيلة, 100, لاعب, 2000, كرة القدم, 20 i, المهنة, بكجات فيفا, مدريد, سيد, بيس, ساوث اس اي, كلمات مفتاحية, فيفا 18, محمد صلاح, اقزام, رابط حسابي, بايرن ميونخ, تشامبيونز فيفا, سوري جيمر, مانشستر سيتي, بكج ايكون, رياض محرز, تحدي فوت درافت, ريتنق, 195, ريال مدريد, لاعب فيفا, نمط المهنة, سواء لاعبين, فيفا 22, تحدي درافت, تحدي فيفا, 22 i, تحدي",40,https://i.ytimg.com/vi/EWnZvqFf9j4/hqdefault.jpg,ar,ar,False,1977,PT32M57S,hd,true,True,,,80646,8242,353
rmFGE-0ZId8,JO,2026-01-02 02:32:29.165983+00:00,2025-12-26 16:20:14+00:00,Najma | نجمة,Najma | نجمة,Bessan Ismail - Topic,UC1e_TaGedox1xm0ueIJt-NQ,10,Music,"Bessan Ismail, Najma | نجمة",2,https://i.ytimg.com/vi/rmFGE-0ZId8/hqdefault.jpg,en,ar,False,158,PT2M38S,hd,false,True,,,376134,7977,605
HENzySLRfF4,JO,2026-01-02 02:32:29.165990+00:00,2025-12-31 13:37:07+00:00,فلم روبلوكس : زعرور يضع قنبلة تحت الشيبس و كركور يضحك ( تحدي بوم )😱🔥,فلم روبلوكس : زعرور يضع قنبلة تحت الشيبس و كركور يضحك ( تحدي بوم )😱🔥,Ahmad Roblox,UCLW9tSrYwln0HyDWT1iU7Hw,22,People & Blogs,"السلطانه / ALSolTana, mmoshaya gaming, شاي كرك بالهيل على الجمر 🍃, Rima, رواف | RAWAF, Solom, EstubeGaming, Myamberr, Aly & Toty Gaming, Saudi Roblox, تايمو Tymo, Rahumi Extra, Ahmad Hero - احمد البطل, Ahmad Hero Family - عائلة احمد البطل, CoxoSparkle, رانيا كيمنك Rania Gaming, Roblox, احمد روبلوكس, احمد البطل روبلوكس, mayrushart, ابو فله, LankyBox, OFZ عمر, Migo9, M's Roro, روبلوكس, CashBlox, SSundee, Flamingo, Julia MineGirl, shfa, shfa gaming, شفا, شبكة العاب العرب | Arab Games Network",34,https://i.ytimg.com/vi/HENzySLRfF4/hqdefault.jpg,ar,en,False,1060,PT17M40S,hd,false,False,,,175082,1624,72
OQOg2eSMtQM,JO,2026-01-02 02:32:29.165999+00:00,2025-12-29 17:12:06+00:00,Haifa Wehbe - Badna Nroue (Official Lyric Video) | هيفاء وهبي - بدنا نروق,Haifa Wehbe - Badna Nroue (Official Lyric Video) | هيفاء وهبي - بدنا نروق,Haifa Wehbe,UCUpLrHLtpJKplgkR__bZfMw,10,Music,"Haifa Wehbe, Badna Nroue, هيفاء وهبي, بدنا نروق, Badna nrou2, لا بدنا نروق, بدنا نهدى شوي, انا مش عم جرب اطلع, انا اصلا فوق, بدنا نروق هيفا وهبي, haifa badna nroue, Bas Bas, بتحبك فعلاً, مراية الحب, mega haifa, mega haifa 2, haifa new album, mega haifa wehbe, Super Woman Haifa Wehbe, Haifa Wehbe Mega Haifa, Mega Haifa album, هيفاء وهبي اغاني, البوم ميجا هيفاء, Haifa Wehbe new song, haifa wehbe, mega haifa superwoman, أغاني هيفا, من اول مرة شوفتك, Chabaka",29,https://i.ytimg.com/vi/OQOg2eSMtQM/hqdefault.jpg,ar,ar,False,111,PT1M51S,hd,false,True,,,222724,4376,502
