video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
OI7QFXN50kk,KZ,2026-01-01 02:42:54.685434+00:00,2025-12-20 14:00:06+00:00,Adilet Zhaugashar & Alisher Bayniyazov - Magan unagan [Official Music video],Adilet Zhaugashar & Alisher Bayniyazov - Magan unagan [Official Music video],Adilet Jaygashar,UCGghb-4Jxsfd_fQv8kRihAA,22,People & Blogs,"адилет, адилет жаугашар, адилет жаугашаров, әділет, әділет жауғашар, жаңа әндер, хит 2023, қазақша ән, казакша ан, хит андер, хит әндер, музыка, казакша андер, қазақша әндер, казакша андер 2023, қазақша әндер 2023",16,https://i.ytimg.com/vi/OI7QFXN50kk/hqdefault.jpg,kk,und,False,207,PT3M27S,hd,false,True,,,4116230,28451,3246
E7aG8z-295E,KZ,2026-01-01 02:42:54.685469+00:00,2025-12-30 15:03:31+00:00,"Мстители 5: Доктор Дум — Русский тизер #2 (Дубляж, 2026) Тор","Мстители 5: Доктор Дум — Русский тизер #2 (Дубляж, 2026) Тор",Kinoman,UC6A-Z0jDKemh9-CwGbj5yog,1,Film & Animation,"мстители, мстители 5, мстители 5 трейлер, мстители 5 трейлер 2026, мстители 5 русский трейлер, мстители 5 трейлер на русском, мстители 5 фильм, мстители судный день трейлер, мстители доктор дум русский трейлер, avengers 5 trailer, avengers doomsday trailer, трейлер, трейлер 2026, трейлеры, трейлеры 2026, фильмы, фильмы 2026, фильм, фильм 2026, кино, кино 2026, новинки кино, русский трейлер, трейлер на русском, трейлер фильма, movie trailers, teaser trailers, kinoman",28,https://i.ytimg.com/vi/E7aG8z-295E/hqdefault.jpg,ru,ru,False,89,PT1M29S,hd,false,True,,,234686,7169,644
GMT5Q0DDtyI,KZ,2026-01-01 02:42:54.685481+00:00,2025-12-26 14:00:27+00:00,😱Мен ҚҰПИЯ АРАЛ Тауып Алдым! Укради Брейнрот Роблокс,😱Мен ҚҰПИЯ АРАЛ Тауып Алдым! Укради Брейнрот Роблокс,NONIKZ ROBLOX,UClh-jUpXfByfF-CBA-HJUfQ,20,Gaming,"нони кз, нони кз роблокс, нони кз roblox, noni kz roblox, noni kz games, роблокс, roblox, укради брейнрот, укради брейнрот роблокс, укради брейнрот в роблокс, укради брейнрот roblox, роблокс брейнрот, брейнрот, брейнрот роблокс, укради, брейнрот roblox, roblox брейнрот, укради брейнрот обнова, укради брейнрот казакша, укради брейнрот игра, укради брейнрот роблокс казакша, роблокс казакша, роблокс укради брейнрот казакша, нони кз укради брейнрот, роблокс видео, роблокс ойын",26,https://i.ytimg.com/vi/GMT5Q0DDtyI/hqdefault.jpg,kk,en,False,1363,PT22M43S,hd,false,True,,,341495,28797,2033
hpeC6czZajU,KZ,2026-01-01 02:42:54.685491+00:00,2025-12-25 15:12:46+00:00,BYTANAT feat. MONNY - Сорлы жүрек | Official Music Video,BYTANAT feat. MONNY - Сорлы жүрек | Official Music Video,BYTANAT,UC3R4lonRq5XqBh4Eck77y6g,22,People & Blogs,"сорлы журек, байтанат, монни, казакстан дауысы, ішім соғыс боватр",5,https://i.ytimg.com/vi/hpeC6czZajU/hqdefault.jpg,kk,kk,False,122,PT2M2S,hd,false,True,,,261799,3722,279
cPOK1__NAzE,KZ,2026-01-01 02:42:54.685499+00:00,2025-12-30 20:59:00+00:00,Мстители: Судный день — Русский трейлер «Тор» (2026),Мстители: Судный день — Русский трейлер «Тор» (2026),iVideos,UCs9tHGGpNjOMiCnbqTGA1PQ,1,Film & Animation,"Мстители Судный день, Мстители Судный день фильм, Мстители Судный день русский трейлер, Мстители Судный день трейлер на русском, Мстители Судный день 2025, русский трейлер, 2025, фильм, трейлер на русском, дублированный трейлер, трейлеры 2025, ivideos, трейлер фильма, фильмы 2025, ivideos трейлеры, український трейлер, тор, капитан америка, marvel, avengers doomsday, Месники Судний день, месники сходження доктора дума, Avengers Doomsday",23,https://i.ytimg.com/vi/cPOK1__NAzE/hqdefault.jpg,ru,en,False,89,PT1M29S,hd,false,True,,,44285,1044,118
qy5bz2H3Dqc,KZ,2026-01-01 02:42:54.685507+00:00,2025-12-26 11:46:11+00:00,Брейнроттардың Ішіне Кіріп Кете Аламын! Ішінде Не Бар! Укради Брейнрот Роблокс,Брейнроттардың Ішіне Кіріп Кете Аламын! Ішінде Не Бар! Укради Брейнрот Роблокс,DOSYMZHAN KZ,UCQe4axeiQVCSEioqPZ0FFTQ,20,Gaming,,0,https://i.ytimg.com/vi/qy5bz2H3Dqc/hqdefault.jpg,kk,kk,False,834,PT13M54S,hd,false,True,,,360921,33797,817
UdfGrjxvASc,KZ,2026-01-01 02:42:54.685515+00:00,2025-12-28 05:21:31+00:00,Танцевальные хиты 🇰🇿 | Новогодняя музыка 2025,Танцевальные хиты 🇰🇿 | Новогодняя музыка 2025,TURAN MEDIA,UCLMRm2ldCeMWNDtFKTAXzFQ,10,Music,"2024 хит музыка казакша, ADAM - ПИДМАНУЛА, ADIL - ЭТА ДЕВОЧКА, BAGA - 7:00, BURKIT - KYZDAR AI, GALYMZHAN, KALIFARNIYA, SADRADDIN - MELODRAMA, TURAR, amre, turan media, КАНАТ ЕРЛАН - Saǵynamyn, На рахате, Песни на казахском, бабек, казакша андер 2024 хит, казакша музыка",17,https://i.ytimg.com/vi/UdfGrjxvASc/hqdefault.jpg,ru,kk,False,2340,PT39M,hd,false,True,,,199129,469,19
AfQ13jsLDms,KZ,2026-01-01 02:42:54.685524+00:00,2025-12-30 14:00:05+00:00,Stranger Things 5 | Finale Trailer | Netflix,Stranger Things 5 | Finale Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/AfQ13jsLDms/hqdefault.jpg,en,en-US,False,97,PT1M37S,hd,true,True,,,10997863,304099,23146
yeHB1Cz4_ro,KZ,2026-01-01 02:42:54.685532+00:00,2025-12-29 05:30:35+00:00,99-күн орманда: САНТА бізге қарсы шықты | Эльфтерді құтқару керек!,99-күн орманда: САНТА бізге қарсы шықты | Эльфтерді құтқару керек!,AJIuKZ,UCOBv083-6jYmwUVp_VUPolA,20,Gaming,"AJluKZ, АЛИКЗ, AJIuKZ, alikz, Али кз, Роблокс аликз, Аликз хоррор, Аликз видеолары, Алик кз челлендж, Казакша видео, Қазақша видео, ФФ аликз, Аликз фифа, Али кз видео, Майнкрафт, Аликз Майнкрафт, Алик кз қазақша, Алик, Алик кз канал, Аликз ютуб, Қазақша ойындар, Казакша ойын, казакша мультфильм, Қазақша ертегілер",24,https://i.ytimg.com/vi/yeHB1Cz4_ro/hqdefault.jpg,kk,kk,False,1657,PT27M37S,hd,false,True,,,263400,15485,1038
a5EQGOB5xhQ,KZ,2026-01-01 02:42:54.685540+00:00,2025-12-19 15:34:49+00:00,Ernar Amandyq - Жалғыз гүл | Official Music Video,Ernar Amandyq - Жалғыз гүл | Official Music Video,Ernar Amandyq,UC5ETaCUxEsarvvMn8pHoWUA,22,People & Blogs,"Ernar amandyq, ернар амандык, жалғыз гүл, Ернар, Jalgyz gul",5,https://i.ytimg.com/vi/a5EQGOB5xhQ/hqdefault.jpg,en,und,False,226,PT3M46S,hd,false,True,,,697496,8165,488
