video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
mTmrEaQPduU,AR,2025-12-21 02:34:56.917240+00:00,2025-12-19 00:00:06+00:00,Cazzu - Otro Como Tú (Official Video),Cazzu - Otro Como Tú (Official Video),CAZZU ,UCM8F3UFEs95v8nil07Qd80Q,10,Music,"cazzu, nena trampa, nena trampa cazzu, album cazzu nena trampa, cazzu nena trampa, album nena trampa, cazzu album 2022, argentina nena trampa, cazzu argentina, nena trampa cazzu video, cazzu video album nena trampa, nena trampa 2022, 2022 nena trampa, otro como tu, con otra, latinaje, latinaje cazzu, karina",18,https://i.ytimg.com/vi/mTmrEaQPduU/hqdefault.jpg,es,es-419,False,215,PT3M35S,hd,True,True,,,1798098,157958,15631
MPfZhgLiK6w,AR,2025-12-21 02:34:56.917281+00:00,2025-12-20 05:00:26+00:00,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,JUJUTSU KAISEN The Culling Game | Official Trailer | Crunchyroll,Crunchyroll,UC6pGDc4bFGD1_36IKv3FnYg,1,Film & Animation,"jujutsu kaisen, jujutsu kaisen anime, jjk, jjk anime, jujutsu kaisen season 3, jujutsu kaisen s3, jjk s3, crunchyroll, anime, anime pv, anime trailer, jujutsu kaisen culling game, jujutsu kaisen the culling game, jujutsu kaisen season 3 trailer, jujutsu kaisen trailer",15,https://i.ytimg.com/vi/MPfZhgLiK6w/hqdefault.jpg,en,ja,False,117,PT1M57S,hd,False,True,,,2744061,186703,7368
IrTuJOVsNU8,AR,2025-12-21 02:34:56.917301+00:00,2025-12-20 14:58:51+00:00,TODOS VIENEN A POR MÍ | Granny Uptopian,TODOS VIENEN A POR MÍ | Granny Uptopian,Iker Unzu,UCQW8tWGYajwUv6jdQ2kmsRw,20,Gaming,"iker unzu, iker tiktok, iker unzu tiktok, iker, comedia, sketches de comedia, iker comedia",7,https://i.ytimg.com/vi/IrTuJOVsNU8/hqdefault.jpg,es,es,False,1475,PT24M35S,hd,False,True,,,636505,39289,2421
B4BAWkLyM60,AR,2025-12-21 02:34:56.917332+00:00,2025-12-20 00:00:13+00:00,Hanzel La H ❌ Hades66 - Loyalty Forever (Official Video),Hanzel La H ❌ Hades66 - Loyalty Forever (Official Video),Hanzel TV,UC-r4xTOSzBHlBtdct0LPuUw,10,Music,,0,https://i.ytimg.com/vi/B4BAWkLyM60/hqdefault.jpg,en,es,False,138,PT2M18S,hd,False,False,,,830098,70225,3121
bQu4OHno3nU,AR,2025-12-21 02:34:56.917341+00:00,2025-12-19 23:05:01+00:00,STEEL BALL RUN JoJo’s Bizarre Adventure | Tráiler oficial | Netflix,STEEL BALL RUN JoJo’s Bizarre Adventure | Tráiler oficial | Netflix,Netflix Latinoamérica,UC5ZiUaIJ2b5dYBYGf5iEUrA,24,Entertainment,"JoJo's Bizarre Adventure, Jojo, Jojo anime, Netflix, Netflix 2026, Steel Ball Run, anime, animes en Netflix, animé, jojo_anime",10,https://i.ytimg.com/vi/bQu4OHno3nU/hqdefault.jpg,es,en-US,False,130,PT2M10S,hd,False,False,,,232245,22808,1605
NrSYDm7nUPw,AR,2025-12-21 02:34:56.917349+00:00,2025-12-20 21:03:58+00:00,🥇ADMIN🥇ABUSE🥇TOP🥇1🥇ROBA🥇UN🥇BRAINROT🥇LOS🥇BROS🥇,🥇ADMIN🥇ABUSE🥇TOP🥇1🥇ROBA🥇UN🥇BRAINROT🥇LOS🥇BROS🥇,ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,24,Entertainment,,0,https://i.ytimg.com/vi/NrSYDm7nUPw/hqdefault.jpg,es-MX,es-419,False,11176,PT3H6M16S,hd,False,True,,,1362759,43940,567
AdIWm-6breY,AR,2025-12-21 02:34:56.917357+00:00,2025-12-19 00:00:26+00:00,Burlao Rmx - Bryant Myers x Arcangel x Almighty x Baby Rasta x Noriel x Yovngchimi...(Video Oficial),Burlao Rmx - Bryant Myers x Arcangel x Almighty x Baby Rasta x Noriel x Yovngchimi...(Video Oficial),Bryant Myers,UCTHTB1_BGcac49N3527qQ9Q,10,Music,"arca, el mynor, bryan myers, almighty, Noriel, Baby Rasta, Youngchimi, Slayter, warboy, michael florees, burlao remix, reggaeton, byrant myers burlao remix, bryant myers remix, bryant myers burlao remix video oficial",15,https://i.ytimg.com/vi/AdIWm-6breY/hqdefault.jpg,es,es-419,False,666,PT11M6S,hd,False,True,,,2967369,223701,23327
-IyKzyBQKXc,AR,2025-12-21 02:34:56.917365+00:00,2025-12-20 18:00:00+00:00,EL DÍA DE LA REVELACIÓN: ¿QUÉ OCULTA EL TRÁILER DE SPIELBERG?,EL DÍA DE LA REVELACIÓN: ¿QUÉ OCULTA EL TRÁILER DE SPIELBERG?,RIMBEL35,UCmdvAxEJ14EvXdASKbodj1Q,22,People & Blogs,"anunnaki, parcerisa, ovnis, extraterrestres, misterios, enigmas, david parcerisa, anunaki, abducciones, abduccion, misterio, enlil, enki, fin del mundo, el fin de los tiempos, profecias, biblia fin del mundo, dioses sumerios, granja humana, freixedo, reptilianos, extraterrestres infiltrados, alienigenas ancestrales",23,https://i.ytimg.com/vi/-IyKzyBQKXc/hqdefault.jpg,es,es,False,769,PT12M49S,hd,False,True,,,52131,4958,474
79CGjKY-u0A,AR,2025-12-21 02:34:56.917373+00:00,2025-12-20 15:45:05+00:00,LYNA y DANI tienen su PRIMERA CITA en el FESTIVAL de NAVIDAD de Brookhaven Roblox,LYNA y DANI tienen su PRIMERA CITA en el FESTIVAL de NAVIDAD de Brookhaven Roblox,Lyna,UC-cnbLlplnXA4oc7rR21qzg,20,Gaming,,0,https://i.ytimg.com/vi/79CGjKY-u0A/hqdefault.jpg,es-419,es-419,False,939,PT15M39S,hd,False,True,,,134317,2144,281
rNicp9g4VDU,AR,2025-12-21 02:34:56.917381+00:00,2025-12-19 22:00:06+00:00,MIX GUARACHA SANTIAGUEÑA 2026 - Enganchados Guarachas Alejandro Veliz,MIX GUARACHA SANTIAGUEÑA 2026 - Enganchados Guarachas Alejandro Veliz,Alejandro Veliz Oficial (El Majestuoso),UCf4gbwBXVC0_nPI65cnhTLw,10,Music,"alejandro veliz, ale veliz, alejandro veliz lo nuevo, alejandro veliz el majestuoso, alejandro veliz enganchados, alejandro veliz 2025, alejandro veliz te juro que t amo, alejandro veliz tengo que colgar, alejandro veliz prueba con el, alejandro veliz partido en dos, alejandro, guaracha enganchados, guaracha santiagueña mix, mix guaracha, basta ya, durmiendo en el lugar equivocado, mil lagrimas, me deje llevar, alejandro veliz mejores temas",19,https://i.ytimg.com/vi/rNicp9g4VDU/hqdefault.jpg,es,es-419,False,2453,PT40M53S,hd,False,True,,,27494,376,22
