video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
BUn0_y9KEwE,AZ,2025-12-21 02:34:42.318172+00:00,2025-12-11 08:48:35+00:00,Gece Meyxaneler - Yeni Versiya Cover (Ferid Sumqayit),Gece Meyxaneler - Yeni Versiya Cover (Ferid Sumqayit),Ferid Sumqayit,UCEMaTG7-erSfoXYYo9Ts9Dg,10,Music,,0,https://i.ytimg.com/vi/BUn0_y9KEwE/hqdefault.jpg,az,az,False,241,PT4M1S,hd,False,True,,,1061702,9812,245
OnADc67mzis,AZ,2025-12-21 02:34:42.318213+00:00,2025-12-11 12:00:57+00:00,An İstanbul Story | Official Trailer – Go Türkiye’s New İstanbul Series,An İstanbul Story | Official Trailer – Go Türkiye’s New İstanbul Series,Go Türkiye,UCtxMrki2fnCPG3GOX4kyINg,19,Travel & Events,"go turkey, visit turkey, discover turkey, safe tourism, safe tourism in turkey, İstanbul, istanbul story, an istanbul story, ozan akbaba, sinem üysal, new series, istanbul series, turkish series, series of turkish, ozan akbaba series, sinem üysal series, türkiye, destinations in turkey, hidden lover, istanbul travel, go türkiye, discover istanbul, istanbul travel guide, istanbul turkey, istanbul beyoğlu, istanbul travel tips, istanbul tours, istanbul vlog",28,https://i.ytimg.com/vi/OnADc67mzis/hqdefault.jpg,en-GB,en-GB,False,31,PT31S,hd,False,False,,,716003,7416,696
LSUitsWcOV8,AZ,2025-12-21 02:34:42.318226+00:00,2025-12-18 13:20:32+00:00,Hardcore Minecraft'ta TITAN TV MAN Olarak 100 Gün Geçirmemin Hikayesi...,Hardcore Minecraft'ta TITAN TV MAN Olarak 100 Gün Geçirmemin Hikayesi...,Rüyaperest,UC5QcoWzRKJaFk6G7N3vevWg,20,Gaming,,0,https://i.ytimg.com/vi/LSUitsWcOV8/hqdefault.jpg,tr,tr,False,3956,PT1H5M56S,hd,False,True,,,704126,16882,3393
l2Rhz8rRRAQ,AZ,2025-12-21 02:34:42.318236+00:00,2025-12-11 07:00:07+00:00,Aysun İsmayilova & Reqsane İsmayilova - İller Sonra 2025 (Yeni Klip) 4K,Aysun İsmayilova & Reqsane İsmayilova - İller Sonra 2025 (Yeni Klip) 4K,Aysun İsmayilova,UC7wjRHQJYXMwuZfWgpXAQTw,10,Music,"Aysun İsmayilova, Aysun İsmayılova, Aysun İsmayilova & Reqsane İsmayilova - İller Sonra, Reqsane İsmayilova, İller Sonra, aysun reqsane, reqsane aysun, Deyirsən ki ayrılırıq üzür, Deyirsən ki yaşadım hər üzün, Xatirələr sanki bataqlıq, Düşündükcə çökərsən özün, Mən itirmək nədi bilirəm mənə izah etmə, Elə bir yarədi yarəmdə onlar tərpətmə, Buna bir bax yenə rastlaşmışıq illər sonra, Bir təsadüfdü unutdum deyəcəkdim getmə, Çətindi öz başına vuruşmaq",16,https://i.ytimg.com/vi/l2Rhz8rRRAQ/hqdefault.jpg,tr,tr,False,209,PT3M29S,hd,False,True,,,707006,14248,1186
e0Eo0D038rQ,AZ,2025-12-21 02:34:42.318245+00:00,2025-12-15 13:40:00+00:00,Stranger Things 5 | Volume 2 Trailer | Netflix,Stranger Things 5 | Volume 2 Trailer | Netflix,Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, Chief Hopper, David Harbour, Dustin, Eleven, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/e0Eo0D038rQ/hqdefault.jpg,en,en-US,False,134,PT2M14S,hd,True,True,,,14396029,570952,23305
FE1wgMbZbzg,AZ,2025-12-21 02:34:42.318254+00:00,2025-12-19 08:00:17+00:00,EFEKAN VE ALPEREN UZAY GEMİSİNİN İÇİNE GİRDİ! 😱 - Minecraft,EFEKAN VE ALPEREN UZAY GEMİSİNİN İÇİNE GİRDİ! 😱 - Minecraft,Minecraft Parodileri,UC2XbMXD6jSrixkpgs7vHFUA,20,Gaming,"minecraft parodileri, minecraft, minecraft videoları, zengin vs fakir, zengin fakir, fakir zengin, kerem komiser, minecraft kerem komiser, minecraft uzay, minecraft uzaylı, minecraft parodileri uzay, efekan, efekanın maceraları, efekan ve alperen, efekan ve alperen uzay gemisinin içine girdi, efekan ve alperenin maceraları, minecraft parodileri efekan, minecraft efekan, efekanın maceraları minecraft, minecraft parodileri uzay gemisi, uzaylı minecraft, minecraft uzay modu, uzay",23,https://i.ytimg.com/vi/FE1wgMbZbzg/hqdefault.jpg,tr,tr,False,791,PT13M11S,hd,True,True,,,599270,14261,2827
A3pbPiwx82k,AZ,2025-12-21 02:34:42.318263+00:00,2025-12-19 14:00:12+00:00,Aydın Sani & Almaxanım – Ziyan İçində (Official Music Video),Aydın Sani & Almaxanım – Ziyan İçində (Official Music Video),Aydın Sani,UCqn86dWkYnNXPuOsS3pX69A,10,Music,,0,https://i.ytimg.com/vi/A3pbPiwx82k/hqdefault.jpg,az,az,False,212,PT3M32S,hd,False,True,,,99911,5356,537
TVRGe509bAU,AZ,2025-12-21 02:34:42.318271+00:00,2025-12-19 15:39:06+00:00,Minecraft AMA Item Medeniyeti,Minecraft AMA Item Medeniyeti,Ferited,UCKizsKkBBjuEoY_fgRx-4QQ,20,Gaming,"minecraft, minecraft videoları, minecraft animasyon, minecraft mod, türkçe minecraft, ferited, ferited son bölüm, ferited yeni video, ferited ailesi, maykıraft, ferited vs tarık, minecraft parodileri, feritet, zengin, fakir, zengin vs fakir, abbas, tarık, örümcek kız, örümcek çocuk, item medeniyeti, alet medeniyeti",22,https://i.ytimg.com/vi/TVRGe509bAU/hqdefault.jpg,tr,tr,False,1641,PT27M21S,hd,False,True,,,540419,6411,1062
fX6CZUDAs54,AZ,2025-12-21 02:34:42.318279+00:00,2025-12-13 16:42:36+00:00,Nahid ft Ai - Senle Qocalmag İster 2026 (Resmi Musiqi Klipi),Nahid ft Ai - Senle Qocalmag İster 2026 (Resmi Musiqi Klipi),Nahid Memmedov,UCSZ2Afl2JeTjbK7ymKmz_qA,10,Music,,0,https://i.ytimg.com/vi/fX6CZUDAs54/hqdefault.jpg,tr,tr,False,175,PT2M55S,hd,False,True,,,206551,4236,235
LugRmAP_djQ,AZ,2025-12-21 02:34:42.318286+00:00,2025-12-19 14:00:06+00:00,CATALİNA'YI KONSEYİMDEN KOVDUM.. (Minecraft),CATALİNA'YI KONSEYİMDEN KOVDUM.. (Minecraft),BoraLo,UClSRQHOTv8551MUhNrtah2A,20,Gaming,"minecraft, minecraft videoları, minecraft türkçe, boralo yeni video, boralo yeni bölüm, boralo, boralo yeni, boralo son bölüm, boralo videoları, minecraft yeni bölüm, minecraft son bölüm, minecraft video, minecraft roleplay türkçe, minecraft oyunları, minecraft oyun, minecraft filmi, bars boralo, boralo bars, minecraft efsaneleri, boralo konsey, boralo konsey kuruyor, minecraft konsey modu, minecraft konsey kalesi, konsey boralo, catalina, minecraft yeni, minecraft roleplay",27,https://i.ytimg.com/vi/LugRmAP_djQ/hqdefault.jpg,tr,tr,False,1549,PT25M49S,hd,False,True,,,325225,13589,1577
