video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
oXjTsyGx6gE,BG,2025-12-14 02:34:48.362280+00:00,2025-12-11 16:01:25+00:00,IVAYLA ft. GALIN - HOTEL | ИВАЙЛА ft. ГАЛИН - ХОТЕЛ [OFFICIAL 4K VIDEO 2025],IVAYLA ft. GALIN - HOTEL | ИВАЙЛА ft. ГАЛИН - ХОТЕЛ [OFFICIAL 4K VIDEO 2025],Alpha Music Bulgaria,UCAvjic6NqR2EvjpGT4EyWeg,10,Music,"ivayla, ivaila, ивайла, alpha music, алфа мюзик, hotel, хотел",7,https://i.ytimg.com/vi/oXjTsyGx6gE/hqdefault.jpg,en,bg,False,230,PT3M50S,hd,False,True,,,287947,9894,350
YqdAEdkHrwo,BG,2025-12-14 02:34:48.362320+00:00,2025-12-11 16:59:07+00:00,Supergirl | Official Teaser Trailer,Supergirl | Official Teaser Trailer,DC,UCiifkYAs_bq1pt_zbNAzYGg,24,Entertainment,"DC, DC Comics, DC Universe, DCU, Superman, James Gunn, super heroes, movie, Supergirl, superman 2025, dcu timeline, superman scene, superman krypto, krypto the superdog, lex luthor, krypto, superman 2025 scene, supergirl woman of tomorrow, supergirl scene superman 2025, supergirl cameo superman, supergirl in superman 2025, milly alcock, supergirl, supergirl movie, supergirl 2026, supergirl trailer, supergirl trailer reaction, supergirl trailer breakdown, supergirl milly alcock",29,https://i.ytimg.com/vi/YqdAEdkHrwo/hqdefault.jpg,en,en,False,123,PT2M3S,hd,False,True,,,11845352,351692,19303
tLzoDl6NaDs,BG,2025-12-14 02:34:48.362332+00:00,2025-12-13 07:00:52+00:00,"ПОСТРОИХ СИ ТАЙНА AFK БАЗА, ЗА ДА ОЦЕЛЕЯ 1,000 ДНИ В ГОРАТА!","ПОСТРОИХ СИ ТАЙНА AFK БАЗА, ЗА ДА ОЦЕЛЕЯ 1,000 ДНИ В ГОРАТА!",NEgamer,UCpIE2a6Grm308w2KnbjW0YQ,20,Gaming,"negamer, ne gamer, ne, gamer, негеймър, не, геймър, не геймър, andy studio, andi studio, andi, andy, studio, анди, студио, анди студио, дани, dani, dankata, данката, гейминг, майнкрафт, gaming, minecraft, brawl stars, brawl, stars, играя, игри, но, брат, brat",32,https://i.ytimg.com/vi/tLzoDl6NaDs/hqdefault.jpg,bg,bg,False,1808,PT30M8S,hd,False,True,,,65279,2638,144
MJObRwQEL_c,BG,2025-12-14 02:34:48.362342+00:00,2025-12-04 15:57:11+00:00,Габриела ft. Меди - Габриела | Gabriella ft. Medi - Gabriella,Габриела ft. Меди - Габриела | Gabriella ft. Medi - Gabriella,MEGA STAR,UCx1lEreLZXeNnr6QV4W0XaQ,10,Music,"габриела, Габриела, gabriela, gabriella, Gabriela, Gabriella, gabriella medi, medi gabriella, меди габриела, габриела меди, габриела меди габриела, medi gabriela",12,https://i.ytimg.com/vi/MJObRwQEL_c/hqdefault.jpg,bg,bg,False,144,PT2M24S,hd,False,True,,,500498,7761,166
Fv0leN8TmR8,BG,2025-12-14 02:34:48.362350+00:00,2025-12-07 00:00:04+00:00,The Boys - Final Season Teaser Trailer | Prime Video,The Boys - Final Season Teaser Trailer | Prime Video,Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,24,Entertainment,"the boys, the boys season 5, the boys s5, the boys season 5 trailer, the boys season 5 teaser, the boys s5 trailer, the boys s5 teaser, the boys soldier boy, the boys homelander, the boys butcher, homelander, butcher, soldier boy, starlight, hughie, homelander vs butcher, butcher vs homelander, homelander vs soldier boy, the boys final season, the boys final season trailer, antony starr, karl urban, jensen ackles, erin moriarty, jack quaid, chace crawford, jared padalecki",27,https://i.ytimg.com/vi/Fv0leN8TmR8/hqdefault.jpg,en,en,False,121,PT2M1S,hd,True,True,,,8314888,331378,17478
IDG75Wffcyk,BG,2025-12-14 02:34:48.362358+00:00,2025-12-06 08:00:32+00:00,ПРЕДИЗВИКАХ КРИСКАТА НА НАЙ-ОПАСНОТО СЪСТЕЗАНИЕ!,ПРЕДИЗВИКАХ КРИСКАТА НА НАЙ-ОПАСНОТО СЪСТЕЗАНИЕ!,Alpha Alex,UCVd1P09l82puCaknos8Pcow,20,Gaming,"Алекс нов канал, Алекс Криската, Алекс гейминг, Alex, Alex channel, Alex Kriskata, Alex Minecraft, Alex kriskata prank, Alex Fortnite, алекс пранк криската, алекс майнкрафт, алекс гейминг криската",12,https://i.ytimg.com/vi/IDG75Wffcyk/hqdefault.jpg,bg,bg,False,1587,PT26M27S,hd,False,True,,,139399,2836,299
KUXwNRuaeBw,BG,2025-12-14 02:34:48.362366+00:00,2025-12-08 16:00:07+00:00,Emrah - Kilometraja / Емрах - Километража | Official 4k Video 2025,Emrah - Kilometraja / Емрах - Километража | Official 4k Video 2025,Storaro Music,UC_zAn2ohacJQxklvsY5Xj0w,10,Music,"емрах, emrah, kilometraja, kilometrazha, kilometraj, километраж",6,https://i.ytimg.com/vi/KUXwNRuaeBw/hqdefault.jpg,bg,bg,False,168,PT2M48S,hd,False,True,,,285635,7770,386
ZcE00xT88a0,BG,2025-12-14 02:34:48.362374+00:00,2025-12-06 10:44:20+00:00,ТУТУРУТКА - Ей Ай (Ei Ai) Trailer Official,ТУТУРУТКА - Ей Ай (Ei Ai) Trailer Official,Tuturutka,UCEnFu5hxuH-YeibU191aoyw,23,Comedy,"tuturutka, tytyrytka, sketch, laugh, humour, funny, show, comedian, official, satire, entertainment, atanaskaviharova, ivancheshmegiev, vencikutsarov, milenminkov, vasilvasilev, svetlozarstoyanov, тутурутка, скеч, смях, хумор, майтап, комици, комедия, шоумен, сатира, забава, атанаскавихърова, иванчешмеджиев, венцикуцаров, миленминков, василвасилев, светлозарстоянов, офишъл, ai, ейай, изкуствен, интелект, ченге, полицай, проверка",41,https://i.ytimg.com/vi/ZcE00xT88a0/hqdefault.jpg,bg,bg,False,42,PT42S,hd,False,True,,,9963,168,4
2QGnikR_ytI,BG,2025-12-14 02:34:48.362383+00:00,2025-12-13 07:00:03+00:00,ОТИВАМЕ НА НАЙ-ОПАСНАТА ПОЧИВКА! RV THERE YET ЧАСТ 2,ОТИВАМЕ НА НАЙ-ОПАСНАТА ПОЧИВКА! RV THERE YET ЧАСТ 2,Kriskata,UC4lv7ps9d9vo4cEzekQ5K_w,20,Gaming,"криската, kriskata, крис, kris, kriskata gaming, криската гейминг, криската видеа, криската майнкрафт, кримската, kriskata Minecraft, криската роблокс, kriskata roblox, kriskata productions, криската продукшънс",14,https://i.ytimg.com/vi/2QGnikR_ytI/hqdefault.jpg,bg,bg,False,1439,PT23M59S,hd,False,True,,,31863,1727,83
D85bXKMjC7Q,BG,2025-12-14 02:34:48.362391+00:00,2025-12-08 17:00:31+00:00,"EMIL TRF, SECTA, V:RGO - JIVOTA MA DURPA (Official Video)","EMIL TRF, SECTA, V:RGO - JIVOTA MA DURPA (Official Video)",Emil TRF,UCIJ6Spc2ooTRcb0EKcAOejA,10,Music,"4alga, azis, bg hitove, bg pop, bg regeton, bg reggaeton, chalga, chalga hitove, chalga party, dara, emil, emil trf, emiltrf, fyre, galena, hitove, hitove 2025, hustle 2, jivota ma durpa, js, medi, pop folk, reggaeton, secta, skg, torino pashata, trf, v:rgo, virgo, vrgo, азис, алфа мюз",32,https://i.ytimg.com/vi/D85bXKMjC7Q/hqdefault.jpg,en,bg,False,158,PT2M38S,hd,False,True,,,191278,8179,425
VI6XO8EijT4,BG,2025-12-14 02:34:48.362400+00:00,2025-12-05 20:00:28+00:00,DIGITAL CIRCUS EP 7 TRAILER!!,DIGITAL CIRCUS EP 7 TRAILER!!,GLITCH,UCn_FAXem2-e3HQvmK-mOH4g,1,Film & Animation,"glitch, glitch productions, digital circus, the amazing digital circus, murder drones, Pomni, Uzi, Jax, Ragatha, Kinger, Gangle, Zooble, Caine, Bubble, 3D, Animation, 3D Animation, Indie Animation, Gummigoo",19,https://i.ytimg.com/vi/VI6XO8EijT4/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,12602770,629394,34675
eaGZALpqExU,BG,2025-12-14 02:34:48.362408+00:00,2025-12-13 16:00:08+00:00,"BRAWL TALK: Buffies, Chaos Drops and Brawl Pass Rework!","BRAWL TALK: Buffies, Chaos Drops and Brawl Pass Rework!",Brawl Stars,UCooVYzDxdwTtGYAkcPmOgOw,20,Gaming,"brawl stars, mobile game, mobile strategy game, mobile rpg, mobile battle royale, battle royale, supercell game, brawl talk, buffies, chaos drops, brawl pass, revamp, brawl pass revamp, new brawlers, new update",15,https://i.ytimg.com/vi/eaGZALpqExU/hqdefault.jpg,en,en,False,736,PT12M16S,hd,True,True,,,3281937,166479,16081
hcMNAJ9liQE,BG,2025-12-14 02:34:48.362415+00:00,2025-12-03 15:10:00+00:00,DESSITA x ILIAN BOYD - LYUBOV ZA PSIHOLOG | ДЕСИТА x ИЛИЯН БОЙД - ЛЮБОВ ЗА ПСИХОЛОГ,DESSITA x ILIAN BOYD - LYUBOV ZA PSIHOLOG | ДЕСИТА x ИЛИЯН БОЙД - ЛЮБОВ ЗА ПСИХОЛОГ,DESSITA,UCIgNwGceFdrcj4nQE3bKOXg,10,Music,"десита, dessita, desita, ilian, iliyan, boyd, boid, psiholog, lubov, lyubov",10,https://i.ytimg.com/vi/hcMNAJ9liQE/hqdefault.jpg,en,bg,False,180,PT3M,hd,False,True,,,438599,10243,818
XRRnP91SSrQ,BG,2025-12-14 02:34:48.362422+00:00,2025-12-05 16:00:21+00:00,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Welcome Home | Poppy Playtime Chapter 5 Cinematic Trailer,Mob Entertainment,UCXqV4yoyC_mmZye6VbKFPeQ,20,Gaming,,0,https://i.ytimg.com/vi/XRRnP91SSrQ/hqdefault.jpg,en,en,False,58,PT58S,hd,True,True,,,3886575,234159,17165
l06K02RsjY8,BG,2025-12-14 02:34:48.362430+00:00,2025-12-05 15:57:25+00:00,ПРОМЪКНАХ СЕ НА КОЛЕДА В КЪЩАТА НА ГРАНИ | ГОЛЯМА ГРЕШКА!,ПРОМЪКНАХ СЕ НА КОЛЕДА В КЪЩАТА НА ГРАНИ | ГОЛЯМА ГРЕШКА!,Andy PlayZ GameZ,UCfAbgoBuOHXRnpheRzZ4ABQ,20,Gaming,"andy playz gamez, andy, playz, gamez, andy playz, playz gamez, games, plays games, andy plays games, andi studio, andy studio, andi, studio, анди студио, анди, дани, анди плейз, плейз, гейминг, gaming, video games, видео игри, фортнайт, майнкрафт, fortnite, minecraft, play, игра, игри, играем, играя, геймплей, gameplay, andy plays gaming, анди plays games, andy playz games, andi playz gamez, #andyplayzgamez, andyplayzgamez, andy studio gaming, andy gaming, анди gaming",42,https://i.ytimg.com/vi/l06K02RsjY8/hqdefault.jpg,bg,bg,False,1633,PT27M13S,hd,False,True,,,95125,4710,742
IJChcLzhnkY,BG,2025-12-14 02:34:48.362438+00:00,2025-12-11 17:00:35+00:00,DIMOFF - 300 [OFFICIAL 4K VIDEO] 2025,DIMOFF - 300 [OFFICIAL 4K VIDEO] 2025,DIMOFF OFFICIAL,UC4jJGux531M6zuVY5ev4jDQ,10,Music,"300, 300 dimoff, 300 official video, 300 димофф, azis, bg hip hop, bg hit 2025, bg hitove, bg hitove 2026, bg rap, bg rap 2026, bg trap 2025, bobkata, dim4ou, dimoff, dimoff 300, drill, drink, emil trf, fyre, galena, garjoka, hip hop, hitove 2025, hitove 2026, marso, mbt, medi, murd",29,https://i.ytimg.com/vi/IJChcLzhnkY/hqdefault.jpg,en,bg,False,132,PT2M12S,hd,False,True,,,110808,4981,344
IaEtA56pd_w,BG,2025-12-14 02:34:48.362447+00:00,2025-12-05 20:48:18+00:00,Iron Lung: Final Trailer,Iron Lung: Final Trailer,Markiplier,UC7_YxT-KID8kRbqZo7MyscQ,20,Gaming,"markiplier, iron lung, iron lung movie, official trailer, movie trailer, iron lung trailer 3, final trailer, iron lung release date, iron lung markiplier, Caroline Kaplan, troy baker",11,https://i.ytimg.com/vi/IaEtA56pd_w/hqdefault.jpg,en,en,False,105,PT1M45S,hd,False,False,,,4524875,515549,21909
2hYGnDJOkXg,BG,2025-12-14 02:34:48.362454+00:00,2025-12-13 12:00:06+00:00,ПРОДЪЛЖЕНИЕТО НА ГРАНИ И ДЯДОТО - Granny Chapter Two,ПРОДЪЛЖЕНИЕТО НА ГРАНИ И ДЯДОТО - Granny Chapter Two,Haralambi Dobrev,UC2unYpPmzMnaAPC_4tU0fiw,20,Gaming,"hari, haralambi dobrev, hari dobrev, afaf, afaf1, afaf1bg, хари, хараламби добрев, хари добрев, афаф, афаф1, афаф1бг, bulgarian, български, horror, scary, horror game, scary game, strashna igra, horror igra, страшна игра, хоррор игра, gameplay, granny, грани, slendrina, grani, granny ending, grani 2, granny 2, грани 2, грани и грандпа, granny chapter two",33,https://i.ytimg.com/vi/2hYGnDJOkXg/hqdefault.jpg,bg,bg,False,1294,PT21M34S,hd,False,True,,,11338,1163,74
-dDhkS49voU,BG,2025-12-14 02:34:48.362462+00:00,2025-12-06 15:00:06+00:00,NASYO CHERNIA X FURY X STEFANI - PARA PARA / ПАРА ПАРА [OFFICIAL 2025 VIDEO],NASYO CHERNIA X FURY X STEFANI - PARA PARA / ПАРА ПАРА [OFFICIAL 2025 VIDEO],Nasyo Chernia,UCFezeJhXzCdibeSLtpTpboA,10,Music,"bg drill, bg hip hop, bg hits, bg rap, bg reggaeton, bg trap, bg trap 2025, bobkata, bobo, bobo armani, chernia, cherniya, fury, fyre, hip hop, hitove, hitove 2025, maala, marso, mbt, mufasa 069, murda, murda boys, murda boyz, murdaboyz, muzika, nasio, naso, nasyo, nasyo cherniya, pam",31,https://i.ytimg.com/vi/-dDhkS49voU/hqdefault.jpg,en,bg,False,181,PT3M1S,hd,False,True,,,288576,6489,182
9c-DrMe8o5Q,BG,2025-12-14 02:34:48.362470+00:00,2025-11-12 17:00:17+00:00,The Devil Wears Prada 2 | Teaser Trailer,The Devil Wears Prada 2 | Teaser Trailer,20th Century Studios,UC2-BeLxzUBSs0uSrmzWhJuQ,1,Film & Animation,Trailer,1,https://i.ytimg.com/vi/9c-DrMe8o5Q/hqdefault.jpg,en,en,False,52,PT52S,hd,False,True,,,7654654,150064,5131
