video_id,country,fetched_at,published_at,title,localized_title,channel_title,channel_id,category_id,category_name,tags,tag_count,thumbnail,default_language,audio_language,is_live,duration,duration_raw,definition,caption_available,licensed_content,embeddable,made_for_kids,views,likes,comments
3ir2iqxt_4w,BR,2025-12-19 02:28:16.729252+00:00,2025-12-16 22:00:06+00:00,Jessé Alcântara e Sara Evelyn | Vigia [Vídeo Letra],Jessé Alcântara e Sara Evelyn | Vigia [Vídeo Letra],Jessé Alcantara,UC1BVtOnjCTHM8t3EGls2wpg,10,Music,,0,https://i.ytimg.com/vi/3ir2iqxt_4w/hqdefault.jpg,pt-PT,pt-PT,False,192,PT3M12S,hd,False,False,,,66843,1712,40
MgAxt4yt60o,BR,2025-12-19 02:28:16.729286+00:00,2025-12-17 00:30:31+00:00,BOMBA! VAZOU STEVE ROGERS COM FILHO NO TEASER DE VINGADORES DOOMSDAY ,BOMBA! VAZOU STEVE ROGERS COM FILHO NO TEASER DE VINGADORES DOOMSDAY ,Ei Nerd,UCt_4wzTQqmcUvemNkeO0plA,24,Entertainment,"Nerd, ei nerd, peter jordan, UCM, MARVEL, DC, DC COMICS, CINEMA, FILMES, ANIMES, QUADRINHOS, HQS, SERIES, GEEK, CULTURA POP, SERIADOS, HERÓIS, SUPER HEROIS",18,https://i.ytimg.com/vi/MgAxt4yt60o/hqdefault.jpg,pt-BR,pt,False,704,PT11M44S,hd,False,True,,,333748,28114,689
1RdqxlGRHiA,BR,2025-12-19 02:28:16.729297+00:00,2025-12-16 15:00:07+00:00,ESSE É O VÍDEO MAIS CORRETO DO CANAL!,ESSE É O VÍDEO MAIS CORRETO DO CANAL!,Jazzghost,UCIXguhHCl8eDTkXpEuiGPUA,20,Gaming,"jazzghost, jazz, Restore Your Island",3,https://i.ytimg.com/vi/1RdqxlGRHiA/hqdefault.jpg,pt-PT,pt-PT,False,1556,PT25M56S,hd,False,True,,,1753267,90842,4527
HFH4z7S4OS4,BR,2025-12-19 02:28:16.729305+00:00,2025-12-16 22:00:07+00:00,7 Minutoz - VELHA ESTRADA,7 Minutoz - VELHA ESTRADA,7 Minutoz,UCe6pKugTDyOPT1Md2DTybbQ,10,Music,"7 Minutoz, 7MZ, 7Minutoz, 7 Minutos, 7Minutos, Música geek, Música nerd, Rap geek, Rap nerd, VELHA ESTRADA, Country, Lucas A.R.T., Gabriel Rodrigues",13,https://i.ytimg.com/vi/HFH4z7S4OS4/hqdefault.jpg,pt,pt-PT,False,161,PT2M41S,hd,False,True,,,134328,23580,993
tGLz5M0uhFs,BR,2025-12-19 02:28:16.729313+00:00,2025-12-16 16:30:17+00:00,Avengers: Doomsday - First Trailer (2026) Marvel Studios,Avengers: Doomsday - First Trailer (2026) Marvel Studios,Teaser Universe,UCa2MXjBtWn91WPHWRBCLI6Q,1,Film & Animation,"avengers doomsday, doomsday trailer, avengers doomsday trailer chris evans, avengers doomsday robert downey jr, avengers doomsday leaks, avengers doomsday trailer, avengers doomsday 2026 trailer, tobey maguire doomsday trailer, doomsday trailer leak, avengers doomsday official trailer, avengers doomsday trailer official, robert downey jr dr doom trailer, avengers doomsday tobey maguire, trailers, avengers doomsday new trailer, avengers doomsday cast, avengers doomsday cast reveal",17,https://i.ytimg.com/vi/tGLz5M0uhFs/hqdefault.jpg,en,en,False,70,PT1M10S,hd,False,True,,,2490105,22642,1409
gFwiY0wlQfk,BR,2025-12-19 02:28:16.729321+00:00,2025-12-17 00:34:19+00:00,ME DEVEM $100 MILHÕES no GTA RP 😱 (Paulinho o LOKO),ME DEVEM $100 MILHÕES no GTA RP 😱 (Paulinho o LOKO),PAULINHO O LOKO,UCdlJx-w37viXFNq__qZ7ARQ,20,Gaming,"modder, modder dois, modder 2, anti rp, anti roleplay, paulinho o loco, paulinho o loko, gta anti rp, gta roleplay, gta anti roleplay, mother dois, paulinho louco, paulinho loco, voz fina no jogo, jogo que imita a vida real, gta",16,https://i.ytimg.com/vi/gFwiY0wlQfk/hqdefault.jpg,pt-BR,pt,False,1985,PT33M5S,hd,False,True,,,879142,76941,895
guf8kuLOZHA,BR,2025-12-19 02:28:16.729330+00:00,2025-12-16 14:01:10+00:00,Dance se souber~ {TikTok} 2025🎶💜,Dance se souber~ {TikTok} 2025🎶💜,Dj Danny Albuquerque,UCVOvoHO0LmcEJy4G91AbAMw,10,Music,"dance se souber músicas do tik tok, dance se souber tiktok, tiktok viral video, dance se souber tiktok 2025, tiktok 2025, dance se souber, música, tik tok, dance se souber tiktok 2024, tiktok 2024, dança se souber, dance se souber 2025, tiktok, música do tik tok, dança se souber 2025, músicas, música de tik tok, dance souber, dança de souber, dance se souber 2024, tik tok 2025, musicas do tik tok, dança souber, brazil tiktok, dancinhas do tik tok, música 2025, música tiktok",27,https://i.ytimg.com/vi/guf8kuLOZHA/hqdefault.jpg,pt-PT,pt,False,492,PT8M12S,hd,False,True,,,215618,1563,83
GqR2FG3G810,BR,2025-12-19 02:28:16.729338+00:00,2025-12-15 13:40:02+00:00,Stranger Things 5 | Trailer - Volume 2 | Netflix,Stranger Things 5 | Trailer - Volume 2 | Netflix,Netflix Brasil,UCc1l5mTmAv2GC_PXrBpqyKQ,24,Entertainment,"Caleb McLaughlin, Charlie Heaton, David Harbour, Delegado Hopper, Dustin, Finn Wolfhard, Gaten Matarazzo, Jamie Campbell Bower, Joe Keery, Jonathan Byers, Joyce Byers, Lucas, Max, Maya Hawke, Mike Wheeler, Millie Bobby Brown, Nancy Wheeler, Natalia Dyer, Netflix, Noah Schnapp, Onze, Robin Buckley, Sadie Sink, Steve Harrington, Stranger Things 5, Will Byers, Winona Ryder",27,https://i.ytimg.com/vi/GqR2FG3G810/hqdefault.jpg,pt-PT,en-US,False,134,PT2M14S,hd,False,False,,,1606148,84071,2829
b7LiLWAFHEo,BR,2025-12-19 02:28:16.729346+00:00,2025-12-16 23:23:52+00:00,BUGUEI O TOP 10 do BRAINROT com UMA CONTA SECUNDÁRIA 😱🔥,BUGUEI O TOP 10 do BRAINROT com UMA CONTA SECUNDÁRIA 😱🔥,Canal Clash War,UCR-Y4lWmrCYbr1XavmNMlvQ,20,Gaming,,0,https://i.ytimg.com/vi/b7LiLWAFHEo/hqdefault.jpg,pt-BR,pt-BR,False,1225,PT20M25S,hd,False,True,,,457965,8222,1877
tB7kvDZav00,BR,2025-12-19 02:28:16.729354+00:00,2025-12-16 14:00:39+00:00,BK’ part. Anchietx e 2ZDinizz (prod. Nansy Silvvz) - Deusa (Visualizer),BK’ part. Anchietx e 2ZDinizz (prod. Nansy Silvvz) - Deusa (Visualizer),BK',UC00DIzrNfhYeXh9Z01fk_9w,10,Music,"BK, BK', abebe, abebe bikila, Pirâmide Perdida, Bloco 7, Gigantes, RJ, Rio de Janeiro, Lapa, Rap, Rap Nacional, Hip Hop, Ekelele Flow, Flow Zidane, Luccas Carlos, Mixtape, Icarus, BK Icarus, BK castelos e ruinas, BK lançamentos, planos, músicas de amor nunca mais, poesia acústica, bkttlapa, JXNVS, JX, bkraque, BK GIGANTES, Festival Gigantes, BK Apoteose, Apoteose, rap brasileiro, música urbana brasil, djonga, sain, filipe ret, racionais, emicida, sabotage, Nansy Silvvz, 2ZDinizz, Deekapz, rua",44,https://i.ytimg.com/vi/tB7kvDZav00/hqdefault.jpg,pt,pt,False,275,PT4M35S,hd,False,True,,,81145,4202,154
